[00:00:05.856 --> 00:00:06.296]  Sign up.
[01:14:57.100 --> 01:15:02.903]  That then gives them essentially 60% of the world's oil reserves.
[01:15:05.124 --> 01:15:06.624]  And of course, we don't like that either.
[01:15:06.664 --> 01:15:07.585]  We don't want that.
[01:15:08.405 --> 01:15:09.486]  So what do we do about this?
[01:15:09.586 --> 01:15:09.846]  Nothing.
[01:15:09.866 --> 01:15:15.388]  I guess Obama's going to blow Iran to bits and all the liberals will say, oh great, he's giving them freedom.
[01:15:16.108 --> 01:15:16.609]  That's it.
[01:15:16.629 --> 01:15:17.089]  Just like Iraq.
[01:15:18.198 --> 01:15:21.819]  A million dead, four million refugees, and we've given them freedom.
[01:15:21.839 --> 01:15:25.561]  The whole country's destroyed, just like we're doing in Afghanistan.
[01:15:26.601 --> 01:15:30.303]  And, you know, why the world puts up with this?
[01:15:31.463 --> 01:15:31.763]  I don't know.
[01:15:31.823 --> 01:15:33.904]  I think it's because we just give them money.
[01:15:33.964 --> 01:15:42.387]  So maybe if we have an economic collapse, the world will have a chance to go its own way and realize its own aspirations.
[01:15:42.487 --> 01:15:46.609]  But for now, it looks like the American hegemony is prevailing.
[01:15:47.863 --> 01:15:51.848]  But meanwhile, American hegemony is raping us, the American people as well.
[01:15:52.289 --> 01:15:54.912]  They're eluding us, so it's... Eluding us, yeah.
[01:15:55.373 --> 01:16:00.018]  But as you said earlier, you know, they're getting power over all the money, over everybody's business.
[01:16:01.020 --> 01:16:03.623]  It's just... It's an amazing...
[01:16:04.315 --> 01:16:14.442]  You know, it's actually, as I said the other day, there's really no difference between the American Citizens Day and the fictional citizens in George Orwell's book, 1984.
[01:16:14.602 --> 01:16:22.928]  Dr. Roberts, we appreciate your integrity, your research, the incredible amount of data you brought together, because I was trying to figure this out, and you really did a great job.
[01:16:23.008 --> 01:16:24.529]  Thank you for spending Father's Day with us.
[01:16:24.549 --> 01:16:25.370]  Give back to your family.
[01:16:25.410 --> 01:16:25.950]  God bless you.
[01:16:26.290 --> 01:16:27.251]  God bless you, Alex.
[01:16:27.731 --> 01:16:30.994]  There goes Dr. Paul Craig Roberts, the father of Reaganomics, a real conservative.
[01:16:31.274 --> 01:16:32.275]  We'll be right back with more.
[01:16:32.295 --> 01:16:32.675]  Stay with us.
[01:16:33.630 --> 01:16:36.913]  Silver is mankind's oldest natural antibiotic.
[01:16:37.073 --> 01:16:41.156]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:16:41.336 --> 01:16:52.766]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[01:16:52.986 --> 01:16:58.831]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[01:16:59.111 --> 01:17:03.476]  And germs can't mutate to be resistant like they can to modern-day antibiotics.
[01:17:03.776 --> 01:17:11.784]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[01:17:11.984 --> 01:17:19.632]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of health care and freedom of speech.
[01:17:20.132 --> 01:17:27.535]  Visit us today at utopiasilver.com, that's U-T-O-P-I-A-Silver dot com, or call 888-213-4338, 888-213-4338, and help us win this battle.
[01:17:34.107 --> 01:17:36.088]  Hi, I'm John Swenson at Midas Resources.
[01:17:36.108 --> 01:17:39.750]  800-686-2237, extension 128.
[01:17:40.250 --> 01:17:41.891]  And let's take in a brief mind movie.
[01:17:42.371 --> 01:17:47.834]  We're surrounded by jesters, members of the nation's largest clown club based in Washington, D.C.
[01:17:48.054 --> 01:17:53.657]  Fuzzy hair, baggy pants, big yellow shoes, and now offering financial assurances that all will be well.
[01:17:53.857 --> 01:17:55.517]  The stimulus package is working.
[01:17:55.858 --> 01:17:57.378]  A bailout is coming your way.
[01:17:57.739 --> 01:18:01.660]  And while we're flat broke, we're also told that we've stepped back away from the brink.
[01:18:01.941 --> 01:18:02.261]  Pardon me?
[01:18:03.081 --> 01:18:04.061]  Back to the real world.
[01:18:04.321 --> 01:18:08.283]  We know that we can rely on no one but ourselves to generate financial security.
[01:18:08.583 --> 01:18:10.603]  Protecting your assets is solely up to you.
[01:18:11.143 --> 01:18:12.604]  No one else is coming to the rescue.
[01:18:12.844 --> 01:18:23.607]  Please call me, John Swenson, 800-686-2237, extension 128, to discuss investing in precious metals, gold and silver, with a 6,000 year track record of success and security.
[01:18:24.307 --> 01:18:31.309]  I'm John Swenson, 800-686-2237, extension 128, and together we'll create a package that really works for you.
[01:18:34.404 --> 01:18:37.025]  Hello, this is Alex Jones with some important questions.
[01:18:37.425 --> 01:18:42.386]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:18:42.746 --> 01:18:44.486]  My answer would be all I can get.
[01:18:44.786 --> 01:18:49.607]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:18:49.787 --> 01:18:50.747]  How much do you want?
[01:18:50.967 --> 01:18:51.727]  When do you want it?
[01:18:52.088 --> 01:18:53.708]  Now or after the battle starts?
[01:18:53.988 --> 01:18:54.808]  When will you need it?
[01:18:55.048 --> 01:18:57.128]  Can you buy it without proper identification?
[01:18:57.268 --> 01:18:58.369]  Will there be any food?
[01:18:58.609 --> 01:18:59.909]  Will it make your children sick?
[01:19:00.129 --> 01:19:05.191]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:19:05.391 --> 01:19:08.553]  You wipe out all these problems if you have a good food supply.
[01:19:08.973 --> 01:19:12.474]  Food is your ammunition to fight for your freedom and your life.
[01:19:12.794 --> 01:19:13.775]  How much will you need?
[01:19:14.015 --> 01:19:14.635]  We don't know.
[01:19:14.915 --> 01:19:15.836]  How much do you want?
[01:19:16.036 --> 01:19:16.776]  All you can get.
[01:19:16.956 --> 01:19:17.816]  I'm Alex Jones.
[01:19:18.057 --> 01:19:20.798]  I want all of you good guys to live to fight another day.
[01:19:21.098 --> 01:19:23.259]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com
[01:19:28.621 --> 01:19:29.403]  Again, that number 1-800-409-5633.
[01:19:33.413 --> 01:19:36.255]  Did you know that you can be tracked and traced when you're online?
[01:19:36.495 --> 01:19:44.399]  With identity theft and cyber crimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[01:19:44.619 --> 01:19:48.301]  Would you like to surf the internet anonymously and not have to worry about these threats?
[01:19:48.561 --> 01:19:51.563]  Well, now you can by visiting patriotinternet.com.
[01:19:51.723 --> 01:20:01.248]  For about $2 per month, patriotinternet.com will conceal your IP address and your physical location, allowing you to browse the web, send emails, and instant message anonymously.
[01:20:01.448 --> 01:20:05.492]  PatriotInternet.com will bypass filters, block sites, and keyword blocking.
[01:20:05.733 --> 01:20:08.876]  You can also bypass logging by your router and your ISP.
[01:20:09.116 --> 01:20:15.743]  With PatriotInternet.com, there is no software to install and uses 128-bit encryption for your protection.
[01:20:15.963 --> 01:20:23.992]  When using wireless hotspots, PatriotInternet.com shields your information from identity thieves and is compatible with Windows, Mac, and Linux.
[01:20:24.352 --> 01:20:30.216]  Protect your identity and your freedom with anonymous internet access from PatriotInternet.com.
[01:20:30.476 --> 01:20:32.718]  Visit PatriotInternet.com today.
[01:20:34.019 --> 01:20:37.121]  Are you tired of searching for great talk radio?
[01:20:37.701 --> 01:20:38.682]  Search no more.
[01:20:39.203 --> 01:20:42.245]  We are the GCN Radio Network.
[01:20:47.048 --> 01:20:50.170]  Yeah, those Iranian teenagers are gonna get what they want.
[01:20:50.210 --> 01:20:51.711]  Those cities completely leveled.
[01:20:52.492 --> 01:20:53.813]  And they're gonna put in hardcore.
[01:20:54.594 --> 01:20:58.356]  Muslim extremists over them, just like Iraq.
[01:20:58.636 --> 01:21:00.857]  60% of the graduates of college were women, the doctors.
[01:21:02.078 --> 01:21:03.279]  Rock and roll music was on.
[01:21:04.079 --> 01:21:04.820]  Not anymore.
[01:21:04.840 --> 01:21:08.982]  They're all wearing the burqas and CIA's in command.
[01:21:11.363 --> 01:21:14.625]  I tell ya, the key to the whole New World Order is Muslim extremists.
[01:21:14.645 --> 01:21:15.866]  More and more I realize this.
[01:21:15.886 --> 01:21:18.247]  They are the magic key, the sword of death.
[01:21:18.965 --> 01:21:19.985]  They are the little secret.
[01:21:20.386 --> 01:21:30.169]  Because you got these mullahs, Shiites, Sunni, both sides, they got mind-controlled people that will blow themselves up and think they're doing it for Allah, and they always work for the British government.
[01:21:31.249 --> 01:21:35.891]  I mean, when you really get down to it, and that's what the head mullah came out and said, this is the British government.
[01:21:36.451 --> 01:21:41.433]  Because, you know, he knows, because they've been fighting those guys and working with them for decades.
[01:21:41.473 --> 01:21:42.353]  It goes back and forth.
[01:21:42.373 --> 01:21:46.475]  This is like chess, ladies and gentlemen, but ten times more complex.
[01:21:49.059 --> 01:21:51.781]  And we're here looking at this huge chess board.
[01:21:51.961 --> 01:21:54.783]  I can't get the American people to even realize we're playing chess.
[01:21:55.063 --> 01:21:56.143]  That there's a game on.
[01:21:56.163 --> 01:21:57.824]  That this is real.
[01:21:58.145 --> 01:22:00.406]  That there's powerful elites and subterfuge.
[01:22:00.446 --> 01:22:04.428]  In fact, I want to play this clip and your calls are coming up.
[01:22:04.829 --> 01:22:07.350]  And I got Sir Hudeberg coming in here to talk about this bill.
[01:22:08.171 --> 01:22:09.892]  You can't make this stuff up anymore.
[01:22:09.912 --> 01:22:12.353]  I mean, who could come up with this?
[01:22:12.453 --> 01:22:14.354]  I couldn't imagine things this ridiculous.
[01:22:14.955 --> 01:22:17.056]  But the reason I thought of this guy
[01:22:18.985 --> 01:22:20.465]  Months ago, I meant to play this.
[01:22:21.686 --> 01:22:24.546]  I didn't do it, but last night, I'm at the office at about 10 o'clock at night.
[01:22:25.227 --> 01:22:30.868]  They're re-airing Geraldo Rivera's show, and there's like these weird zombie redcoats.
[01:22:30.928 --> 01:22:33.069]  I say zombie, they looked like they were out of their minds.
[01:22:34.049 --> 01:22:41.951]  With these vacant stairs, playing Revolutionary War music, but British tunes, with our soldiers, on the set with him.
[01:22:42.571 --> 01:22:46.232]  And I was like, they're playing Revolutionary anti-
[01:22:49.036 --> 01:22:51.838]  You know, colonialist music, and it was some weird message.
[01:22:51.878 --> 01:22:58.984]  And I keep seeing redcoats with our troops at White House events and at events at Arlington Cemetery.
[01:22:59.024 --> 01:23:00.965]  It's like a desecrating us.
[01:23:00.985 --> 01:23:04.768]  And I'm not, I'm not a Anglophile phobe.
[01:23:04.788 --> 01:23:06.570]  I mean, I don't dislike the British.
[01:23:06.610 --> 01:23:10.253]  I mean, my last name's Jones and I have two guys that work for me in England, great, smart people.
[01:23:11.073 --> 01:23:12.334]  I'm saying the elite of England.
[01:23:12.815 --> 01:23:18.299]  So I'm sitting there watching this as we sit there in the coffee room watching Fox News.
[01:23:19.608 --> 01:23:21.489]  And then it cuts to Lt.
[01:23:21.529 --> 01:23:21.870]  Col.
[01:23:21.950 --> 01:23:27.714]  Bill Cohen, and he's saying, I tell you what, Geraldo, I just think we ought to be over there helping them.
[01:23:27.754 --> 01:23:36.581]  It's despicable that Obama's trying to stop us from freeing these people, that we're not giving support to these great Iranians, that he's saying every other day.
[01:23:36.601 --> 01:23:38.962]  He wants to turn into a glass parking lot, but suddenly he loves them.
[01:23:39.663 --> 01:23:43.146]  And suddenly, you know, they're all for police brutality here, but oh my gosh, they're doing it over there.
[01:23:43.166 --> 01:23:43.566]  It's bad.
[01:23:45.123 --> 01:23:46.804]  And think of how that PSYOP works.
[01:23:46.884 --> 01:23:48.684]  They're funding the whole thing on record.
[01:23:48.704 --> 01:23:50.525]  They're staging the whole thing on record.
[01:23:50.985 --> 01:23:52.886]  They're lying and twisting everything.
[01:23:53.166 --> 01:24:04.069]  He knows that, and there he is lying to the American people, with pleasure, knowing it's all a lie, saying, we ought to be supporting him, Obama isn't supporting him, which gives Obama left cover.
[01:24:04.669 --> 01:24:04.869]  See?
[01:24:05.109 --> 01:24:12.772]  Oh, now the left will be, oh, see, he's an anti-war guy, and the right wing will hate Barack Obama, and that reinforces the controlled Republican Party.
[01:24:14.145 --> 01:24:20.208]  And all these CIA operatives, and that's what Bill Cohen is, he admits he's worked with them in Beirut and other places, and Mossad.
[01:24:22.328 --> 01:24:33.273]  That's, it's all about reaffirming that false left-right paradigm and giving Obama left cover when it was the big New Brzezinski's running this entire operation as his national security advisor's top advisor.
[01:24:34.036 --> 01:24:37.118]  So he's like the supervisor over his National Security Advisor.
[01:24:37.398 --> 01:24:38.779]  He's the real power behind the throne.
[01:24:39.079 --> 01:24:43.483]  And we predicted all of this in the Obama deception, in all the interviews I have for the second film coming out soon.
[01:24:43.783 --> 01:24:44.864]  It's all about this already.
[01:24:44.884 --> 01:24:46.425]  We're already predicting this film.
[01:24:47.505 --> 01:24:48.346]  What's now happening?
[01:24:48.386 --> 01:24:49.207]  It's just incredible.
[01:24:49.547 --> 01:24:57.232]  So, the issue here that I'm trying to get to is, it made me think of Lieutenant Colonel Bill Cohen.
[01:24:59.394 --> 01:24:59.734]  Because,
[01:25:01.022 --> 01:25:17.627]  I remember Rumsfeld in 2002 and Bush going, we're taking off the gloves and the torture memos, ordering the torture, and how they were waterboarding them and bragging on Fox News, how they were stopping their hearts with medical devices and torturing them, much worse than waterboarding, and how they were getting fake confessions.
[01:25:17.667 --> 01:25:26.430]  And Khalid Sheikh Mohammed, supposed number two in Al-Qaeda, they got him to confess to bombing buildings that weren't built until four years after he was in jail.
[01:25:27.412 --> 01:25:34.698]  So six years of being waterboarded, they admit, hundreds of times, two times a day for almost six years.
[01:25:35.278 --> 01:25:44.125]  Khalid Sheikh Mohammed confessed to everything but killing Kennedy, killing, you know, sinking the Lusitania, the Titanic, crucifying Jesus.
[01:25:44.205 --> 01:25:47.688]  I mean, he, and they put out on the news he'd done this.
[01:25:48.188 --> 01:25:50.790]  He had bombed buildings that didn't exist when he was arrested.
[01:25:51.519 --> 01:25:55.962]  And they admitted that they threatened his family, that was in the news, that they tortured his kids.
[01:25:56.282 --> 01:26:04.308]  The Washington Post bragged and said, yeah, they tortured him for years, he wouldn't say he did it, so they got his kids in there and started doing it, and he said, fine, I'll say whatever you want.
[01:26:04.888 --> 01:26:08.051]  Totally made up, he was clearly a CIA operative they were setting up.
[01:26:08.591 --> 01:26:16.036]  So, Lieutenant Colonel Bill Cohen, shelling at a conference, a news conference, and then making the joke about, is this on record?
[01:26:16.116 --> 01:26:18.478]  Oh, I don't care if it is, when he knew it was a press conference.
[01:26:19.619 --> 01:26:29.004]  This is Lieutenant Colonel Bill Cohen at a press conference in Los Angeles bragging and selling, oh, I'm not for waterboarding, I'm from electricity, but only if it saves our troops.
[01:26:29.304 --> 01:26:34.547]  When you know it's only good for fake confessions and only good for tyranny and terror over the people.
[01:26:35.047 --> 01:26:36.908]  It's so sick, but it gets worse.
[01:26:37.769 --> 01:26:38.609]  You can pull this up.
[01:26:38.629 --> 01:26:40.270]  This has been in the Associated Press.
[01:26:40.690 --> 01:26:44.432]  They have arrested dozens and dozens of people.
[01:26:45.113 --> 01:26:47.414]  It's got to be over 30 or 40 that I've seen in the news alone.
[01:26:48.976 --> 01:26:59.922]  At Bagram Air Base in Afghanistan, places like that, and Iraq, because it'll come out that they tortured somebody or they sodomized them with large objects dripping with battery acid.
[01:26:59.942 --> 01:27:01.063]  That's in the Army's own report.
[01:27:01.583 --> 01:27:03.484]  And so Bush and them said, we didn't order that!
[01:27:03.785 --> 01:27:04.485]  Arrest them!
[01:27:04.585 --> 01:27:09.908]  And then they send these people who followed orders to prison, and guess how they keep them from blowing the whistle?
[01:27:09.928 --> 01:27:11.329]  In fact, you can Google this.
[01:27:11.369 --> 01:27:12.029]  Google this, guys.
[01:27:13.770 --> 01:27:14.671]  Torture guard
[01:27:15.550 --> 01:27:16.952]  Silenced under Patriot Act.
[01:27:17.252 --> 01:27:27.782]  They use anti-terror rules on the torturers that followed orders to shut them up so Bush and Rumsfeld and Gonzales and all these sickos won't go to prison.
[01:27:28.683 --> 01:27:38.773]  And so they sent a whole bunch of these people to prison that followed orders, the White House orders are now public, and then the White House says they never ordered torture, and then last year
[01:27:39.850 --> 01:27:40.971]  This is just late last year, 2008.
[01:27:42.872 --> 01:27:46.954]  Lieutenant Colonel Bill Cohen goes on TV and brags that he tortures people.
[01:27:47.334 --> 01:27:51.616]  So, they're allowed to brag they're torturing people, then they send their own patsies to jail.
[01:27:52.636 --> 01:27:55.017]  I mean, that's who you work for, CIA.
[01:27:55.258 --> 01:27:57.639]  I hear the CIA ads recruiting for domestic operations.
[01:27:57.859 --> 01:27:58.979]  Listen, you dumb kids.
[01:27:59.180 --> 01:28:00.340]  They're going to set you up.
[01:28:00.620 --> 01:28:01.861]  They're all into lying to you.
[01:28:01.881 --> 01:28:03.141]  They work for offshore banks.
[01:28:03.362 --> 01:28:04.682]  They want to destroy this country.
[01:28:05.323 --> 01:28:06.123]  Go ahead and play the clip.
[01:28:06.849 --> 01:28:08.931]  Everything I say here or not is on the record.
[01:28:08.991 --> 01:28:09.611]  I hope it is.
[01:28:09.711 --> 01:28:10.151]  It always is.
[01:28:10.212 --> 01:28:15.115]  I'd like to go on the record as saying we've talked about torture here last night and this morning.
[01:28:15.135 --> 01:28:16.696]  I do not like waterboarding.
[01:28:17.657 --> 01:28:18.858]  I do not like waterboarding.
[01:28:19.358 --> 01:28:20.439]  I prefer electricity.
[01:28:20.459 --> 01:28:24.822]  Yeah, little kids getting raped.
[01:28:24.862 --> 01:28:25.343]  Real funny.
[01:28:25.363 --> 01:28:31.327]  I stand by that statement and it concerns me quite a bit that John McCain is already seated
[01:28:32.305 --> 01:28:34.827]  Uh, interrogation techniques to certain people.
[01:28:34.907 --> 01:28:40.650]  I would never, for a moment, use harsh techniques, and I have used them, on just anybody.
[01:28:40.870 --> 01:28:43.012]  But, you know, sometimes there are certain people.
[01:28:43.052 --> 01:28:43.372]  Yeah.
[01:28:43.432 --> 01:28:44.893]  Khalid Sheikh Mohammed.
[01:28:45.033 --> 01:28:45.874]  Khalid Sheikh Mohammed.
[01:28:45.914 --> 01:28:46.894]  That's enough from the punk.
[01:28:46.954 --> 01:28:47.354]  That's enough.
[01:28:47.655 --> 01:28:49.136]  Like his kids got tortured?
[01:28:49.156 --> 01:28:49.836]  You mean like him?
[01:28:50.797 --> 01:28:52.297]  They take your soul, folks.
[01:28:52.658 --> 01:28:53.658]  He is selling you.
[01:28:53.678 --> 01:28:54.859]  He's all in deception.
[01:28:54.899 --> 01:28:57.941]  They all sit around laughing how they manipulate and deceive people.
[01:28:58.476 --> 01:29:04.399]  Like he went on the news last night and said, I wish we were supporting the overthrow of Iran right now, when he knows the whole thing's being run.
[01:29:06.800 --> 01:29:08.641]  They'll take your farm and ranch too, folks!
[01:29:08.941 --> 01:29:12.122]  If they'll kill a million three hundred thousand Iraqis, they'll kill you dead in a hammer!
[01:29:12.763 --> 01:29:16.364]  And they're building a giant force of sickos like him, that are ready to do it!
[01:29:16.745 --> 01:29:24.208]  Well, I'm a real red-blooded American, and I'm not part of torturing kids, you son of a... Listen to me, we're gonna beat you people, and we're not scared of you!
[01:29:25.309 --> 01:29:26.029]  Sicko filth!
[01:29:34.873 --> 01:29:35.753]  Spring is here.
[01:29:36.013 --> 01:29:36.793]  Growing season.
[01:29:36.973 --> 01:29:38.954]  The economy is not getting any better.
[01:29:39.154 --> 01:29:40.554]  In fact, it's getting worse.
[01:29:40.874 --> 01:29:41.534]  Think about it.
[01:29:41.854 --> 01:29:45.695]  At this rate, how will your life be in a month or even a year?
[01:29:45.935 --> 01:29:49.396]  Maybe you've been putting things off, but the time to act is now.
[01:29:49.616 --> 01:29:52.197]  You need to get your seeds before it's too late.
[01:29:52.457 --> 01:30:04.319]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[01:30:04.659 --> 01:30:05.360]  And the best part?
[01:30:05.400 --> 01:30:06.560]  All orders ship within 24 hours.
[01:30:06.580 --> 01:30:08.041]  So head over to OrganicaSeed.com.
[01:30:08.261 --> 01:30:10.283]  That's O-R-G-A-N-I-C-A Seed dot com.
[01:30:10.343 --> 01:30:11.163]  OrganicaSeed.com today.
[01:30:34.542 --> 01:30:38.343]  You don't have to be in the military to enjoy military surplus savings.
[01:30:38.683 --> 01:30:44.484]  Right now at MaineMilitary.com, you'll find savings on the top must-have military supplies.
[01:30:44.844 --> 01:30:46.424]  M10 gas masks for $12 or 3 for $30.
[01:30:46.485 --> 01:30:47.905]  Gas mask hoods, $4 or 3 for $10.
[01:30:48.445 --> 01:30:49.445]  Mask filters, $6 or 3 for $15.
[01:30:49.485 --> 01:30:51.045]  Save big on British chemical suits, only $12.
[01:30:51.085 --> 01:30:51.486]  Israeli gas masks, $20.
[01:30:58.567 --> 01:31:01.970]  Trigger Finger Gloves, $5 a pair or $36 a dozen.
[01:31:02.210 --> 01:31:06.573]  Snowshoe Binding for $8 or $48 a dozen and so much more.
[01:31:06.853 --> 01:31:10.276]  Even hard to find surplus items, all at surplus prices.
[01:31:10.556 --> 01:31:15.320]  Preparing the whole family has never been so affordable at MainMilitary.com.
[01:31:15.620 --> 01:31:20.064]  MainMilitary.com, one of the last surviving true surplus stores in the country.
[01:31:20.424 --> 01:31:25.806]  Shop now at MAINEMILITARY.COM or call 877-608-0179.
[01:31:26.546 --> 01:31:32.487]  That's 877-608-0179 today.
[01:31:33.248 --> 01:31:35.448]  This is Alex Jones for American Tax Settlement.
[01:31:35.608 --> 01:31:44.691]  We have received news the IRS is currently accepting reduced settlements on back taxes and millions of consumers may be eligible for this reduction to save thousands of dollars.
[01:31:45.111 --> 01:31:52.938]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[01:31:53.118 --> 01:32:01.325]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800-506-5904.
[01:32:02.526 --> 01:32:07.191]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[01:32:07.591 --> 01:32:12.195]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[01:32:12.435 --> 01:32:21.120]  American Tax Settlement specializes in negotiating with the IRS on your behalf, keeping the IRS off your back, and saving consumers millions of dollars.
[01:32:21.501 --> 01:32:25.863]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[01:32:25.983 --> 01:32:29.725]  That's 1-800-506-5904.
[01:32:31.947 --> 01:32:32.547]  Call today.
[01:32:32.907 --> 01:32:38.911]  We are surrounded by harmful indoor air that can easily deliver many harmful toxins straight into our bodies.
[01:32:39.151 --> 01:32:39.952]  Take a deep breath.
[01:32:40.912 --> 01:32:47.197]  Can you actually feel the airborne influenza, viruses, mold, bacteria, and dangerous ozone entering your lungs?
[01:32:47.437 --> 01:32:48.478]  Have a glass of water.
[01:32:48.978 --> 01:32:54.302]  Can you taste the harmful chlorine, fluoride, lead, pharmaceutical drugs, and numerous other chemicals?
[01:32:54.642 --> 01:32:55.423]  Of course you can't.
[01:32:55.683 --> 01:33:00.526]  The air that you breathe and the water you drink should help maintain good health, not take away from it.
[01:33:00.846 --> 01:33:09.092]  AirAndAqua.com knows exactly what doesn't belong in our air and water, and they know exactly how to help you rid your home or office of these toxins.
[01:33:09.392 --> 01:33:16.757]  AirAndAqua.com carries whole house air and water purification systems, air conditioners, shower head filters, water testing kits,
[01:33:17.037 --> 01:33:21.160]  Atmospheric water generators, humidifiers, dehumidifiers, and much more.
[01:33:21.360 --> 01:33:28.165]  To learn more and see the products that will change the way you look at our air and water, please visit airandaqua.com.
[01:33:28.285 --> 01:33:30.387]  That's airandaqua.com.
[01:33:30.487 --> 01:33:31.988]  Purify your life today!
[01:33:32.008 --> 01:33:36.191]  You're listening to GCN.
[01:33:37.752 --> 01:33:40.194]  The Genesis Communication Radio Network.
[01:33:46.594 --> 01:33:48.116]  I normally take more phone calls.
[01:33:48.216 --> 01:33:49.077]  I apologize.
[01:33:49.177 --> 01:33:52.420]  There's just so much news I was covering, and Dr. Paul Craig Roberts joining us.
[01:33:52.720 --> 01:33:54.923]  The toll-free number to join us now is 877-590-5525.
[01:33:57.045 --> 01:33:58.226]  All over the country, 877-590-5525.
[01:33:58.246 --> 01:34:06.014]  And if you're listening to us out of the flagship station we transmit and syndicate out of, NewsRadio 590K LBJ, it's 836-0590.
[01:34:10.340 --> 01:34:14.662]  In a moment I'm going to get into one of the biggest federal land grabs, if not the biggest ever.
[01:34:15.162 --> 01:34:17.183]  And I read the bill, I can't believe I'm in America.
[01:34:17.203 --> 01:34:20.085]  And I'm Alex Jones, I expect all of this.
[01:34:20.505 --> 01:34:29.469]  And then the Federal Reserve, offshore owned, is announcing it's taking over the entire country, all businesses, no Bill of Rights, no Constitution, makes the Patriot Act look like heaven.
[01:34:30.629 --> 01:34:36.712]  I'm going to recap that and then go to your calls, but I wanted to bring up Sarah Hudeberg because I forget the news we cover how bad it is.
[01:34:37.116 --> 01:34:41.839]  A week and a half, two weeks ago, a caller calls and he goes, have you seen the Clean Water Restoration Act, 787?
[01:34:42.059 --> 01:34:42.700]  And I go, no.
[01:34:43.240 --> 01:34:46.222]  I pull it up, it says a puddle, rainwater, anything.
[01:34:46.242 --> 01:34:48.724]  The feds own your property, they can shut it down, they can take it.
[01:34:49.164 --> 01:34:52.286]  Worse than the animal ID, worse than the premises ID for takeover.
[01:34:53.704 --> 01:34:56.188]  I read it and it says no warrants, come on your property.
[01:34:56.208 --> 01:34:57.630]  They're going to set up new divisions.
[01:34:57.670 --> 01:34:59.793]  This is the way the Green Corps is going to get on your property.
[01:34:59.813 --> 01:35:04.861]  And the New York Times reported Thursday that they're hiring felons for Obama's Green Corps.
[01:35:05.162 --> 01:35:05.582]  Felons!
[01:35:05.622 --> 01:35:07.165]  Look, you can't make this up.
[01:35:07.325 --> 01:35:09.268]  Felons are coming to your ranch and farm.
[01:35:10.149 --> 01:35:15.270]  I was looking at, like, five acres out in the hill country on a creek and thinking, oh, can I get that place to run to with my family?
[01:35:15.530 --> 01:35:16.150]  Now it won't matter!
[01:35:16.170 --> 01:35:20.311]  Little guys with ponytails and machine guns are going to show up and say, lick my boots or you're going to die!
[01:35:20.791 --> 01:35:21.971]  And this isn't a joke!
[01:35:22.411 --> 01:35:23.751]  Text of S.
[01:35:24.112 --> 01:35:27.592]  787 Clean Water Restoration Act, and some folks in the state are upset.
[01:35:27.652 --> 01:35:28.352]  I've read about this.
[01:35:28.372 --> 01:35:31.033]  Again, this is Texas fighting, and other states, I guess, aren't.
[01:35:32.313 --> 01:35:35.854]  I know that Sarah Hudeberg, a reporter here at NewsRadio 590K LBJ, also
[01:35:39.298 --> 01:35:44.499]  I have some clips of some of the Cattlemen Association groups, but this is a show all over the nation.
[01:35:44.780 --> 01:35:53.182]  Please fight S-787, because this sucker has passed out a committee going to the full Senate, and they're saying they've got the votes for this.
[01:35:53.322 --> 01:35:55.843]  I mean, again, total takeover.
[01:35:55.883 --> 01:35:57.423]  Sarah Huteberg, tell us what's going on.
[01:35:57.743 --> 01:36:07.326]  Hey Alex, yes, the bill, it already made it out of the Senate committee, and as you already said, it gives the federal government authority over all water in the United States, even on privately owned land.
[01:36:07.947 --> 01:36:10.091]  And KLBJ talked to Jason Skaggs.
[01:36:10.131 --> 01:36:13.316]  He's with the Texas and Southwestern Cattle Raisers Association.
[01:36:13.357 --> 01:36:15.781]  I'm just gonna go ahead and play a sound clip of him right now.
[01:36:16.738 --> 01:36:28.742]  Essentially this bill would make every stock tank, every creek, puddle, stream, any kind of water body in the state of Texas would be under the jurisdiction of the EPA and the Army Corps of Engineers.
