[00:00:14.116 --> 00:00:15.816]  There is a war.
[03:20:44.139 --> 03:20:46.321]  Their argument is, being wealthy hurts the earth.
[03:20:46.321 --> 03:20:46.961]  No!
[03:20:46.961 --> 03:20:50.543]  We just create clean versions of it, which they're suppressing.
[03:20:50.543 --> 03:20:55.027]  Ian Mack is about to drum up the balance of the hour, looking at their counterstrike against all this.
[03:20:55.027 --> 03:20:56.207]  I was there.
[03:20:56.207 --> 03:21:02.572]  But first, let's finish up with President Trump's speech, where he's breaking down, unlocking the secrets of the universe, which I can tell you...
[03:21:03.857 --> 03:21:10.682]  My father at UT, in high school, in the Plan 2 program, in the mid-60s they had CD-ROMs and computers.
[03:21:10.682 --> 03:21:12.423]  We didn't see till the 80s.
[03:21:12.423 --> 03:21:15.125]  They have suppressed technology 30 years behind.
[03:21:15.125 --> 03:21:16.386]  Trump knows it.
[03:21:16.386 --> 03:21:17.908]  He wants it rolled out to the public.
[03:21:17.908 --> 03:21:19.729]  This is the biggest issue.
[03:21:19.729 --> 03:21:22.831]  You want disclosure about all the secret technologies, the rest of it?
[03:21:22.831 --> 03:21:25.133]  They admit they're suppressing AI, you name it.
[03:21:25.133 --> 03:21:27.775]  You want a pro-human world and future?
[03:21:27.775 --> 03:21:28.796]  Donald Trump!
[03:21:28.796 --> 03:21:29.436]  Let me explain something.
[03:21:29.436 --> 03:21:30.337]  People ask, is Trump real?
[03:21:31.357 --> 03:21:33.919]  Seeing this destroys the enemy.
[03:21:33.919 --> 03:21:38.543]  The entire globalist program is against Trump right now and is in death throes.
[03:21:38.543 --> 03:21:40.665]  They're panicking everywhere.
[03:21:40.665 --> 03:21:42.807]  He got a standing ovation at the CIA.
[03:21:42.807 --> 03:21:45.129]  CNN said the CIA hated him.
[03:21:45.129 --> 03:21:49.793]  They said nobody showed up and showed a shot of the morning early before the gates opened.
[03:21:49.793 --> 03:21:52.715]  They said he took Martin Luther King's bust out and threw it in the street.
[03:21:52.715 --> 03:21:54.357]  It was right there.
[03:21:54.357 --> 03:21:55.798]  They are freaking out.
[03:21:55.798 --> 03:21:58.000]  I'll talk to Leigh Ann in a moment, but here's the conclusion.
[03:21:58.902 --> 03:22:00.945]  That it cannot be done.
[03:22:00.945 --> 03:22:06.533]  No challenge can match the heart and fight and spirit of America.
[03:22:06.533 --> 03:22:08.515]  We will not fail.
[03:22:08.515 --> 03:22:11.339]  Our country will thrive and prosper again.
[03:22:13.431 --> 03:22:29.732]  We stand at the birth of a new millennium, ready to unlock the mysteries of space, to free the Earth from the miseries of disease, and to harness the energies, industries, and technologies of tomorrow.
[03:22:30.613 --> 03:22:38.260]  A new national pride will stir our souls, lift our sights, and heal our divisions.
[03:22:38.260 --> 03:22:42.924]  It's time to remember that old wisdom our soldiers will never forget.
[03:22:42.924 --> 03:22:52.632]  That whether we are black or brown or white, we all bleed the same red blood of patriots.
[03:22:59.190 --> 03:23:07.058]  We all enjoy the same glorious freedoms, and we all salute the same great American flag.
[03:23:12.395 --> 03:23:32.913]  And whether a child is born in the urban sprawl of Detroit or the windswept plains of Nebraska, they look up at the same night sky, they fill their heart with the same dreams, and they are infused with the breath of life by the same almighty creator.
[03:23:34.614 --> 03:23:37.457]  You know, Billy Corgan was smashing promises a couple years ago.
[03:23:37.457 --> 03:23:41.000]  He said, Alex, the key of what you do is you talk about looking up to the night sky, coming together as humans.
[03:23:55.788 --> 03:23:57.889]  Again, you say, oh, that's just hype.
[03:23:57.889 --> 03:24:00.249]  No, he's saying you little people have the power.
[03:24:00.249 --> 03:24:01.170]  You're powerful.
[03:24:01.170 --> 03:24:02.690]  Demand action.
[03:24:02.690 --> 03:24:03.630]  Demand the truth.
[03:24:03.630 --> 03:24:08.372]  It's like Bannon said, keep us honest, stay on us, help us, spur us.
[03:24:08.372 --> 03:24:09.872]  And he's saying you have the power.
[03:24:09.872 --> 03:24:11.693]  Everything else is about, oh, you need us to be powerful.
[03:24:11.693 --> 03:24:13.333]  No, no, you come first.
[03:24:13.333 --> 03:24:15.934]  You are what dictates the destiny.
[03:24:15.934 --> 03:24:17.295]  All of us together.
[03:24:17.295 --> 03:24:18.255]  Let's finish the speech.
[03:24:22.702 --> 03:24:31.048]  Your voice, your hopes, and your dreams will define our American destiny.
[03:24:31.048 --> 03:24:36.272]  And your courage and goodness and love will forever guide us along the way.
[03:24:36.272 --> 03:24:37.253]  Pause again.
[03:24:37.253 --> 03:24:39.754]  To get- Back in five seconds.
[03:24:39.754 --> 03:24:41.936]  What did I say in that promo video we've been running for two weeks?
[03:24:41.936 --> 03:24:49.562]  I said, this is American destiny and we must take it, but we have to be good, we have to be loving, we have to come together racially, culturally, we have to do this.
[03:24:50.589 --> 03:24:52.951]  We are the power and notice Trump saying it.
[03:24:52.951 --> 03:24:53.872]  He didn't get it from me.
[03:24:53.872 --> 03:24:55.193]  It's the truth.
[03:24:55.193 --> 03:24:59.737]  This is the true spirit of humanity that America was the greatest example of.
[03:24:59.737 --> 03:25:03.760]  And that's why the enemies and controllers are now making a joke out of themselves.
[03:25:03.760 --> 03:25:06.883]  Let's finish.
[03:25:06.883 --> 03:25:11.787]  And your courage and goodness and love will forever guide us along the way.
[03:25:13.083 --> 03:25:17.547]  Together, we will make America strong again.
[03:25:17.547 --> 03:25:20.710]  We will make America wealthy again.
[03:25:20.710 --> 03:25:23.413]  We will make America proud again.
[03:25:23.413 --> 03:25:26.956]  We will make America safe again.
[03:25:26.956 --> 03:25:32.622]  And yes, together, we will make America great again.
[03:25:32.622 --> 03:25:37.006]  Thank you, God bless you, and God bless America.
[03:25:39.295 --> 03:25:44.502]  And you understand the entire Globalist program is about making individuals disempowered, dependent.
[03:25:44.502 --> 03:25:46.425]  He's saying, no, you're the power.
[03:25:46.425 --> 03:25:47.446]  We're going to empower you.
[03:25:47.446 --> 03:25:48.467]  You're going to empower us.
[03:25:49.798 --> 03:25:54.539]  There's no way he's not real, because this message is like sunlight to vampires.
[03:25:54.539 --> 03:25:56.980]  This is the antithesis of the New World Order.
[03:25:56.980 --> 03:25:59.180]  Leanne, we're going to cover all this coming back.
[03:25:59.180 --> 03:26:03.502]  Your view as a woman of the supposed Million Woman March, which got damn close to it.
[03:26:03.502 --> 03:26:04.562]  I was there yesterday.
[03:26:04.562 --> 03:26:08.763]  And what they were saying and doing, I mean, they were so evil and horrible, it was like cartoonish.
[03:26:09.443 --> 03:26:17.710]  What was happening, but I want to show how the CIA runs it and Soros and the Muslims, a Muslim group literally was running it that would put you in a dungeon?
[03:26:17.710 --> 03:26:20.953]  I mean, this is a Sharia law advocate.
[03:26:20.953 --> 03:26:21.874]  One of the top ones.
[03:26:21.874 --> 03:26:23.655]  But overall, I don't know your view.
[03:26:23.655 --> 03:26:26.558]  I haven't talked to you since you got here 10 minutes ago at the studio.
[03:26:26.558 --> 03:26:28.019]  But I mean, what is your view of what you saw?
[03:26:28.973 --> 03:26:34.199]  Well, you know, for me, I think obviously protesting is kind of a cornerstone of our republic.
[03:26:34.199 --> 03:26:36.702]  So I'm like, fine, go out there, do what you need to do.
[03:26:36.702 --> 03:26:40.746]  I feel truly like we are living in a dual reality with these people.
[03:26:40.746 --> 03:26:44.851]  Truly, the dimensions have split and we are superimposed on top of them because
[03:26:45.712 --> 03:26:49.414]  We could listen to Donald Trump's speech and say, wow, incredible.
[03:26:49.414 --> 03:26:52.836]  This is- All about unity.
[03:26:52.836 --> 03:26:54.177]  We the people have the power back.
[03:26:54.177 --> 03:26:57.018]  He's even getting white supremacists to stop being racist right now.
[03:26:57.018 --> 03:26:57.298]  Right.
[03:26:57.298 --> 03:26:59.420]  I mean, he's like, really, this is real.
[03:26:59.420 --> 03:27:00.260]  Yeah.
[03:27:00.260 --> 03:27:10.926]  I mean, let's walk it back a few months when he had the standing ovation at the RNC when he brought up gay people and said, look, it's time for the RNC- Let's all love each other, the Republicans are all-
[03:27:13.047 --> 03:27:14.429]  Hillary would even mention it!
[03:27:28.112 --> 03:27:33.137]  And I think I'm going to have to switch to the YMCA because they have banned CNN from being played at their gym.
[03:27:33.137 --> 03:27:42.887]  But CNN was on and they had the picture up side by side, the fake news photo with a, you know, 8.30 in the morning when they took the photo of the crowd and said, look, here's the inauguration.
[03:27:42.887 --> 03:27:43.127]  Oh, I know.
[03:27:43.127 --> 03:27:44.889]  They're celebrating that no one showed up.
[03:27:44.889 --> 03:27:47.011]  They were beating people up so they couldn't get in.
[03:27:47.011 --> 03:27:48.073]  It's total fake news.
[03:27:48.073 --> 03:27:49.294]  I was personally punched repeatedly.
[03:27:49.654 --> 03:27:55.078]  Yeah, and even CNN, they have a... I couldn't get in at like 9, I had to go like 4 miles around.
[03:27:55.078 --> 03:27:57.239]  I got attacked there, couldn't get in.
[03:27:57.239 --> 03:27:58.320]  Everybody was on video live.
[03:27:58.320 --> 03:28:02.883]  I had to go like, so I barely got in, didn't even get my seats like right up at the front.
[03:28:02.883 --> 03:28:11.888]  Right, well they would have 40 people across, 6 rows deep, blocking people off with like a human chain saying, this entry is blocked, this entry is blocked.
[03:28:11.888 --> 03:28:14.590]  And the weird thing is it was Black Lives Matter, they were almost all white.
[03:28:14.590 --> 03:28:17.312]  They'd punch me and say, you're a white male, F you.
[03:28:17.312 --> 03:28:17.672]  Right.
[03:28:17.672 --> 03:28:18.833]  And it was so racist.
[03:28:19.173 --> 03:28:26.299]  Right, well, and then also too, I was seeing tons of signs at the Women's March, you know, posted all over social media about how white women voted for Trump.
[03:28:26.299 --> 03:28:28.500]  Don't forget, it's white women's fault.
[03:28:28.500 --> 03:28:33.825]  You know, and then you have these conservative, pro-life women who wanted to be a part of the march and they were excluded from it.
[03:28:33.825 --> 03:28:36.226]  This isn't about women and equality and Women's March.
[03:28:36.226 --> 03:28:43.972]  This is a total... Well, I want to get your view on this because, I mean, I gotta say, they were so comically evil, hateful, and the men were the most beta,
[03:28:45.033 --> 03:28:52.037]  Like zombies, like reanimated corpses, like 85 pounds, stumbling around huge black circles, drooling.
[03:28:52.037 --> 03:28:52.778]  No, I'm serious.
[03:28:52.778 --> 03:28:53.819]  Something sucked your soul.
[03:28:53.819 --> 03:28:56.380]  Are you happy washing your hands with harsh chemicals?
[03:28:56.380 --> 03:28:58.521]  Are you happy doing laundry with detergents?
[03:28:58.521 --> 03:29:00.503]  Are you happy paying high prices?
[03:29:00.503 --> 03:29:02.564]  Find your happiness with Pure Soap.
[03:29:02.564 --> 03:29:07.427]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[03:29:07.427 --> 03:29:08.307]  Buy in bulk.
[03:29:08.307 --> 03:29:09.308]  Get a 12-, 36- or 48-month supply.
[03:29:11.209 --> 03:29:13.932]  Or get items individually and still save big.
[03:29:13.932 --> 03:29:17.215]  You're getting soap products twice as good as what you're using now.
[03:29:17.215 --> 03:29:19.478]  Earth friendly and natural soaps.
[03:29:19.478 --> 03:29:21.260]  Your family deserves the best.
[03:29:21.260 --> 03:29:23.922]  Happiness is 5starsoap.com.
[03:29:23.922 --> 03:29:26.685]  Why not put your money up the drain for a change?
[03:29:26.685 --> 03:29:29.228]  See them at 5starsoap.com or call
[03:29:29.608 --> 03:29:33.029]  Call 1-800-340-7091 for a catalog.
[03:29:33.029 --> 03:29:40.232]  Cal Bend Soap Company can save you thousands of dollars and give you good, old-fashioned, real soaps that are triple concentrated.
[03:29:40.232 --> 03:29:42.713]  Soaps made from vegetable and coconut oils.
[03:29:42.713 --> 03:29:46.374]  See their full selection of soaps at 5starsoap.com.
[03:29:46.374 --> 03:29:48.475]  That's F-I-V-E, starsoap.com.
[03:29:48.475 --> 03:29:49.556]  Or call 1-800-340-7091 for a catalog.
[03:29:54.676 --> 03:29:57.639]  Top scientists and researchers agree.
[03:29:57.639 --> 03:30:06.787]  We are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[03:30:06.787 --> 03:30:08.148]  So what do we do about it?
[03:30:08.148 --> 03:30:11.291]  Well, for starters, don't just sit there and take it.
[03:30:11.471 --> 03:30:19.216]  Fight back with the all-new supercharged BrainForce Plus and feel the rush without the crash.
[03:30:19.216 --> 03:30:25.481]  BrainForce Plus is the next generation of advanced neural activation and nootropics.
[03:30:25.481 --> 03:30:33.386]  And now we've added a brand new ingredient called Black Pepper Fruit Extract that gives you an added kick.
[03:30:34.226 --> 03:30:46.955]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[03:30:46.955 --> 03:30:48.276]  It's the real deal.
[03:30:48.276 --> 03:30:50.018]  Brain Force Plus.
[03:30:50.018 --> 03:30:53.380]  Secure your bottle right now at InfoWarsStore.com
[03:30:55.467 --> 03:31:00.152]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[03:31:00.152 --> 03:31:10.582]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[03:31:11.463 --> 03:31:16.286]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[03:31:16.286 --> 03:31:24.672]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[03:31:24.672 --> 03:31:32.417]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[03:31:32.417 --> 03:31:34.358]  Wake up refreshed and take on the day.
[03:31:34.838 --> 03:31:42.323]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[03:31:42.323 --> 03:31:46.446]  Get the sleep you deserve and experience the power of knockout.
[03:31:46.446 --> 03:31:50.828]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[03:31:50.828 --> 03:31:52.249]  That's InfoWarsLife.com
[03:31:55.205 --> 03:31:56.005]  I'm so excited.
[03:31:56.005 --> 03:32:06.147]  The new product at Infowarslife.com, in a glass bottle, two month servings, filled to the brim, filled to the absolute top, the real red pill.
[03:32:06.147 --> 03:32:14.649]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it, but boy does it stimulate, because it's beyond that.
[03:32:14.649 --> 03:32:23.431]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[03:32:25.523 --> 03:32:45.129]  For the formulae, and I came up with our own formula, working with some scientists and developers, non-GMO, made right here in America, 120 capsules, and ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[03:32:45.129 --> 03:32:47.790]  It is amazing!
[03:32:47.790 --> 03:32:52.772]  Red Pill, now available at InfoWarsStore.com, and your purchase funds the operation.
[03:32:57.743 --> 03:33:07.030]  You're listening to the Alex Jones Show.
[03:33:07.030 --> 03:33:09.111]  We are on the march.
[03:33:09.111 --> 03:33:11.973]  The Empire is on the run.
[03:33:11.973 --> 03:33:15.776]  Alex Jones and the GCN Radio Network.
[03:33:15.776 --> 03:33:17.437]  I'm waiting.
[03:33:17.437 --> 03:33:19.098]  I'm waiting.
[03:33:24.798 --> 03:33:30.940]  Reflecting on my past life.
[03:33:30.940 --> 03:33:35.021]  Here I am, and let's be honest, we, this show, have changed the world.
[03:33:35.021 --> 03:33:38.182]  And I'm more humble than I was 20 years ago.
[03:33:38.182 --> 03:33:43.024]  And at 5 o'clock, they take me to the gallows pole.
[03:33:43.024 --> 03:33:46.085]  I mean, they're openly saying they want to kill me.
[03:33:46.085 --> 03:33:47.285]  They're saying, shut us down.
[03:33:47.285 --> 03:33:48.526]  I still have love.
[03:33:49.926 --> 03:33:54.289]  For these throngs of people that, they were defeating me not in the way they thought.
[03:33:54.289 --> 03:34:02.434]  As thousands of women, every few minutes went by me, screaming, F you, hope you die, fascist, Nazi.
[03:34:02.434 --> 03:34:05.936]  And I'd try to talk to them, it was all on Facebook Mentions, millions watching.
[03:34:05.936 --> 03:34:08.457]  They wouldn't talk, they just screamed, I was the enemy.
[03:34:08.457 --> 03:34:12.960]  And they'd go, Trump not hate, or hate not Trump, and all this crazy froth.
[03:34:12.960 --> 03:34:16.943]  And I was just like trying to talk, and they wouldn't humanize me, they wouldn't.
[03:34:18.780 --> 03:34:19.441]  Speak to me.
[03:34:19.441 --> 03:34:24.945]  They wouldn't listen to me when the whole corporate world government is against Trump in America.
[03:34:24.945 --> 03:34:31.309]  They couldn't see because they thought MSNBC and ABC was God.
[03:34:31.309 --> 03:34:38.735]  And now I see the mainstream media and the attacks on America and nationalism and a global system that's going to destroy national sovereignty.
[03:34:40.066 --> 03:34:44.708]  Going into high gear, what haven't they learned from their defeats, Leigh-Anne?
[03:34:44.708 --> 03:34:50.991]  Well, it's just surreal watching the media, the mainstream media, is absolutely still trying to delegitimize Trump.
[03:34:50.991 --> 03:34:58.935]  And every single move, once he called them out on that fake photo they were using to pick on his crowd size, that became their whole thing.
[03:34:58.935 --> 03:35:02.457]  And so they're still- They're like, why are you complaining we said no one showed up?
[03:35:02.457 --> 03:35:04.938]  Or they're like, oh, he got rid of Martin Luther King!
[03:35:05.638 --> 03:35:06.939]  They're like, no, I didn't hear it as well.
[03:35:06.939 --> 03:35:08.220]  Just shut up, quit bitching!
[03:35:08.220 --> 03:35:08.921]  Yeah, how dare you?
[03:35:08.921 --> 03:35:10.422]  They hate the fact he calls them.
[03:35:10.422 --> 03:35:11.824]  They go, he's obsessed with himself.
[03:35:11.824 --> 03:35:12.784]  Yeah, the truth.
[03:35:12.784 --> 03:35:14.306]  Every time you lie, he counters you.
[03:35:14.306 --> 03:35:14.766]  Exactly.
[03:35:14.766 --> 03:35:16.368]  He's got more energy than all of you.
[03:35:16.368 --> 03:35:17.328]  They can't stand it.
[03:35:17.328 --> 03:35:18.590]  Let me say, I'm 43.
[03:35:18.590 --> 03:35:20.291]  I got more energy than anybody.
[03:35:20.291 --> 03:35:22.173]  Trump trumps me.
[03:35:22.173 --> 03:35:24.755]  It's not a Trump ass-kissing contest, Leigh-Anne.
[03:35:24.755 --> 03:35:25.736]  It's starting to get spooky.
[03:35:25.976 --> 03:35:46.285]  No, I mean, here's the thing is, when I was at the gym, and CNN was on, and I just saw the picture up there, I didn't even stop to watch it, I just got so angry because I was, in my mind I'm thinking, people only get, there are people out there that... Yeah, in fact, I meant to give this to the crew, if we don't do it today, I'll show it tomorrow, that they showed like 8.30 the shot with no one there, and said, look, no one showed up.
[03:35:46.285 --> 03:35:49.046]  Meanwhile, it was a record crowd of like 1.8 million.
[03:35:49.046 --> 03:35:54.068]  I mean, it's just like, God, I guess we thought they'd be discredited, they go away, no, they're now like,
[03:35:54.488 --> 03:35:55.369]  We're discredited!
[03:35:55.369 --> 03:35:56.990]  Let's just say the moon's made of cheese!
[03:35:56.990 --> 03:36:03.776]  Well, and just to prove that they used a photo from earlier in the morning... Hey guys, just Google, uh, left runs with fake photo.
[03:36:03.776 --> 03:36:04.117]  There it is.
[03:36:04.117 --> 03:36:04.517]  Yeah, yeah, yeah.
[03:36:04.517 --> 03:36:05.418]  That's what they did.
[03:36:05.418 --> 03:36:06.819]  You have the meme.
[03:36:06.819 --> 03:36:09.982]  So, I saw this photo that was out
[03:36:10.442 --> 03:36:11.083]  I don't know.
[03:36:29.025 --> 03:36:40.037]  When their own gigapixel photo that they have shows a huge crowd, but yet they're still going to roll out that picture today and say, Donald Trump says we're lying, but here's the photo proof.
[03:36:40.037 --> 03:36:47.645]  And that's what makes me so angry is that there are people out there that only get their news from CNN and they truly believe this alternate reality.
[03:36:47.785 --> 03:36:57.850]  I was telling these women, they're like, oh, Trump didn't bring jobs back, and I'm like, Chrysler, Ford, Carrier, Foxcom, and they were just like, liar!
[03:36:57.850 --> 03:37:00.011]  And then they go, F you white male!
[03:37:00.011 --> 03:37:02.692]  And it was all white women, and I was like, that's so racist!
[03:37:02.932 --> 03:37:04.333]  Well, then you get back to the real world.
[03:37:04.333 --> 03:37:14.837]  There's actually a video up on the Drudge Report about this woman who was on the plane and she's, you know, flying out of D.C., talks with the person next to her to come here to protest or to celebrate.
[03:37:14.837 --> 03:37:16.738]  And he's, you know, just polite.
[03:37:16.738 --> 03:37:18.759]  So once she finds out he was there to support
[03:37:19.679 --> 03:37:20.980]  Celebrate democracy.
[03:37:20.980 --> 03:37:25.342]  She starts going after him saying, well, I'm entitled to get drunk and puke on your lap.
[03:37:25.342 --> 03:37:26.822]  I'm gonna, you make me sick.
[03:37:26.822 --> 03:37:27.402]  Don't talk to me.
[03:37:27.402 --> 03:37:28.243]  Don't look at me.
[03:37:28.243 --> 03:37:29.543]  Don't even use the armrest.
[03:37:29.543 --> 03:37:29.964]  Move.
[03:37:29.964 --> 03:37:32.805]  I'm going to make, you know, just totally being, you disgust me.
[03:37:32.805 --> 03:37:33.565]  You're a bigot.
[03:37:33.565 --> 03:37:34.426]  Get off this plane.
[03:37:34.426 --> 03:37:41.829]  And he's like, well, ma'am, the very definition of bigotry is disparaging someone prior to knowing them simply by their beliefs and opinions.
[03:37:41.829 --> 03:37:44.110]  And she's like, no, you get out trying to force him off.
[03:37:44.830 --> 03:37:51.552]  And the stewardess shuts her down and says, ma'am, you don't have the right to kick this guy off the plane or to force him to move seats.
[03:37:51.552 --> 03:37:54.572]  And then she ended up kicking this old lady off the plane.
[03:37:54.572 --> 03:37:56.173]  I gotta be honest with you.
[03:37:56.173 --> 03:37:57.453]  That's what I'm saying.
[03:37:57.453 --> 03:37:58.133]  I was there.
[03:37:58.133 --> 03:37:59.653]  I don't know if you saw the live feeds.
[03:37:59.653 --> 03:38:00.533]  Yeah, they would.
[03:38:00.533 --> 03:38:04.374]  I mean, they were just like, we run this world now.
[03:38:04.374 --> 03:38:06.135]  You get off the plane.
[03:38:06.135 --> 03:38:07.935]  It was like I didn't exist.
[03:38:07.935 --> 03:38:09.655]  Yeah, well, see, and that's the thing.
[03:38:09.655 --> 03:38:11.676]  You know, I'm glad that you brought that up because I feel like
[03:38:12.697 --> 03:38:17.181]  We could all be really tempted to attack them in the same way that they are treating us.
[03:38:17.181 --> 03:38:18.242]  No, they're victims.
[03:38:18.242 --> 03:38:20.004]  They're not people to get in a cult.
[03:38:20.004 --> 03:38:21.866]  They're like getting somebody out of a major cult.
[03:38:21.866 --> 03:38:22.407]  Exactly.
[03:38:22.407 --> 03:38:27.211]  I feel like Pence did a great job in the debate when you saw how that was...
[03:38:28.052 --> 03:38:28.412]  I don't know.
[03:38:47.984 --> 03:38:52.289]  What do you think happens as we start restoring prosperity, bringing people together?
[03:38:52.289 --> 03:38:53.250]  What do they do next?
[03:38:53.250 --> 03:38:54.632]  Because they are just hysterical.
[03:38:54.632 --> 03:38:56.434]  How do you resist prosperity?
[03:38:56.434 --> 03:38:57.855]  How do you resist freedom?
[03:38:57.855 --> 03:39:00.859]  That's why I feel like, I hope Donald Trump just kind of lays low.
[03:39:00.859 --> 03:39:01.740]  That's a good bumper sticker.
[03:39:01.740 --> 03:39:02.821]  How do you resist freedom?
[03:39:02.821 --> 03:39:03.722]  I don't want to.
[03:39:04.162 --> 03:39:04.743]  Exactly!
[03:39:04.743 --> 03:39:05.763]  That's the thing.
[03:39:05.763 --> 03:39:08.505]  I really hope Trump... How do you resist your birthright?
[03:39:08.505 --> 03:39:12.248]  How do you resist something so obviously... Because my gut's never wrong.
[03:39:12.248 --> 03:39:12.808]  Right.
[03:39:12.808 --> 03:39:14.950]  And I didn't like Trump before because I thought I liked TV.
[03:39:14.950 --> 03:39:15.830]  And I was like, ugh, Trump.
[03:39:15.830 --> 03:39:17.251]  But my gut says Trump, Trump, Trump.
[03:39:17.251 --> 03:39:17.611]  Exactly.
[03:39:17.611 --> 03:39:18.632]  Everybody's like, why do you like Trump?
[03:39:18.632 --> 03:39:20.133]  I go, my gut says it.
[03:39:20.133 --> 03:39:22.054]  And thank God the last two years I've started to follow my gut.
[03:39:23.442 --> 03:39:24.603]  God, they want to kill him though.
[03:39:24.603 --> 03:39:27.604]  I just, and I hate, I've never admired somebody like this.
[03:39:27.604 --> 03:39:32.366]  It's like, I actually feel embarrassed how much I admire him, but he just keeps doing everything right.
[03:39:32.366 --> 03:39:33.027]  I'm curious.
[03:39:33.027 --> 03:39:35.368]  That was such an inclusive, loving speech.
[03:39:35.368 --> 03:39:44.952]  And we were all wondering, just waiting for them, for the mainstream to get back to their little computers and type up their story, like wondering how are they going to tear his speech apart and make it bad.
[03:39:44.952 --> 03:39:47.394]  And he's an- They said it was ominous and scary.
[03:39:47.394 --> 03:39:48.054]  It was the opposite.
[03:39:48.134 --> 03:39:53.042]  Yeah, someone said, it's reminding me of the ninth... We're going to unlock the diseases and cure people.
[03:39:53.042 --> 03:39:54.023]  Oh, it's so scary.
[03:39:54.023 --> 03:39:56.648]  Yeah, he's reminding me of the anti-Semitic speech.
[03:39:57.950 --> 03:40:01.532]  You know, what speech were you listening to?
[03:40:01.532 --> 03:40:02.733]  That's what I'm saying.
[03:40:02.733 --> 03:40:07.876]  Oh, I love he's anti-Semitic when he wants to move the Israeli U.S.
[03:40:07.876 --> 03:40:09.637]  consulate from Tel Aviv to Jerusalem.
[03:40:09.637 --> 03:40:15.440]  I mean, it's just all made up crap because they know the average liberal doesn't know that Jews were dancing in the streets.
[03:40:15.440 --> 03:40:18.322]  Yeah, when Obama was like the most hostile president to Israel.
[03:40:18.322 --> 03:40:19.723]  I know, it's all upside down.
[03:40:20.023 --> 03:40:22.105]  It's, it's, that's, it's crazy.
[03:40:22.105 --> 03:40:24.627]  Like, we are typically the ones checking the government.
[03:40:24.627 --> 03:40:28.751]  We would typically be there going, oh, Trump making fun of his every move and like checking him and calling.
[03:40:28.751 --> 03:40:29.712]  But it's Wally Wolf!
[03:40:29.712 --> 03:40:32.875]  Spicer comes out and gives a press conference and it's like all true.
[03:40:32.875 --> 03:40:36.318]  And he was like all moral authority and hitting him and being honest.
[03:40:36.318 --> 03:40:37.680]  I was like, what is going on?
[03:40:38.860 --> 03:40:41.221]  We are living in, Lala, it's crazy.
[03:40:41.221 --> 03:40:43.282]  I'm curious how you felt, though, just being out there.
[03:40:43.282 --> 03:40:45.742]  I know you kept kind of breaking down.
[03:40:45.742 --> 03:40:46.643]  We saw you on Life.
[03:40:46.643 --> 03:40:48.343]  I just felt really bad.
[03:40:48.343 --> 03:40:49.504]  20 years, but this was 20 years in your life.
[03:40:49.504 --> 03:40:52.785]  When they would march by and say, F you, F you, you're a racist.
[03:40:52.785 --> 03:40:53.145]  Yeah.
[03:40:53.145 --> 03:40:54.485]  And you hate women when I don't.
[03:40:54.485 --> 03:40:55.305]  Just flipping me off.
[03:40:55.305 --> 03:40:57.526]  It was like a cult.
[03:40:57.526 --> 03:41:00.567]  It was hundreds and hundreds of women an hour going, F you.
[03:41:00.567 --> 03:41:01.727]  I mean, we ran into fans, too.
[03:41:01.727 --> 03:41:03.788]  Every other Trump supporter was an info warrior.
[03:41:03.788 --> 03:41:05.969]  But I would try to say, no, no.
[03:41:07.049 --> 03:41:10.650]  Edward Bernays, the CIA, it would just go, F you.
[03:41:10.650 --> 03:41:15.992]  Oh, well, and then one of the big things they were doing was putting on hijabs to show there's... Oh, I saw that!
[03:41:15.992 --> 03:41:20.693]  It's like, how dare you, you bigot, be against Islam when it totally enslaves women?
[03:41:20.693 --> 03:41:22.454]  And I wasn't even bringing up Islam at first.
[03:41:22.454 --> 03:41:23.554]  It's a symbol of oppression.
[03:41:23.554 --> 03:41:26.815]  It's a symbol of that, you know, when you want to practice Sharia law or whatever.
[03:41:26.815 --> 03:41:28.916]  Leanne, if you want to come to work, we're going to put a bag over your head.
[03:41:28.916 --> 03:41:30.396]  Yeah, it's like, you have to be submissive.
[03:41:30.396 --> 03:41:31.497]  Can you imagine if I would have said those words?
[03:41:31.497 --> 03:41:33.157]  I should do that, like, I have a bag then.
[03:41:33.157 --> 03:41:33.978]  We put this over your head.
