[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[02:51:31.118 --> 02:51:34.619]  Now we are in a place where we have rumble, we have liberated Twitter.
[02:51:35.908 --> 02:51:40.872]  This is a sign of hope, Alex, in a time where we have overwhelming negativity.
[02:51:42.814 --> 02:51:45.356]  Well, Charlie, you're a trillion percent right on that.
[02:51:45.636 --> 02:51:50.240]  And again, this is a process of Musk being attacked, lied about, getting angry.
[02:51:50.680 --> 02:51:53.622]  And he's a guy that's never failed, basically, in anything big.
[02:51:54.103 --> 02:51:57.525]  And so they've got a formidable enemy on their ass.
[02:52:00.177 --> 02:52:00.918]  You're absolutely right.
[02:52:01.698 --> 02:52:08.003]  We would not have any hope in winning the next election despite all the numbers showing Trump's way ahead because the mail-in ballots and the fraud manipulation.
[02:52:08.423 --> 02:52:10.802]   If we don't get a giant Landslide.
[02:52:10.842 --> 02:52:15.664]  Only landslides, all the experts agree, can overwhelm the dead people voting, the people voting out of district.
[02:52:15.684 --> 02:52:22.666]  You know, all the Facebook, $400 million getting a database to give the Democrats so they can produce that fraud.
[02:52:22.706 --> 02:52:32.530]  But they will run out of dead people and illegals to vote at a 10-15 point, depending on whose numbers you look at, landslide by Trump, which is in the cards.
[02:52:33.110 --> 02:52:36.271]  They're going to be defeated, and that's why they're now saying, oh, he's going to be a dictator.
[02:52:36.291 --> 02:52:37.532]  He's going to attack his political enemies.
[02:52:38.352 --> 02:52:39.573]  We need to liquidate this guy.
[02:52:39.593 --> 02:52:40.853]  We need to take this guy out.
[02:52:41.153 --> 02:52:42.374]  This guy needs to be eliminated.
[02:52:42.434 --> 02:52:54.378]  These are quotes, and that's a historical fact that when corrupt bureaucracies and deep states of the past were about to be removed from power, they always move to the assassination technique.
[02:52:54.398 --> 02:52:55.659]  Now, they don't want to make Trump a martyr.
[02:52:56.224 --> 02:53:01.424]   I think poisoning is the number one threat. I told Elon that yesterday and I know his people agree
[02:53:01.424 --> 02:53:07.264]   and they've got protocols in place. So I think the two most endangered men out there, well really
[02:53:07.264 --> 02:53:12.063]   there's I would say three. They can't control Tucker Carlson and I think he's definitely on
[02:53:12.063 --> 02:53:17.903]   the list. I'm just being honest. I've told him that in person. Tucker Carlson and then of course
[02:53:17.903 --> 02:53:23.024]   Trump and Elon. And at a certain point I think they're more threatened by Elon than even Trump
[02:53:23.930 --> 02:53:28.910]   he's a long-term issue they've got to deal with so this is an incredibly
[02:53:28.910 --> 02:53:32.390]   dangerous time to be alive. Well yeah but Alex just the folks on Elon and I want
[02:53:32.390 --> 02:53:37.010]   to keep getting into this throughout the hour. Elon is a creature of the regime
[02:53:37.010 --> 02:53:42.250]   zone making a lot of his wealth is the electric vehicle, green energy, climate
[02:53:43.039 --> 02:53:45.240]  So they propagandize us with the climate change stuff.
[02:53:45.700 --> 02:53:47.921]  You find a quote-unquote solution, okay, electric vehicles.
[02:53:48.321 --> 02:53:51.803]  Here's Elon, this entrepreneur, who made a vast majority of his wealth on...
[02:53:52.694 --> 02:53:57.094]   you know, a really innovative approach to electric vehicles, regardless of your opinion on it.
[02:53:57.094 --> 02:54:00.055]   And now they don't know what to do with him. They're like, hey, wait, we created this guy
[02:54:00.055 --> 02:54:06.453]   with this huge green energy push. And so your experience, Alex, how do they take out people
[02:54:06.453 --> 02:54:11.094]   like this? What are you what are you alluding to here? You're talking about outright assassination
[02:54:11.094 --> 02:54:16.054]   attempts. Well, they're going to continue to try to take his sponsors and make him bow
[02:54:16.054 --> 02:54:19.494]  and and make him become their creature.
[02:54:19.776 --> 02:54:21.696]  And they do see him as Frankenstein.
[02:54:21.857 --> 02:54:23.617]  And they're Dr. Frankenstein.
[02:54:24.197 --> 02:54:25.478]  And they've created him now.
[02:54:26.118 --> 02:54:27.578]  And I mean, it's true.
[02:54:27.718 --> 02:54:28.939]  He jumped on the bandwagon.
[02:54:28.959 --> 02:54:32.640]  He got a really great company that was way better than all the other electric cars.
[02:54:33.060 --> 02:54:35.380]  And that was a decade ahead of all the crap they were putting out.
[02:54:35.741 --> 02:54:39.622]  You know, the technology itself, the resources we have, you know, isn't feasible.
[02:54:39.721 --> 02:54:42.601]  There's not enough of the ingredients that are in it.
[02:54:42.601 --> 02:54:44.801]  Even Musk has said, "We need fossil fuels.
[02:54:44.801 --> 02:54:46.281]  We need to continue to use them.
[02:54:46.281 --> 02:54:49.441]  It'll take decades to segue away, even if we try."
[02:54:49.441 --> 02:54:57.761]   And so this anti-carbon thing is a bridge to nowhere, a neo-feudalistic system by the globalists.
[02:54:57.761 --> 02:54:59.961]  And Elon has now come out and said that.
[02:54:59.961 --> 02:55:04.560]   So they're gonna try to get rid of him by demonizing him, by taking his sponsors.
[02:55:04.560 --> 02:55:10.041]   But Twitter's basically doubled its engagement and users since he took it over.
[02:55:10.029 --> 02:55:14.572]  So again, they're failing, but Elon also is really good at riding a wave.
[02:55:15.212 --> 02:55:27.020]  Julius Caesar reportedly said, and then it was put by Shakespeare in his play on Julius Caesar, that there is a tide in the affairs of men when taken at the flood leads on to fortune.
[02:55:27.600 --> 02:55:37.662]   And so whether Caesar said that or whether it was just That famous writer William Shakespeare that took a historical license with it.
[02:55:38.403 --> 02:55:41.926]  Elon Musk knows when he sees a big wave to get on it.
[02:55:42.247 --> 02:55:44.109]  And so he's been riding all these big waves.
[02:55:44.169 --> 02:55:46.991]  Privatization of space, electric vehicles.
[02:55:47.031 --> 02:55:52.397]  He knows they're coming out with all the brain chips and the links that are great for quadriplegics and great for blind people.
[02:55:52.987 --> 02:55:55.748]  Yeah, but the Neuralink, we got to draw a line in the sand.
[02:55:55.788 --> 02:55:57.068]  I'm not a fan of it.
[02:55:57.328 --> 02:55:58.648]  Yeah, we'll talk about that in a second.
[02:55:58.808 --> 02:56:01.909]  Alex, finish that thought on Neuralink, Elon Musk riding a wave.
[02:56:04.910 --> 02:56:05.870]  We turned my mic on, sorry.
[02:56:06.130 --> 02:56:07.551]  I want to be 100% clear here.
[02:56:08.291 --> 02:56:18.133]  I have been a big opponent of Neuralink and the way he tried to roll it out three years ago, where he goes, oh, you go to a shopping mall and you get a brain chip and you can be on the internet.
[02:56:18.453 --> 02:56:24.594]   The consumerization of cybernetics Is extremely dangerous and where the globalists want to take us.
[02:56:24.614 --> 02:56:28.115]  And I think that's one of the most dangerous things he's involved in.
[02:56:28.475 --> 02:56:30.076]  But he sees every trend.
[02:56:30.096 --> 02:56:32.937]  That's what all the other big companies have been secretly working on.
[02:56:32.957 --> 02:56:33.697]  Now it's out in the open.
[02:56:33.737 --> 02:56:36.118]  Microsoft, Apple, the Communist Chinese.
[02:56:36.158 --> 02:56:37.618]  He wants to dominate every field.
[02:56:38.118 --> 02:56:43.680]  So now he's backed off and says, oh, it's for paralyzed people or people with epilepsy or people that are blind.
[02:56:43.760 --> 02:56:45.881]  Well, my uncle was in a motorcycle accident.
[02:56:46.220 --> 02:56:51.341]   and had convulsions almost every day for years, he finally got a brain chip that was experimental
[02:56:51.341 --> 02:56:57.261]   and not just the vagus nerve stimulator and he's back. I mean he's like looks 20 years younger and
[02:56:57.261 --> 02:57:02.139]   doesn't ever have seizures and is out of a wheelchair. So I mean if I'm in a motorcycle
[02:57:02.139 --> 02:57:05.739]   accident, I don't ride motorcycles, it's too risky, but if I was and I could get a brain chip that's
[02:57:05.739 --> 02:57:08.620]  wonderful. But I think it needs to be highly regulated.
[02:57:08.791 --> 02:57:12.952]  And as a society, we should never allow it to be rolled out as a consumer thing.
[02:57:12.972 --> 02:57:15.932]  Next, it's kids got to have brain chips to start kindergarten.
[02:57:15.992 --> 02:57:20.874]  And that's where Klaus Schwab has said, we want everyone to be made to have brain chips.
[02:57:21.354 --> 02:57:22.854]  This is what we're going to make you do by 2030.
[02:57:23.414 --> 02:57:24.234]  So I agree.
[02:57:24.635 --> 02:57:26.235]  I was saying one more wave.
[02:57:26.335 --> 02:57:29.856]  He wants to dominate every innovation wave there is.
[02:57:30.516 --> 02:57:38.904]  And so, I think from a position of an engineer who is self-described as extremely high-functioning Asperger's, that's how he works 20 hours a day at least.
[02:57:38.924 --> 02:57:39.805]  I mean, I've seen it.
[02:57:40.405 --> 02:57:43.368]  And, I mean, he's up at all hours, constantly.
[02:57:43.388 --> 02:57:52.036]  You're listening to Alex Jones.
[02:57:53.557 --> 02:58:24.466]   If, by Rudyard Kipling, If you can keep your head when all about you are losing theirs and blaming it on you, if you can trust yourself when all men doubt you, but make allowance for their doubting too, if you can wait and not be tired by waiting, or being lied about, don't deal in lies, or being hated, don't give way to hating, and yet don't look too good, nor talk too wise,
[02:58:26.195 --> 02:58:29.156]  If you can dream, and not make dreams your master.
[02:58:29.796 --> 02:58:32.197]  If you can think and not make thoughts your aim.
[02:58:32.977 --> 02:58:38.479]  If you can meet with triumph and disaster, and treat those two impostors just the same.
[02:58:38.499 --> 02:58:45.322]  If you can bear to hear the truth you've spoken, twisted by knaves to make a trap for fools.
[02:58:45.962 --> 02:58:51.944]  Or watch the things you gave your life to, broken, and stoop and build them up with worn out tools.
[02:58:54.085 --> 02:59:24.949]   If you can make one heap of all your winnings And risk it on one turn of pitch and toss And booze and start again at your beginnings And never breathe a word about your loss If you can force your heart and nerve and sinew To serve your turn long after they are gone And so hold on when there is nothing in you Except the will which says to them, hold on If you can talk with crowds and keep your virtue, or walk with kings, nor lose the common touch.
[02:59:25.670 --> 02:59:32.372]  If neither foes nor loving friends can hurt you, if all men count with you, but a nun too much.
[02:59:33.553 --> 02:59:42.276]  If you can fill the unforgiving minute with sixty seconds worth of distance run, yours is the earth and everything that's in it.
[02:59:43.275 --> 02:59:48.275]  And, which is more, you'll be a man, my son.
[02:59:48.275 --> 02:59:51.275]  [Music]
[02:59:51.275 --> 02:59:59.275]   Leading a frontal assault on the lies of the New World Order is...
[02:59:59.233 --> 03:00:00.534]  It's Alex Jones.
[03:00:05.396 --> 03:00:06.457]  We see you on stairwell.
[03:00:06.797 --> 03:00:08.458]  Eagle has wings.
[03:00:09.738 --> 03:00:10.098]  Roger.
[03:00:10.459 --> 03:00:11.039]  How's it look?
[03:00:12.420 --> 03:00:13.260]  Let's proceed.
[03:00:13.620 --> 03:00:14.060]  Roger.
[03:00:15.101 --> 03:00:17.662]  Ignition.
[03:00:17.521 --> 03:00:20.281]  (dramatic music)
[03:00:20.281 --> 03:00:21.620]  Contact light.
[03:00:21.620 --> 03:00:23.721]  (dramatic music)
[03:00:23.721 --> 03:00:25.481]  Eagle was landed.
[03:00:25.481 --> 03:00:26.481]  Oh, geez, that's great.
[03:00:26.481 --> 03:00:28.040]  Is the lighting here pretty decent?
[03:00:28.040 --> 03:00:32.200]  Visit infowars.com/show and share the link today.
[03:00:32.200 --> 03:00:33.961]  Beautiful, just beautiful.
[03:00:33.961 --> 03:00:39.681]   And so, but now he's processing, you know, what the market will accept.
[03:00:39.724 --> 03:00:41.604]  So I don't think he's going to save us.
[03:00:41.644 --> 03:00:43.164]  I don't think Elon Musk is perfect.
[03:00:43.725 --> 03:00:57.595]   I just think in the role he's entered, As bringing back free speech and innovating America and supercharging technology, we should embrace all the good things he's doing, not throw out the baby with the bathwater, because Jesus said, judge a tree by its fruits.
[03:00:57.775 --> 03:01:03.100]  And without Elon Musk and what he's done, we would be in a lot of trouble right now.
[03:01:03.160 --> 03:01:12.458]   So he has really Blown open the enemy gates for us and so I'm very thankful to God for Elon Musk and I see him coming way over to our side.
[03:01:12.478 --> 03:01:16.743]  I'm going to leave it at that because I've talked to very well-known people, very well-known talk show host.
[03:01:17.794 --> 03:01:19.597]  A lot about Elon Musk the last two years.
[03:01:19.777 --> 03:01:24.463]  And I had, I'm not going to get into inside stuff I was told, even though it wasn't even told off record.
[03:01:24.683 --> 03:01:25.384]  I'm just not going to do it.
[03:01:25.424 --> 03:01:28.609]  But I was told by a very well-known talk show host who's very good friends with him here in Austin.
[03:01:28.909 --> 03:01:29.931]  People could probably imagine who.
[03:01:30.251 --> 03:01:35.198]  He said, listen, Elon Musk, he sounds like you now and is genuinely pissed.
[03:01:35.718 --> 03:01:46.662]  And in a rage and now is against the globalists because they're anti-human expansion and they want to depopulate people and Musk has got 11 kids and understands we need 2.1 kids for every family at least.
[03:01:47.002 --> 03:01:47.922]  We're just replacement level.
[03:01:47.942 --> 03:01:55.465]  So I think he's coming over to us and I think if we continue to bring him towards us with open arms, he will be ours.
[03:01:56.656 --> 03:02:01.297]  Yeah, and by the way, he's starting a wave of other elites, other very, very rich and wealthy people.
[03:02:01.337 --> 03:02:02.578]  He's making it acceptable.
[03:02:02.618 --> 03:02:09.560]  He's moved the Overton window of people with wealth and with status, all of a sudden to say, wait a second, I don't want to go along with this.
[03:02:09.960 --> 03:02:16.243]   He's moved the window and created cover, you know, Bill Ackman And we just had an amazing fundraiser for Turning Point USA this weekend, Alex.
[03:02:16.303 --> 03:02:22.446]  I can't tell you how many people they say, you know, I feel more comfortable giving money and speaking out because Elon is showing and he's leading the way.
[03:02:22.787 --> 03:02:24.368]  And that really is a threat to the globalists.
[03:02:24.388 --> 03:02:26.709]  You talk about this in your book, The Great Awakening.
[03:02:26.769 --> 03:02:27.509]  Everyone go buy it.
[03:02:27.549 --> 03:02:28.310]  The Great Awakening.
[03:02:28.350 --> 03:02:30.831]  Defeating the globalists and launching the next great renaissance.
[03:02:31.312 --> 03:02:34.934]  Is that, Alex, if even 5% of the elites defect, this whole ballgame is over.
[03:02:34.974 --> 03:02:38.616]  They need complete harmony amongst... Yeah, please Alex, go ahead.
[03:02:39.727 --> 03:02:41.608]  And that was my last point, because I tend to run on.
[03:02:41.688 --> 03:02:47.091]  Thank you for making the key part of my point at the end that I forgot to make.
[03:02:47.912 --> 03:02:52.534]  So he didn't just ride the electric car wave or privatization of space wave.
[03:02:52.995 --> 03:03:00.299]  He wants to ride the wave of the new Renaissance and the Great Awakening and stopping all this totalitarian garbage.
[03:03:00.639 --> 03:03:05.322]  And so, yes, he already sees that wave that you built and Trump built and I built and Tucker built.
[03:03:06.122 --> 03:03:08.063]  And Joe Rogan's super hardcore now.
[03:03:08.483 --> 03:03:18.707]  So exactly, he sees this giant New Renaissance Great Awakening wave, and if he wants to be the big guy riding that sucker in, and he helps us win, then more power to him!
[03:03:19.741 --> 03:03:20.621]  That's so interesting.
[03:03:20.661 --> 03:03:23.523]  Actually, I want everyone to just understand what we just said.
[03:03:23.603 --> 03:03:33.247]  And it's a way of analyzing Elon in a way I've never heard before, but it's very hopeful in saying that Elon sees ways before they happen, super incredible brain power, right?
[03:03:33.267 --> 03:03:34.648]  He saw EV before it happened.
[03:03:34.668 --> 03:03:35.868]  He saw this boring company.
[03:03:35.928 --> 03:03:37.589]  He saw, you know, SolarCity.
[03:03:37.629 --> 03:03:38.469]  He saw all that stuff.
[03:03:38.729 --> 03:03:40.010]  And what you're saying, Alex, is he...
[03:03:40.530 --> 03:03:41.651]  Yeah, PayPal, exactly.
[03:03:41.951 --> 03:03:50.395]  But are you trying to tell me that Elon, with his analytical engineering brain, is seeing a right-wing revolution happening before it happens, and he wants to get ahead of that?
[03:03:50.435 --> 03:03:51.316]  Is that what you're saying, Alex?
[03:03:52.456 --> 03:03:52.937]  Absolutely.
[03:03:52.977 --> 03:03:56.539]  He sees which way the wind's blowing, and has now joined with us.
[03:03:57.439 --> 03:04:00.461]  And so, it's simple.
[03:04:00.521 --> 03:04:04.823]  It's kind of like Lord of the Rings, where Saruman tells Gandalf, no one can stand against Sauron.
[03:04:05.669 --> 03:04:06.389]  Join me.
[03:04:06.970 --> 03:04:08.991]  And Gandalf says, no, I'm not going to do it.
[03:04:09.031 --> 03:04:10.172]  Well, this is the other way around.
[03:04:10.832 --> 03:04:14.414]  Elon sees the wave of liberty and says, you're not going to stand against this.
[03:04:14.454 --> 03:04:15.294]  And he's getting on board.
[03:04:15.554 --> 03:04:20.497]  And before he was hedging his bets the last three, four years, you know, beware those that worship AI gods.
[03:04:20.857 --> 03:04:24.199]  You know, I used to hang around with the founders of Google and they want to get rid of the humans.
[03:04:24.759 --> 03:04:26.180]  They don't care about our species.
[03:04:26.540 --> 03:04:28.681]  You know, the of all Noah Harari crap.
[03:04:29.162 --> 03:04:30.762]  And Musk has proven it.
[03:04:30.782 --> 03:04:31.043]  He has 11 kids.
[03:04:32.210 --> 03:04:35.131]  He's now externalized who he already was and said, you know what?
[03:04:35.291 --> 03:04:36.271]  I'm on Team Humanity.
[03:04:36.471 --> 03:04:37.831]  He kept saying it over and over.
[03:04:37.851 --> 03:04:39.312]  I'm going to put t-shirts out that say this.
[03:04:39.552 --> 03:04:40.512]  I meant to do this a year ago.
[03:04:40.552 --> 03:04:41.272]  We never produced him.
[03:04:41.632 --> 03:04:42.992]  Team Humanity.
[03:04:43.092 --> 03:04:46.513]  Elon Musk says, I want to help lead Team Humanity.
[03:04:46.733 --> 03:04:52.114]  And by the example he is, he's get all these other billionaires and people now have the courage.
[03:04:52.374 --> 03:04:54.275]  And so you can't argue with the results.
[03:04:54.574 --> 03:04:59.534]   So no matter what his motives are at the end of the day, he is playing 340 chess.
[03:04:59.534 --> 03:05:05.694]  I want to make a quick note here.
[03:05:05.724 --> 03:05:06.384]  It is wonderful.
[03:05:06.444 --> 03:05:10.126]  It is a very good reason for celebration that Alex Jones is back.
[03:05:10.346 --> 03:05:12.728]  The InfoWars account is officially back.
[03:05:13.008 --> 03:05:17.630]  But I want to make the point that InfoWars was not created on Twitter.
[03:05:17.650 --> 03:05:19.851]  This is not something that we need.
[03:05:20.211 --> 03:05:29.696]  It's amazing to think that since we've been kicked off of Twitter, not only have we continued to exist, we have continued to thrive despite the censorship.
[03:05:29.756 --> 03:05:37.239]   Now that the censorship has in part been lifted, We'll only see this power grow and expand and become even more dominant.
[03:05:37.479 --> 03:05:49.523]  But thanks to you going to InfoWarsStore.com, thanks to you supporting us and keeping us on air, and going to InfoWars.com and sharing the articles, or going to Band.Video and sharing the videos, we have not required permission from Big Tech.
[03:05:50.083 --> 03:05:51.784]  To succeed and spread our message.
[03:05:52.044 --> 03:06:03.249]  So thank you for your participation in this and for keeping us on air and in the fight on our own systems as well as now on the big tech systems that we once so thoroughly dominated and will again soon.
[03:06:04.709 --> 03:06:08.709]  Cast with a special report from the front lines of the InfoWars.
[03:06:08.709 --> 03:06:14.709]  [Music]
[03:06:14.709 --> 03:06:18.709]   Attempts have been made to neutralize the InfoWarrior known as Alex Jones.
[03:06:19.011 --> 03:06:23.011]   Countless attacks have been witnessed and reported in an effort to bring him down.
[03:06:23.011 --> 03:06:33.011]   Alex Jones has been sighted on the battlefield fighting against the forces of evil.
[03:06:33.363 --> 03:06:36.625]  We're not gonna go down and just shut our mouths and you just put up with us.
[03:06:36.484 --> 03:06:40.484]   We know the bodies are buried folks, and one way or another we're gonna stay on here.
[03:06:40.484 --> 03:06:48.403]   We're receiving reports that Alex Jones has broken through the front lines and is now
[03:06:48.403 --> 03:06:50.884]  heading toward the broadcast studio.
[03:06:51.028 --> 03:06:53.249]  All efforts to silence him have failed.
[03:06:53.669 --> 03:06:58.731]  Find the InfoWars transmission at InfoWars.com forward slash show.
[03:06:59.491 --> 03:07:03.113]  If you're receiving this transmission, you are the resistance.
[03:07:03.813 --> 03:07:05.554]  I can play 10-D chess, quite frankly.
[03:07:05.594 --> 03:07:08.576]  I'll just tell you politically, this is nothing but good for liberty.
[03:07:09.057 --> 03:07:16.321]  This is devastating the existing globalist, combine, crony, capitalist, slash, communist, chi-com order.
[03:07:16.822 --> 03:07:18.683]  And this is the new renaissance, baby.
[03:07:18.903 --> 03:07:19.984]  But the enemy's gonna strike back.
[03:07:20.504 --> 03:07:20.844]  No, it is.
[03:07:20.864 --> 03:07:21.964]  The Empire Striking Back.
[03:07:22.024 --> 03:07:26.125]  And I want to talk about that because you've been, your ability to predict things and see things before they happen.
[03:07:26.145 --> 03:07:26.945]  I say this all the time.
[03:07:27.585 --> 03:07:28.806]  Alex Jones is not crazy.
[03:07:28.866 --> 03:07:29.346]  He's early.
[03:07:29.366 --> 03:07:30.366]  You got to remember that.
[03:07:30.546 --> 03:07:31.006]  He's early.
[03:07:31.046 --> 03:07:31.906]  He's ahead of the curve.
[03:07:32.226 --> 03:07:32.986]  You see it.
[03:07:33.146 --> 03:07:37.367]  So 2024, I feel as if this is the crescendo year, Alex, right?
[03:07:37.647 --> 03:07:41.828]  This is the year where all these, it's pent up COVID response.
[03:07:42.228 --> 03:07:42.808]  Alex, go ahead.
[03:07:42.968 --> 03:07:43.488]  Take it and run.
[03:07:44.789 --> 03:07:47.109]  Think of it as like breaking in pool.
[03:07:47.967 --> 03:07:52.329]  Okay, you know, the balls are in the triangle, it's ready, and you've got the first hit.
[03:07:52.389 --> 03:07:54.190]  You've got the advantage at the start of the game.
[03:07:54.670 --> 03:08:07.975]  And we are about to 2024, and in the end of 2023, this is that moment in time and civilization where we're at the crossroads and we're about to affect the outcome of the entire future.
[03:08:08.215 --> 03:08:09.716]  So this sets the stage right now.
[03:08:09.976 --> 03:08:12.317]  We're in a fourth turning at a massive jump point.
[03:08:13.639 --> 03:08:16.199]   What is that? Tell our audience more. They're not as familiar with these terms.
[03:08:16.199 --> 03:08:20.199]   I know what forth turning means. What do you mean forth turning? Jump point. Go deeper, Alex.
[03:08:20.199 --> 03:08:27.799]   Well, this has been noticed by philosophers in China 5000 years ago and by Greek philosophers
[03:08:27.799 --> 03:08:32.679]   3000 years ago and Roman philosopher 2000 years ago and Hegel 300 years ago and all of them.
[03:08:32.679 --> 03:08:40.358]   That there are Lenin said this don't like Lenin, but he was a genius. He said there are a paraphrase
[03:08:40.358 --> 03:08:44.119]   and people can pull the actual caught up. He said there are decades where nothing happens
[03:08:44.119 --> 03:08:46.599]  and there are weeks where decades happen.
[03:08:46.746 --> 03:08:53.268]  And so the Globalist, the Rand Corporation, the Carney Endowment, the Rockefeller Foundation, they're obsessed with this.
[03:08:54.428 --> 03:09:07.743]   That sometimes you go a hundred years, it's usually about 87, 88 years is an actual cycle, and it happens over and over, but there's a hundred year cycles, And then there's super cycles that are every thousand years or so, okay?
[03:09:08.364 --> 03:09:16.586]  And so we are literally entering a super cycle right now, where society has been like steel.
[03:09:17.166 --> 03:09:22.468]  Culture, the future, how society's status quo is affected.
[03:09:22.888 --> 03:09:26.049]  There are some innovations, but it's basically stagnant.
[03:09:26.369 --> 03:09:29.410]  Even though you may have technological developments, still culture is the same.
[03:09:29.958 --> 03:09:39.665]  We're entering a mega-turning, everybody can see it, approaching what I believe is a group of singularities, and then finally a potential singularity.
[03:09:39.685 --> 03:09:42.668]  I don't think it's what Ray Kurzweil thinks in 2047.
[03:09:43.088 --> 03:09:55.517]  So humanity is going 2.0 right now, but we're in the larval stage of that, and the globalists are obsessed with controlling the outcome right now, because they call it liquification.
[03:09:55.857 --> 03:10:04.862]   So the rigid structure during these turnings Soften some every 80 or 92, on average 87 years.
[03:10:05.162 --> 03:10:08.644]  They soften and they can mold it like a sculptor.
[03:10:08.964 --> 03:10:11.066]  But in a super turning, it goes liquid.
[03:10:12.404 --> 03:10:19.969]  Okay, and then now with all the technology, if you have a superturning, it's going to be the supernova of supernova megaturnings.
[03:10:20.509 --> 03:10:23.010]  And so we are at the absolute crossroads.
[03:10:23.511 --> 03:10:35.278]  I mean, humans discovering fire, the wheel, humans discovering God is one thing bigger, but the wheel and fire is a trillion times smaller in our jump point.
[03:10:35.758 --> 03:10:36.981]  Fire was a jump point.
[03:10:37.602 --> 03:10:38.804]  The wheel was a jump point.
[03:10:39.165 --> 03:10:42.191]  Metal urgy, you know, out of the Stone Age was a jump point.
[03:10:42.511 --> 03:10:43.894]  Agriculture was a jump point.
[03:10:44.234 --> 03:10:48.001]  We are now approaching a cluster of thousands of jump points.
[03:10:49.545 --> 03:10:52.167]  And there's a political jump point, which is what I want to talk about.
[03:10:52.667 --> 03:11:05.515]  Trump, in some ways, whether he realizes it or not, I think he's starting to realize it, is the symbol of tens of millions of people who, at a level, they realize this is happening too fast.
[03:11:05.615 --> 03:11:06.276]  Alex, go ahead.
[03:11:07.617 --> 03:11:08.958]  That's why the globalists hate Trump.
[03:11:08.998 --> 03:11:17.363]  They recognize him as the archetypal symbol or the figurehead of a populist, pro-human, renaissance-based jump.
[03:11:18.201 --> 03:11:19.782]  And so we go into light speed now.
[03:11:20.143 --> 03:11:23.225]  I mean, they usually use the hard versus the soft metaphor.
[03:11:23.605 --> 03:11:26.748]  I like to use, let's use the Star Wars analogy or Star Trek.
[03:11:27.308 --> 03:11:31.992]  Normally, society's going along like a 747 at 600 miles an hour.
[03:11:32.933 --> 03:11:39.999]  And then when you have a regular turning, it accelerates for a decade or so to 5,000 miles an hour.
[03:11:40.619 --> 03:11:44.942]  But in a mega turning, you go not to light speed, but to warp 100.
[03:11:46.326 --> 03:11:49.208]  And so, they see Trump as everything they fear.
[03:11:49.268 --> 03:12:02.457]  Big, strong, energy, pro-human, pro-America, pro-free market, pro-competition, isn't a monopoly man, doesn't like all these middlemen stealing America, and he even said to China, why are you letting the middlemen have half of it?
[03:12:02.718 --> 03:12:10.263]  You can keep a bigger percentage, we'll keep a bigger percentage for our people, you can help your people, we'll help ourselves, we'll be the captains of the... It's what he told Kim Jong-un!
[03:12:10.603 --> 03:12:11.825]  You know, with a video presentation.
[03:12:12.045 --> 03:12:13.948]  You can have all these hotels and golf courses.
[03:12:13.988 --> 03:12:15.169]  Your people will be free and happy.
[03:12:15.610 --> 03:12:16.671]  Why do you want them starving?
[03:12:16.912 --> 03:12:17.793]  You can be a hero!
[03:12:18.033 --> 03:12:19.495]  And Kim Jong-un's like, yeah, yeah, yeah.
[03:12:19.515 --> 03:12:24.422]  But then the chi-coms that control him said, no, we're going to keep you as a hermit state.
[03:12:24.945 --> 03:12:29.265]   as a hermit dictatorship. So it's this, look what's the most common form of government in the last
[03:12:29.265 --> 03:12:35.505]   7,000 years of human recorded history? It's serfdom, it's feudalism. They were always keeping
[03:12:35.505 --> 03:12:39.745]   people on tiny pieces of land and telling how many kids they could have and you know and the
[03:12:39.745 --> 03:12:44.386]   average person in England or France couldn't have a hunting dog and if you had to have one to herd
[03:12:44.386 --> 03:12:49.825]   sheep they'd cut off you know half of the digits on the dog's foot so it couldn't chase the king's deer.
[03:12:50.040 --> 03:12:53.744]  It's not just keeping swords from people or guns from people.
[03:12:54.045 --> 03:12:56.327]  They don't want you to have jobs or land or money.
[03:12:56.668 --> 03:12:59.952]  So there's centralized economies, feudalist economies.
[03:13:00.252 --> 03:13:01.634]  There's renaissance economies.
[03:13:02.094 --> 03:13:20.150]  And so, anybody that's pro-Renaissance economy, an Elon Musk, a Trump, is antithetical to the globalist and the centralized system that they've set up that is the remains of the British Empire, the mercantilist systems of Europe, through the Bilderberg Group, trying to create a global facsimile of capitalism.
[03:13:20.410 --> 03:13:36.876]  But only ceremonial capitalism, where it's all centralized, as Larry Fink said, so they can, quote, control our behaviors through the money, through the ESG, through the central bank digital currencies, through the universal credit score, through the carbon tax, through the vaccine passport, through the UN treaties, controlling our bodies.
[03:13:37.216 --> 03:13:40.237]  It's total, absolute, factory farming of humans.
[03:13:40.757 --> 03:13:46.179]  It is THX 1138 that is based on the novel by Aldous Huxley in 1932, before he died in 1961.
[03:13:50.009 --> 03:13:54.611]  His brother was running the UN, the founder of the transhumanist movement worldwide, the head of UNESCO.
[03:13:54.931 --> 03:14:02.134]  He said in Brave New World Revisited, and in a speech at Berkeley before he died, he said, this book is real, and this is our real plan.
[03:14:02.154 --> 03:14:05.095]  And he even said, you're too stupid to even know it.
[03:14:05.536 --> 03:14:07.136]  I just want to flaunt it in your face.
[03:14:07.697 --> 03:14:12.759]  So when you read Brave New World, folks, that's their actual plan for you.
[03:14:13.499 --> 03:14:16.782]  As it says in Brave New World, everybody belongs to everybody.
