[00:00:29.713 --> 00:00:31.053]  A digital frontier.
[02:44:46.291 --> 02:44:47.492]  Gentlemen, thank you so much.
[02:44:47.652 --> 02:44:48.672]  We'll talk to you again soon.
[02:44:48.712 --> 02:44:49.192]  God bless.
[02:44:51.693 --> 02:45:02.519]  We've seen a lot of people, and a lot of corporate media, and a lot of pundits, and I see a lot, thousands of articles, the last month saying InfoWars will imminently be shut down.
[02:45:22.085 --> 02:45:27.275]  And they panicked with a federally appointed CRO and federally appointed U.S.
[02:45:28.878 --> 02:45:33.988]  trustee from the Justice Department and five weeks ago ordered this place shut without a court order.
[02:45:35.256 --> 02:45:38.999]  The judge excoriated them, fired them three weeks ago.
[02:45:39.019 --> 02:45:46.964]  Then two weeks ago, the Democrat Party lawyers that use the Sandy Hook parents as a front group came in and said we wanted to shut down today.
[02:45:47.364 --> 02:45:48.605]  The judge shut that down.
[02:45:49.186 --> 02:45:52.908]  Then they tried to grab InfoWars a week and a half ago at the state court.
[02:45:52.968 --> 02:45:54.810]  The judge said that's illegal and shut that down.
[02:45:55.050 --> 02:45:55.670]  This is epic.
[02:45:56.130 --> 02:45:57.531]  People say, how is this continuing on?
[02:45:57.591 --> 02:45:58.492]  Because we're fighting.
[02:45:59.072 --> 02:45:59.933]  We're not giving up.
[02:46:00.033 --> 02:46:00.674]  You're praying.
[02:46:01.374 --> 02:46:07.737]  But I love how five weeks ago I told you this happened, and like, oh yeah, they came out in order to shut it down, and you stood up to them and all this, where's the video?
[02:46:07.937 --> 02:46:10.578]  You want on top of that video, confronting people?
[02:46:10.938 --> 02:46:12.699]  This is serious, I tried to not escalate.
[02:46:13.779 --> 02:46:17.741]  Now it's all in the court record, it's, of course it's true, of course I didn't make this up, I don't cry wolf!
[02:46:18.782 --> 02:46:25.485]  So, we are surrounded by wolves, but we've got God on our side, and we've got the people that love God supporting us.
[02:46:25.525 --> 02:46:30.627]  So, I need all of you to understand, that we're still here for at least three months.
[02:46:31.803 --> 02:46:37.867]  But if people think we're not going to be here and don't support InfoWarsTore.com with great sales and great products, we'll shut down by extension.
[02:46:37.887 --> 02:46:38.508]  That's been happening.
[02:46:38.768 --> 02:46:39.789]  People aren't buying stuff.
[02:46:40.469 --> 02:46:42.370]  Even though we're selling all the products, it's gone away.
[02:46:42.390 --> 02:46:43.451]  Do they think we're about to be shut down?
[02:46:43.511 --> 02:46:43.651]  No.
[02:46:44.012 --> 02:46:45.172]  You order something, you get it.
[02:46:45.533 --> 02:46:52.838]  And so it'll be you that decides to shut us down if you don't go there and get X2 and X3 and buy Mineral Fusion about to sell it and all of it.
[02:46:53.278 --> 02:46:55.620]  But what I want to talk to you about is a fundraiser.
[02:46:56.320 --> 02:47:04.526]  We have a couple thousand copies of the number one worldwide bestseller, The Great Awakening, The Plan to Defeat the Globalists and Launch the Next Great Renaissance.
[02:47:05.086 --> 02:47:06.367]  Huge thick book I wrote.
[02:47:06.868 --> 02:47:08.249]  Just came out six, eight months ago.
[02:47:08.269 --> 02:47:12.072]  There are a few thousand signed copies left, and it is a fundraiser.
[02:47:12.092 --> 02:47:16.375]  I want to thank those of you that got a signed copy, but I want to encourage all of you
[02:47:17.978 --> 02:47:27.481]  That have not gotten a signed copy and you want a chance to support the broadcast and know that at the critical juncture you fought to get the funds in to keep operating because we're right on the edge of the red and the black.
[02:47:28.622 --> 02:47:35.164]  To go now to infowarsstore.com and get The Great Awakening today.
[02:47:35.224 --> 02:47:39.565]  And there's almost 3,000 copies left of this signed, 1,000 copies unsigned.
[02:47:40.486 --> 02:47:44.447]  There's also about 700 copies of The Great Reset, the predecessor book to this.
[02:47:46.617 --> 02:47:50.099]  And unless we get a buyer and things change and, you know, whatever, we'll be shut down in a few months.
[02:47:50.159 --> 02:47:52.741]  But we will probably continue on.
[02:47:52.841 --> 02:47:53.882]  God's hand is on us.
[02:47:53.942 --> 02:47:54.762]  The force is with us.
[02:47:55.603 --> 02:47:56.803]  Please go now.
[02:47:57.063 --> 02:48:04.768]  It's in stock, ready to ship at infowarestore.com and get The Great Awakening, ladies and gentlemen.
[02:48:04.788 --> 02:48:07.930]  Defeating the globalists and launching the next great renaissance.
[02:48:08.050 --> 02:48:11.452]  And when these signed copies are gone here, they're going to be gone.
[02:48:11.512 --> 02:48:13.854]  I'm going to sign this right now.
[02:48:16.564 --> 02:48:22.146]  2024.
[02:48:16.804 --> 02:48:22.146]  And I thank you for everything you do to support us.
[02:48:22.206 --> 02:48:23.607]  And this will be put in the warehouse.
[02:48:24.007 --> 02:48:26.388]  Somebody will get this book.
[02:48:26.928 --> 02:48:28.288]  Put a little something extra on there.
[02:48:28.308 --> 02:48:30.829]  All right.
[02:48:30.909 --> 02:48:33.030]  So, I appreciate you.
[02:48:33.150 --> 02:48:38.152]  Get The Great Awakening, Defeating the Globalists, and Launching the Next Great Renaissance.
[02:48:39.637 --> 02:48:47.823]  Myself, Alex Jones, Ken Heckenleibig, he'll put it together with a foreword by Stephen K. Bannon, who's a political prisoner right now in Connecticut in jail.
[02:48:48.624 --> 02:48:50.425]  Infowarsstore.com.
[02:48:50.445 --> 02:48:51.406]  We're betting on you.
[02:48:51.766 --> 02:48:52.867]  We believe on you.
[02:48:53.187 --> 02:48:55.028]  But we cannot do this without your support.
[02:48:55.448 --> 02:48:56.069]  Get a copy.
[02:48:56.089 --> 02:48:57.270]  Sign or unsign now.
[02:48:57.590 --> 02:49:00.432]  The last copies at Infowarsstore.com.
[02:49:00.452 --> 02:49:02.594]  And I humbly thank you all for your support.
[02:49:02.654 --> 02:49:03.935]  Now, please take action.
[02:49:07.719 --> 02:49:10.580]  All right, final segment ahead of Drew Hernandez taking over.
[02:49:11.300 --> 02:49:12.400]  Powerful last hour.
[02:49:15.241 --> 02:49:16.961]  Look, I'd rather cover news.
[02:49:17.481 --> 02:49:19.581]  I'd rather not sit up here and beg for support.
[02:49:20.882 --> 02:49:27.483]  I've been here for 30 years and, you know, we've been really huge for 25 and gigantic for 10.
[02:49:28.423 --> 02:49:30.203]  And people just expect we'll always be here.
[02:49:31.104 --> 02:49:32.584]  I think it's gonna be pretty spectacular.
[02:49:34.465 --> 02:49:36.246]  They're able to shut us down in the next few months.
[02:49:36.946 --> 02:49:40.567]  People are gonna be like, oh gosh, Alex Jones is shut down and the show will explode, but they don't care about that.
[02:49:41.308 --> 02:49:45.169]  They want the Infowars history.
[02:49:45.209 --> 02:49:47.270]  They want the show.
[02:49:47.290 --> 02:49:48.931]  They want the interviews.
[02:49:48.971 --> 02:49:50.171]  They want all that to claim.
[02:49:50.191 --> 02:49:52.152]  They own that in this bankruptcy.
[02:49:52.672 --> 02:49:57.854]  Try to shut down that brain trust that is... I mean, I could quit today.
[02:49:59.715 --> 02:50:02.976]  And that brain trust of interviews and predictions
[02:50:04.431 --> 02:50:05.212]  Fight's on forever.
[02:50:05.852 --> 02:50:08.934]  But if they can claim ownership of it, they can have AI expunge it, and that's their plan.
[02:50:10.876 --> 02:50:15.099]  So download all the shows off Band.Video and PrisonPlanet.TV and save them.
[02:50:16.540 --> 02:50:18.342]  And they're all free to air and the enemy doesn't own them.
[02:50:19.703 --> 02:50:23.045]  But we can beat these folks together.
[02:50:24.927 --> 02:50:27.649]  But if I don't have the financial support to keep fighting, we can't do it.
[02:50:29.010 --> 02:50:30.431]  So, make the decision.
[02:50:32.455 --> 02:50:33.355]  I just want to stay in the fight.
[02:50:34.015 --> 02:50:36.856]  I try to sell you great products so you'll get them and love them and keep using them.
[02:50:38.257 --> 02:50:39.817]  Go to DrJonesNaturals.com.
[02:50:40.237 --> 02:50:42.158]  Incredible supplements, incredible products.
[02:50:42.838 --> 02:50:54.821]  The Next Level Fundational Energy, the Whole Food Multivitamins, the highest quality, the Cabochill, the Rocket Rest, the Top Brain Nootropic, the Nano Silver products.
[02:50:55.241 --> 02:50:56.542]  DrJonesNaturals.com.
[02:50:57.282 --> 02:50:57.602]  Simple.
[02:50:57.642 --> 02:50:58.282]  Make the decision.
[02:50:58.302 --> 02:50:59.042]  Support the broadcast.
[02:50:59.782 --> 02:51:01.563]  And then you've got InfoWarsTore.com.
[02:51:03.186 --> 02:51:05.968]  Could be the last X2, X3 we'll ever have, they shut us down.
[02:51:06.608 --> 02:51:13.093]  The DNA Force, the Ultra 12, highest quality, rated B12, out of the tongue, full absorption, so good for you.
[02:51:13.613 --> 02:51:18.357]  The Nitric Boost, it cleans out your blood and cardiovascular system.
[02:51:18.377 --> 02:51:20.318]  I heard Dr. McGill was talking about how amazing it is.
[02:51:20.759 --> 02:51:21.699]  It's all there discounted.
[02:51:22.180 --> 02:51:23.901]  Infowarstore.com.
[02:51:25.598 --> 02:51:26.499]  I can't do this without you.
[02:51:26.620 --> 02:51:30.565]  I can't fight without the resources for this infrastructure and to hold off the enemy.
[02:51:30.966 --> 02:51:33.309]  And we're having our biggest successes ever right now.
[02:51:33.810 --> 02:51:35.252]  And that's why they're so enraged.
[02:51:35.733 --> 02:51:37.015]  The Satanists are so pissed.
[02:51:37.676 --> 02:51:39.098]  And it's all in God's plan.
[02:51:39.158 --> 02:51:40.520]  Whatever happens is God's plan.
[02:51:41.020 --> 02:51:41.882]  I'm just going to keep fighting.
[02:51:43.604 --> 02:51:49.467]  And God will decide what to do, whether we survive or not, but God works through you to decide whether we survive or not.
[02:51:49.507 --> 02:51:55.830]  So please, go to infowarestore.com and get products that will enrich and power your life.
[02:51:56.690 --> 02:52:00.432]  Go to drjonesnackles.com and get products that will also enrich your life.
[02:52:00.972 --> 02:52:03.093]  Now, make that decision.
[02:52:04.734 --> 02:52:06.715]  Get a book, get a film, get a t-shirt.
[02:52:07.095 --> 02:52:08.836]  It takes money to fight these bastards.
[02:52:10.897 --> 02:52:11.517]  I have no fear.
[02:52:13.081 --> 02:52:13.881]  Other than failure.
[02:52:14.621 --> 02:52:17.242]  And I am in your hands, literally.
[02:52:17.642 --> 02:52:21.283]  And I'm asking you to stand with us, because you're in our hands as well.
[02:52:21.683 --> 02:52:23.264]  Together, we decide our destiny.
[02:52:24.924 --> 02:52:26.205]  Your Hernandez is set to take over.
[02:52:28.085 --> 02:52:28.865]  I appreciate the crew.
[02:52:29.666 --> 02:52:30.766]  Lord willing, I'll be back tomorrow.
[02:52:31.426 --> 02:52:33.287]  We got two months to three months left.
[02:52:34.467 --> 02:52:37.488]  And I got a lot of inside baseball to expose the next week or so.
[02:52:38.964 --> 02:52:39.884]  It's insane.
[02:52:39.904 --> 02:52:41.084]  We're up against the CIA.
[02:52:41.104 --> 02:52:43.025]  We're up against the Justice Department.
[02:52:43.845 --> 02:52:44.785]  But we got God on our side.
[02:52:45.865 --> 02:52:47.546]  And if God be with us, who can be against us?
[02:52:47.586 --> 02:52:49.706]  So, I got total faith in God.
[02:52:49.726 --> 02:52:51.326]  Whatever happens to me, it's part of God's plan.
[02:52:51.846 --> 02:53:01.128]  I'm just gonna fight, and tell the truth, and be as good as I possibly can be as a failed creature, and I'm gonna leave it all with God.
[02:53:02.148 --> 02:53:03.769]  Leave it all on the field.
[02:53:04.829 --> 02:53:05.649]  I'm doing everything I can.
[02:53:07.165 --> 02:53:08.646]  I'm not backing down one centimeter.
[02:53:09.626 --> 02:53:10.707]  I'm going over the top.
[02:53:11.547 --> 02:53:12.948]  But I can't do it without your support.
[02:53:13.468 --> 02:53:14.708]  Infowarstore.com.
[02:53:16.529 --> 02:53:17.790]  DrJonesDaggles.com.
[02:53:18.630 --> 02:53:19.210]  Go there now.
[02:53:19.711 --> 02:53:20.631]  Support the sponsors.
[02:53:20.711 --> 02:53:21.651]  And I thank you all.
[02:53:22.052 --> 02:53:26.033]  Because those of you that did support that 1%, you're the reason we did all this.
[02:53:26.113 --> 02:53:29.295]  So, I salute you and I thank you from the bottom of my heart.
[02:53:29.955 --> 02:53:33.377]  And I thank the crew and everybody else for the work they've done.
[02:53:33.397 --> 02:53:36.238]  I am so humble and so thankful to all of you.
[02:53:37.546 --> 02:53:43.092]  All right, I'm going to hand the baton to the great Drew Hernandez, who takes over in T-minus 60 seconds.
[02:53:43.953 --> 02:53:44.614]  Wants to go to break.
[02:53:45.215 --> 02:53:46.716]  And for now, X is open and free.
[02:53:47.097 --> 02:53:50.640]  Follow me at Relox Jones on X. All righty, InfoWarriors.
[02:53:51.952 --> 02:53:54.554]  You are now watching the fourth hour of the Alex Jones Show.
[02:53:54.674 --> 02:53:57.455]  I am your guest host, Drew Hernandez.
[02:53:58.056 --> 02:54:01.578]  If you're watching on X, make sure to re-share the transmission right now.
[02:54:01.658 --> 02:54:07.562]  Follow me over there at DrewHLive, at RealAlexJones, at InfoWars as well.
[02:54:07.922 --> 02:54:09.143]  Band.Video, you guys know the links.
[02:54:09.163 --> 02:54:10.444]  Push them, push them, push them.
[02:54:10.504 --> 02:54:13.686]  Now, listen, one thing I will say is this.
[02:54:14.866 --> 02:54:19.009]  One thing I will say is this, is that when you take a look at the Bible,
[02:54:20.077 --> 02:54:25.218]  And you see what the Bible has to say about the last days that we are currently experiencing right now.
[02:54:26.138 --> 02:54:30.919]  And a lot of people ask themselves, well, what are the last days?
[02:54:31.959 --> 02:54:35.120]  And then they'll ask themselves, when are the last days?
[02:54:35.880 --> 02:54:37.621]  Is that something that we're looking forward to?
[02:54:37.641 --> 02:54:41.761]  Is that something that is coming near?
[02:54:42.622 --> 02:54:44.202]  Or is that something that's pretty far out?
[02:54:45.310 --> 02:55:10.420]  Well, I think when you actually zero in on what the Bible is talking about when it comes to the last days and you have biblical eschatology exegeted properly right in front of you, that means you interpret what the Bible is saying and you pull out what the Bible is saying, not putting your own interpretation into the Bible, reading your own interpretation into the Bible.
[02:55:11.335 --> 02:55:16.159]  In just basic biblical hermeneutics, that's what we would call eisegesis.
[02:55:17.260 --> 02:55:35.535]  But when you take a look at the last days and you see multiple indications from Jesus to his disciples and the apostles indicating via Bible prophecy that has been transmitted on the Word, the written Word of God, you do see the last days.
[02:55:36.356 --> 02:55:39.899]  Now, we see the Tribulation, the Great Tribulation,
[02:55:40.825 --> 02:56:04.300]  We see, depending on who you ask, an interpretation in Ezekiel 37-38, the battle of Gog and Magog, and a lot of Bible teachers right now have their eyes obviously on Israel, Russia's role, and the surrounding Middle East to see if that becomes a reality, if that's the correct interpretation.
[02:56:04.941 --> 02:56:09.424]  And a lot of Bible teachers believe that that is a prophetic event,
[02:56:10.646 --> 02:56:21.391]  Because there are some divine interventions that God performs that world history has not seen before.
[02:56:22.351 --> 02:56:34.256]  But in terms of the last days, and when you take a look just exactly at the world around you, and if you want a pretty basic definition, I mean, if you just take a look at the life of Jesus,
[02:56:35.129 --> 02:56:35.409]  Right?
[02:56:35.729 --> 02:56:54.296]  I mean you just look at the Apostle Paul when he tells his protege Timothy that the Holy Spirit explicitly, that means he announces with urgency, the world needs to know this, that in the last days the Holy Spirit explicitly says, declares, that in the last days many will depart from the faith.
[02:56:55.296 --> 02:57:03.099]  That's apostasy, taking heed to deceiving spirits, that's demonic spirits, fallen angels, those that are in
[02:57:03.954 --> 02:57:09.195]  Allegiance and have pledged their loyalty to Lucifer, Satan, the devil himself.
[02:57:10.075 --> 02:57:21.037]  And that comes through political ideology, that comes through religious ideologies that are false, that comes through cultural trends, that comes through all of humanity.
[02:57:21.057 --> 02:57:22.977]  It can come through the science community.
[02:57:23.978 --> 02:57:31.779]  Occult has been practiced in human history through the science community, interfacing with entities to receive higher knowledge, to understand the
[02:57:32.549 --> 02:57:39.051]  The universe and decode the universe to access a higher technology and understanding plane in our minds.
[02:57:39.331 --> 02:57:42.592]  This was a huge phenomenon, especially post World War Two.
[02:57:43.312 --> 02:57:51.735]  Just ask the CIA and why MKUltra was such a huge interest of the US government.
[02:57:52.755 --> 02:57:54.496]  Because the Nazis were totally into the occult.
[02:57:54.756 --> 02:57:56.196]  That's just a historical fact.
[02:57:57.177 --> 02:57:58.597]  But when you take a look at
[02:58:00.189 --> 02:58:18.384]  This throughout human history, you see the occult, this thread, all the way tied back to Lucifer himself, all the way tied back to his fall from heaven, because he viewed himself to be above God, to be God, to ascend above the stars, above the throne of God himself.
[02:58:19.505 --> 02:58:21.166]  That's the origin of the occult.
[02:58:21.747 --> 02:58:22.427]  It starts with him.
[02:58:22.447 --> 02:58:24.129]  You see that in the garden?
[02:58:25.276 --> 02:58:41.686]  You see the occult fully operational, offering a higher wisdom, a higher thinking, that is forbidden, that God apparently doesn't want you to have, that was offered directly in the Garden of Eden to Eve herself, and her cucked out husband Adam just went with it.
[02:58:43.027 --> 02:58:49.311]  So you see the occult right there, with an offering of a higher wisdom, an enlightened wisdom.
[02:58:50.103 --> 02:58:52.325]  You wanna know when you're dealing with the occult?
[02:58:52.885 --> 02:58:54.946]  You wanna know when you're dealing with a cult?
[02:58:55.647 --> 02:59:02.612]  Is whenever you have not just a religious entity or a religious movement, could be anything.
[02:59:03.472 --> 02:59:11.978]  Could be political, could be scientific, could be medical, could be cultural in any way, shape, or form through music or movies or the arts.
[02:59:12.819 --> 02:59:14.320]  A cult could be formed out of anything.
[02:59:15.074 --> 02:59:26.241]  But one identifying factor that you know you are dealing with the occult or dealing with a cult is they will always use the same playbook that Lucifer himself used from the very beginning.
[02:59:26.361 --> 02:59:36.987]  And that's to offer humanity a higher wisdom or a forbidden higher plane of thinking intellectually.
[02:59:37.007 --> 02:59:42.891]  And I think right now, as we live in the 21st century, I think mankind is kind of viewing that as an advanced
[02:59:43.944 --> 03:00:01.157]  uh ability in technology and see this is where when you take a look at human history especially in the days of Jesus those that were interfacing via witchcraft mediums spiritists even see this with uh Daniel when he's dealing with King Nebuchadnezzar
[03:00:02.251 --> 03:00:06.054]  He's having crazy dreams, and he's trying to figure out, what do these dreams mean?
[03:00:06.114 --> 03:00:06.894]  Who do I go to?
[03:00:06.954 --> 03:00:07.775]  Who do I go to?
[03:00:08.095 --> 03:00:09.736]  Who are the intellectuals of the day?
[03:00:09.756 --> 03:00:20.263]  Well, those that interpret dreams, the mediums, the spiritists, those that interface with entities that give us higher thinking, which equates to higher learning.
[03:00:20.824 --> 03:00:31.111]  See, throughout human history, interfacing with demonic beings translates either to higher intellectual thought leaders of that generation,
[03:00:32.318 --> 03:00:33.829]  Or, I think where we are right now...
[03:00:34.682 --> 03:00:43.408]  Those that are interfacing with the occult and these fallen angels and they're having conversations, they're receiving downloads from them as well.
[03:00:43.528 --> 03:00:46.410]  I think it's viewed today as, yes, a higher wisdom.
[03:00:46.911 --> 03:00:58.459]  But at the same time, I think it's blended with an interpretation that, OK, well, these beings have the wisdom to hand humanity a higher, more advanced technology.
[03:00:58.479 --> 03:01:01.401]  And I personally believe that's how we're going to get to the mark of the beast.
[03:01:01.441 --> 03:01:02.902]  It's like this marriage.
[03:01:03.522 --> 03:01:06.345]  Between demonic wisdom, which, by the way, the Bible does talk about.
[03:01:06.925 --> 03:01:11.169]  There's human wisdom, there's God's wisdom, and there is demonic wisdom.
[03:01:11.209 --> 03:01:12.350]  You find that in the book of James.
[03:01:12.390 --> 03:01:14.192]  It's very clear, right out in the open.
[03:01:15.313 --> 03:01:29.345]  And so, yes, demonic beings can pass their wisdom, and that's whatever that they want humans to know to manipulate them for the purposes and the agenda of Lucifer in the kingdom of darkness.
[03:01:30.188 --> 03:01:35.692]  The ultimate endgame is to destroy the soul and plunge them into eternal damnation without God forever.
[03:01:35.712 --> 03:01:38.513]  That's their agenda.
[03:01:39.714 --> 03:01:43.516]  But I think mankind right now does find itself, and this is where people have to be very careful.
[03:01:43.597 --> 03:01:45.097]  I'm not anti-technology.
[03:01:45.818 --> 03:01:46.819]  I love technology.
[03:01:46.979 --> 03:01:48.760]  I'm a millennial.
[03:01:48.780 --> 03:01:52.142]  I was introduced to the Internet as a child.
[03:01:52.902 --> 03:01:54.183]  We experienced that.
[03:01:54.844 --> 03:01:58.466]  I think we're the last generation to know what the world was like without
[03:01:59.491 --> 03:02:00.051]  The internet.
[03:02:01.192 --> 03:02:02.953]  And now we've been given the internet.
[03:02:03.013 --> 03:02:05.174]  So I, you know, I love technology.
[03:02:05.194 --> 03:02:07.555]  I'm not opposed to it.
[03:02:08.196 --> 03:02:27.886]  However, I will say that if you're going to sit here and be naive and think that Lucifer himself doesn't have an agenda or a plan to deceive the nations via technology by playing on their desires for more advanced technology and playing on their lusts through power.
[03:02:29.076 --> 03:02:40.842]  And to advance intellectually via technology, especially with now that it is 100% a reality that humans can merge with machines via neurotechnology.
[03:02:42.142 --> 03:02:44.524]  That is 100% a reality as I speak.
[03:02:45.344 --> 03:02:50.026]  And you bring AI into that, machine learning, and you take a look at where the future is going.
[03:02:50.046 --> 03:02:55.329]  Because I'll tell you one thing, the US government and their capabilities with artificial intelligence
[03:02:56.949 --> 03:03:06.354]  It is far beyond far beyond what the current population can even comprehend, especially even China and their advanced abilities.
[03:03:06.975 --> 03:03:11.137]  They're just not going to release what they know when they knew it, how they knew it.
[03:03:12.017 --> 03:03:13.158]  It's all about timing.
[03:03:13.898 --> 03:03:14.799]  And we've known this, right?
[03:03:14.839 --> 03:03:16.079]  We've known this, right?
[03:03:16.099 --> 03:03:19.101]  We've known that, you know, our U.S., our own government,
[03:03:20.012 --> 03:03:27.896]  The DoD and, you know, national security and there's classified and there's all these black projects and deep black projects.
[03:03:27.936 --> 03:03:36.039]  And it's all about harnessing and protecting and keeping secret our technology for the military industrial complex.
[03:03:36.279 --> 03:03:37.300]  So the excuses.
[03:03:37.380 --> 03:03:40.741]  So our foreign enemies can't grab a hold of that and use it against us.
[03:03:40.781 --> 03:03:44.143]  So we remain the supreme superpower on planet Earth.
[03:03:44.663 --> 03:03:50.351]  And that's the argument to keep it from the American people because the American people can't be trusted because they might be a Russian.
[03:03:50.631 --> 03:03:52.173]  We've been hearing that since the Cold War.
[03:03:53.215 --> 03:04:01.165]  And so when you take a look at this and you see just exactly the way and the pattern and the absolute
[03:04:02.003 --> 03:04:02.644]  Isn't it crazy?
[03:04:17.515 --> 03:04:29.045]  Honestly, isn't it wild that the same people that are obsessed with evolution and the evolution of human beings seems to believe in everything that goes against God that actually takes humanity backwards?
[03:04:29.105 --> 03:04:30.506]  It's the opposite of progression.
[03:04:30.847 --> 03:04:44.899]  Wow, homosexuality and dudes banging dudes and women banging women is definitely going to lead us into a progressive society where we are repopulating, not spreading AIDS and disease, where we're going backwards and everybody's dying as a result.
[03:04:45.499 --> 03:04:45.919]  Wow!
[03:04:46.059 --> 03:04:51.582]  Definitely believing in chopping the genitals off, not just children, but chopping the genitals off of adults.
[03:04:51.902 --> 03:04:54.383]  That's definitely gonna take us into the future.
[03:04:54.483 --> 03:05:00.665]  It's all satanic, baphomet, depopulation, anti-God ideology.
[03:05:02.466 --> 03:05:04.447]  Guess what Vivek Ramaswamy said the other day?
[03:05:05.207 --> 03:05:05.987]  Satanic, dude.
[03:05:06.048 --> 03:05:07.368]  Straight from the mouth of the serpent.
[03:05:07.928 --> 03:05:08.388]  But look at it.
[03:05:08.469 --> 03:05:10.529]  It might be still his pinned tweet right now.
[03:05:11.290 --> 03:05:12.290]  And I fully condemn it.
[03:05:12.790 --> 03:05:14.311]  Vivek comes out and says, hey,
[03:05:15.054 --> 03:05:19.115]  This is what the media doesn't want you to know is a message from the GOP.
[03:05:19.695 --> 03:05:20.716]  You want to be gay?
[03:05:20.916 --> 03:05:22.256]  You want to be a homosexual?
[03:05:22.656 --> 03:05:25.697]  You can marry whoever you want, when you want, if you want.
[03:05:26.077 --> 03:05:29.498]  That is 100% anti-Christ.
[03:05:30.258 --> 03:05:31.839]  I'm not saying he is the anti-Christ.
[03:05:31.879 --> 03:05:34.259]  That is anti-God, anti-Bible.
[03:05:36.100 --> 03:05:38.580]  God doesn't even identify gay marriage.
[03:05:39.981 --> 03:05:42.601]  Not only does God not support it, He doesn't even acknowledge it.
[03:05:42.622 --> 03:05:44.122]  Because it doesn't exist.
[03:05:44.975 --> 03:05:49.143]  It doesn't exist in God's psyche, in his mind, in his eternality.
[03:05:51.189 --> 03:06:04.374]  So anyone that's trying to tell you and tell an entire generation, especially a lot of Gen Z, young so-called right-wingers follow people like Vivek Ramaswamy, telling you, literally, a blasphemy and an abomination declared by God.
[03:06:04.394 --> 03:06:05.615]  Yeah, you want to be gay?
[03:06:05.635 --> 03:06:07.116]  The GOP doesn't want you to know this.
[03:06:07.236 --> 03:06:08.036]  You could be gay.
[03:06:08.236 --> 03:06:09.957]  You could marry who you want, if you want.
[03:06:10.017 --> 03:06:11.617]  And it's totally left open and vague.
[03:06:11.637 --> 03:06:12.658]  It's like, really, Vivek?
[03:06:12.818 --> 03:06:15.619]  You could be a homosexual and marry whoever you want?
[03:06:15.679 --> 03:06:17.760]  What, I could marry a horse and sodomize a horse?
[03:06:18.440 --> 03:06:19.900]  Oh, that sounds really degenerate.
[03:06:19.920 --> 03:06:31.223]  Yeah, because you're dealing with perverts and you're teaching an entire generation it's okay to go against God directly via an abomination, leading people to their destruction and their eternal death.
[03:06:31.903 --> 03:06:33.403]  Yeah, I take this very seriously.
[03:06:33.423 --> 03:06:34.824]  Want to know why?
[03:06:34.944 --> 03:06:37.704]  Because I'm a born-again Christian that believes in the Bible.
[03:06:37.964 --> 03:06:41.365]  I stand with God before I stand with the United States of America.
[03:06:41.585 --> 03:06:45.946]  And if that offends you, well, welcome to the supremacy of Jesus Christ, okay?
[03:06:48.325 --> 03:06:51.147]  And you know, you'll get called alt-right for that.
[03:06:52.307 --> 03:06:55.429]  You'll get called far-right, not by the left, for talking like this.
[03:06:56.350 --> 03:06:58.551]  You'll get called this by the current GOP.
[03:06:59.412 --> 03:07:05.696]  Even some so-called Trump supporters that think they're Christians that can't wrap their mind around opposing homosexuality.
[03:07:05.716 --> 03:07:09.618]  You either stand with God or you stand with Jesus Christ.
[03:07:09.658 --> 03:07:12.420]  And by the way, can we name who this God is?
[03:07:13.420 --> 03:07:15.502]  By the way, can we name who this God is?
[03:07:16.932 --> 03:07:19.253]  Can President Trump name who this God is?
[03:07:19.273 --> 03:07:34.021]  Because I believe this prophecy, that this led him to a born-again conversion, when Jesus Christ is on the lips of Donald J. Trump and he's preaching the gospel with his newfound born-again life, apparently.
[03:07:34.241 --> 03:07:36.042]  And I know some people go through a process.
[03:07:36.762 --> 03:07:41.725]  Not everybody has this radical transformation where they're immediately preaching off of the rooftops.
[03:07:42.822 --> 03:07:46.964]  But I will say this, is that the Bible is very clear when it comes to prophecy.
[03:07:47.044 --> 03:07:48.004]  I'll say two things.
[03:07:48.665 --> 03:07:50.725]  The Bible says to test prophecies.
[03:07:52.066 --> 03:08:03.131]  The Bible also says when it comes to men or individuals that claim to be prophets and speaking on behalf of God, that they better get it 100% right.
[03:08:03.191 --> 03:08:03.771]  And if they don't,
[03:08:06.514 --> 03:08:11.316]  If what they say does not come to pass, and it's perfection, perfection!
[03:08:11.356 --> 03:08:12.477]  God doesn't make mistakes.
[03:08:13.777 --> 03:08:19.740]  When God prophesies, all of the prophets in the Bible, not a single one of them got it wrong.
[03:08:20.460 --> 03:08:21.841]  Not a single one of them got it 95%, right?
[03:08:21.861 --> 03:08:22.701]  Not a single one of them got it 96%, 97, 98, 99.9!
[03:08:22.861 --> 03:08:25.002]  I challenge you, every single prophet that God has called
[03:08:36.440 --> 03:08:37.160]  In the Bible?
[03:08:37.180 --> 03:08:38.901]  Let's just pick on the Bible.
[03:08:39.221 --> 03:08:41.562]  Got it.
[03:08:41.582 --> 03:08:42.442]  100% correct.
[03:08:42.902 --> 03:08:43.903]  No human error.
[03:08:44.363 --> 03:08:46.343]  No human misinterpretation.
[03:08:46.363 --> 03:08:47.944]  100% correct.
[03:08:47.964 --> 03:08:55.146]  Because the Apostle Peter comes in the New Testament and says, the prophets of old, they were moved by the Holy Spirit of God.
[03:08:55.166 --> 03:08:56.907]  It was God speaking.
