# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.080 --> 00:00:32.719]  InfoWars, tomorrow's news, today.
[03:07:18.079 --> 03:07:19.360]  I'm a traitor.
[03:07:20.000 --> 03:07:21.040]  All right, great.
[03:07:21.600 --> 03:07:23.040]  Wouldn't be the first time I heard that.
[03:07:23.280 --> 03:07:25.760]  I got accused of being a Russian agent for supporting it.
[03:07:27.600 --> 03:07:29.920]  Here's Ben Shapiro, the Israeli operative.
[03:07:30.479 --> 03:07:31.760]  Thousands of hours of tape.
[03:07:32.079 --> 03:07:34.479]  There are, by the way, but they are child pornography.
[03:07:34.639 --> 03:07:41.920]  The reason the FBI is not releasing them is because those tapes do not include underage people with third parties on Epstein Island.
[03:07:42.000 --> 03:07:43.440]  That is not what the tapes are.
[03:07:44.079 --> 03:07:48.399]  I also have sources in the federal government who are covering this stuff and have seen the documents.
[03:07:48.959 --> 03:07:50.879]  Those tapes are just child porn.
[03:07:50.959 --> 03:07:51.600]  That's all.
[03:07:51.920 --> 03:07:52.559]  That's what they are.
[03:07:52.719 --> 03:07:54.559]  That's why the FBI is not releasing them.
[03:07:55.200 --> 03:08:03.840]  As far as the Epstein list, what I have been told by my sources is that there is no Epstein list, that basically there's a Black book of Jeffrey Epstein contact.
[03:08:04.079 --> 03:08:06.879]  And the vast majority of those contacts are already out there publicly.
[03:08:06.959 --> 03:08:12.559]  That's why you know names like Prince Andrew or Alan Dershowitz or some of the names that have been mentioned here.
[03:08:12.879 --> 03:08:16.479]  Those contacts, there is no evidence according to the DOJ and the FBI.
[03:08:16.559 --> 03:08:17.360]  And again, that's public.
[03:08:17.520 --> 03:08:22.319]  There's no evidence that any of those third parties were having girls trafficked to them.
[03:08:23.200 --> 03:08:26.559]  Here is Tucker then asserting that it was actually Mossad.
[03:08:26.879 --> 03:08:28.959]  Again, without evidence, not a shock.
[03:08:29.280 --> 03:08:31.120]  Of course, this is where Tucker was going.
[03:08:31.280 --> 03:08:37.120]  This has become the hot speculation on the internet is without evidence, you say that Mossad was running Jeffrey Epstein.
[03:08:37.200 --> 03:08:39.280]  When I say without evidence, I mean without evidence.
[03:08:39.360 --> 03:08:55.760]  Naftali Bennett, the former Israeli prime minister, said, quote, As a former Israeli prime minister, with the Mossad having reported directly to me, I say to you with 100% certainty: the accusation that Jeffrey Epstein somehow worked for Israel or the Mossad running a blackmail ring is categorically and totally false.
[03:08:56.079 --> 03:09:02.159]  This accusation is a lie being peddled by prominent online personalities such as Tucker Carlson, pretending they know things they don't.
[03:09:02.479 --> 03:09:22.399]  And in fact, I followed up with the former prime minister, Naptali Bennett, and what he told me is that Mossad has not been active in the United States since the, or against the United States, since the Jonathan Pollard scandal of 1987, when a U.S. Army contractor, he's actually working for the Navy, revealed classified information to the Israeli government.
[03:09:22.559 --> 03:09:26.879]  He was prosecuted by the United States government and ended up in prison for almost 30 years.
[03:09:27.200 --> 03:09:30.239]  And so Israel since then has not spied on the United States with Mossad.
[03:09:31.840 --> 03:09:32.479]  Wow.
[03:09:33.440 --> 03:09:41.120]  Ben Shapiro was talking to the former prime minister and the head of Assad, and he said Israel doesn't spy on the United States.
[03:09:42.959 --> 03:09:50.799]  Then, of course, we have the admitted handler, John Bryan, of Prince Andrews, saying, no, he did abuse underage girls.
[03:09:51.440 --> 03:09:54.719]  But you just heard Ben Shapiro.
[03:09:56.319 --> 03:10:02.319]  He talked to the former Israeli prime minister that was the boss of Assad, and he said there's nothing there.
[03:10:02.639 --> 03:10:10.719]  Was Ehud Barak 30 plus times on record at Epstein's facility going in and out with young women, trying to cover his face?
[03:10:11.040 --> 03:10:16.079]  Is he in the files that have been released with Epstein talking about women, girls?
[03:10:16.719 --> 03:10:21.680]  Yes, Benny Shapiro, he is.
[03:10:22.319 --> 03:10:40.319]  Was Robert Maxwell, the father of Ghislane, the real boss, the head Mashad operative buried with Mashad honors at Mount of Olives with his body received by the Israeli prime minister?
[03:10:42.799 --> 03:10:44.879]  Probably not Mashad, right?
[03:10:48.799 --> 03:10:49.760]  I mean, here's the deal.
[03:10:49.920 --> 03:10:59.760]  I don't say Israel is the fountain of all problems in the world, but do not, do not, do not piss in my face and tell me it's raining.
[03:11:00.079 --> 03:11:03.760]  Do not, do not, do not.
[03:11:05.280 --> 03:11:08.719]  Oh, Ben Shapiro that organizes Elon Musk on Israel.
[03:11:08.959 --> 03:11:13.040]  No, Elon, Ben Shapiro just calls up the former prime minister.
[03:11:13.360 --> 03:11:15.680]  Well, there's your total proof.
[03:11:16.000 --> 03:11:19.520]  What is the Mossad maxim?
[03:11:20.319 --> 03:11:21.680]  What is their call sign?
[03:11:22.000 --> 03:11:26.239]  What is their refrain?
[03:11:27.120 --> 03:11:28.719]  What is their battle cry?
[03:11:30.000 --> 03:11:30.799]  What is it exactly?
[03:11:31.200 --> 03:11:32.959]  By way of deception, we conquer.
[03:11:33.120 --> 03:11:34.879]  By way of deception, we overcome.
[03:11:35.360 --> 03:11:36.399]  Forget the exact quote.
[03:11:36.559 --> 03:11:37.680]  Guys, pull up the Mossad.
[03:11:38.399 --> 03:11:39.520]  It's on their own website.
[03:11:39.760 --> 03:11:41.280]  What is the Mosad in Hebrew?
[03:11:42.399 --> 03:11:43.280]  Maxim?
[03:11:43.840 --> 03:11:45.680]  By way of deception, we what?
[03:11:47.729 --> 03:11:48.319]  Number five.
[03:11:48.319 --> 03:11:48.579]  Number five.
[03:11:48.600 --> 03:11:58.459]  Number five.
[03:11:58.479 --> 03:12:01.760]  By way of deception, thou shalt do war.
[03:12:03.600 --> 03:12:05.520]  Oh, but you heard Ben Shapiro.
[03:12:05.840 --> 03:12:09.440]  I mean, we talked to the former boss of Mossad.
[03:12:09.600 --> 03:12:13.520]  I called him, he said, I bet you talk quite a bit.
[03:12:14.079 --> 03:12:27.600]  And he says, why, since Jonathan Pollard got put in prison for stealing U.S. military secrets, we've never spied on America, not one time.
[03:12:27.920 --> 03:12:29.520]  Not Monliko Lewinsky.
[03:12:29.840 --> 03:12:30.799]  That all came out.
[03:12:31.120 --> 03:12:33.200]  Not the Israelis tapping the White House.
[03:12:33.440 --> 03:12:38.559]  No, no, no, no, no, no, no, no, no.
[03:12:39.440 --> 03:12:41.520]  And the Russians don't spy.
[03:12:41.840 --> 03:12:44.159]  And the Chinese don't spy.
[03:12:45.120 --> 03:12:47.280]  And MI6 doesn't spy.
[03:12:47.840 --> 03:12:50.079]  And the cartels don't spy.
[03:12:52.319 --> 03:12:53.520]  And the French don't spy.
[03:12:53.600 --> 03:12:58.639]  I mean, just everybody knows all these governments spy on each other.
[03:13:01.840 --> 03:13:09.680]  Why don't you just say, yeah, we monitor our ally, like Senator Cruz said.
[03:13:10.000 --> 03:13:13.360]  I mean, Cruz is smart enough to not say Israel doesn't spy on us.
[03:13:14.879 --> 03:13:15.840]  Oh, my God.
[03:13:16.159 --> 03:13:18.559]  I've never heard such bullshit in my life.
[03:13:19.760 --> 03:13:27.360]  I mean, Ben Shapiro has nothing but raw disdain for his dwindling audience.
[03:13:28.000 --> 03:13:29.120]  And it's so classic.
[03:13:29.440 --> 03:13:32.879]  They had billionaire Zionist funding to start the Daily Wire.
[03:13:34.079 --> 03:13:43.600]  And then they all got dreams of Hollywood and put hundreds of millions of dollars into Hollywood productions with them starring in it.
[03:13:44.239 --> 03:13:46.479]  Because they want to be movie stars.
[03:13:47.440 --> 03:13:49.520]  Hollywood's been dead for 20 years, bro.
[03:13:49.760 --> 03:13:52.639]  It's a joke to anybody with an IQ above room temperature.
[03:13:53.280 --> 03:13:56.479]  What people care about is authenticity and the truth.
[03:13:57.920 --> 03:14:05.360]  The age of Hollywood's over, but you still got into this to be a Hollywood movie star.
[03:14:08.979 --> 03:14:09.599]  You're a joke.
[03:14:09.599 --> 03:14:15.519]  So.
[03:14:15.520 --> 03:14:20.719]  So and I don't say this so the Israel lobby doesn't attack me.
[03:14:20.799 --> 03:14:24.319]  They've been attacking me forever because I oppose their policies and other globalist policies.
[03:14:28.639 --> 03:14:34.559]  It makes me sick to have to sit here and spend time on Israel.
[03:14:35.760 --> 03:14:48.879]  Because I understand how the universe works and I understand that the people that are obsessed with Israel, if it is possible, and it is, nine times out of ten are even sicker.
[03:14:49.200 --> 03:15:02.079]  Because that's that weird thing about the weird spiritual vortex around Israel and just, and, you know, the Abrahamic religion, All of it, and there's a real thing there.
[03:15:02.399 --> 03:15:04.239]  And there's all these amazing things Jews do.
[03:15:04.559 --> 03:15:04.959]  They do.
[03:15:05.120 --> 03:15:06.559]  There's all these horrible things they do.
[03:15:07.600 --> 03:15:11.040]  Any exceptional group is going to be exceptionally evil and exceptionally good.
[03:15:11.120 --> 03:15:11.920]  I mean, that's real.
[03:15:12.159 --> 03:15:13.920]  I mean, I have respect for it.
[03:15:15.040 --> 03:15:16.239]  I admire a lot of it.
[03:15:16.799 --> 03:15:17.600]  I'll be honest with you.
[03:15:18.159 --> 03:15:21.680]  I can admire a bingled tiger in the jungles of India.
[03:15:21.760 --> 03:15:24.319]  It doesn't mean I'm going to get out of my car and run over and try to hug it.
[03:15:25.280 --> 03:15:27.200]  But dude, you're a predator, man.
[03:15:27.520 --> 03:15:29.600]  You think we're all a bunch of animals.
[03:15:30.159 --> 03:15:36.000]  And how it works is they get Jews abused for their operations.
[03:15:36.159 --> 03:15:40.879]  The Jews all get behind the alpha Jews who then suck off of them and control them.
[03:15:41.200 --> 03:15:43.520]  And then they always make a play for total power.
[03:15:43.840 --> 03:15:45.840]  And then that conjures the golem.
[03:15:46.959 --> 03:15:49.280]  That conjures the Adolf Hitler.
[03:15:50.479 --> 03:15:52.159]  That conjures the Ben Shapiro.
[03:15:54.319 --> 03:15:56.879]  That conjures the Nick Fuentes.
[03:15:57.360 --> 03:15:59.120]  Because it's all two sides of the same coin.
[03:15:59.360 --> 03:16:02.319]  And I'm not saying Nick Fuentes is Hitler.
[03:16:02.639 --> 03:16:08.639]  I'm not saying Ben Shapiro is Hitler, but it's those forces that form is the same archetype.
[03:16:10.559 --> 03:16:12.239]  And it always goes the same direction.
[03:16:12.479 --> 03:16:15.360]  I'm just like, can we stop this cycle, please?
[03:16:16.319 --> 03:16:19.440]  I mean, you guys just have to have your Armageddon, don't you?
[03:16:20.399 --> 03:16:22.959]  And again, I've never really followed Nick Foynetes.
[03:16:24.479 --> 03:16:26.559]  I'm going to go to break it back with the calls versus broadcast.
[03:16:31.440 --> 03:16:35.920]  I mean, I knew he did the Groipers and popped up in 2016 and seemed articulate and interesting.
[03:16:36.079 --> 03:16:39.600]  And like the interview, he was not, you know, overall, very likable guy, very smart.
[03:16:39.760 --> 03:16:42.079]  I mean, he's very, very smart.
[03:16:42.399 --> 03:16:44.319]  And I didn't know that he was in Model UN.
[03:16:44.399 --> 03:16:45.280]  It doesn't mean he's a UN agent.
[03:16:45.600 --> 03:16:49.840]  Any of the smart kids in school, they'd like a debate class, you model UN stuff.
[03:16:50.639 --> 03:16:56.319]  I noticed early on as kind of a factoid junkie of geopolitics and history and, you know, regions and things.
[03:16:56.399 --> 03:17:04.719]  I was like, this guy really knows what he's talking about when he's like 18, popping up at the Daily Wire, interviewing him here and there, then meeting him a few times, rallies, things like that.
[03:17:05.920 --> 03:17:08.479]  But I never did his origin story.
[03:17:08.719 --> 03:17:21.680]  So I got up about 4.30 this morning and I was doing research and I just in my feed popped up the Candace Owens interview they did last Friday with Shapiro, I mean, with Puentez.
[03:17:22.559 --> 03:17:27.200]  And I didn't listen the whole two hours, whatever.
[03:17:27.280 --> 03:17:28.239]  I listened to about 45 minutes.
[03:17:28.719 --> 03:17:29.760]  I got busy.
[03:17:30.639 --> 03:17:33.280]  And it was how he does this speech against leftists.
[03:17:33.360 --> 03:17:35.120]  It's super popular at Boston University.
[03:17:35.440 --> 03:17:39.600]  And the Daily Wire comes and hires him and then starts pecking him, saying, you got to go to Israel.
[03:17:39.760 --> 03:17:40.639]  You got to be pro-Israel.
[03:17:40.799 --> 03:17:41.680]  He wasn't even thinking about Israel.
[03:17:42.000 --> 03:17:43.440]  He was actually pro-Israel.
[03:17:44.079 --> 03:17:45.520]  But he wasn't like thinking about Israel.
[03:17:45.600 --> 03:17:49.440]  He's like, well, what do you mean I got to, you know, get more pro-Israel?
[03:17:49.760 --> 03:17:51.600]  They were trying to recruit him in.
[03:17:52.559 --> 03:17:54.639]  And then over the next year, he wouldn't do it.
[03:17:54.959 --> 03:17:59.520]  So they threaten him, fire him, then get him blackballed.
[03:18:00.719 --> 03:18:02.959]  And then that's what made him go on this path.
[03:18:03.120 --> 03:18:17.120]  And that is the perfect allegory or microcosm of why a real sage Michael Savage was on two weeks ago.
[03:18:17.280 --> 03:18:19.600]  He said he's talking to the highest level in Israel.
[03:18:20.799 --> 03:18:21.840]  And they're not anti-Israel.
[03:18:21.920 --> 03:18:22.799]  They're not anti-expansion.
[03:18:22.879 --> 03:18:23.600]  They're not in that.
[03:18:23.840 --> 03:18:25.200]  They're like Netanyahu's got to go.
[03:18:25.280 --> 03:18:26.239]  He's turned the whole world against us.
[03:18:26.319 --> 03:18:29.760]  He has got a lot of power out of it, but we can see where this leads.
[03:18:31.360 --> 03:18:38.479]  And I mean, they literally created Nick Contest.
[03:18:43.040 --> 03:18:44.239]  Pro-Israel.
[03:18:46.799 --> 03:18:49.360]  But he kept asking, why am I always being pushed to go to Israel?
[03:18:50.079 --> 03:18:52.159]  Why am I being told I got to do this for Israel?
[03:18:52.799 --> 03:18:55.279]  And then he started asking, I said, you don't ask questions.
[03:18:55.279 --> 03:19:00.869]  I said, you don't ask questions.
[03:19:00.879 --> 03:19:02.239]  And then they persecuted him.
[03:19:05.200 --> 03:19:08.719]  Just like I never make a big deal about it, but it's been the ADL.
[03:19:08.799 --> 03:19:12.719]  And, you know, that lobbies quarterbacks and law firms.
[03:19:12.879 --> 03:19:17.360]  And I go in there and, you know, I go, you white shoeboys aren't going to destroy me.
[03:19:17.520 --> 03:19:20.799]  And they put a headline out in a fake transcript, white Jewboys.
[03:19:21.280 --> 03:19:22.799]  And we create the audio to the court.
[03:19:22.879 --> 03:19:28.159]  And the Supreme, the court has to admit I said white shoeboy, which means Ivy League.
[03:19:29.360 --> 03:19:31.200]  But, you know, I didn't make a big deal about it.
[03:19:31.280 --> 03:19:32.559]  It was Jewish mafia attacking me.
[03:19:32.639 --> 03:19:33.360]  I'm like, that's all right.
[03:19:33.440 --> 03:19:33.760]  That's fine.
[03:19:33.840 --> 03:19:35.120]  I'm not going to, you know, play your game.
[03:19:35.360 --> 03:19:37.440]  And then they just still make it about that.
[03:19:39.200 --> 03:19:43.520]  Like, no, we're going to do that and you're going to sit there and take it, buddy.
[03:19:43.840 --> 03:19:44.559]  We don't care.
[03:19:44.719 --> 03:19:46.959]  Both your grandfathers almost died bombing Hitler.
[03:19:47.280 --> 03:19:50.399]  We're going to call you a Nazi and you're going to sit there and you're going to take it.
[03:19:54.479 --> 03:19:59.680]  Because we're going to cynically sit there and we're going to use that for control and power.
[03:19:59.920 --> 03:20:02.399]  And I'm like, hey, I'm not like Fuentes.
[03:20:02.639 --> 03:20:04.399]  And I'm not saying he's weak-minded.
[03:20:04.479 --> 03:20:07.760]  He's very smart, but he doesn't love Hitler or anything, but whatever.
[03:20:08.000 --> 03:20:13.520]  He gets into the edginess of halfway defending him.
[03:20:14.159 --> 03:20:15.280]  But let's explain something.
[03:20:15.520 --> 03:20:18.239]  I don't like Hitler and I don't like the people running Israel.
[03:20:18.399 --> 03:20:19.680]  And I put you people in the same boat.
[03:20:20.000 --> 03:20:23.280]  Sick, evil, power-grabbing demons who are going to get us all killed.
[03:20:23.520 --> 03:20:24.159]  Got it?
[03:20:24.719 --> 03:20:26.719]  How dare you?
[03:20:26.959 --> 03:20:28.159]  And I'll tell Israel this.
[03:20:28.319 --> 03:20:32.799]  You are conjuring the ultimate Hitler that will destroy us all.
[03:20:33.040 --> 03:20:35.280]  You are going to get everybody killed.
[03:20:35.600 --> 03:20:37.200]  Have you taken that methylene blue yet?
[03:20:37.360 --> 03:20:37.520]  Yeah.
[03:20:37.840 --> 03:20:38.319]  I like it.
[03:20:38.719 --> 03:20:39.520]  I really like it.
[03:20:39.680 --> 03:20:40.719]  I'm going to have to get on this.
[03:20:41.040 --> 03:20:42.319]  Here, shower Kennedy taking it.
[03:20:42.479 --> 03:20:44.000]  Kennedy literally gobbles it.
[03:20:44.159 --> 03:20:47.920]  When RFK Jr. mixes something into his drink, people pay attention.
[03:20:48.159 --> 03:20:52.639]  Many folks are wondering what was in that little bottle he uncorked during a flight.
[03:20:52.879 --> 03:20:56.239]  What is Bobby Kennedy Jr. dropping into that glass of water?
[03:20:56.479 --> 03:20:57.440]  Methylene blue.
[03:20:57.600 --> 03:21:01.040]  Mel Gibson also praised methylene blue on Joe Rogan recently.
[03:21:01.360 --> 03:21:02.399]  Stuff works, man.
[03:21:02.559 --> 03:21:04.079]  You must be doing something right.
[03:21:04.319 --> 03:21:06.799]  That ripped bod is 73 years old.
[03:21:07.120 --> 03:21:09.840]  I take it about every other day or every, you know, other couple days.
[03:21:10.159 --> 03:21:10.879]  I've been fasting a lot.
[03:21:11.040 --> 03:21:13.600]  I take it on my fast days, and it helps me with my appetite.
[03:21:13.760 --> 03:21:15.520]  Did you hear her last guess what she said happened to her?
[03:21:15.840 --> 03:21:16.079]  No.
[03:21:16.239 --> 03:21:16.479]  What?
[03:21:16.639 --> 03:21:18.319]  She said brain fog just lifted.
[03:21:18.639 --> 03:21:19.760]  That's what it feels like.
[03:21:20.079 --> 03:21:24.959]  I feel like, wow, there's power in coalescing all your thoughts.
[03:21:25.280 --> 03:21:29.760]  It clears the brain fog where you're actually able to focus more clearly.
[03:21:30.000 --> 03:21:30.879]  You feel lighter.
[03:21:31.040 --> 03:21:31.840]  It's really interesting.
[03:21:32.399 --> 03:21:33.680]  I almost like feel smarter.
[03:21:33.920 --> 03:21:34.639]  So I like it.
[03:21:34.879 --> 03:21:35.680]  Makes me feel good.
[03:21:35.840 --> 03:21:36.399]  I've been taking it.
[03:21:36.719 --> 03:21:39.200]  You just put a couple drops in, and I'm not trying to even sell it.
[03:21:39.280 --> 03:21:40.559]  But guys, you should really try it.
[03:21:40.879 --> 03:21:45.040]  Tell you too, if you're trying to kind of lose some weight, that methane will help me lose a lot of weight.
[03:21:45.200 --> 03:21:46.639]  I mean, it's so good, it's scary.
[03:21:46.879 --> 03:21:47.600]  It's just amazing.
[03:21:48.079 --> 03:21:49.680]  So, yes, it really does work.
[03:21:49.840 --> 03:21:51.840]  It varies person to person, but it's amazing.
[03:21:52.159 --> 03:21:53.440]  It is tremendous.
[03:21:53.760 --> 03:21:56.879]  After I take it throughout the day, I start feeling better and better.
[03:21:57.120 --> 03:22:01.200]  For me, it's like a box lifted, but it was like a veil lifted off, you know?
[03:22:01.520 --> 03:22:01.920]  Incredible.
[03:22:02.159 --> 03:22:03.760]  Best product that I've purchased before.
[03:22:04.239 --> 03:22:08.639]  God, family, country, info war, and methylene blue.
[03:22:08.719 --> 03:22:09.680]  Get it while you can.
[03:22:10.000 --> 03:22:10.239]  Yeah!
[03:22:13.040 --> 03:22:14.159]  Get that methylene blue.
[03:22:14.399 --> 03:22:15.040]  Bill Gord!
[03:22:15.440 --> 03:22:17.079]  Content for getting entertained, goodbye!
[03:22:17.079 --> 03:22:23.079]  *Pewds screaming* you We'll see you next time.
[03:22:23.360 --> 03:22:24.879]  Well, everybody's tuned in right now.
[03:22:25.040 --> 03:22:26.079]  The White House is.
[03:22:26.559 --> 03:22:27.600]  I just got some messages.
[03:22:27.680 --> 03:22:30.719]  I want to say hi to everybody there.
[03:22:31.360 --> 03:22:34.559]  Say hi to, you know, who.
[03:22:36.399 --> 03:22:37.760]  So you're watching.
[03:22:38.959 --> 03:22:40.639]  I know that already.
[03:22:41.040 --> 03:22:44.079]  Just trying to not have us run the bus off a cliff here.
[03:22:44.239 --> 03:22:45.920]  That's all I'm trying to do.
[03:22:48.239 --> 03:22:53.120]  Just briefly, I've shot a report over a week ago.
[03:22:53.440 --> 03:22:54.799]  Incredible corruption we caught.
[03:22:54.879 --> 03:22:55.680]  I've never aired it.
[03:22:56.000 --> 03:22:57.360]  New stuff just keeps coming out.
[03:22:57.520 --> 03:22:58.479]  They've got their receiver.
[03:22:58.639 --> 03:23:02.319]  They could shut us down as early as tomorrow, probably the next few weeks.
[03:23:02.959 --> 03:23:03.920]  We just keep fighting.
[03:23:04.000 --> 03:23:04.479]  We keep winning.
[03:23:04.639 --> 03:23:05.440]  Keep praying for us.
[03:23:05.520 --> 03:23:06.719]  People don't take it serious.
[03:23:06.799 --> 03:23:08.319]  We've survived so much.
[03:23:11.200 --> 03:23:18.559]  And it's like they talk about those that are got the touch or whatever in war.
[03:23:18.719 --> 03:23:20.000]  It's been written about for thousands of years.
[03:23:20.319 --> 03:23:21.760]  Certain people never get killed.
[03:23:22.079 --> 03:23:23.920]  Certain people just keep winning.
[03:23:24.479 --> 03:23:25.600]  I don't take it for granted.
[03:23:25.680 --> 03:23:26.559]  I liken it too.
[03:23:27.200 --> 03:23:33.760]  I had a lot of family members because we're a big, close family and there was all these cool great uncles, great aunts.
[03:23:34.079 --> 03:23:39.040]  And my dad, especially when I was growing up, you know, we would always, a lot of weekends go, we got to go see this person.
[03:23:39.120 --> 03:23:40.879]  They're having heart surgery or they got cancer.
[03:23:41.040 --> 03:23:47.680]  And you'd go see them and they'd beat it and they'd come visit and they'd hang out and then they'd be at dinner so fine and everything.
[03:23:47.760 --> 03:23:48.879]  And a week later, they're dead.
[03:23:49.680 --> 03:23:52.799]  And you just never expected they'd be gone, but you're at their funeral.
[03:23:55.840 --> 03:24:17.600]  And, you know, even when they shut down Infowars, it's going to be quite the big deal because, you know, we've survived so much craziness and they are coming in just absolutely lawsuits attacking me and my family.
[03:24:18.159 --> 03:24:23.920]  They put in filings and this giant filing that you notice hadn't hit the news, even though it's almost two weeks old.
[03:24:24.239 --> 03:24:27.280]  And then now they made their other big move Monday.
[03:24:27.360 --> 03:24:28.639]  I learned about this morning because I've been busy.
[03:24:28.719 --> 03:24:30.000]  My lawyer's like, you know, I've been calling me back.
[03:24:30.079 --> 03:24:31.600]  I'm like, I've been busy.
[03:24:32.239 --> 03:24:34.879]  Literally, my way of dealing with this is I just don't think about it.
[03:24:36.879 --> 03:24:48.319]  He said, you understand the Connecticut Democrat Party group, they dropped their claims in federal court of hundreds and hundreds and hundreds of millions of dollars because it was held up in federal court.
[03:24:49.280 --> 03:24:54.159]  They dropped it all to go straight to state court saying, we want our money.
[03:24:54.399 --> 03:24:57.920]  We want his business closed that's offered to pay them money.
[03:24:59.040 --> 03:25:00.799]  You've seen them in all the videos saying we don't want money.
[03:25:00.879 --> 03:25:04.319]  We want him to shut down, which you're not supposed to get under the law.
[03:25:04.639 --> 03:25:07.600]  And in separate headlines, Jones hiding money, that same thing.
[03:25:08.799 --> 03:25:10.719]  So it's just harassment.
[03:25:10.879 --> 03:25:11.440]  I'm blessed.
[03:25:11.520 --> 03:25:12.959]  I haven't been killed or put in prison.
[03:25:13.200 --> 03:25:14.719]  The globalists have tried, not these people.
[03:25:14.959 --> 03:25:15.920]  They always say what I'm talking about in general.
[03:25:16.000 --> 03:25:16.879]  They're like, oh, they're saying we did that.
[03:25:16.959 --> 03:25:19.840]  No, I'm talking about your bosses, the power structure.
[03:25:20.399 --> 03:25:31.360]  But I just always love how they keep turning the heat up and think, like they literally, a few of the last times in federal court, come to my lawyers, the times I'm not there.
[03:25:31.440 --> 03:25:32.239]  I'm not there most of the time.
[03:25:32.319 --> 03:25:34.159]  This hearing's only like once a month at least.
[03:25:34.239 --> 03:25:38.559]  I've probably been to like five federal ones and a whole bunch of state ones, but maybe I'll go to a third of them.
[03:25:38.879 --> 03:25:41.520]  And they walk over and they go, why haven't you given up yet?
[03:25:42.479 --> 03:25:45.040]  You know, we'll go easy on him if he just gives us info force.
[03:25:45.200 --> 03:25:45.760]  Yeah, right.
[03:25:46.399 --> 03:25:46.719]  Sure.
[03:25:47.040 --> 03:25:47.680]  There you go.
[03:25:48.639 --> 03:25:50.959]  Your filing said you own my name.
[03:25:51.280 --> 03:25:54.799]  I said, yes, the 13th Amendment last year, they said in the filing, even Bloomberg covered it.
[03:25:54.879 --> 03:25:55.440]  You can look it up.
[03:25:55.680 --> 03:26:01.040]  Just type in the 13th Amendment does not apply to Alex Jones, Bloomberg.com.
[03:26:01.360 --> 03:26:02.399]  It'll pull up.
[03:26:02.719 --> 03:26:03.520]  It's in the filing.
[03:26:03.680 --> 03:26:09.600]  They say, well, the prohibition against slavery applies to everybody else, but Alex Jones is a special case.
[03:26:10.879 --> 03:26:11.920]  And you read the filing.
[03:26:12.000 --> 03:26:13.920]  They don't say the special case.
[03:26:14.559 --> 03:26:20.239]  Remember the Onion Bloomberg guy with Stephanophilus on what, ABC News or whatever it is?
[03:26:20.319 --> 03:26:26.399]  And he goes, Stephanophilis goes, well, the judge says you guys didn't really offer any money, but you were just giving it in a fake auction and he's going to shut it down.
[03:26:26.479 --> 03:26:27.520]  He goes, no, it's ours.
[03:26:27.760 --> 03:26:32.319]  He goes, well, how can you not pay money, but Alex Jones had a buyer and not take the money?
[03:26:32.399 --> 03:26:34.079]  He goes, it's Alex Jones.
[03:26:34.719 --> 03:26:40.000]  And the Bloomberg guy that actually owns it just nods.
[03:26:43.520 --> 03:26:47.200]  Yeah, there's Alex Jones Bankruptcy Trustee aims to sell social media accounts.
[03:26:47.280 --> 03:27:03.600]  And if you read in the article, it says from the filing, well, yeah, there's an amendment after the Civil War against slavery, and you can't own somebody's name, but Alex Jones is a special case, just control F special case.
[03:27:04.799 --> 03:27:08.879]  And I tell people this, they go, I tell lawyers that aren't on the case, they go, yeah, right.
[03:27:08.959 --> 03:27:11.440]  They didn't say the 13th Amendment doesn't apply to you.
[03:27:11.760 --> 03:27:12.959]  I'm like, the hell they don't.
[03:27:13.120 --> 03:27:14.479]  I get on my phone, pull the ruling up.
[03:27:14.719 --> 03:27:16.399]  They go, what the hell?
[03:27:17.040 --> 03:27:19.840]  You'd have to have a constitutional amendment.
[03:27:20.159 --> 03:27:22.479]  Nobody is going to repeal.
[03:27:23.120 --> 03:27:24.879]  You ask your control F. You know that, right?
[03:27:25.120 --> 03:27:30.479]  Just hit Control F. That might be a subscription article.
[03:27:30.559 --> 03:27:31.920]  Then you got to find it.
[03:27:32.559 --> 03:27:33.680]  So they might have cut it out.
[03:27:33.760 --> 03:27:34.239]  It's so embarrassing.
[03:27:34.319 --> 03:27:35.440]  Go to the Wayback Machine.
[03:27:35.680 --> 03:27:36.959]  It's in the filing.
[03:27:37.280 --> 03:27:40.399]  So notice they searched it and the article came up, but it's not there.
[03:27:40.719 --> 03:27:41.840]  This happens all the time now.
[03:27:42.079 --> 03:27:47.040]  But imagine the 13th Amendment does not apply to me.
[03:27:48.239 --> 03:27:51.040]  Now, a liberal would be a victim and roll around and pee on themselves.
[03:27:51.120 --> 03:27:52.239]  I love that.
[03:27:52.879 --> 03:28:00.879]  We've got these people saying the 13th Amendment abolition on slavery does not apply to Alexander Emmerich Jones.
[03:28:05.040 --> 03:28:14.719]  Man, they say you judge a man by his friends and his enemies, and boy, do I have the worst enemies, and that means I'm over the target.
[03:28:15.710 --> 03:28:23.180]  Just like my grandfather dropping bombs over Italy and then Germany when he volunteered for all those extra missions in a B-17.
[03:28:30.079 --> 03:28:31.840]  And then their base got strafed.
[03:28:31.920 --> 03:28:33.040]  I never learned this until after he was dead.
[03:28:33.200 --> 03:28:36.239]  I didn't even know it till he got his files in the box.
[03:28:39.360 --> 03:28:42.079]  He was trying to re-volunteer for more missions.
