[00:00.000 --> 00:07.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[01:13:31.920 --> 01:13:33.920]  how many attacks will it take
[01:13:33.920 --> 01:13:35.920]  until the government that has brought these people in,
[01:13:35.920 --> 01:13:37.920]  in Europe or here,
[01:13:37.920 --> 01:13:39.920]  is held accountable?
[01:13:39.920 --> 01:13:41.920]  Because here's the thing, Obama,
[01:13:41.920 --> 01:13:43.920]  you're not blaming the Second Amendment
[01:13:43.920 --> 01:13:45.920]  that our forebears fought for, everybody else fought for,
[01:13:45.920 --> 01:13:47.920]  and the First Amendment and our free-open culture
[01:13:47.920 --> 01:13:49.920]  piss all over.
[01:13:49.920 --> 01:13:51.920]  You're not going to sit there and blame
[01:13:51.920 --> 01:13:53.920]  what happened in Florida on us.
[01:13:53.920 --> 01:13:55.920]  Do you understand, you son of a bitch?
[01:13:55.920 --> 01:13:57.920]  I don't usually talk like that,
[01:13:57.920 --> 01:13:59.920]  but it's clear there's about to be a bunch more attacks.
[01:13:59.920 --> 01:14:01.920]  And I'm not going to sit here and take the blame for it,
[01:14:01.920 --> 01:14:03.920]  because the Daily Beast and Media Matter says so.
[01:14:03.920 --> 01:14:05.920]  You're declaring war on this country
[01:14:05.920 --> 01:14:07.920]  with a bunch of jihadis you brought in.
[01:14:07.920 --> 01:14:09.920]  You did it, you son of a bitch.
[01:14:09.920 --> 01:14:11.920]  I'm sorry, but that's what it comes down to.
[01:14:11.920 --> 01:14:13.920]  And the games are over.
[01:14:13.920 --> 01:14:15.920]  I'm not going to sit here and have my family
[01:14:15.920 --> 01:14:17.920]  and this country scapegoated
[01:14:17.920 --> 01:14:19.920]  because you're a slimeball that hates this country
[01:14:19.920 --> 01:14:21.920]  and is allied with a bunch of people who are in nightgowns.
[01:14:21.920 --> 01:14:23.920]  Sorry, go ahead.
[01:14:23.920 --> 01:14:25.920]  You said it all.
[01:14:25.920 --> 01:14:27.920]  You did.
[01:14:27.920 --> 01:14:29.920]  We have to start fighting back.
[01:14:31.920 --> 01:14:33.920]  We're going to rob you after the break,
[01:14:33.920 --> 01:14:35.920]  and then Biggs is getting in position there at the nightclub.
[01:14:35.920 --> 01:14:37.920]  Other angles to this.
[01:14:37.920 --> 01:14:39.920]  I rarely get this mad, folks.
[01:14:39.920 --> 01:14:41.920]  I mean, I'm really getting tired of this.
[01:14:41.920 --> 01:14:43.920]  It's a nightmare. It's like logic has been killed, Tim.
[01:14:43.920 --> 01:14:45.920]  They have allowed these people in.
[01:14:45.920 --> 01:14:47.920]  They're attacking us.
[01:14:47.920 --> 01:14:49.920]  And then the news blames us.
[01:14:49.920 --> 01:14:51.920]  You asked, how bad is it going to get?
[01:14:51.920 --> 01:14:53.920]  It's going to get way, way worse.
[01:14:53.920 --> 01:14:55.920]  It is statistically proven
[01:14:55.920 --> 01:14:57.920]  as Islam increases
[01:14:57.920 --> 01:14:59.920]  percentage-wise in the nation
[01:14:59.920 --> 01:15:01.920]  as does the terrorist attacks.
[01:15:01.920 --> 01:15:03.920]  So we were
[01:15:03.920 --> 01:15:05.920]  one, two percent over the past decade.
[01:15:05.920 --> 01:15:07.920]  Now we're at three to four percent.
[01:15:07.920 --> 01:15:09.920]  And we are on trend when we reach the eight to nine
[01:15:09.920 --> 01:15:11.920]  that we should be at the end of next year
[01:15:11.920 --> 01:15:13.920]  will pretty much be tripling
[01:15:13.920 --> 01:15:15.920]  the number of terrorist attacks that we had this year.
[01:15:15.920 --> 01:15:17.920]  So we had
[01:15:17.920 --> 01:15:19.920]  eight this year.
[01:15:19.920 --> 01:15:21.920]  That they couldn't sweep under the rug.
[01:15:21.920 --> 01:15:23.920]  Yeah, that we absolutely,
[01:15:23.920 --> 01:15:25.920]  without an unequivocal doubt,
[01:15:25.920 --> 01:15:27.920]  conclusively know that we can call these terrorist attacks
[01:15:27.920 --> 01:15:29.920]  regardless of what...
[01:15:29.920 --> 01:15:31.920]  So what happens next year? What's the metric?
[01:15:31.920 --> 01:15:33.920]  Fifty?
[01:15:33.920 --> 01:15:35.920]  Fifty big ones.
[01:15:35.920 --> 01:15:37.920]  And then the next?
[01:15:37.920 --> 01:15:39.920]  Five hundred?
[01:15:39.920 --> 01:15:41.920]  And the thing is, they laugh two years ago
[01:15:41.920 --> 01:15:43.920]  and say, we're going to flood you with migrants.
[01:15:43.920 --> 01:15:45.920]  And Merkel goes, ah, ISIS said they were going to flood Europe.
[01:15:45.920 --> 01:15:47.920]  I mean, the thing is, they tell us what they're going to do.
[01:15:47.920 --> 01:15:49.920]  They do it. And they do it.
[01:15:49.920 --> 01:15:51.920]  And our president opens the door.
[01:15:51.920 --> 01:15:53.920]  Tim Kennedy is our guest.
[01:15:53.920 --> 01:15:55.920]  Keepdogresponse.com, Alex Jones.
[01:15:55.920 --> 01:16:17.920]  Hello, our reporters from Europe straight ahead.
[01:16:25.920 --> 01:16:27.920]  Pro Max shower filter from Pro Pure today.
[01:16:55.920 --> 01:16:57.920]  3-3-1-3-9
[01:17:25.920 --> 01:17:27.920]  We have a biological warfare going on everywhere.
[01:17:27.920 --> 01:17:29.920]  These are all parasites.
[01:17:29.920 --> 01:17:31.920]  Tell us about all the stuff we said. There's so many things that are in it.
[01:17:31.920 --> 01:17:33.920]  You have the neem in there.
[01:17:33.920 --> 01:17:35.920]  You have the organic clove bud.
[01:17:35.920 --> 01:17:37.920]  The organic wormwood.
[01:17:37.920 --> 01:17:39.920]  I recommend doing a parasite cleanse at least twice a year.
[01:17:39.920 --> 01:17:41.920]  All right, well, I'm glad we've got some back in
[01:17:41.920 --> 01:17:43.920]  because I'm going back on it today.
[01:17:43.920 --> 01:17:45.920]  It just came back in yesterday. Living Defense,
[01:17:45.920 --> 01:17:47.920]  infowarslife.com. And folks, you can't lose
[01:17:47.920 --> 01:17:49.920]  full of stuff that's great for your body, period.
[01:17:49.920 --> 01:17:51.920]  And you support the broadcast, infowarslife.com.
[01:17:51.920 --> 01:17:53.920]  Thank you, Dr. Group, from the Global Healing Center.
[01:17:53.920 --> 01:17:55.920]  Thank you so much for all your work, sir.
[01:17:55.920 --> 01:18:24.920]  And this great product.
[01:18:25.920 --> 01:18:27.920]  Thank you so much for watching this video.
[01:18:55.920 --> 01:18:57.920]  We'll see you next time.
[01:19:26.920 --> 01:19:28.920]  Or if you're healthy and want to maintain your vigor and longevity,
[01:19:28.920 --> 01:19:30.920]  and you're looking for a convenient, easy way
[01:19:30.920 --> 01:19:33.920]  to incorporate nutritional raw materials into your day-to-day lives
[01:19:33.920 --> 01:19:36.920]  to guarantee that your body is getting the fundamental nutrients,
[01:19:36.920 --> 01:19:39.920]  the 90 essential vitamins, minerals, fats, and amino acids
[01:19:39.920 --> 01:19:41.920]  that needs to do its healing work,
[01:19:41.920 --> 01:19:44.920]  you need to check out infowarsteam.com.
[01:19:44.920 --> 01:19:46.920]  Give your body the gift of good nutrition.
[01:19:46.920 --> 01:19:49.920]  Head over to infowarsteam.com.
[01:19:49.920 --> 01:19:51.920]  Your body will be very grateful.
[01:19:51.920 --> 01:19:55.920]  Visit us on the web at infowarsteam.com.
[01:19:55.920 --> 01:20:23.920]  You're listening to The Alex Jones Show.
[01:20:23.920 --> 01:20:25.920]  You want answers?
[01:20:25.920 --> 01:20:27.920]  Well, so does he.
[01:20:27.920 --> 01:20:29.920]  Live from Austin, Texas.
[01:20:29.920 --> 01:20:31.920]  Broadcasting worldwide.
[01:20:31.920 --> 01:20:34.920]  It's Alex Jones.
[01:20:34.920 --> 01:20:54.920]  It's Alex Jones.
[01:20:54.920 --> 01:20:56.920]  It's Alex Jones.
[01:20:56.920 --> 01:20:58.920]  It's Alex Jones.
[01:20:58.920 --> 01:21:05.920]  And we're talking Orthodox Islam is what we're seeing here.
[01:21:05.920 --> 01:21:07.920]  Sure. It's the new dominant Islam. It's the old Islam. It's back.
[01:21:07.920 --> 01:21:10.920]  And Tim's right. It's not just radical Islam.
[01:21:10.920 --> 01:21:13.920]  That is what is dominating Islam today.
[01:21:13.920 --> 01:21:16.920]  And it says it's going to kill everybody that doesn't convert.
[01:21:16.920 --> 01:21:18.920]  And it's bizarre.
[01:21:18.920 --> 01:21:22.920]  It's crazy to see the Second Amendment all over the news.
[01:21:22.920 --> 01:21:24.920]  From CNN to even Fox, blaming the Second Amendment.
[01:21:24.920 --> 01:21:26.920]  We see all these training manuals and home lands curty.
[01:21:26.920 --> 01:21:31.600]  When there's no metrics of terrorism from those groups, that's who Homeland Security is geared up
[01:21:33.060 --> 01:21:37.740]  Against I think political correctness is bit off more than they could shoot trying to make this alliance with Islam
[01:21:37.740 --> 01:21:40.980]  And and the low-level folks that want to grovel to it and kiss its butt
[01:21:41.340 --> 01:21:45.480]  They're going to be absolutely attacked because Islam attacks weak targets
[01:21:45.480 --> 01:21:50.880]  I mean, it's really clear that these jihadis really are cowards and Tim personally
[01:21:50.880 --> 01:21:52.880]  He doesn't want to say the numbers that has killed hundreds of himself
[01:21:52.880 --> 01:21:59.440]  Okay, and he can attest to that and it's very frustrating to me who doesn't claim that you know, I'm the toughest guy in the world
[01:22:00.200 --> 01:22:03.660]  But I've never backed down from a fight if somebody wants to have one
[01:22:04.320 --> 01:22:08.840]  But I like it at the time. I saw this lady. I told the story hundred times choking to death in the Madeleine restaurant
[01:22:08.840 --> 01:22:11.640]  My son was like a year old. I'd gone to the bathroom. My wife was out there
[01:22:11.640 --> 01:22:17.000]  I come out like two minutes later. Everybody's saying call 9-1-1 like parents like 50 people around this table
[01:22:17.000 --> 01:22:20.160]  This woman's turning blue on the table. She's dying. I was on a swim team
[01:22:20.160 --> 01:22:23.920]  I was taught by the fire department basic Heimlich maneuver and I
[01:22:24.360 --> 01:22:29.240]  Did a Heimlich and she coughed out a big thing of food and she lived and they thought that was so weird
[01:22:29.800 --> 01:22:34.840]  I mean like 50 people and they were like, no, no, no, we've called 9-1-1. She'd be dead in four minutes
[01:22:34.920 --> 01:22:42.200]  So I just see America dying on the floor here and they're trying to shove more potatoes down our throat to make us choke
[01:22:42.480 --> 01:22:47.280]  We're gonna go to our reporter Tim Kennedy's right shotgun the rest of the hour. This is just so crazy
[01:22:47.280 --> 01:22:54.000]  Uh Tim at the top. I mean, I I don't I rarely use French and get in the president's face
[01:22:54.360 --> 01:23:01.640]  But clearly they hate this country so much. They're doing this because it's so dangerous for Obama and the Democrats and others to bring in
[01:23:01.640 --> 01:23:08.400]  The Islamists let them attack to see the attacks escalating and then think they're gonna spin it and blame the second amendment
[01:23:08.400 --> 01:23:11.200]  No, you're not gonna do it Tim Kennedy. I
[01:23:12.040 --> 01:23:14.040]  thought I was criminal in
[01:23:14.040 --> 01:23:17.320]  In Benghazi when we left our guys there to die, right?
[01:23:18.040 --> 01:23:21.600]  Radical terrorists because the religion of peace was coming. Yeah religion of peace
[01:23:21.840 --> 01:23:28.280]  But much of radicalized terrorists Muslims were coming to kill our ambassador and their people now
[01:23:28.560 --> 01:23:31.320]  That was really really far away. That's in Benghazi
[01:23:31.440 --> 01:23:35.440]  We're now talking about San Bernardino on the west coast and Orlando on the east coast
[01:23:35.520 --> 01:23:41.680]  This is not on the other side of the world. This is here in our backyard at our pool party
[01:23:41.680 --> 01:23:46.600]  They're murdering us and they're they're murdering our week. They're going to unarmed
[01:23:47.080 --> 01:23:53.280]  Women children places that you're not allowed to have guns bars gay nightclubs, you know, and then and what's
[01:23:54.240 --> 01:24:00.640]  Infuriating is that not only are they then spinning it and that blaming, you know, this guy was had easy access to a gun
[01:24:00.640 --> 01:24:03.840]  Yeah, but he was in a gun-free zone. I think he got a license
[01:24:04.800 --> 01:24:10.480]  He was a gun-free zone and the only thing that stopped them were other men with guns now, you know that I
[01:24:10.480 --> 01:24:15.400]  See all these people now with the gay pride flags on their Facebook pages
[01:24:16.240 --> 01:24:20.440]  It doesn't matter what the group was. It doesn't matter if they're gay. They were
[01:24:21.040 --> 01:24:24.360]  It's it's horrific that they were targeted. They were Americans
[01:24:24.360 --> 01:24:30.080]  Those were Americans killed on American soil a coward by a coward by a
[01:24:30.640 --> 01:24:38.040]  Terrorist on our soil in an act of war. We've been we are at war with terrorism and we have been for 15 years
[01:24:38.040 --> 01:24:41.760]  Well, if I was at war with the government and this is hypothetical
[01:24:41.760 --> 01:24:46.520]  I'm not thinking this before they put me in a file Obama does I would go after who I thought did it like I would go after
[01:24:46.560 --> 01:24:50.480]  Soldiers, I would go after politicians. I would go after hard targets because that's what a man does
[01:24:50.480 --> 01:24:54.240]  Yeah, I would attack the fighters. Yeah, no, I wouldn't attack the women and children not them
[01:24:54.400 --> 01:24:58.280]  They don't have the balls to do that. They also have the intelligence to pull off
[01:24:58.800 --> 01:25:00.800]  Sophisticated attack. They did it once 9-11
[01:25:01.440 --> 01:25:05.640]  You know, but they had lots of funding resources a lot of doors were opened. Yes for them
[01:25:05.640 --> 01:25:11.840]  Now they have to decentralize execute at that they're easy that they're at their convenience
[01:25:12.320 --> 01:25:17.400]  And that's going to be the unarmed. That's going to be the women the children the journalists gay nightclubs
[01:25:18.120 --> 01:25:20.120]  soft easy targets
[01:25:20.640 --> 01:25:25.560]  That is such a cowardly target. They know there's no guns allowed with liquors being served and they pick a
[01:25:26.320 --> 01:25:28.320]  Bunch of gay people to go kill. Yeah
[01:25:28.920 --> 01:25:32.760]  Groups they know aren't gonna have guns. You can't why has the media told gays
[01:25:32.760 --> 01:25:37.600]  You're supposed to talk with a list but have a gun and be a whim. I mean, why have they told you this is your identity?
[01:25:37.600 --> 01:25:42.760]  Why it's like feminists don't have guns women. That's how women are empowered is having guns annoying on a fight
[01:25:42.760 --> 01:25:49.000]  Yeah, I'm begging the LGBT community right now. Call me get my email go to go to info wars
[01:25:49.840 --> 01:25:54.000]  Get in contact with me. Let me give you tools to save them your Twitter. Give them your Facebook
[01:25:54.000 --> 01:25:57.800]  Give them your sheetback response. They're gonna they are you don't get this. They are coming to kill you
[01:25:57.800 --> 01:26:02.680]  The that religion does not want you to that's the first group. They target in the Middle East
[01:26:02.680 --> 01:26:07.680]  Don't you get it? They throw you off roofs. They throw you off cliffs. They shoot you in nightclubs. They're gonna burn you alive
[01:26:07.680 --> 01:26:11.440]  They're gonna bend you their Bible tells them to stone you to death
[01:26:12.800 --> 01:26:18.800]  And they follow it fight for your life. Okay, you cannot you cannot I don't I get it
[01:26:18.800 --> 01:26:23.160]  But here's the deal don't blame us don't blame don't blame gun owners and myself
[01:26:23.160 --> 01:26:28.520]  I mean that we didn't do this my arms are wide open saying I will give you every resource I have to save your life
[01:26:28.520 --> 01:26:32.960]  But you got to come to me. You got to come to us this community the right the
[01:26:34.200 --> 01:26:37.840]  Patriots want you to live. You're an American just like me. Don't die
[01:26:38.720 --> 01:26:43.160]  Unarmed and helpless in a night and sure as hell don't worship, you know like a it's Stockholm syndrome
[01:26:43.160 --> 01:26:45.040]  I predict that they're gonna worship the Muslims now
[01:26:45.040 --> 01:26:52.200]  It's gonna be a big kumbaya with prayers circles and we have all this garbage. We know that tolerance is really well respected
[01:26:53.720 --> 01:26:58.400]  By the Muslim community, they're like no what happens is the most radical for over a thousand years
[01:26:58.840 --> 01:27:04.880]  Compete with each other to take over society and enslave and henpeck and boss everybody around because it's a frickin cult
[01:27:05.240 --> 01:27:12.560]  When they see tolerance when they see just like you're saying the Stockholm syndrome if the LGBT community then says with open arms
[01:27:12.560 --> 01:27:19.320]  Hey, we love you. We forgive you. We support you. They view that as weakness. They don't view that as kindness and strength
[01:27:19.320 --> 01:27:23.440]  That's weakness and they'll continue to murder you at their convenience and their leisure
[01:27:23.440 --> 01:27:25.640]  And they're gonna do it all the damn time
[01:27:25.640 --> 01:27:29.720]  We're gonna go to break here in a moment and come back with Rob do who is in Dresden, Germany
[01:27:29.720 --> 01:27:34.160]  He I think you may go into Prague now. He got incredible footage of General Petraeus at Bilderberg
[01:27:34.560 --> 01:27:38.320]  He walks up and portrays runs from him and I'm not attacking Petraeus. I think it was wrong
[01:27:38.320 --> 01:27:41.760]  He got in trouble and Hillary didn't but the point is that's how scared he is about the secret meeting
[01:27:41.760 --> 01:27:43.760]  He runs then Peter Thiel
[01:27:44.240 --> 01:27:46.560]  Multi-billionaire that founded PayPal and a bunch of other stuff
[01:27:46.560 --> 01:27:51.760]  He actually talks about Bilderberg for the first time ever and and again, this is the group pushing for one world government
[01:27:51.760 --> 01:27:53.760]  What's ally with radical Islam?
[01:27:53.760 --> 01:27:55.240]  This is the enemy folks
[01:27:55.240 --> 01:27:56.840]  I don't mean you're all bad if you go to Bilderberg
[01:27:56.840 --> 01:28:02.240]  But it's the folks that set up the EU the global government project all of it do you're over there to cover
[01:28:02.240 --> 01:28:05.160]  These are the folks that open the door to Europe. What's coming up after the break Rob?
[01:28:06.080 --> 01:28:09.640]  Well, I think we could talk about a lot of things chasing down General Petraeus
[01:28:09.640 --> 01:28:16.600]  We didn't want to talk about Hillary's email scandal Peter Thiel actually confronted James A. Johnson here at the end of the
[01:28:17.200 --> 01:28:23.040]  Festivities at Bilderberg, but right now Alex. I just want to show you here's what's looking at like in Prague in the old town square
[01:28:23.600 --> 01:28:27.960]  We're live in Prague check Republic right now. It's about an hour and a half
[01:28:28.480 --> 01:28:33.240]  From Dresden. This is where we're flying out tomorrow a bit of a cheaper ticket
[01:28:33.240 --> 01:28:38.600]  But this is the old town square amazing place a lot of these people built this stuff to last
[01:28:38.600 --> 01:28:40.600]  There's a celestial clock just around the well
[01:28:40.600 --> 01:28:43.080]  They also built it to a stand Islamic invasion
[01:28:43.080 --> 01:28:45.880]  They also built it was standing long Islamic invasion. They were bad
[01:28:45.880 --> 01:28:50.480]  They should have just opened up giving their daughters over and we could all be living in mud huts right now
[01:28:50.480 --> 01:28:53.440]  How dare them build those cathedrals? You know, that's you know, the big
[01:28:55.480 --> 01:28:57.960]  Turkey in Istanbul Constantinople
[01:28:58.480 --> 01:29:04.160]  It was Thomas Jefferson who once said that our country is now taking so steady a course as to show by what rodeo will pass to destruction
[01:29:04.160 --> 01:29:09.120]  To wit by consolidation of power first and then corruption. It's necessary consequence
[01:29:09.280 --> 01:29:12.480]  Jefferson was warning us about the global elite the 1% of the 1%
[01:29:13.000 --> 01:29:18.400]  Consolidating the world's wealth and subverting the people's voice in government. Unfortunately, we didn't heed his advice
[01:29:18.400 --> 01:29:24.160]  We now live in a neo feudalistic society in which we're treated as indentured servants who only exist to serve the needs of the establishment
[01:29:24.840 --> 01:29:29.040]  Political office no longer represents the voice of the people but rather the initiation process
[01:29:29.040 --> 01:29:35.680]  Politicians go through to gain acceptance into the aristocracy simply put we the people are responsible for civilization and culture yet
[01:29:35.680 --> 01:29:39.960]  We're suppressed by a tiny elite who have organized into criminal gangs that operate governments around the world
[01:29:39.960 --> 01:29:44.360]  We falsely believe that everything is simply black and white one extreme against the other
[01:29:44.720 --> 01:29:51.000]  Conservative versus liberal but things will change once more of us realize this truth as Thomas Jefferson also said enlightened the people
[01:29:51.000 --> 01:29:55.760]  Generally in tyranny and oppressions of the body and mind will vanish like evil spirits at the dawn of day
[01:29:55.760 --> 01:29:59.200]  This is Kit Daniels with info wars.com
[01:29:59.800 --> 01:30:05.560]  Super male vitality is info wars life.com's number one selling product for a good reason
[01:30:05.560 --> 01:30:10.720]  It works go to info wars life.com today and read the testimonials for yourself
[01:30:10.720 --> 01:30:16.000]  There are thousands of them with an average voting score at an unprecedented
[01:30:16.000 --> 01:30:24.920]  4.8 it is concentrated herbs and natural organic compounds known to energize the body's natural
[01:30:25.080 --> 01:30:29.800]  Processes that are blocked by estrogen mimicers and other toxic elements in the food chain
[01:30:30.680 --> 01:30:36.240]  Super male vitality from info wars life.com has sold out multiple times in the last three months to fix that problem
[01:30:36.240 --> 01:30:42.680]  We have now produced the biggest and most concentrated high quality batch of super male vitality in the products history
[01:30:42.680 --> 01:30:49.880]  Our new ultra-strength formula is even stronger check out the third-party reviews and informational videos at info wars life.com
[01:30:49.880 --> 01:30:52.800]  Now it's time to get your body in balance and fight back
[01:30:52.800 --> 01:30:58.380]  I'm Alex Jones for super male vitality and info wars life.com and I salute you our
[01:30:58.680 --> 01:31:00.240]  supporters over the years
[01:31:00.240 --> 01:31:07.720]  There have been a lot of powerful advancements in the field of science and nutraceuticals young Jevity integrates years of scientific research
[01:31:07.720 --> 01:31:13.320]  Into creating fantastic products like beyond tangy tangerine plant-derived minerals and much more
[01:31:13.600 --> 01:31:18.160]  Young Jevity also offers you an ingenious way to augment your income and the best part
[01:31:18.160 --> 01:31:23.320]  You'll be helping your friends and family along the way visit info wars team.com today
[01:31:23.600 --> 01:31:29.880]  Become a member get discounts on the amazing products and free shipping when you sign up for auto ship and you're able to promote the
[01:31:29.880 --> 01:31:36.280]  Products to friends and family and neighbors in your community and make money while helping people at the same time another win-win
[01:31:36.280 --> 01:31:42.000]  That's why I'm a member of the young Jevity team at info wars team.com and you can be too. It's simple
[01:31:42.000 --> 01:31:46.920]  Just go to info wars team.com today complete a short sign-up and you're part of the team
[01:31:46.920 --> 01:31:54.480]  That's info wars team.com or info wars health.com so many people call into my radio show and tell me how young Jevity and the products at info
[01:31:54.480 --> 01:31:57.800]  Wars team.com have changed their lives check it out for yourself today
[01:31:59.240 --> 01:32:02.480]  Clean pure drinking water you can't survive without it
[01:32:02.480 --> 01:32:08.600]  But where do you get it Alexa pure pro is a brand new groundbreaking gravity-fed water filtration system
[01:32:08.600 --> 01:32:16.240]  That is like no other the Alexa pure pro transforms water from firstly any fresh source into clean healthy drinking water pairing the
[01:32:16.560 --> 01:32:22.920]  Unprecedented super filtration power of an all-new gravity block core with a hybrochromatic shell it removes up to
[01:32:22.920 --> 01:32:34.060]  99.99 9% of impurities including bacteria viruses chloride disinfectants volatile organic contaminants and hormones filter capacity up to
[01:32:34.200 --> 01:32:38.560]  5,000 gallons stainless steel construction easy assembly low maintenance
[01:32:38.880 --> 01:32:44.520]  Replacement filters are simple to install and now as part of an exclusive limited-time introductory offer
[01:32:44.520 --> 01:32:48.080]  You can save $20 off the retail price and get free shipping
[01:32:48.080 --> 01:32:55.360]  This is a limited-time offer so order your unit today and receive free shipping and $20 off go to info wars store.com
[01:32:55.360 --> 01:32:58.840]  We're called triple eight two five three three one three nine
[01:33:02.600 --> 01:33:05.440]  You're listening to the Alex Jones show
[01:33:05.440 --> 01:33:24.900]  We now take you live to the central Texas Command Center and the heart of the resistance
[01:33:26.280 --> 01:33:28.280]  Rallying Patriots worldwide
[01:33:28.280 --> 01:33:35.200]  You're listening to the Alex Jones show
[01:33:43.800 --> 01:33:48.200]  By the way the incredible video is up on info wars calm and prison planet calm
[01:33:48.200 --> 01:33:52.280]  It's just over the top is linked on drugs report calm over the weekend, then they got overshadowed
[01:33:52.280 --> 01:33:58.280]  Unfortunately by the tragic events in Orlando 50 plus dead 60 plus wounded Tim Kennedy terrorism expert
[01:33:59.000 --> 01:34:00.680]  current special forces
[01:34:00.680 --> 01:34:03.720]  Operator, and of course we have Rob do there in Germany
[01:34:05.040 --> 01:34:10.360]  Paul Watson and others. They've done a great job. We sent them there to show the shadow government Bilderberg group
[01:34:11.840 --> 01:34:13.840]  openly
[01:34:13.880 --> 01:34:20.920]  Opening the borders advertising for military age men to come in allowing them to attack and then declaring civil emergencies and arresting Germans
[01:34:20.920 --> 01:34:25.360]  And others that criticize the only country not going along with this is
[01:34:25.960 --> 01:34:32.160]  To a certain extent Switzerland and now the UK is trying to leave the euro. They never they never even voted to be in
[01:34:33.320 --> 01:34:37.520]  So I was just talking to Tim Kennedy you're in the break, and I'll play this Petraeus clip Rob
[01:34:37.520 --> 01:34:41.160]  Do why do you what do you think the play is the end game?
[01:34:41.160 --> 01:34:46.760]  I mean logic must be suspended or the West the governments will get in trouble for doing this
[01:34:46.760 --> 01:34:53.000]  Is stabilization, but if they can just blame our free speech or our guns they win and and so I guess they think we're that dumb
[01:34:53.000 --> 01:34:59.480]  They're gonna pass all these hate speech laws get rid of free speech in Europe in the United States on the backs of the radical crazy
[01:34:59.880 --> 01:35:02.800]  People they brought in Rob do what do you think's happening? Well?
[01:35:02.800 --> 01:35:08.480]  I'll tell you what Alex the people I've met in Dresden, Germany about half of them agree with the migrant policy
[01:35:08.480 --> 01:35:09.200]  They think it's great
[01:35:09.200 --> 01:35:12.440]  They think they could take as many migrants as they want which I don't understand
[01:35:12.440 --> 01:35:18.600]  They're suicidal brainwash liberals. They're just they just are committing suicide. They are and they don't they don't realize that
[01:35:18.600 --> 01:35:22.360]  They say oh, you're wrong. You know, you know, we tell them hey most of the crimes are committed by migrants
[01:35:22.360 --> 01:35:25.920]  Oh, that's fake. Well, it's from the German government. How fake can it be?
[01:35:26.200 --> 01:35:34.360]  So you're dealing with that type of dichotomy and then you almost got Rob last week on video at the train station with them jumping around you and
[01:35:34.360 --> 01:35:38.800]  Look everywhere. Yeah. No, they were drunk. There were kids coming up. They're from Algeria
[01:35:38.800 --> 01:35:47.600]  It it's crazy what's going on in Europe and they've brainwashed half the population at least maybe even more to believe that the migrant the
[01:35:47.600 --> 01:35:51.960]  Migrant solution by bringing more people in is good and they've been told, you know with Peter
[01:35:51.960 --> 01:35:53.960]  So the southern and others that
[01:35:54.560 --> 01:35:55.960]  There is no borders
[01:35:55.960 --> 01:36:00.560]  We're just gonna have open borders and migrants can come freely, but they don't want to assimilate
[01:36:01.080 --> 01:36:04.120]  They don't want to you interviewed that guy that said I want the free money
[01:36:04.120 --> 01:36:09.560]  But I hate the Germans and we're gonna take over and he's literally a cartoon character from Bugs Bunny going I had take over
[01:36:09.840 --> 01:36:12.000]  my country your women mine
[01:36:16.120 --> 01:36:21.360]  Hoping to post here's how to wear a hot jib. It says sexy if you're liberal wear one to make the Muslims more comfortable
[01:36:21.520 --> 01:36:24.920]  And a have sex with Muslims because now we got to bring them in and have sex with them
[01:36:24.920 --> 01:36:29.440]  Oh, yeah, the German government came out said have sex Hitler told the German women have sex with the
[01:36:29.440 --> 01:36:36.560]  Soldiers have more kids which made sense. They're killing all everybody, you know, they had to reproduce for all the soldiers that were dead
[01:36:36.560 --> 01:36:38.120]  I'm not defending Hitler. That's just a fact
[01:36:38.120 --> 01:36:42.520]  But instead now the mother telling if you heard this the German government says have sex with Muslim in
[01:36:42.640 --> 01:36:48.640]  Attempt Kennedy that's premonoctes. It's not like a new thing, you know, the the British did it with the Irish and the Scottish
[01:36:49.640 --> 01:36:53.880]  It's when you're trying to we can't defeat them. We'll just breed them out. Ah, it's a great plan
[01:36:53.880 --> 01:36:56.380]  but first you got to take their guns and and then
[01:36:56.380 --> 01:37:00.580]  You're absolutely right that there's no such thing as assimilation when it comes to Sharia law
[01:37:00.780 --> 01:37:07.100]  There's one solution and that is the complete annihilation of anything that does not subscribe to your theology. It's the board
[01:37:07.100 --> 01:37:13.340]  You will assimilate. Yeah, or you'll die or we'll kill you. We'll burn you. We'll drown you. We'll throw you off cliffs
[01:37:13.340 --> 01:37:16.340]  We'll behead you. We'll do anything if you don't assimilate
[01:37:16.340 --> 01:37:22.220]  The this isn't a culture that ever put up with anybody having any free will it's totally monotheistic
[01:37:22.220 --> 01:37:28.660]  Dictatorship run by men and them and and the cuckold glorious Steinem's love it
[01:37:29.540 --> 01:37:31.540]  the
[01:37:31.820 --> 01:37:37.300]  You it blows my mind that you know, I was just in Berlin and I was wearing a shirt that had
[01:37:38.060 --> 01:37:40.940]  The noon the letter N in Arabic on it
[01:37:40.940 --> 01:37:46.540]  Which is being painted on Christian and Jews doors that ISIS is going to target
[01:37:46.540 --> 01:37:51.980]  I was wearing the shirt intentionally because I just want to see what reaction I would get within minutes of walking down the street
[01:37:51.980 --> 01:37:57.620]  Berlin I had groups of Middle Eastern men that were kind of following me around. Oh, I wish you that that was that's what happened to
