[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[03:19:33.004 --> 03:19:36.807]  That's how powerful these naturally occurring microbes are.
[03:19:36.807 --> 03:19:42.210]  The BioPro system is light years better than traditional enzymes that only work once.
[03:19:42.210 --> 03:19:46.313]  These bacteria begin to breed and live in your septic tank.
[03:19:46.313 --> 03:19:51.657]  And now it's available for the general public's use for the first time on the retail market.
[03:19:51.657 --> 03:19:54.418]  Exclusively available at TheBioPros.com
[03:19:59.921 --> 03:20:02.531]  You're listening to The Alex Jones Show!
[03:20:23.187 --> 03:20:29.228]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:29.228 --> 03:20:33.809]  And now, your host, Gerald Solente.
[03:20:36.061 --> 03:20:38.843]  Hey, great being on the Alex Jones Show.
[03:20:38.843 --> 03:20:43.246]  And as he said, you have to do everything you can to support this.
[03:20:43.246 --> 03:20:49.850]  It is robbing us of our freedom right in front of our eyes like no one would have ever believed.
[03:20:49.850 --> 03:20:53.733]  And by the way, don't call these people that support
[03:20:55.049 --> 03:20:56.489]  Vaccinations in a sense.
[03:20:56.489 --> 03:20:58.130]  If you want to get vaccinated, get vaccinated.
[03:20:58.130 --> 03:21:04.172]  But don't call these people that are telling you to get vaccinated, that are telling you what to do.
[03:21:04.172 --> 03:21:05.952]  People keep calling them liberals.
[03:21:05.952 --> 03:21:07.913]  They're not liberals.
[03:21:07.913 --> 03:21:10.193]  The definition of a liberal.
[03:21:10.193 --> 03:21:16.675]  Willing to respect or accept behavior or opinions different from one's own.
[03:21:16.675 --> 03:21:18.816]  Open to new ideas.
[03:21:18.816 --> 03:21:20.656]  These are not liberals.
[03:21:20.656 --> 03:21:22.097]  These are libtards.
[03:21:23.217 --> 03:21:52.150]  Relating to or denoting a political and social philosophy that promotes individual rights, civil liberties, democracy, free enterprise, tolerant, broad-minded, open-minded, enlightened, permissive, free and easy, easygoing, libertarian, unbiased, impartial, nonpartisan,
[03:21:54.724 --> 03:21:58.765]  What people are calling liberals is the opposite.
[03:21:58.765 --> 03:22:03.827]  These are narrow-minded little arrogant jerks.
[03:22:03.827 --> 03:22:16.911]  You know, there's this, looking at Infowars site, Joe Rogan calls Don Lemon a dumb mother effer for continuing horse dewormer smear.
[03:22:16.911 --> 03:22:20.073]  I've been calling this little lemon out for a long time.
[03:22:20.073 --> 03:22:21.673]  Little lemon head.
[03:22:21.673 --> 03:22:24.274]  But he's not a dumb mother effer
[03:22:24.907 --> 03:22:28.691]  I would say he's a dumb father-effer.
[03:22:28.691 --> 03:22:31.735]  All right?
[03:22:31.735 --> 03:22:41.065]  Australia's rollout to get a massive booster as Victoria eyes more freedoms.
[03:22:41.065 --> 03:22:44.989]  That's the headline from the New Daily, the Australian paper.
[03:22:44.989 --> 03:22:45.610]  Freedoms!
[03:22:46.801 --> 03:22:52.564]  Freedom now means that if you get a vaccination, you are free.
[03:22:52.564 --> 03:23:01.688]  You are not too free to be yourself, not to think for yourself, not to do what you wish.
[03:23:01.688 --> 03:23:05.330]  Freedom is now obeying the authorities.
[03:23:05.330 --> 03:23:16.015]  This is in direct violation of our Declaration of Independence and what our founding fathers fought for.
[03:23:18.737 --> 03:23:21.598]  You ready?
[03:23:21.598 --> 03:23:46.202]  The natural liberty of man is to be free from any superior power on earth, and not to be under the will or legislative authority of man, but only to have the law of nature for his rule.
[03:23:47.748 --> 03:23:51.269]  The law of nature?
[03:23:51.269 --> 03:23:53.329]  Why, how dare you?
[03:23:53.329 --> 03:23:56.950]  Again, you look at the... Oh, this is Samuel Adams.
[03:23:56.950 --> 03:23:59.431]  Oh, yeah, Samuel Adams.
[03:23:59.431 --> 03:24:08.333]  It does not take a majority to prevail, but rather an irate, tireless minority keen on setting brush fires of freedom in the minds of men.
[03:24:08.333 --> 03:24:10.953]  That's Samuel Adams.
[03:24:10.953 --> 03:24:12.954]  That the natural liberty of man
[03:24:13.977 --> 03:24:19.378]  Is to be free from any superior power on earth.
[03:24:19.378 --> 03:24:23.179]  And look at these powers.
[03:24:23.179 --> 03:24:30.822]  Little arrogant de Blasio over here in New York, Warren Willum Jr.
[03:24:30.822 --> 03:24:36.083]  One little clown, arrogant boy and girl after another, Witless Whitmere over there in Michigan.
[03:24:38.428 --> 03:24:42.710]  Newsome, Gruesome over there in California.
[03:24:42.710 --> 03:24:44.551]  These are superior powers.
[03:24:44.551 --> 03:24:48.792]  Over in Australia, little Danny Andrews.
[03:24:48.792 --> 03:24:51.493]  And I had that Gladys Benjergen off over there.
[03:24:51.493 --> 03:24:52.414]  Oh, they got rid of her.
[03:24:52.414 --> 03:25:01.998]  Yeah, she was screwing some guy and paying him to screw her and giving him loads of dough in the terms of grants.
[03:25:02.941 --> 03:25:06.104]  These are the clowns that are running and ruining our lives.
[03:25:06.104 --> 03:25:12.891]  A little Garcon Macron, a little cojone-less little boy over there in France.
[03:25:12.891 --> 03:25:15.734]  Draghi over there, there he is, Danny Andrews.
[03:25:15.734 --> 03:25:23.441]  Could you imagine anybody taking orders from this little piece of nothing, garbage, scum, crap?
[03:25:23.441 --> 03:25:24.222]  And he's doing it.
[03:25:24.222 --> 03:25:26.484]  And that's a good picture of him.
[03:25:29.102 --> 03:25:33.665]  So we have to join the, there she is, that's Gladys been jerking off over there, she's gone now.
[03:25:33.665 --> 03:25:36.126]  And she had to pay some guy to screw her.
[03:25:36.126 --> 03:25:39.809]  Because who else would?
[03:25:39.809 --> 03:25:41.269]  So she quit.
[03:25:41.269 --> 03:25:43.831]  Because she's got all this pressure now.
[03:25:43.831 --> 03:25:48.914]  So what we're doing, oh here's an article that just came by by the way.
[03:25:48.914 --> 03:25:54.758]  This is from New York Times a couple of months ago.
[03:25:54.758 --> 03:25:58.420]  Plexiglass barriers, they won't stop the
[03:25:59.246 --> 03:26:03.107]  The virus, the airborne virus, experts warn.
[03:26:03.107 --> 03:26:07.908]  But yet you see these stupid plexiglass viruses everywhere.
[03:26:07.908 --> 03:26:10.729]  Around New York, everybody's masked up.
[03:26:10.729 --> 03:26:12.749]  It's not everybody.
[03:26:12.749 --> 03:26:18.011]  I'm going to say a good 70% of the people I've seen.
[03:26:20.484 --> 03:26:23.965]  You could go into a restaurant, but you got to put the red mask on when you walk in.
[03:26:23.965 --> 03:26:27.906]  When you sit down, you can take it off because the virus doesn't come in a table light.
[03:26:27.906 --> 03:26:31.727]  When you stand up, you got to put it back on because that's when the virus comes.
[03:26:31.727 --> 03:26:34.367]  They're making this crap up.
[03:26:34.367 --> 03:26:36.008]  They're making it up.
[03:26:36.008 --> 03:26:40.389]  So now, very important notice.
[03:26:40.389 --> 03:26:45.150]  As you know, I started a church.
[03:26:45.150 --> 03:26:49.491]  The Universal Church of Freedom, Peace and Justice.
[03:26:49.491 --> 03:26:49.751]  It's for
[03:26:50.914 --> 03:26:59.541]  Everybody who's God they believe in, believes in freedom, peace, and justice.
[03:26:59.541 --> 03:27:09.468]  Whatever your religion, if that's your God, and the way you can go to the website, and it's all, it's a legitimate church, done!
[03:27:09.468 --> 03:27:20.076]  Freedom, Peace, P-E-A-C-E, Freedom, Peace, Justice, FreedomPeaceJustice.com, and
[03:27:20.802 --> 03:27:28.748]  We are offering a religious exemption for anybody that wants to join the church.
[03:27:28.748 --> 03:27:32.531]  Again, we're doing everything we can to make this happen.
[03:27:32.531 --> 03:27:36.194]  Here it is.
[03:27:36.194 --> 03:27:44.320]  So, a lawyer did the part for Americans, the constitutional part.
[03:27:44.320 --> 03:27:48.404]  We have two forms, one for overseas and one for here.
[03:27:48.404 --> 03:27:49.805]  And it's
[03:27:51.434 --> 03:27:59.837]  It's against the Constitution for anyone not to receive a religious exemption.
[03:27:59.837 --> 03:28:04.198]  And we had a top constitutional judge write this.
[03:28:04.198 --> 03:28:07.379]  So, it's available for everyone that wants it.
[03:28:07.379 --> 03:28:12.341]  FreedomPeaceJustice.com.
[03:28:12.341 --> 03:28:13.601]  That's it.
[03:28:13.601 --> 03:28:15.562]  Again, we're doing this.
[03:28:15.562 --> 03:28:17.403]  We're using all the money we get, by the way.
[03:28:19.130 --> 03:28:23.053]  Rallies, we're fighting, so the money, you know.
[03:28:23.053 --> 03:28:32.442]  We don't get money from Buffets and Gates and Bezos and the others, you know.
[03:28:32.442 --> 03:28:35.424]  So we the people.
[03:28:35.424 --> 03:28:36.345]  That's right.
[03:28:36.345 --> 03:28:39.408]  And we must unite under one umbrella, as I believe it.
[03:28:39.408 --> 03:28:41.750]  United we stand, divided we fall.
[03:28:41.750 --> 03:28:43.992]  So when Alex was asking what to do, what to do,
[03:28:44.716 --> 03:28:46.317]  That's what we're trying to do.
[03:28:46.317 --> 03:28:48.238]  Unite under one umbrella.
[03:28:48.238 --> 03:28:50.639]  United we stand, divided we fall.
[03:28:50.639 --> 03:28:52.160]  And supported for wars.
[03:28:52.160 --> 03:28:53.361]  We're going to be right back.
[03:28:53.361 --> 03:28:55.962]  You've got to buy those products to stay healthy.
[03:28:55.962 --> 03:29:01.946]  I want to explain something that is absolutely key to understanding our world.
[03:29:01.946 --> 03:29:04.047]  It's very, very simple, but the most people don't know.
[03:29:04.047 --> 03:29:07.509]  The privately owned central banks of the world
[03:29:08.593 --> 03:29:21.181]  Are artificially creating thousands of trillions of dollars in other major currencies and using them to buy up infrastructure, intellectual property, energy.
[03:29:21.181 --> 03:29:23.323]  They're using it to buy people, to buy influence.
[03:29:23.943 --> 03:29:35.268]  And in the past, they created thousands of trillions so that they could leverage that, manipulate markets, but they never allowed that money to get into the general circulation or it would cause massive inflation.
[03:29:35.268 --> 03:29:41.070]  Now they've gone ahead and weaponized it and are flooding every sector of the world economy, buying up everything.
[03:29:41.690 --> 03:29:50.915]  Not to have the companies operate, but to actually shut them down and force the collapse of civilization, making the companies they do fund be the only things left standing.
[03:29:50.915 --> 03:29:52.215]  This is the Great Reset.
[03:29:52.215 --> 03:29:53.836]  This is what's happening now.
[03:29:53.836 --> 03:29:54.496]  Warn everyone.
[03:29:54.496 --> 03:29:55.477]  It's the only way to stop it.
[03:29:56.175 --> 03:30:00.578]  By now you've heard me talk about the BioPros and how they're creating amazing products.
[03:30:00.578 --> 03:30:09.505]  They've done it again and have just released an entire suite of bio-remediation products, bringing industrial-level technology to the everyday consumer.
[03:30:09.505 --> 03:30:13.708]  They're literally changing the industry with a revolutionary patented delivery system.
[03:30:13.708 --> 03:30:22.055]  The BioPros are excited to release BioDrain Pro, a product specifically designed to establish healthy drains, pipes, and overall plumbing systems.
[03:30:22.495 --> 03:30:29.061]  BioDrain Pro digests grease, fats, oil, sludge, paper, and organic matter with ease.
[03:30:29.061 --> 03:30:36.167]  It contains no chemicals, no GMOs, and is safe for black, gray holding tanks, sewer hoses, and plumbing.
[03:30:36.167 --> 03:30:38.289]  It is also human and animal safe.
[03:30:38.289 --> 03:30:42.012]  Get up to 20 treatments with the scoop for easy applications.
[03:30:48.754 --> 03:31:10.460]  We've all heard about the pastor and his famous statement from inside a concentration camp in World War II that when they came for one group he wasn't part of that group so he didn't stand up and then when they came for another group he wasn't part of that group so he didn't stand up and finally
[03:31:11.320 --> 03:31:13.422]  And they can't apprehend those, nobody else to stand up.
[03:31:13.422 --> 03:31:18.286]  Well, the global social credit score that China's putting in, it's banning people to three hours of video games a week.
[03:31:18.286 --> 03:31:22.270]  And if you criticize the government, you can never buy or sell again.
[03:31:22.270 --> 03:31:26.393]  Well, that's being brought here and all over the world under the guise of COVID.
[03:31:26.393 --> 03:31:28.335]  Vaccine passports, they even admit it now.
[03:31:28.335 --> 03:31:30.977]  They're saying there's going to be a carbon tax attached to it.
[03:31:30.977 --> 03:31:35.421]  They're going to track where you go and what you do and decide where you can go and what you can do.
[03:31:35.421 --> 03:31:37.202]  That's what the lockdowns are about.
[03:31:37.202 --> 03:31:38.744]  You'll accept that, you'll accept anything.
[03:31:39.830 --> 03:31:45.780]  So again, the left is having fun right now with all the censorship and tyranny, pretending like they're part of the power structure.
[03:31:45.780 --> 03:31:47.823]  But they're all going to be targeted by this nightmare as well.
[03:31:47.823 --> 03:31:54.354]  We need to get back to basic human rights and promote them, or all of us will be enslaved by this horrible technocracy run by the globalists.
[03:31:55.738 --> 03:32:00.425]  You're listening to this message on the weekend of Friday, October 22, 2021.
[03:32:00.425 --> 03:32:10.779]  This is your last chance to get some of our best-selling, amazing products at InfoWarsTore.com before they sell out, like DNA Force Plus, that is the
[03:32:11.360 --> 03:32:17.005]  The ultimate formula out there for strengthening your telomeres and the very engines of your cells.
[03:32:17.005 --> 03:32:24.672]  I mean, it's got a big dose of the highest quality PQQ and CoQ10 and a bunch of other key ingredients that God gave us through nature that are simply amazing.
[03:32:24.672 --> 03:32:25.533]  It's 40% off.
[03:32:25.533 --> 03:32:32.599]  This product's been sold out for six, seven months because of supply chain breakdowns because we would not cut the quality of the ingredients.
[03:32:32.599 --> 03:32:36.963]  We could cut the quality all day and buy crap from China and never be sold out, but we're not doing that.
[03:32:36.963 --> 03:32:38.224]  This is the highest rated.
[03:32:38.604 --> 03:32:46.367]  It's 40% off the sale-ins on Monday, 40% off DNA Force Plus, and a limited supply of Brain Force Ultra as well.
[03:32:46.367 --> 03:32:47.507]  It'll be sold out on Monday.
[03:32:47.507 --> 03:32:48.827]  It's 25% off.
[03:32:48.827 --> 03:32:52.148]  So support the M4 while getting great products at the same time.
[03:32:52.148 --> 03:32:53.429]  Thank you all for your support.
[03:32:53.429 --> 03:32:59.211]  M4store.com.
[03:32:59.211 --> 03:33:01.832]  You're listening to the Alex Jones Show.
[03:33:17.076 --> 03:33:21.158]  The answer to 1984 is 1776.
[03:33:21.158 --> 03:33:32.901]  You're listening to the Alex Jones Show with Gerald Cilente.
[03:33:32.901 --> 03:33:35.402]  Hey, great being on the Alex Jones Show.
[03:33:35.402 --> 03:33:43.685]  Again, do what you can to support Echo Woods because it's a fight for freedom and they're robbing us.
[03:33:44.985 --> 03:34:00.330]  Again, the natural liberty of man is to be free from any superior power on earth, and not to be under the will or legislative authority of man, but only to have the law of nature for his rule.
[03:34:00.330 --> 03:34:07.152]  You look at the cover of this week's Trends Journal, again another Anthony Frieda work of art, what is it?
[03:34:07.152 --> 03:34:12.074]  God and Nature verse Man and Science.
[03:34:12.074 --> 03:34:12.934]  So who's your God?
[03:34:14.306 --> 03:34:16.867]  We're not allowed to believe in nature anymore.
[03:34:16.867 --> 03:34:22.408]  You're a conspiracy theorist believing in nature.
[03:34:22.408 --> 03:34:24.029]  This is terrible what's going on.
[03:34:24.029 --> 03:34:36.052]  I'm going to read you some back articles to show you tracking trends and understanding of where we are, how we got here, to see where we're going.
[03:34:36.052 --> 03:34:41.333]  And in the COVID war, you can see where we're going and how we got here.
[03:34:42.623 --> 03:34:49.748]  Vaccine passports are being compared to Yellow Star of David.
[03:34:49.748 --> 03:34:57.873]  This is going back to March of this year.
[03:34:57.873 --> 03:35:10.781]  Vaccine passports refer to documents that would allow those who have been vaccinated against COVID-19 to access public spaces such as gyms, malls, museums, theaters that would require such proof in the future.
[03:35:12.429 --> 03:35:22.136]  The Biden administration is working on creating a vaccine passport system as vaccination numbers ramp up, according to the Washington Post.
[03:35:22.136 --> 03:35:33.463]  Israel, which has inoculated a majority of its population of 9 million, has been implementing a vaccine passport for about a month.
[03:35:33.463 --> 03:35:34.624]  How ironic this is.
[03:35:34.624 --> 03:35:34.864]  Israel.
[03:35:38.706 --> 03:35:57.299]  Where the people used to wear the yellow Star of David, that's why they created the State of Israel, to get away from the tyranny and Nazism, where the people were forced to identify themselves.
[03:35:57.299 --> 03:36:01.402]  And that became the first place where it happened.
[03:36:04.364 --> 03:36:13.990]  Israel, which has supporters say it will allow vaccinated people to enjoy a relative return to normalcy.
[03:36:13.990 --> 03:36:29.280]  But some opponents have implied that the idea of opening recreational spaces to those who aren't at risk of COVID is similar to the Nazis' persecution of European Jews, which culminated in genocide.
[03:36:31.013 --> 03:36:35.757]  Proposals like these smack of 1940s Nazi Germany.
[03:36:35.757 --> 03:36:41.782]  We must make every effort to keep America from becoming a show your papers society.
[03:36:41.782 --> 03:36:48.107]  Said this guy Cawthorn, a freshman Republican Congressman from North Carolina.
[03:36:48.107 --> 03:36:55.694]  The Constitution and our founding principles decry this type of totalitarianism.
[03:36:55.694 --> 03:36:57.856]  And now this type of totalitarianism
[03:37:00.043 --> 03:37:08.565]  Is around the world in what used to be called places called democracies and republics.
[03:37:08.565 --> 03:37:10.346]  Gone!
[03:37:10.346 --> 03:37:13.467]  Totalitarianism has taken over.
[03:37:13.467 --> 03:37:17.968]  This is a violation of our religious and constitutional rights.
[03:37:17.968 --> 03:37:23.969]  All the facts are here.
[03:37:23.969 --> 03:37:25.070]  This goes back to April.
[03:37:29.898 --> 03:37:30.898]  No, that's not April.
[03:37:30.898 --> 03:37:31.779]  This is earlier.
[03:37:31.779 --> 03:37:33.779]  Yeah, this is recently.
[03:37:33.779 --> 03:37:40.582]  Fully vaccinated people who get COVID-19 breakthrough infection can transmit the virus.
[03:37:40.582 --> 03:37:43.783]  This is from the Cartoon News Network, CNN.
[03:37:43.783 --> 03:37:46.244]  Fully vaccinated people who get COVID-19.
[03:37:46.244 --> 03:37:50.206]  It's from CNN, so it's not a conspiracy theory.
[03:37:50.206 --> 03:37:53.027]  It's a Cartoon News Network.
[03:37:53.027 --> 03:37:53.267]  Truth.
[03:37:55.293 --> 03:37:59.878]  You get COVID-19 breakthrough infection, can transmit the virus.
[03:37:59.878 --> 03:38:06.464]  Oh, this is according to the Centers for Disease Control and Prevention.
[03:38:06.464 --> 03:38:13.071]  Yeah, this was several weeks ago, out of the news.
[03:38:13.071 --> 03:38:15.554]  The agency released a study that showed
[03:38:17.307 --> 03:38:28.530]  The Delta variant produced similar amounts of virus in vaccinated and unvaccinated people if they get infected.
[03:38:28.530 --> 03:38:39.573]  Data that suggests vaccinated people who get a breakthrough infection could have a similar tendency to spread the virus as the unvaccinated.
[03:38:39.573 --> 03:38:41.634]  Why are they forcing us to get this?
[03:38:47.455 --> 03:38:49.276]  Totally ignored.
[03:38:49.276 --> 03:38:53.500]  Not a comment after this.
[03:38:53.500 --> 03:39:01.345]  CDC Group says there isn't enough data to recommend COVID booster shots.
[03:39:01.345 --> 03:39:06.429]  This is from CNBC in June.
[03:39:06.429 --> 03:39:16.757]  July, August, September, October, less than, because it's late June, less than three months, a little over three months later, now you got to get a booster shot.
[03:39:17.884 --> 03:39:24.367]  They're making this crap up.
[03:39:24.367 --> 03:39:25.568]  Another one.
[03:39:25.568 --> 03:39:27.309]  This is from August of this year.
[03:39:27.309 --> 03:39:29.150]  Totally ignored.
[03:39:29.150 --> 03:39:35.913]  Again, on CNBC, so it's not a conspiracy theory.
[03:39:35.913 --> 03:39:41.796]  Here's why herd immunity from COVID is mythical.
[03:39:41.796 --> 03:39:44.197]  Achieving herd immunity with COVID vaccines
[03:39:47.992 --> 03:40:01.174]  With, when the highly infectious Delta variant is spreading, is, quote, not a possibility, end quote, a leading epidemiologist said.
[03:40:01.174 --> 03:40:03.595]  Sir Andrew Pollard, sir.
[03:40:03.595 --> 03:40:06.635]  You kneeled down in front of the Queen and she made you a sir.
[03:40:06.635 --> 03:40:08.216]  Well, you little boy before.
[03:40:08.216 --> 03:40:11.136]  This sir crap, that's profanity.
[03:40:11.136 --> 03:40:11.756]  Sir.
[03:40:11.756 --> 03:40:13.216]  Screw you, sir.
[03:40:13.216 --> 03:40:14.517]  Yes, sir.
[03:40:14.517 --> 03:40:15.277]  Yes, sir.
[03:40:15.277 --> 03:40:16.177]  Up yours.
[03:40:16.177 --> 03:40:16.497]  Anyway.
[03:40:17.631 --> 03:40:33.662]  So Andrew Pollard, head of Oxford Vaccine Group, told British lawmakers that the COVID vaccines do not stop the spread of the virus entirely and vaccinated people are still able to be infected.
[03:40:34.574 --> 03:40:36.934]  And transmit the virus.
[03:40:36.934 --> 03:40:48.657]  Quote, I think we are in a situation here with this current variant where herd immunity is not a possibility because it still infects vaccinated individuals.
[03:40:48.657 --> 03:40:50.357]  So why get vaccinated?
[03:40:50.357 --> 03:40:52.417]  Oh, they told me it was 96 percent effective.
[03:40:52.417 --> 03:40:53.718]  I forgot.
[03:40:53.718 --> 03:40:58.058]  And going back to Israel Health Ministry, 39 percent effective.
[03:40:58.058 --> 03:41:00.819]  And then they stopped reporting on effectiveness after that.
[03:41:04.301 --> 03:41:06.543]  This is, this is demonic.
[03:41:06.543 --> 03:41:08.524]  Any gun?
[03:41:08.524 --> 03:41:10.045]  Goes back to April.
[03:41:10.045 --> 03:41:13.147]  Current events form future trends.
[03:41:13.147 --> 03:41:18.111]  Tracking trends is an understanding of how we got here, where we are, and where we're going.
[03:41:18.111 --> 03:41:27.098]  So let's go back to the drug dealers, that morons, imbeciles, little brainless jerks off over there, call them Big Pharma.
[03:41:27.098 --> 03:41:29.379]  They're drug dealers, they're drug lords.
[03:41:29.379 --> 03:41:33.142]  And the drug lord for Pfizer, CEO Albert Broller,
[03:41:33.809 --> 03:41:38.871]  Predicts normal life will return within a year.
[03:41:38.871 --> 03:41:40.352]  You ready?
[03:41:40.352 --> 03:41:46.154]  And adds, we may need annual COVID shots.
[03:41:46.154 --> 03:41:51.596]  This is back in April.
[03:41:51.596 --> 03:41:57.898]  Within a year, I think we'll be able to come back to normal life, Brola said on ABC this week.
[03:41:57.898 --> 03:42:00.859]  Returning to normal life will have caveats.
[03:42:00.859 --> 03:42:02.340]  I don't think that means that
[03:42:03.035 --> 03:42:05.896]  The variant will not continue coming.
[03:42:05.896 --> 03:42:19.160]  And I don't think that this means we should be able to live our lives without having vaccinations.
[03:42:19.160 --> 03:42:24.202]  Yep.
[03:42:24.202 --> 03:42:32.525]  In secret vaccine contracts with government, Pfizer took, this is the guy with Pfizer, hard line and push for profit.
[03:42:35.100 --> 03:42:40.364]  And this is according to the Washington Post.
[03:42:40.364 --> 03:42:49.411]  The coronavirus vaccine developed by Pfizer and BioNTech has proved a success.
[03:42:49.411 --> 03:42:53.354]  The shot has become more and more popular.
[03:42:53.354 --> 03:42:55.575]  But the rapid proliferation of the vaccine...
[03:42:57.071 --> 03:43:06.136]  Alex Jones here on the morning of Friday, October 22nd, 2021, with a very important update for supporters of InfoWars.
[03:43:06.136 --> 03:43:13.520]  Several of our best-selling products are back in stock, limited supplies, and are 40 to 50% off.
[03:43:13.520 --> 03:43:20.504]  Like DNA Force Plus, that is 40% off right now, and that sale is going to have to end on Monday.
[03:43:20.504 --> 03:43:21.825]  It helps your telomeres, it helps your
[03:43:22.345 --> 03:43:22.766]  I think so.
[03:43:41.065 --> 03:43:42.306]  Even if it's a smaller run, do it.
[03:43:42.306 --> 03:43:49.673]  If you've got a very small run in of the product that's been sold out, and that is BrainForce Ultra, it's 25% off at MFullWarStore.com.
[03:43:49.673 --> 03:43:52.876]  It's going to end up selling out by Monday as well at current sales rates.
[03:43:52.876 --> 03:43:56.900]  So get great products and support the MFullWar at MFullWarStore.com.
[03:43:56.900 --> 03:44:00.644]  God created each and every one of us with free will.
[03:44:01.874 --> 03:44:06.075]  Well, we look at the world system now openly announcing the Mark of the Beast.
[03:44:06.075 --> 03:44:18.680]  Everything that it's attempting to do is built around getting rid of our free will and making us bow down and submit and turn our very bodies, our very productivity, our very genetics, our very
[03:44:19.840 --> 03:44:22.222]  Future over to them.
[03:44:22.222 --> 03:44:23.983]  They want control of procreation.
[03:44:23.983 --> 03:44:26.925]  They want control of the relationships between men and women.
[03:44:26.925 --> 03:44:32.689]  They want to bring a form of living death to our society and our civilization.
[03:44:32.689 --> 03:44:38.233]  All of us were formed and made in God's mind and God's image and given free will.
[03:44:38.233 --> 03:44:47.760]  And make no mistake, all of you alive today were created by God to be alive in this special time so that you could make the right decision in free will and stand against evil.
[03:44:48.775 --> 03:44:56.541]  And then, for eternity, win the great birthright prize of being aligned with God.
[03:44:56.541 --> 03:45:00.604]  I am taping this update on the morning of Friday, October 22nd, 2021.
[03:45:00.604 --> 03:45:15.235]  Listeners who've already tried and really seen the powerful effects of RainForce Ultra should be excited to know that we've got a limited supply of it in stock, but it'll be sold out at current sales rates by Monday morning.
[03:45:15.735 --> 03:45:20.178]  Despite that fact, we're still offering a major discount of 25% off.
[03:45:20.178 --> 03:45:22.320]  It is an amazing nootropic.
[03:45:22.320 --> 03:45:35.210]  I went to one of the top labs in the country and I said I want very powerful, quick acting, extremely clean nootropic that wears off quick because I want to be able to take it, if I've got to work till 10 at night, take it at 7 and for it to wear off by 10.
[03:45:35.210 --> 03:45:39.373]  And that's exactly what they did with Brain Force Ultra.
[03:45:39.833 --> 03:45:42.495]  Now, we have other great products like TurboForce that last for 10 hours.
[03:45:42.495 --> 03:45:43.456]  It's a different formula.
[03:45:43.456 --> 03:45:44.797]  It's over-the-top powerful.
[03:45:44.797 --> 03:45:45.937]  So strong I can't even take it.
[03:45:45.937 --> 03:45:47.318]  By the way, it's sold out right now.
[03:45:47.318 --> 03:45:50.060]  The BrainForce Ultra is really something special.
[03:45:50.060 --> 03:45:52.142]  It's 25% off, limited supply.
[03:45:52.142 --> 03:45:53.743]  We'll sell out early next week.
[03:45:53.743 --> 03:45:55.084]  Infowarstore.com.
[03:45:57.210 --> 03:46:01.952]  Silver Commander here with an important message to humanity.
[03:46:01.952 --> 03:46:09.877]  I have decided that all of you will take a special injection so that you will be safe.
[03:46:09.877 --> 03:46:13.418]  But the injection is not ready yet.
[03:46:13.418 --> 03:46:21.803]  And so, I need all of you to stay indoors for the next 15 days to flatten the curve.
[03:46:22.783 --> 03:46:30.965]  I also need you to wear masks, and I also need you to only shop at megacorporations.
[03:46:30.965 --> 03:46:41.127]  That way we can consolidate control and bankrupt the world economy, leaving companies that only I own profitable.
[03:46:41.127 --> 03:46:43.108]  You will then be my slaves.
[03:46:44.674 --> 03:46:48.698]  And then you'll get that special shot of venom from Cobra.
[03:46:48.698 --> 03:46:59.110]  It will boom your immune system, so you'll be dependent on me for the rest of your miserable lives.
[03:46:59.110 --> 03:47:01.733]  You're listening to the Alex Jones Show.
[03:47:18.324 --> 03:47:27.927]  You're listening to The Alex Jones Show, and now, your host, Gerald Solente.
[03:47:27.927 --> 03:47:38.029]  Hey, great being on The Alex Jones Show, and as the cover of the Friends Journal says, you know, God and nature versus man and science.
[03:47:38.029 --> 03:47:38.709]  Who's your God?
[03:47:38.709 --> 03:47:44.671]  And it brings you back to the products that they're having available on InfoWars.
[03:47:44.671 --> 03:47:45.531]  It's about nature.
[03:47:46.696 --> 03:47:52.777]  And one of those nature products is VasoBeat from InfoWars and it's selling out fast.
[03:47:52.777 --> 03:47:58.439]  They got like a, you know, 50% off VasoBeat from InfoWars.
[03:47:58.439 --> 03:48:00.879]  It's a favorite from the fans.
[03:48:00.879 --> 03:48:03.520]  It's a favorite beetroot-based formula.
[03:48:03.520 --> 03:48:09.461]  So you get it off today, the VasoBeat, for 50% off.
[03:48:09.461 --> 03:48:13.582]  And beetroot refers to the vegetable beets.
[03:48:14.835 --> 03:48:20.640]  And that's a hearty root vegetable and it's used for hundreds of years in natural medicine.
[03:48:20.640 --> 03:48:28.746]  It's nitrogen based benefits and delivering 1% of nitrogen for over 25 milligrams of nitrogen per serving.
[03:48:28.746 --> 03:48:43.718]  So this health, or heart healthy I should say, nitrates and healthy antitoxins, antioxidants in each formula will help support your body and mind.
[03:48:43.718 --> 03:48:44.319]  It really can.
[03:48:44.987 --> 03:48:58.471]  So with a non-GMO, gluten-free formula with no sulfates or sulfites, VasoBeat is the most concentrated liquid extract of beet on the market.
[03:48:58.471 --> 03:49:12.015]  And the liquid extract uses only water and no dangerous chemicals to provide you the naturally occurring potassium, folate, phosphorus, beta-carotene,
[03:49:13.757 --> 03:49:16.199]  Vitamin C and more.
[03:49:16.199 --> 03:49:18.581]  So, grab a bottle of VasaBeat.
