[00:00:01.508 --> 00:00:04.649]  Two, three, four...
[02:55:36.690 --> 02:55:38.031]  But there's no solution to this.
[02:55:38.900 --> 02:55:41.180]  Except getting out of the public education system.
[02:55:41.180 --> 02:55:46.702]  Well, if you read the history books, and if you read the Bible, this happens over and over again before it collapsed.
[02:55:46.702 --> 02:55:49.462]  The system comes to have sex with and kill the children.
[02:55:49.462 --> 02:55:53.723]  It is a demonic lust, and it's very real.
[02:55:53.723 --> 02:55:55.023]  Worldaffairsbrief.com.
[02:55:55.023 --> 02:55:57.004]  Thank you, Joel Skousen.
[02:55:57.004 --> 02:55:57.764]  Thank you, Alex.
[02:55:57.764 --> 02:56:03.665]  And people get a free sample issue by emailing me at editor at worldaffairsbrief.com.
[02:56:03.665 --> 02:56:04.205]  Alright, thank you.
[02:56:05.518 --> 02:56:13.224]  I'm going to hit a few more stories that have broken that I haven't had time to get to, and then we have Charles Salente taking over in about 10 after or so.
[02:56:13.224 --> 02:56:22.092]  But I'm going to do a few more segments because I've got a few clips, a few things I haven't hit that are really, really important that I want to cover when we come back on the other side of the break.
[02:56:22.092 --> 02:56:22.913]  Really briefly here.
[02:56:23.613 --> 02:56:26.295]  We are bringing you Black Friday two months early.
[02:56:26.295 --> 02:56:28.336]  It's called Black Friday.
[02:56:28.336 --> 02:56:40.004]  Black Friday comes early sale and it's all of the supplements, 50% off, store-wide free shipping and double Patriot Points.
[02:56:40.004 --> 02:56:42.026]  Again, InfowarsStore.com or 888-253-3139.
[02:56:42.026 --> 02:56:43.887]  And let me tell you, our
[02:56:50.623 --> 02:57:00.312]  Silver Skin Cream with Hyaluronic Acid and the Vitamins and the Silver Sol Patented Solution that's in the Silver Sol Wound Gel Cream.
[02:57:00.312 --> 02:57:02.414]  It's also in this.
[02:57:02.414 --> 02:57:05.277]  At 30% off, it's almost at cost, but I want you to see how great it is.
[02:57:05.277 --> 02:57:06.318]  I want you to experience it.
[02:57:06.318 --> 02:57:08.220]  I want you to get something else while you're on the site.
[02:57:08.900 --> 02:57:11.562]  All the supplements, all those products are 50% off.
[02:57:11.562 --> 02:57:13.784]  Storewide free shipping, double Patreon points.
[02:57:13.784 --> 02:57:17.446]  We always sell a ton of stuff when we do this, but the margins are very, very small.
[02:57:17.446 --> 02:57:19.188]  So this is a true Black Friday sale.
[02:57:19.188 --> 02:57:25.872]  We're doing it early so that we do things differently here and can only run through this week.
[02:57:25.872 --> 02:57:27.413]  Info or store.com.
[02:57:27.413 --> 02:57:30.336]  All the storable foods, all the water filtration, everything's 50% off as well.
[02:57:31.542 --> 02:57:35.729]  Haven't done specials this big since last Christmas, so I want to thank you all for your support.
[02:57:35.729 --> 02:57:36.451]  These are great deals.
[02:57:36.451 --> 02:57:40.638]  Support yourself, your family, and the American way by funding the InfoWar.
[02:57:40.638 --> 02:57:41.419]  It's never been easier.
[02:57:43.996 --> 02:57:51.423]  There are few things in this universe that are sure to bet, but I'm here to tell you, the products at Infowarslife.com are.
[02:57:51.423 --> 02:58:04.717]  We go out, we find out what is the best rated, best tested, most loved, most documented substances that God gave us through Mother Nature, and then we make it even stronger, even better, and lower the price.
[02:58:05.217 --> 02:58:11.861]  Now, turmeric has been known for thousands of years to help with inflammation, headaches, it's good for the immune system, so many things.
[02:58:11.861 --> 02:58:13.622]  It sells itself.
[02:58:13.622 --> 02:58:22.388]  But, normal turmeric only has 3-5% curcuminoid, the active enzyme or system in the plant.
[02:58:22.388 --> 02:58:23.729]  Originally, obviously, from India.
[02:58:24.249 --> 02:58:36.621]  Well, Body's Ultimate Turmeric Formula has a 95% curcuminoid level, and it's got other natural things that help boost it, help your body absorb it, and that's why people absolutely love it.
[02:58:36.621 --> 02:58:39.984]  I'm doing this offer for people that haven't tried it yet.
[02:58:39.984 --> 02:58:41.785]  50% off on Body's at InfoWarsLive.com.
[02:58:44.221 --> 02:58:53.026]  September is almost over, and right now we're offering store-wide free shipping, double Patriot points, and 50% off for a limited time.
[02:58:53.026 --> 02:58:56.268]  As a lot of you know, I don't play by the establishment's rules.
[02:58:56.268 --> 02:59:02.752]  In fact, I like to hijack things they've created and turn it towards the use of the people and the information war.
[02:59:02.752 --> 02:59:05.253]  And we're doing that right now with the Big Game Changer.
[02:59:05.253 --> 02:59:08.075]  We're going to bring you real Black Friday prices.
[02:59:08.915 --> 02:59:12.198]  Months early, in late September and early October.
[02:59:12.198 --> 02:59:15.101]  It's going to run as long as supplies last.
[02:59:15.101 --> 02:59:23.009]  Across the board, at least 50% off, storewide, free shipping, double Patriot points, and more.
[02:59:23.009 --> 02:59:26.792]  We've not done this, ladies and gentlemen, since last Christmas.
[02:59:26.792 --> 02:59:29.475]  But, I want you to take advantage of this.
[02:59:29.475 --> 02:59:32.618]  We need funds to run our operations, so it is a win-win.
[02:59:32.858 --> 02:59:34.239]  We're going into 2020.
[02:59:34.239 --> 02:59:35.660]  InfoWars needs the funds.
[02:59:35.660 --> 02:59:37.062]  Plus, these are great products.
[02:59:37.062 --> 02:59:41.325]  Go take advantage of them right now at InfoWarsStore.com or InfoWarsLife.com or 888-253-3139.
[02:59:41.325 --> 02:59:42.967]  You're listening to the Alex Jones Show.
[03:00:10.783 --> 03:00:12.004]  Coming up, we've got the video.
[03:00:12.004 --> 03:00:17.086]  Two teams charged after man 59 dies from knockout game attack at county fair.
[03:00:17.086 --> 03:00:20.188]  Innocent man sucker punched in the head, later dies in trauma ward.
[03:00:20.188 --> 03:00:24.050]  And of course, it's almost all black on white, but nobody ever will tell you that.
[03:00:25.391 --> 03:00:26.572]  Not even InfoWars sometimes.
[03:00:26.572 --> 03:00:29.715]  It's just very sad how they're pushing the race war.
[03:00:29.715 --> 03:00:32.237]  Also, GOP challenger Bill Weld.
[03:00:32.237 --> 03:00:35.360]  Trump committed treason and therefore must be executed.
[03:00:35.360 --> 03:00:39.764]  Yes, this is the latest super escalation we're going to get to here in just a moment.
[03:00:39.764 --> 03:00:42.346]  And the formula for gun confiscation, civil war.
[03:00:42.346 --> 03:00:43.968]  That's another key special report.
[03:00:43.968 --> 03:00:46.390]  That's all up on InfoWars.com and NewsWars.com.
[03:00:49.813 --> 03:00:53.694]  Speaking of those articles, let's get to the Bill Weld story right now.
[03:00:53.694 --> 03:00:55.355]  GOP challenger Bill Weld.
[03:00:55.355 --> 03:01:00.176]  Trump committed treason and therefore must be executed.
[03:01:00.176 --> 03:01:03.837]  Media doesn't push back on appalling statement.
[03:01:03.837 --> 03:01:17.141]  GOP primary challenger and former Massachusetts Governor Bill Weld, who's a Democrat in reality but not in name, accused President Trump of committing treason during a phone call with Ukrainian President
[03:01:18.641 --> 03:01:22.424]  Adding that the required punishment is death.
[03:01:22.424 --> 03:01:25.606]  Hillary sold us out to China and Russia and everything else, that's just fine.
[03:01:25.606 --> 03:01:30.670]  But when Trump tries to expose Hillary, the punishment's death, even though it's not even true.
[03:01:30.670 --> 03:01:34.612]  Talk about pressure from a foreign country to intervene, within control of a U.S.
[03:01:34.612 --> 03:01:35.433]  election.
[03:01:35.433 --> 03:01:39.256]  That's not just undermining democratic institutions, this is treason!
[03:01:39.256 --> 03:01:41.017]  Well said on MSNBC's Morning Joe.
[03:01:41.397 --> 03:01:43.859]  And that clip is coming up next segment.
[03:01:43.859 --> 03:01:46.600]  We're going to get Gerald Cilente's take on that.
[03:01:46.600 --> 03:01:48.461]  We're going to play that video next segment.
[03:01:48.461 --> 03:01:50.863]  It's up on Infowars.com.
[03:01:50.863 --> 03:01:56.626]  Host Joe Scarborough and Mika Brzezinski, whose father did engineer mass murder worldwide and bragged about it in several books.
[03:01:57.206 --> 03:02:03.389]  Zbigniew Brzezinski made no attempt to push back against Weld's outrageous statement calling for the execution of a sitting U.S.
[03:02:03.389 --> 03:02:04.209]  President.
[03:02:04.209 --> 03:02:11.392]  Weld then stated that Trump could possibly escape execution if he works out a plea deal, presumably with congressional Democrats and Nebra Trumpers.
[03:02:11.392 --> 03:02:13.994]  So they're now openly threatening to kill the President.
[03:02:13.994 --> 03:02:16.475]  The penalty under the Constitution is removal from office.
[03:02:16.475 --> 03:02:21.317]  That might look like a pretty good alternative to the President if he could work out a plea deal.
[03:02:22.219 --> 03:02:30.905]  Scarborough Brzezinski and the other guest panel then launched into a discussion about the legal framework of handing down a death sentence to President Trump.
[03:02:30.905 --> 03:02:32.466]  The only penalty for treason is death.
[03:02:32.466 --> 03:02:34.068]  It's spelled out in the statute.
[03:02:34.068 --> 03:02:43.735]  Weld said the left is accusing Trump of wrongdoing for asking the Ukraine government to get to the bottom of shady dealings involving Joe Biden's son.
[03:02:44.932 --> 03:02:48.495]  Hunter, the treason is exposing their treason.
[03:02:48.495 --> 03:02:56.521]  Biden has admitted to trying to withhold $1 billion in loan guarantees if the Ukraine government did not fire a prosecutor.
[03:02:56.521 --> 03:03:03.106]  That's right, looking into his son's lucrative deals with an energy company called Burzum & Holdings.
[03:03:03.106 --> 03:03:03.906]  And then it goes on.
[03:03:03.906 --> 03:03:08.570]  So they've done all this, but Trump's the man that's guilty of treason.
[03:03:08.570 --> 03:03:09.371]  We'll play that clip.
[03:03:10.339 --> 03:03:18.390]  When we come back and get to this, two teams charged after Man 59 dies from knockout game attack at County Fair.
[03:03:18.390 --> 03:03:20.653]  And again, there's so many knockout game deaths.
[03:03:20.653 --> 03:03:21.754]  Every day I see one.
[03:03:21.754 --> 03:03:27.181]  Every day there's videos of white people being beaten up, women, men, by large groups of young black males.
[03:03:27.822 --> 03:03:30.323]  Now again, that's a racist group of black males.
[03:03:30.323 --> 03:03:33.944]  Doesn't mean even a minority, a large minority of blacks are like that.
[03:03:33.944 --> 03:03:35.785]  But there are some racist black people.
[03:03:35.785 --> 03:03:40.427]  And you see it all over the news where these groups say, let's go out and attack whites, they're inherently bad.
[03:03:40.427 --> 03:03:45.549]  That's this anti-white atmosphere that the left has created that's just terrible.
[03:03:45.549 --> 03:03:50.531]  And then the media, once the attacks happen, try to cover them up or never say it's racially focused or biased.
[03:03:51.809 --> 03:03:55.331]  I meant to get to this last Friday, and I meant to get to it Sunday.
[03:03:55.331 --> 03:03:57.353]  I've just been so busy, I haven't gotten to it.
[03:03:57.353 --> 03:04:02.356]  We have a compilation of videos, a very small portion of them, of blacks attacking whites.
[03:04:02.356 --> 03:04:13.483]  And then T.I., the rapper, when I was on his show, it was supposed to air this Thursday, last week in L.A., he just brought up some video of a little white kid beating up a black kid, and I don't like watching the footage.
[03:04:13.483 --> 03:04:16.745]  I wouldn't like seeing a white kid beat up like that, or anybody.
[03:04:16.745 --> 03:04:20.068]  But he says this shows the epidemic of
[03:04:22.230 --> 03:04:23.110]  Why don't black violence?
[03:04:23.110 --> 03:04:25.212]  We have the statistics, so I'm going to put a report together.
[03:04:25.212 --> 03:04:28.773]  If it's not today, it'll be tomorrow, that I'm going to actually shoot where I can lay all this out.
[03:04:28.773 --> 03:04:29.274]  You know what?
[03:04:29.274 --> 03:04:31.395]  I'll tape it right when I hand over to Salente.
[03:04:31.395 --> 03:04:32.615]  That way we have it for tomorrow.
[03:04:32.615 --> 03:04:35.737]  So we can add all this together in one big shebang for you.
[03:04:35.737 --> 03:04:37.658]  Because I'm going to show you the statistics.
[03:04:37.658 --> 03:04:38.538]  I'm going to show you the videos.
[03:04:38.538 --> 03:04:40.239]  I'm going to show it to you all.
[03:04:40.239 --> 03:04:41.160]  And then ask T.I.
[03:04:41.160 --> 03:04:42.580]  Really, T.I.?
[03:04:42.580 --> 03:04:46.022]  Because the reality is it's open season on white people.
[03:04:46.022 --> 03:04:47.323]  That's what the crime statistics show.
[03:04:47.323 --> 03:04:48.844]  And it's very, very dangerous.
[03:04:48.844 --> 03:04:50.745]  He's going to have a backlash that I don't want.
[03:04:50.745 --> 03:04:51.145]  Stay with us.
[03:04:52.529 --> 03:04:56.752]  We sold Secret 12 for four years and it was our number third best seller.
[03:04:56.752 --> 03:05:01.535]  We had to discontinue it because when you upgrade a formula, you are supposed to rename it.
[03:05:01.535 --> 03:05:03.776]  That new formula is Ultra 12.
[03:05:03.776 --> 03:05:05.758]  It's twice as strong as Secret 12.
[03:05:05.758 --> 03:05:08.159]  The very best vitamin B12 out there.
[03:05:08.159 --> 03:05:13.262]  It's got the complex system that lets your body absorb it and it does amazing things.
[03:05:13.262 --> 03:05:15.084]  Supports healthy nerve and brain cells.
[03:05:15.084 --> 03:05:16.384]  Helps make DNA.
[03:05:16.384 --> 03:05:17.705]  Helps the body produce energy.
[03:05:17.705 --> 03:05:19.206]  Helps produce healthy blood cells.
[03:05:19.206 --> 03:05:21.207]  Essential for proper nervous system function.
[03:05:21.207 --> 03:05:21.968]  It goes on and on.
[03:05:22.168 --> 03:05:30.270]  B12 deficiency is a serious problem that can cause anemia, fatigue, weakness, constipation, weight loss, depression, poor memory loss, asthma, vision problems, and low sperm count.
[03:05:30.270 --> 03:05:32.811]  Bottom line, folks, you need Ultra 12.
[03:05:32.811 --> 03:05:39.653]  It helps fund the InfoWar, so it's a 360 win, and it's 50% off for a limited time at InfoWarStore.com.
[03:05:39.653 --> 03:05:44.994]  Again, we can only run the special for the next two weeks or so while supplies last.
[03:05:44.994 --> 03:05:50.236]  Ultra 12, twice as powerful, half the price, 50% off right now on InfoWarsLive.com.
[03:06:00.643 --> 03:06:01.403]  Big Brother.
[03:06:01.403 --> 03:06:03.584]  Mainstream media.
[03:06:03.584 --> 03:06:05.445]  Government cover-ups.
[03:06:05.445 --> 03:06:07.165]  You want to stop tyranny?
[03:06:07.165 --> 03:06:08.806]  Well, so does he.
[03:06:08.806 --> 03:06:18.589]  Live from the Infowars.com studios, it's Alex Jones.
[03:06:18.589 --> 03:06:24.192]  So I've been asking, what is peak leftist insanity trying to bully and dominate civilization?
[03:06:24.192 --> 03:06:25.132]  Now they're in the news.
[03:06:26.428 --> 03:06:31.391]  Pushing what Jocelyn Elders did as the Surgeon General under Clinton.
[03:06:31.391 --> 03:06:35.233]  Have the state teacher, five-year-old in kindergarten, how to masturbate.
[03:06:35.233 --> 03:06:36.174]  England's already doing it.
[03:06:36.174 --> 03:06:36.854]  That's in the news.
[03:06:36.854 --> 03:06:52.124]  But now, former Massachusetts Governor Bill Weld has come out and said execute President Trump for treason because he investigated, supposedly, Hillary and Biden's corruption over in Ukraine.
[03:06:52.124 --> 03:06:53.905]  Something Trump says he didn't even do.
[03:06:54.844 --> 03:06:58.248]  He didn't demand that you do this or I'll cut funding.
[03:06:58.248 --> 03:07:00.952]  It was actually Biden that admits he did that.
[03:07:00.952 --> 03:07:03.996]  So you wonder where they're going next.
[03:07:03.996 --> 03:07:06.499]  They're getting ready to try to kill the president.
[03:07:06.499 --> 03:07:08.482]  And he thinks he's invincible.
[03:07:08.482 --> 03:07:10.224]  He thinks he can handle all this.
[03:07:10.224 --> 03:07:11.265]  He thinks it's under control.
[03:07:11.265 --> 03:07:12.607]  I don't think it is.
[03:07:13.527 --> 03:07:19.872]  These people need to start getting in trouble for their bullying, their attacks, their censorship, and what they've been doing to this country.
[03:07:19.872 --> 03:07:22.293]  Saying MS-13's all God's children.
[03:07:22.293 --> 03:07:23.554]  Telling people to flood the border.
[03:07:23.554 --> 03:07:24.975]  Telling people to kill Border Patrol.
[03:07:24.975 --> 03:07:27.037]  All the attacks on ICE facilities.
[03:07:27.037 --> 03:07:29.839]  The attacks on Trump supporters.
[03:07:29.839 --> 03:07:40.127]  The attack on Congressman Scalise, where this leftist tried to kill the entire conservative coalition of Congress, and then CNN said the guy was a hero!
[03:07:40.127 --> 03:07:41.688]  Go to their houses, terrorize them!
[03:07:43.148 --> 03:07:47.030]  Maxine Waters and all of them say it's unbelievable.
[03:07:47.030 --> 03:07:53.633]  So here is Governor Weld really escalating the situation.
[03:07:53.633 --> 03:07:57.115]  This is the GOP challenge.
[03:07:57.115 --> 03:08:01.117]  This is the pincer attack that Trump's under because he dares stand up to the people.
[03:08:01.117 --> 03:08:03.498]  And all we're saying is, Trump, take the gloves off.
[03:08:03.498 --> 03:08:03.858]  Here it is.
[03:08:04.977 --> 03:08:17.476]  Obviously, cancelling primaries undermines democratic institutions and democratic elections, but that's far from the deepest dye crime that the president has committed here.
[03:08:17.476 --> 03:08:20.320]  He's now acknowledged that in a single phone call,
[03:08:20.820 --> 03:08:34.524]  Right after he suspended $250 million of military aid to Ukraine, he called up the President of Ukraine and pressed him eight times to investigate Joe Biden, who the President thinks is going to be running against him.
[03:08:34.524 --> 03:08:39.786]  Talk about pressuring a foreign country to interfere with and control a U.S.
[03:08:39.786 --> 03:08:40.746]  election.
[03:08:40.746 --> 03:08:41.847]  It couldn't be clearer.
[03:08:41.847 --> 03:08:45.508]  And that's not just undermining democratic institutions.
[03:08:45.508 --> 03:08:46.808]  That is treason.
[03:08:46.808 --> 03:08:48.509]  It's treason, pure and simple.
[03:08:48.509 --> 03:08:49.789]  And the penalty for treason
[03:08:50.249 --> 03:08:50.969]  Under the U.S.
[03:08:50.969 --> 03:08:54.491]  Code, his death, that's the only penalty.
[03:08:54.491 --> 03:08:55.771]  The penalty is death!
[03:08:55.771 --> 03:09:02.354]  So, Trump talks to this guy, talks about the corruption, which you're supposed to do, exposing it, and that's the big crime.
[03:09:02.354 --> 03:09:04.735]  But they're trying to go, oh, but he offered him something or threatened him.
[03:09:04.735 --> 03:09:10.697]  But Joe Biden admits he did that, so everything they're saying about Trump, they're projecting.
[03:09:10.697 --> 03:09:13.258]  But let's play this clip as we go to General Saliente, because it's very important.
[03:09:14.617 --> 03:09:19.982]  And Drudge has this as his top headline, that Trump has been very cocky about all this.
[03:09:19.982 --> 03:09:22.184]  And I get why he is, it's a fraud.
[03:09:22.184 --> 03:09:26.368]  But you can't be cocky unless you take action against these crooks.
[03:09:26.368 --> 03:09:32.373]  I mean, all the lies about Kavanaugh, the lies about me, the lies about everybody, it just gets worse and worse and worse.
[03:09:34.946 --> 03:09:40.393]  Here is NBC reporting on Trump and the fact that does, is he convinced of his invincibility?
[03:09:40.393 --> 03:09:41.875]  Because he doesn't need the internet.
[03:09:41.875 --> 03:09:43.917]  He doesn't need talk radio that's being shut down.
[03:09:43.917 --> 03:09:46.561]  He doesn't need all of us to help him get elected anymore.
[03:09:46.561 --> 03:09:49.965]  Because he's not taking action against the censorship yet.
[03:09:49.965 --> 03:09:50.326]  Here it is.
[03:09:52.628 --> 03:09:55.430]  The President's whistleblower strategy.
[03:09:55.430 --> 03:09:57.011]  A Twitter defense.
[03:09:57.011 --> 03:09:58.853]  Trump did nothing wrong.
[03:09:58.853 --> 03:10:00.634]  And a Twitter attack.
[03:10:00.634 --> 03:10:06.859]  Repeatedly fueling unsupported allegations against political rival Joe Biden.
[03:10:06.859 --> 03:10:17.427]  The President posted claims, including an edited video alleging Biden used influence in Ukraine to help his son Hunter's business interests there.
[03:10:17.427 --> 03:10:20.249]  But no evidence of wrongdoing was found.
[03:10:20.249 --> 03:10:22.011]  The tactic hit a nerve for Biden.
[03:10:22.731 --> 03:10:26.035]  Trump's doing this because he knows I'll beat him like a drum.
[03:10:26.035 --> 03:10:34.925]  And he's using the abuse of power and every element of the presidency to try to do something to smear me.
[03:10:34.925 --> 03:10:42.113]  The president also tried to deflect attention by branding the secret whistleblower complaint, Ukraine Witch Hunt.
[03:10:42.774 --> 03:10:48.799]  The allegation centers on a July call between President Trump and Ukraine President Zelensky.
[03:10:48.799 --> 03:11:00.930]  The Washington Post and New York Times report that Mr. Trump urged Ukraine to look into the Biden family, according to people briefed on the call, who also said the president did not discuss U.S.
[03:11:00.930 --> 03:11:03.192]  military aid to Ukraine.
[03:11:03.192 --> 03:11:05.274]  NBC News did not confirm the reporting.
[03:11:05.914 --> 03:11:09.596]  Congress has not seen the intelligence officer's complaint.
[03:11:09.596 --> 03:11:19.222]  Democratic Senator Dianne Feinstein sent a letter to Attorney General Barr Friday demanding the whistleblower report be shared with key committees.
[03:11:19.222 --> 03:11:24.745]  In Iowa, a frustrated Biden called the president's actions outrageous.
[03:11:24.745 --> 03:11:30.448]  Why is he on the phone with a foreign leader trying to intimidate a foreign leader if that's what happened?
[03:11:30.816 --> 03:11:35.661]  But some Republican Senators dismiss the complaint as partisan.
[03:11:35.661 --> 03:11:38.124]  You're never going to see the attack stop.
[03:11:38.124 --> 03:11:40.867]  It looks to me like another deep state attack.
[03:11:40.867 --> 03:11:42.529]  Well, that's exactly what it is.
[03:11:42.529 --> 03:11:45.772]  So confidence, arrogance...
[03:11:46.900 --> 03:11:54.883]  Unless we see them go after the Deep State and these impending indictments that are reportedly already handed down against McCabe and others, it's only going to encourage these people more.
[03:11:54.883 --> 03:11:58.784]  So if I'm angry at Trump, it's because he's not taking enough action, and we're all in this together.
[03:11:58.784 --> 03:12:07.407]  I totally support the President, I just am sitting here in the boiling hot water that he's also sitting in, and I'm saying that we're dealing with a pack of out-of-control criminals.
[03:12:07.407 --> 03:12:09.268]  And notice they say unsubstantiated.
[03:12:09.268 --> 03:12:11.248]  It's totally substantiated about Ukraine.
[03:12:11.248 --> 03:12:13.209]  Hillary paid for the fake dossier out of there!
[03:12:13.829 --> 03:12:19.994]  Biden's son went and took over the big $4 billion gas company and got a bunch of money.
[03:12:19.994 --> 03:12:24.157]  So, uh, by the way, here's that supposedly unsubstantiated edited montage.
[03:12:24.157 --> 03:12:29.801]  These are the same people that say Carpe Donctum edited Biden groping himself.
[03:12:29.801 --> 03:12:32.883]  That's, are you, deceptively, that he doctored it.
[03:12:32.883 --> 03:12:39.108]  It's not doctored when I show a Chinese dragon named Fentanyl telling us communism's good.
[03:12:39.108 --> 03:12:40.329]  It's called a joke!
[03:12:41.738 --> 03:12:44.081]  So, this is not doctored though.
[03:12:44.081 --> 03:12:45.803]  This is what they've already reported.
[03:12:45.803 --> 03:12:47.405]  This is known about Ukraine.
[03:12:47.405 --> 03:12:47.745]  Here it is.
[03:12:48.903 --> 03:12:50.303]  Wait a second.
[03:12:50.303 --> 03:12:55.365]  Not one single credible outlet has given any credibility to his assertion.
[03:12:55.365 --> 03:12:57.505]  Not one single one.
[03:12:57.505 --> 03:13:05.628]  That or ABC News investigation this morning into Joe Biden's son Hunter and questions about money he made from foreign business dealings while his father was vice president.
[03:13:05.628 --> 03:13:09.889]  You have a big story tonight on the New York Times website.
[03:13:09.889 --> 03:13:12.390]  Tomorrow, page one of the print edition.
[03:13:12.390 --> 03:13:13.310]  Was Hunter Biden
[03:13:13.630 --> 03:13:17.813]  Profiting off his dad's work as vice president and did Joe Biden allow it?
[03:13:17.813 --> 03:13:20.795]  We're talking about millions of dollars in at least two countries.
[03:13:20.795 --> 03:13:37.446]  We have Joe Biden as vice president having intervened to sort of force the firing of a Ukrainian prosecutor who happened to have an open case looking into a company, a Ukrainian gas company that was employing Joe Biden's sons.
[03:13:37.546 --> 03:13:42.428]  There's no reason to pay Hunter Biden $50,000 a month.
[03:13:42.428 --> 03:13:46.090]  Hunter Biden worked for a natural gas company in Ukraine, which is totally fair game.
[03:13:46.090 --> 03:13:49.992]  Did the Vice President's son use his dad's influence to make money somewhere in the world?
[03:13:49.992 --> 03:13:50.892]  That's totally fair game.
[03:13:50.892 --> 03:13:54.514]  Potential conflict of interest there that I think Joe Biden will have to answer for.
[03:13:54.514 --> 03:13:59.776]  Hunter Biden's work with the company reportedly sparked concern among State Department officials.
[03:13:59.776 --> 03:14:05.179]  But was it right for Hunter Biden to take a job like that in Ukraine while his father was engaged in diplomacy there?
[03:14:05.319 --> 03:14:07.441]  There is a story here.
[03:14:07.441 --> 03:14:08.482]  We've told some of it.
[03:14:08.482 --> 03:14:09.523]  There's more to be told.
[03:14:09.523 --> 03:14:11.926]  I'm telling you, you're not getting the billion dollars.
[03:14:11.926 --> 03:14:13.207]  I said, you're not getting the billion.
[03:14:13.207 --> 03:14:15.550]  I'm going to be leaving here, and I think it was, what, six hours?
[03:14:15.550 --> 03:14:17.612]  I looked, I said, I'm leaving in six hours.
[03:14:17.612 --> 03:14:20.395]  If the prosecutor's not fired, you're not getting the money.
[03:14:20.395 --> 03:14:25.801]  If the prosecutor's not fired, if the prosecutor's not fired, if the prosecutor's not fired, you're not getting the money.
[03:14:28.450 --> 03:14:38.717]  So that was smoking gun proof in the last month where they're undermining Biden for Elizabeth Warren because they know he's had another stroke, they gotta get rid of him.
[03:14:38.717 --> 03:14:44.161]  And so Trump's like, you're saying I'm threatening people to fire folks or go after
[03:14:45.188 --> 03:14:47.550]  Biden or I'm going to cut aid.
[03:14:47.550 --> 03:14:55.175]  That's exactly what you did and bragged at the CFR because you guys buy and sell US power and US diplomacy.
[03:14:55.175 --> 03:14:56.036]  You do it publicly.
[03:14:56.036 --> 03:14:58.918]  You're mad I'm here and not doing that anymore.
[03:14:58.918 --> 03:14:59.938]  So you're blaming me.
[03:14:59.938 --> 03:15:03.341]  Here's a video showing it and they call that edited.
[03:15:04.735 --> 03:15:12.881]  Well, edited for brevity, but those are all little pieces of interviews, whole segments where they documented this, but only because they want to have their cake and eat it, too.
[03:15:12.881 --> 03:15:20.887]  They want to burn Biden to get rid of him for Elizabeth Warren, but then they also want to burn Trump with the same recycled crap when there's no evidence of it.
[03:15:20.887 --> 03:15:22.868]  And the big news is the president's being spied on.
[03:15:22.868 --> 03:15:24.690]  Geraldo Salente takes over on the other side.
[03:15:24.690 --> 03:15:26.051]  Please don't forget, ladies and gentlemen,
[03:15:26.591 --> 03:15:28.132]  InfowarsStore.com.
[03:15:28.132 --> 03:15:29.212]  Storewide free shipping.
[03:15:29.212 --> 03:15:32.513]  Double Patriot points and 50% off basically everything.
[03:15:32.513 --> 03:15:33.253]  Biggest sale ever.
[03:15:33.253 --> 03:15:34.893]  Black Friday comes two months early.
[03:15:34.893 --> 03:15:37.234]  Right now to InfowarsStore.com for the next week.
[03:15:37.234 --> 03:15:39.055]  And don't forget, Band.Video.
[03:15:39.055 --> 03:15:41.155]  It's getting better and better every day.
[03:15:41.155 --> 03:15:43.116]  My show, David Knight, Owen Troyer.
[03:15:43.116 --> 03:15:47.877]  It's got firepower with the great crew there and so much more.
[03:15:47.877 --> 03:15:48.978]  Band.Video.
[03:15:48.978 --> 03:15:49.778]  Share that URL.
[03:15:52.185 --> 03:16:03.230]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now have two convenient choices to get fast relief without taking another pill.
[03:16:03.230 --> 03:16:09.033]  Because now Sunny Bay heating wraps and pillows are available at both Amazon and Wal-Mart.
[03:16:09.033 --> 03:16:09.673]  Yes.
[03:16:09.673 --> 03:16:15.556]  See Sunny Bay's four and a half to five star customer reviews on Amazon .com or Wal-Mart .com.
[03:16:15.916 --> 03:16:24.342]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support where and when you need it.
[03:16:24.342 --> 03:16:33.388]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing, hot or cold therapy to help treat temporary or chronic pain.
[03:16:33.388 --> 03:16:37.331]  And the best part, Sunny Bay quality products start at under twenty dollars.
[03:16:37.631 --> 03:16:45.654]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100 percent positive rating on both Amazon and Etsy.
[03:16:45.654 --> 03:16:46.434]  It's easy.
[03:16:46.434 --> 03:16:51.076]  Click Amazon or Wal-Mart and search today for Sunny Bay.
[03:16:51.076 --> 03:16:53.717]  Hunters, anglers, campers and survivalists.
[03:16:53.717 --> 03:16:54.837]  Get back to nature.
[03:16:54.837 --> 03:17:02.120]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow .com.
[03:17:02.120 --> 03:17:05.821]  Slingbow products are compact and models start from just seventeen ninety eight.
[03:17:06.041 --> 03:17:09.103]  They're perfect for your bug out bag or storing in your vehicle.
[03:17:09.103 --> 03:17:13.266]  Give yourself and your loved ones the excitement and tradition of Slingbow.
