[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[01:31:42.000 --> 01:31:52.000]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.silverlungs.com to learn more about how the Silver Lungs System works.
[01:31:52.000 --> 01:31:56.000]  As well, we are always ready to answer any questions you may have.
[01:31:56.000 --> 01:32:22.000]  That's www.silverlungs.com.
[01:32:27.000 --> 01:32:35.000]  The new Alex Jones Quick Fix Family Pack saves you so much money, the savings from eating this food will actually help you pay your other bills.
[01:32:35.000 --> 01:32:43.000]  No matter what effect the mid-east crisis or the crashing economy have, you'll have food as delicious tonight as 25 years from now.
[01:32:43.000 --> 01:32:48.000]  Order now for 50% savings and free shipping on these affordable family packs.
[01:32:48.000 --> 01:32:57.000]  Call 800-409-5633 or eFoodsDirect.com slash Alex.
[01:32:57.000 --> 01:33:21.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:33:21.000 --> 01:33:30.000]  All right, we've got Greg Palast of the BBC and he's worked for ABC News best-selling author, former criminal investigator for the federal government joining us.
[01:33:30.000 --> 01:33:36.000]  On Fukushima one year later for part of this segment, part of the next, and I'll finish up with all the callers.
[01:33:36.000 --> 01:33:39.000]  Brian, right through Nicolette that are holding, I'm going to get to you.
[01:33:39.000 --> 01:33:45.000]  But Shane in Germany is a Apache driver, Apache helicopter pilot.
[01:33:45.000 --> 01:33:50.000]  My uncle was a helicopter pilot in Vietnam. Our military are such great people.
[01:33:50.000 --> 01:33:54.000]  A large portion of the people in your group are awake.
[01:33:54.000 --> 01:34:00.000]  Look, it was Admiral Fox Fallon that had a scent come five years ago that said no to an Iran attack.
[01:34:00.000 --> 01:34:04.000]  Admiral Mullen, the last joint chiefs of staff chairman, said no.
[01:34:04.000 --> 01:34:10.000]  The last head of the Mossad had to quit saying don't attack Iran. It's crazy for Israel and everybody else.
[01:34:10.000 --> 01:34:20.000]  So you ask how do you say no? I would quietly circulate to everybody that impeachment's begun against Obama.
[01:34:20.000 --> 01:34:26.000]  Have you seen the video where he says that the president now takes orders from the UN and Congress is not involved?
[01:34:26.000 --> 01:34:31.000]  If you're a new listener, folks, I've played it over and over again. They actually are saying the UN runs America.
[01:34:31.000 --> 01:34:38.000]  I mean, there's no brainer here. If they said the Russians, if they said the president now takes orders from the Russians, what would you do?
[01:34:38.000 --> 01:34:45.000]  You've got about, what is about a third of a percent of the entire population of the United States is in the active duty military.
[01:34:45.000 --> 01:34:52.000]  That was about pre-World War II after we had Harvard went to about 10% of the whole entire population.
[01:34:52.000 --> 01:34:57.000]  I'm looking at possibly the U.S. Military Act of Duty being rendered irrelevant.
[01:34:57.000 --> 01:35:02.000]  Whatever is going to happen, whatever about to get involved in, everybody's spidey centers up.
[01:35:02.000 --> 01:35:07.000]  But people are ignorant. They don't have what, in their gray matter, they don't have what they need.
[01:35:07.000 --> 01:35:15.000]  You look at G.I. Regriford's interview with the KGB resment off, you know, it explains, you know, how they demoralize the United States through the education system.
[01:35:15.000 --> 01:35:20.000]  People don't have them unarmed intellectually what they need. That's all I'm saying.
[01:35:20.000 --> 01:35:27.000]  Exactly. You're asking me, what do you do to an unlawful order? You know as a soldier, you don't take orders from the UN,
[01:35:27.000 --> 01:35:33.000]  especially when they say Congress doesn't count. I mean, have you heard that audio from the Senate?
[01:35:33.000 --> 01:35:39.000]  I heard it all and I'll tell you what, if that's what goes down, there's nothing left.
[01:35:39.000 --> 01:35:49.000]  I just hope listeners realize I've already aired it a bunch. I mean, it's online where the Secretary of Defense says we take orders from the UN, Congress, but out.
[01:35:49.000 --> 01:35:51.000]  I mean, it's unbelievable.
[01:35:51.000 --> 01:35:56.000]  I'm saying this every day. I am saying this every single day at work.
[01:35:56.000 --> 01:35:59.000]  Are people, and you say people are starting to get it?
[01:35:59.000 --> 01:36:04.000]  People get it and I'm not alone. I'm just saying that.
[01:36:04.000 --> 01:36:07.000]  I think you guys should say if there's not a resolution.
[01:36:07.000 --> 01:36:15.000]  We're in a race for rendering whether or not it's the unlawful federal powers that have been usurped irrelevant, rendering that irrelevant,
[01:36:15.000 --> 01:36:26.000]  or we're being rendered irrelevant as we partake in this Roman empirical, you know, take over the United States of the world and we're being spread to the wind.
[01:36:26.000 --> 01:36:34.000]  So it's going to be, we're rendered to develop. Whatever event is going to happen, if we're going to prevent it, it's definitely feels like it's soon.
[01:36:34.000 --> 01:36:39.000]  Well, I agree with you and God bless you, Shane. Please try to call me back tomorrow whenever you can, but do whatever you think's best.
[01:36:39.000 --> 01:36:44.000]  But I would just point out Obama's being impeached. He says the UN is your boss.
[01:36:44.000 --> 01:36:50.000]  If that isn't reason, I don't know what is and I'm bringing up to your officers and let that sense go up to the chain of command. God bless you.
[01:36:50.000 --> 01:36:58.000]  I want to ask Greg Palace this question because he's written about it in his new bestseller, Vultures Picnic, BBC reporter, American.
[01:36:58.000 --> 01:37:06.000]  Greg, we talked about this a month or so ago when you were on. The elite are making 40 to 1 bets like Corzine with MF Global with their own people's money.
[01:37:06.000 --> 01:37:12.000]  They're launching all these wars. They're trying to go into Africa now to get the resources, saying it's for Joseph Coney.
[01:37:12.000 --> 01:37:20.000]  They're trying to attack Iran. I mean, is there any level that this arrogance, this hubris is going to run out of steam?
[01:37:20.000 --> 01:37:23.000]  What do you make of all this craziness?
[01:37:23.000 --> 01:37:34.000]  Well, there's a lot of money out there, man. I see them moving into Africa where, for example, I looked at the big backers behind Romney, the billionaires.
[01:37:34.000 --> 01:37:42.000]  They just seized a shipment of cobalt worth 80 million. You got cobalt. You got uranium with the resurgence of nuclear power.
[01:37:42.000 --> 01:37:53.000]  Remember, that means the resurgence of uranium. And that's not only the Republican side, but Bill Clinton's big backers are big in uranium.
[01:37:53.000 --> 01:37:55.000]  Lithium, don't forget lithium.
[01:37:55.000 --> 01:38:08.000]  You got lithium and, of course, in Afghanistan, you have rare earth. There's a lot of resource out there, so the machinery continues so long as there is funding.
[01:38:08.000 --> 01:38:16.000]  I was just discussing with my good friend, Roseanne Barr, about this Coney 2012 video.
[01:38:16.000 --> 01:38:26.000]  It's sadly funny. I just came back from the Congo and from Liberia in Africa, where I did filming on these warlords.
[01:38:26.000 --> 01:38:36.000]  What's missing from the Coney 2012, it's all about some crazy warlord out in the middle of the rainforest in Uganda.
[01:38:36.000 --> 01:38:41.000]  But there are warlords with murderous child armies that have run all over Africa.
[01:38:41.000 --> 01:38:49.000]  They don't pull AK-47s and mortars from the trees in the forest. They are given those weapons.
[01:38:49.000 --> 01:39:00.000]  There is a tremendous, tremendous industry in getting out diamonds, gold, you name it, and getting guns and mayhem back in, and people making money off the mayhem.
[01:39:00.000 --> 01:39:11.000]  It's not about those Africans. Who's making the money from this? The mayhem in Africa, the child soldiers, the killings.
[01:39:11.000 --> 01:39:21.000]  I did this report for BC when I took the, not just Coney, but the child armies of Liberia and Charles Taylor, who has been sent to the Hague.
[01:39:21.000 --> 01:39:24.000]  Who's behind these guys? Who's making the money?
[01:39:24.000 --> 01:39:31.000]  Well, I looked to New York and Vale, Colorado, and the billionaires in the U.S. and Geneva and London and France.
[01:39:31.000 --> 01:39:35.000]  Exactly. These are like globalist prison wardens.
[01:39:35.000 --> 01:39:39.000]  The reason we got you on here with this abbreviated interview today, Greg, is Fukushima.
[01:39:39.000 --> 01:39:46.000]  One year anniversary of all that in the week coming up a year ago, reactors blowing up.
[01:39:46.000 --> 01:39:51.000]  Some of them are still melting down a year later, and we're told radiation is now good for us.
[01:39:51.000 --> 01:39:59.000]  Yeah, the radiation salesman, and I think that the soldier that you just spoke to will appreciate this,
[01:39:59.000 --> 01:40:10.000]  that the U.S. Congress in 2010, at the request of the Obama administration, virtually unanimously voted for an emergency war appropriation,
[01:40:10.000 --> 01:40:15.000]  which would provide armor for our soldiers in Afghanistan and Iraq.
[01:40:15.000 --> 01:40:28.000]  And in a tiny, tiny paragraph hidden deep in that bill was an $8 billion loan guarantee for nuclear power plants.
[01:40:28.000 --> 01:40:33.000]  Now, what that has to do with armor for our soldiers in Iraq and Afghanistan, you tell me.
[01:40:33.000 --> 01:40:46.000]  But that $8 billion now is funding the building of four new twin sets of nuclear reactors in the U.S.
[01:40:46.000 --> 01:40:51.000]  And I'm very concerned because the first reactors built, by the way, will be down towards your way.
[01:40:51.000 --> 01:40:53.000]  They're supposed to be built at South Texas.
[01:40:53.000 --> 01:40:59.000]  And they say, don't worry. These will be safe because the, and I can't make this up,
[01:40:59.000 --> 01:41:06.000]  the management of the construction and operation of the plant will be by Tokyo Electric Power.
[01:41:06.000 --> 01:41:10.000]  Like that? That's what's happening here.
[01:41:10.000 --> 01:41:17.000]  And, you know, they gave us such jive about Fukushima. Such jive.
[01:41:17.000 --> 01:41:26.000]  And it, you know, they said that it was brought down by an earthquake and a tsunami, that they didn't expect a 9-0 tsunami.
[01:41:26.000 --> 01:41:32.000]  True. The 9-0 tsunami was in the middle of the Pacific Ocean, about 110 miles from Fukushima.
[01:41:32.000 --> 01:41:35.000]  By the time I hit Fukushima, it was a lot less.
[01:41:35.000 --> 01:41:43.000]  What happened? The answer is that the, that they cheaped out that the builders had faked the earthquake-proofing at the plant.
[01:41:43.000 --> 01:41:48.000]  So that the earthquake at the plant wasn't that bad, but it was still because they...
[01:41:48.000 --> 01:41:50.000]  Let me ask you this question.
[01:41:50.000 --> 01:41:58.000]  I saw a number put up with the federal government even a few months ago saying 9 out of 10 reactors, 440-something worldwide, are leaking.
[01:41:58.000 --> 01:42:03.000]  And I hear about it in Southern California one leaks and they're like, next time we're not going to turn the alarms on.
[01:42:03.000 --> 01:42:08.000]  And then one goes off in Illinois, another in Nebraska, Colorado, Canada.
[01:42:08.000 --> 01:42:13.000]  They're going off all the time. They're like 30, 40 years old. They're rotting. They're supposed to go 20 years.
[01:42:13.000 --> 01:42:17.000]  What are the elite thinking? They're just going to let them all rot because they're still getting dividends.
[01:42:17.000 --> 01:42:22.000]  And their grandkids will all die, but they'll have money. I mean, what's going on here?
[01:42:22.000 --> 01:42:31.000]  Well, that is how it works, isn't it? Look at the, look at the golf spill cheaping out, BP cheaping out on the, on the safety there.
[01:42:31.000 --> 01:42:39.000]  And you know, you heard my story for vultures picnic about how they, you know, didn't use at these cheap cement to plug those things.
[01:42:39.000 --> 01:42:44.000]  Well, stay there, Greg. We're going to come back. Yeah. I mean, I'm not saying Halliburton's a great company.
[01:42:44.000 --> 01:42:48.000]  I'm not, I've attacked them, but they were just doing the actual contract to drill it.
[01:42:48.000 --> 01:42:55.000]  BP tells them, inject seawater and concrete and they go, that'll, that'll blow up. It's never worked. It'll blow out.
[01:42:55.000 --> 01:43:00.000]  They said, just do it. And so it blew out. I mean, it's just delusion. Well, they're right back.
[01:43:00.000 --> 01:43:08.000]  I had tried everything. I'd cut back the amount of food I was eating. I was lifting weights and jogging, but nothing was working.
[01:43:08.000 --> 01:43:19.000]  Everybody was literally starving for minerals and trace elements as well as key vitamins. And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[01:43:19.000 --> 01:43:30.000]  Now, there are hundreds of great products at infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[01:43:30.000 --> 01:43:41.000]  Products like Beyond Tangy Tangerine, Holland Burst, and Rebound. When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[01:43:41.000 --> 01:43:49.000]  Now that's results. I want to challenge my listeners to go to infowarsteam.com and to order just three of their products.
[01:43:49.000 --> 01:43:55.000]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[01:43:55.000 --> 01:44:00.000]  Start your journey to health and wellness today, infowarsteam.com.
[01:44:25.000 --> 01:44:29.000]  Guarantee you love the way they fit.
[01:44:29.000 --> 01:44:34.000]  And put a diamond gusset in the crotch where you need it most.
[01:44:34.000 --> 01:44:40.000]  Blue diamond gussets got it. Others don't.
[01:44:40.000 --> 01:44:46.000]  We turned jeans inside out. Diamond gusset jeans. Made in the USA with unparalleled quality.
[01:44:46.000 --> 01:44:53.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you could ride all day with confidence.
[01:44:53.000 --> 01:45:00.000]  Order yours at gusset.com. Diamond gusset jeans got it. Others don't.
[01:45:23.000 --> 01:45:27.000]  No useless dyes, perfumes, deodorants, or antibacterials.
[01:45:27.000 --> 01:45:35.000]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:45:35.000 --> 01:45:40.000]  If you want something better, if you want something you've never had before, you've had to do something you've never done before.
[01:45:40.000 --> 01:45:45.000]  Getting a free catalog is easy by calling 800-340-7091.
[01:45:45.000 --> 01:45:53.000]  Or see Calvin on the web at 5starsoap.com. Take charge of your health now by calling 800-340-7091.
[01:45:53.000 --> 01:46:18.000]  Or see Calvin on the web at 5starsoap.com.
[01:46:23.000 --> 01:46:25.000]  Fight off cancer and be healthy.
[01:46:25.000 --> 01:46:31.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[01:46:31.000 --> 01:46:39.000]  The Young Jevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[01:46:39.000 --> 01:46:46.000]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need.
[01:46:46.000 --> 01:46:48.000]  Check it out for yourself. It's incredible.
[01:46:48.000 --> 01:46:57.000]  Go to infowarseteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[01:46:57.000 --> 01:47:22.000]  That's infowarseteam.com.
[01:47:22.000 --> 01:47:27.000]  You bet we're broadcasting worldwide reaching more than 15 million people a week.
[01:47:27.000 --> 01:47:31.000]  Number one on the web at infowarseteam.com when it comes to alternative media.
[01:47:31.000 --> 01:47:38.000]  I mean, we're 14 times bigger than MSNBC.com than infowarseteam.com. Go look it up at Alexa.com.
[01:47:38.000 --> 01:47:42.000]  All right, look, I got to get Greg Palace on for a full hour soon. I'm almost out of time.
[01:47:42.000 --> 01:47:47.000]  I promise to go to some of your calls, Nicolette and Alexander and Brian and others.
[01:47:47.000 --> 01:47:53.000]  But Greg, look, bottom line here, as I was saying, I'm not against technology.
[01:47:53.000 --> 01:47:55.000]  There's some cleaner forms of nuclear power.
[01:47:55.000 --> 01:48:01.000]  The problem is if the companies are run by crazy loan sharking banker mafia people
[01:48:01.000 --> 01:48:04.000]  and they start telling us, radiation's good.
[01:48:04.000 --> 01:48:08.000]  As you know, the EPA last year just raised the levels and said it was safe because of Fukushima.
[01:48:08.000 --> 01:48:15.000]  Then I'm totally against it. It's like I'm for the death penalty, but you can't trust a corrupt government to implement it.
[01:48:15.000 --> 01:48:21.000]  Exactly. I was a racketeering investigator and ran the big case against the plant builders in the US,
[01:48:21.000 --> 01:48:28.000]  including Shaw Construction, which is going to build all four new nuclear plants in the US and will rebuild Fukushima.
[01:48:28.000 --> 01:48:33.000]  The problem is not nuclear power per se. You could build a safe nuclear plant.
[01:48:33.000 --> 01:48:41.000]  What you can't do is have private companies, private sharks who can make a buck off skimming and put the money in their pocket.
[01:48:41.000 --> 01:48:46.000]  If they build a nuclear plant, good night. There's nothing wrong. It's not nuclear power per se.
[01:48:46.000 --> 01:48:50.000]  It's the guys who are running it. You're talking about Shaw Construction.
[01:48:50.000 --> 01:48:53.000]  I got them convicted of racketeering and here they are back.
[01:48:53.000 --> 01:49:02.000]  You wouldn't let a guy convicted of driving a school bus drunk and giving him another license to drive a school bus.
[01:49:02.000 --> 01:49:07.000]  These are guys convicted of lying about earthquake proofing of all things.
[01:49:07.000 --> 01:49:10.000]  They lied about emergency diesel generators. I put it in front of a federal grand jury.
[01:49:10.000 --> 01:49:17.000]  That's it. Just ban nuclear power except for submarines and military because they haven't had that bad of a record.
[01:49:17.000 --> 01:49:23.000]  Ban them. That's it. If you guys want to build this like you build some mafia high school, I'm done.
[01:49:23.000 --> 01:49:25.000]  Ban it. What do you say we do?
[01:49:25.000 --> 01:49:29.000]  You can't trust these guys. That's the problem. You cannot trust these guys.
[01:49:29.000 --> 01:49:37.000]  The guarantees are given to Citibank and JP Morgan. If things go bad, they get a guarantee and you get thyroid cancer.
[01:49:37.000 --> 01:49:44.000]  I'm sorry. That's not a good deal. If these guys don't have their own behinds on the hook here, monetarily, if things go bad,
[01:49:44.000 --> 01:49:47.000]  they literally lose not a dime if things go bad.
[01:49:47.000 --> 01:49:54.000]  Greg, let me ask you this question. Two questions. A, can you come on Monday or Tuesday for like 30 or 40 minutes because we're out of time here?
[01:49:54.000 --> 01:49:56.000]  Sure. For you, yeah.
[01:49:56.000 --> 01:49:59.000]  You want to come on tomorrow or Tuesday?
[01:49:59.000 --> 01:50:00.000]  Tuesday would be better.
[01:50:00.000 --> 01:50:06.000]  Well, let's get you on in the last hour, Tuesday. That'll be one o'clock central. How's that sound?
[01:50:06.000 --> 01:50:08.000]  We'll make sure we get there.
[01:50:08.000 --> 01:50:14.000]  Okay. Boom. I want to do a full hour on this because I forgot you've actually sent them to prison for this stuff, so you're a true expert on it.
[01:50:14.000 --> 01:50:21.000]  But expanding. Other question. What are these crazy people thinking doing this? Where does it end?
[01:50:21.000 --> 01:50:30.000]  I mean, if these reactors were supposed to be shut down 20 years ago, most of them, as you know, 40 years old, are we going to start just seeing disasters everywhere because it's already started?
[01:50:30.000 --> 01:50:33.000]  Yeah, and they may not tell you about it. It's cracking and corrosion.
[01:50:33.000 --> 01:50:42.000]  You have to understand it's 3,000 degrees tremendous pressure in these pipes. They crack and corrode. Some of them are down to a hundredth of an inch of thickness.
[01:50:42.000 --> 01:50:48.000]  You've got a tremendous corrosion problem of thousands of miles of piping that they can't even get to.
[01:50:48.000 --> 01:50:55.000]  So I'm very concerned about this new business of doubling the life. Well, they can't double my life if things go wrong. Can they?
[01:50:55.000 --> 01:51:06.000]  And this is a big, big problem. They said that these are the same people who said no one was hurt at Chernobyl other than at the explosion itself.
[01:51:06.000 --> 01:51:15.000]  And I just spoke to a doctor in the Ukraine who herself has thyroid cancers. There's a tremendous epidemic of thyroid cancers there.
[01:51:15.000 --> 01:51:21.000]  It's ridiculous to say that radiation won't hurt you. Come on, guys.
[01:51:21.000 --> 01:51:26.000]  Well, that's what the TSA and the radiation scanners, they say they're good for you.
[01:51:26.000 --> 01:51:30.000]  And now we learn they've let the troops for 20 years use DU and it's killing them.
[01:51:30.000 --> 01:51:34.000]  I mean, the elite claim they're in control. They're only good at bossing us around.
[01:51:34.000 --> 01:51:43.000]  These people are so confident and so full of hootspa or bravada, they're destroying our entire planet, including their planet. They're crazy.
[01:51:43.000 --> 01:51:53.000]  Well, remember, Ben Laden didn't fly plane to building. These rich guys don't do this stuff themselves. They don't put themselves in harm's way.
[01:51:53.000 --> 01:52:01.000]  The vultures have their ski places in veil. There ain't no nuclear plants over there. There ain't any nuclear plants in New York City now.
[01:52:01.000 --> 01:52:08.000]  They killed that off. They were supposed to have them in New York. So, you know, let's face it. These guys don't put themselves in harm's way.
[01:52:08.000 --> 01:52:15.000]  You're the guinea pigs. You're the troops. And gee, isn't it a shame what happened to Fukushima again?
[01:52:15.000 --> 01:52:22.000]  These are the guys that told us that Tokyo Electric were the pros and they so they invited them to Texas to build your plants in Texas.
[01:52:22.000 --> 01:52:26.000]  Now they're telling us, oh, well, that's the Japanese. They don't know what they're doing. They have those little tiny hands.
[01:52:26.000 --> 01:52:31.000]  They can't deal with electronic. Come on, guys. You just told us that these were the pros and that you're going to bring them to Texas.
[01:52:31.000 --> 01:52:38.000]  All right, Greg Palis, Greg Palis, again, his skype's breaking up. He hasn't had a fifth of Jack Daniels.
[01:52:38.000 --> 01:52:44.000]  Greg Palis, you are awesome. We're going to talk to you on Tuesday. Thank you so much for joining us.
[01:52:44.000 --> 01:52:50.000]  I got rid of Greg early just to keep my promise. Thank you, sir, to go to your phone calls. GregPalis.com is his website.
[01:52:50.000 --> 01:52:56.000]  Our site's infowords.com and my Twitter account is twitter.com forward slash real Alex Jones.
[01:52:56.000 --> 01:53:01.000]  I promise to go to your phone calls. So let's make it happen. One minute apiece to get to most of you.
[01:53:01.000 --> 01:53:05.000]  Nicolette in Connecticut. You're on the air. Go ahead.
[01:53:05.000 --> 01:53:14.000]  Hi, Alex. I'm a senior in high school in Connecticut and I woke up about six months ago when I saw loose change and I listened to you whenever I can.
[01:53:14.000 --> 01:53:20.000]  I am committed to waking others up and although kids are always making fun of me about it, teasing me about it.
[01:53:20.000 --> 01:53:27.000]  For example, when I brought up chemtrails in my AP environmental class, they mocked me saying, yeah, like, oh, yeah, I'm sure there are chemtrails.
[01:53:27.000 --> 01:53:30.000]  And 9-11 wasn't inside job. And I was like, well, 9-11.
[01:53:30.000 --> 01:53:32.000]  The government missed their geoengineering. Yeah.
[01:53:32.000 --> 01:53:40.000]  Exactly. So I woke up my sister with loose change. She couldn't sleep for weeks. I woke up my friends, Amanda and Izzy, and they get it.
[01:53:40.000 --> 01:53:46.000]  So just last week I showed my dad a video clip of you predicting 9-11 in July, two months before it happened.
[01:53:46.000 --> 01:53:53.000]  And that freaked him out just for a couple of days. But then he came back to me and he said, you know, I've made a decision to trust my government.
[01:53:53.000 --> 01:53:58.000]  I'm a follower of a prosecutor and now I'm just concerned about your mental health.
[01:53:58.000 --> 01:54:04.000]  And he just says that I'm a conspiracy nut. So he's listening right now to the show because he knows I'm on.
[01:54:04.000 --> 01:54:09.000]  And what would you say to him to wake him up? Or moreover, what should I say to him to wake him up?
[01:54:09.000 --> 01:54:13.000]  Well, the Soviet Union arrested people that thought Stalin was bad.
[01:54:13.000 --> 01:54:17.000]  Hitler had people arrested for mental illness who thought that Hitler was bad.
[01:54:17.000 --> 01:54:25.000]  Government is a dangerous servant and a fearful master. It's like fire. George Washington said that.
[01:54:25.000 --> 01:54:32.000]  So I think that, you know, your friend needs to wake up and realize that impeachment's been introduced against Obama.
[01:54:32.000 --> 01:54:35.000]  This is a big, big news. Back when it happened to Clinton, it was top news.
[01:54:35.000 --> 01:54:46.000]  For selling us out to the U.N. and saying our military's under U.N. control. I mean, I'd ask your friend, why isn't this bill in 112th Congress,
[01:54:46.000 --> 01:54:53.000]  H. Con Res 107 at the Library of Congress, he can go look it up right now. Why isn't this news?
[01:54:53.000 --> 01:54:56.000]  You know, that's the type of question I'm asking. Nicolette, good to hear from you.
[01:54:56.000 --> 01:54:59.000]  Great to know we have so many young listeners. You are the future. God bless you.
[01:54:59.000 --> 01:55:05.000]  Let's go to Brian in North Carolina. You're on the air, Brian.
[01:55:05.000 --> 01:55:07.000]  Quick urgent report for you.
[01:55:07.000 --> 01:55:08.000]  Go ahead.
[01:55:08.000 --> 01:55:16.000]  All right, thanks. I'm going to my Mayadan Town Council and State Senator in North Carolina tomorrow, 7 o'clock p.m.
[01:55:16.000 --> 01:55:23.000]  To resist agenda 21, provide the facts at the James A. Collins Municipal Building.
[01:55:23.000 --> 01:55:32.000]  I've sent a news tip to your show tip female about this Alex seven days ago under the subject on Mayadan Town Council.
[01:55:32.000 --> 01:55:39.000]  Well, you're awesome and God bless you. We do sell the excellent book behind the green message in a 21 at infowars.com.
[01:55:39.000 --> 01:55:45.000]  It exposes the entire globalist program of control. You're saying you sent us a news tip. Good.
[01:55:45.000 --> 01:55:55.000]  Fight international zoning that's set to take over and destroy property rights in your area today. Austin, where I live, is totally under this criminal system, resist it.
[01:55:55.000 --> 01:56:03.000]  Let's go ahead and talk to Karen. Karen in Arizona, you're on the air. Karen, go.
[01:56:03.000 --> 01:56:14.000]  Thanks. The Arizona Corporation Commission is having a study group on smart meter on in March at the end of this month.
[01:56:14.000 --> 01:56:22.000]  Oh, yeah, they promised those would never control your temp, but now they do and track everything you're doing. Yeah, a government smart meter you pay for.
[01:56:22.000 --> 01:56:33.000]  Give me a break. Okay. Now, and so I can email you that information. Another thing is don't tell me anymore. You can't do anything because you can't.
[01:56:33.000 --> 01:56:38.000]  I got the smart meter from my electric lid and I had it taken off.
[01:56:38.000 --> 01:56:42.000]  You've got incredible power. Do you think I'm saying you don't have power?
[01:56:42.000 --> 01:56:48.000]  No, no, no, I'm talking about I'm talking about other people. No, you got power and you're kicking globalist.
[01:56:48.000 --> 01:56:50.000]  I want to hear from you.
[01:56:50.000 --> 01:57:02.000]  Also real fast, show us our spot pile is supposed to come up here in my area tomorrow. And so I always pray for his safety and protection.
[01:57:02.000 --> 01:57:09.000]  You're awesome. I got to jump, Karen. You're awesome. Alexander in Colorado. 30 seconds. It's all we've got. I'm sorry.
[01:57:09.000 --> 01:57:19.000]  Yes, I am a veteran and a student at Colorado State University. We have shown the blueprint of Mad Men in class with over 200 people.
[01:57:19.000 --> 01:57:20.000]  Awesome.
[01:57:20.000 --> 01:57:32.000]  It was so amazing to see how these people are waking up and all the youth are actually starting to understand what's going on. And Alex Jones, you were just amazing person and I really.
[01:57:32.000 --> 01:57:37.000]  You're amazing. We're all together free humanity against a small group of criminals.
[01:57:37.000 --> 01:57:43.000]  By the way, New World Order blueprint of Mad Men is free online, folks. Get it. Get it out to everybody. God bless you.
[01:57:43.000 --> 01:58:08.000]  I'm sorry. The other callers back tomorrow, 11 a.m. We'll see you then info wars.com. Great job crew.
