[00:00.000 --> 00:20.000]  Music
[3:19:16.800 --> 3:19:21.200]  nano silver that's patented and documented even admitted in documents we've shown to go after
[3:19:21.200 --> 3:19:26.240]  this whole corona SARS family a virus we're almost sold out of the one ounce spray bottles that'll
[3:19:26.240 --> 3:19:30.240]  be sold out a couple days and we're about a week and a half or so the super silver three ounce
[3:19:30.240 --> 3:19:34.160]  bottles great to have period really good for your gums really great for your teeth we also have
[3:19:34.160 --> 3:19:38.240]  the super silver in our whitening toothpaste again we're the only folks allowed to private label
[3:19:38.240 --> 3:19:41.760]  or make our own products with this top nano tech company based here in the u.s that's in
[3:19:41.760 --> 3:19:45.440]  always homeland security documents everything because we get the best stuff there's a lot of
[3:19:45.440 --> 3:19:50.000]  patriots there's not just bad guys coming after us there's a flip side of all the good guys and
[3:19:50.000 --> 3:20:10.240]  the gals it's very exciting you're listening to the alex jones show
[3:20:10.240 --> 3:20:18.880]  all right i'm taking a call from brayden and adam and then mike Adams takes over
[3:20:21.440 --> 3:20:26.480]  but you look at these headlines and now the left is pouring out their anti-human poison
[3:20:27.600 --> 3:20:35.440]  sit in four wars dot com story abortionist it makes my day when i see a woman come back
[3:20:35.440 --> 3:20:44.720]  for another abortion i love killing babies pro trump nlb player excluded from san francisco
[3:20:44.720 --> 3:20:52.640]  giants world series reunion state of hawaii just told a potential coronavirus infected
[3:20:52.640 --> 3:20:58.000]  man to continue infecting while at a public terminal that's natural news dot com
[3:20:58.000 --> 3:21:05.040]  why are 712 people in washington state being monitored for coronavirus infections but not
[3:21:05.040 --> 3:21:10.640]  tested mike adams will answer that question he wrote the article christine maxwell the
[3:21:10.640 --> 3:21:18.880]  sister of jis lane maxwell that worked for mr ebstin works with the fbi it turns out
[3:21:19.920 --> 3:21:21.840]  but nobody wants us to talk about that
[3:21:21.840 --> 3:21:28.720]  child aid ink will help your children we're with jeffrey ebsting
[3:21:31.040 --> 3:21:35.040]  their whole system's coming down that's why there's the censorship it's a desperate move
[3:21:36.720 --> 3:21:41.840]  but so many people that are conservative or nationalist or christian back away from
[3:21:41.840 --> 3:21:46.880]  truth tellers thinking oh you're being censored i don't want to be we're winning the war you're
[3:21:46.880 --> 3:21:51.840]  just followers but our audience of viewers and listeners they're not followers they're the tip
[3:21:51.840 --> 3:21:56.480]  of the spear and their word of mouth and their financial support the broadcast is what allows
[3:21:56.480 --> 3:22:01.760]  all of us to happen that is changing history so i want to thank the listeners and viewers
[3:22:01.760 --> 3:22:06.160]  for not being intimidated like everybody else and continuing to spread the word word of mouth
[3:22:06.800 --> 3:22:12.240]  of band dot video in fours dot com and in four store dot com because you are the reason this
[3:22:12.240 --> 3:22:16.720]  is still happening and we're changing the world together for the best mike adams takes over
[3:22:16.720 --> 3:22:20.000]  just about two minutes brayden in washington thanks for holding go ahead
[3:22:21.840 --> 3:22:26.880]  hey mr jones i really appreciate you taking my call appreciate you so i kind of two things here
[3:22:27.680 --> 3:22:34.320]  first off you know i'm a young guy washington state um and i'm currently going to community
[3:22:34.320 --> 3:22:39.680]  college right now fresh out of high school um and i just wanted to say that you know i really
[3:22:39.680 --> 3:22:44.880]  um kind of identify with what katlyn was talking about earlier i'm just the the craziness that goes
[3:22:44.880 --> 3:22:51.600]  on we we've seen this you know happen with with milo with gavin mckinnis steven crowder various
[3:22:51.600 --> 3:23:00.560]  comedians um and it just seems like we we are fighting because we have posters going up you know
[3:23:00.560 --> 3:23:06.880]  from like four chan like the it's okay to be white posters and various other kind of like
[3:23:06.880 --> 3:23:15.680]  campaigns going on um i guess the question is how do we you know get more young members in this
[3:23:15.680 --> 3:23:21.040]  community to go from just being like passive listeners to actually getting them to you know
[3:23:21.040 --> 3:23:25.360]  be active you know what the crew hears this and they're busy and they kind of halfway listen to me
[3:23:26.000 --> 3:23:30.400]  they're doing a great job but i want your name and number i want you to come on the show with me
[3:23:30.400 --> 3:23:35.840]  tomorrow for 30 minutes because the question of how do we influence college is more how are we more
[3:23:35.840 --> 3:23:41.760]  aggressive how do we stand up against this that is a microcosm for taking the whole world back but
[3:23:43.040 --> 3:23:47.280]  you get a bunch of followers there at the school and they believe by following the
[3:23:47.280 --> 3:23:53.520]  directives of the of the campus controllers they're in the powerful group you've got to explain
[3:23:53.520 --> 3:23:58.800]  they're the oppressors and that they're the group that's actually failing but it doesn't
[3:23:58.800 --> 3:24:03.760]  matter that's why there's always lots of followers and not a lot of leaders just because you're in
[3:24:03.760 --> 3:24:10.320]  the middle of this pressure cooker and most of these people are against you well most people
[3:24:10.320 --> 3:24:16.080]  you know end up not being successful and so don't look at being part of the group as success
[3:24:16.960 --> 3:24:21.040]  look at being an individual as success promoting what has value listen
[3:24:22.240 --> 3:24:28.320]  i got on there 26 years ago and i fundamentally believed in what i was promoting from historical
[3:24:28.320 --> 3:24:32.880]  perspectives i wasn't trying to be a big leader in it i just believe that if i promoted freedom
[3:24:32.880 --> 3:24:40.880]  and be successful it was so we're promoting things that are powerful and organic and so
[3:24:40.880 --> 3:24:46.080]  fundamentally they may have the establishment and censorship on their side because what they're
[3:24:46.080 --> 3:24:53.120]  doing is unnatural we have truth and justice and the organic power on our side and if we just it's
[3:24:53.120 --> 3:24:58.880]  not an arrogance it's a confidence of you're in a war you're in a fight you might as well be confident
[3:24:58.880 --> 3:25:03.440]  about it like if you're in a war politically you just walk up stab somebody in the neck i'm not
[3:25:03.440 --> 3:25:07.040]  saying do that i'm saying as an allegory i'm going to try to go up and kill somebody with a knife
[3:25:07.760 --> 3:25:11.520]  i'm going to go up and really try to do it i'm going to kill him by the way i'm not going to stab
[3:25:11.520 --> 3:25:15.600]  him like it's a pretend or i'm going to shoot somebody to defend myself i'm not going to pretend
[3:25:15.600 --> 3:25:19.440]  i'm going to shoot him right in the chest or right in the face i'm going to do it well politically
[3:25:19.440 --> 3:25:24.320]  you've got to be the same way you have to execute at the point you have to believe it know it know
[3:25:24.320 --> 3:25:30.160]  you're in the right and then will it and you do that but you have to be ready to be a leader
[3:25:30.160 --> 3:25:33.840]  and i know you don't want to be a leader because you innately have leadership it's why you're already
[3:25:33.840 --> 3:25:39.360]  awake you already love god you love justice you know the truth and so you're not trying to lead
[3:25:39.360 --> 3:25:44.320]  you see all these others wanting to lead their followers the leader doesn't want to lead they're
[3:25:44.320 --> 3:25:49.920]  forced to lead because they can't let the cancer grow i appreciate your call get brayden's number
[3:25:50.480 --> 3:25:53.920]  let's get brayden on tomorrow that's a larger discussion mike adams has taken over
[3:25:53.920 --> 3:25:58.880]  very soon natural news dot com adam in canada last caller before mike adams takes over what's
[3:25:58.880 --> 3:26:04.400]  your question or comment it's so it's so true you just said i got a minute so i blog about the
[3:26:04.400 --> 3:26:11.120]  specific psychosis to the left at tower of babel dot ta from the point of view of an insider growing
[3:26:11.120 --> 3:26:17.280]  up in the family that basically brought socialism to canada my grandfather founded the ccf here and
[3:26:17.280 --> 3:26:22.640]  my father built the ndp in ontario i grew up knowing these people to be fabian communists
[3:26:22.640 --> 3:26:28.160]  the new fabian doctrine is to hollow out any specific structure and construct their utopia
[3:26:28.160 --> 3:26:32.960]  and by the way i was probably mentally last caller is great you two should come on together
[3:26:32.960 --> 3:26:38.640]  for 30 minutes both of you tomorrow because because what you're saying these last two callers
[3:26:38.640 --> 3:26:44.080]  is so key to understanding it please continue if you check out my blog tower of babel dot c a i
[3:26:44.080 --> 3:26:49.760]  talk about this is a fabian communist conspiracy these people are bolsheviks they can feel oh they're
[3:26:49.760 --> 3:26:55.680]  absolutely part of a cult they admit they're following a global government you said a communist
[3:26:55.680 --> 3:27:00.400]  tower of babel that's it they they've always been trying to build this thing where no one can
[3:27:00.400 --> 3:27:07.280]  communicate but them and by confusion they believe they rule instead of by clarity all of us come
[3:27:07.280 --> 3:27:13.600]  together they keep claiming they're the collectivists they're not clarity is a vision so pure everyone
[3:27:13.600 --> 3:27:21.280]  joins it by free will that's godlike collectivism their thing is just is division and total confusion
[3:27:21.280 --> 3:27:27.040]  and then they in the darkness direct us to their collective which is hell on earth that makes sense
[3:27:28.000 --> 3:27:34.400]  yes and their clinical psychosis it's a clinical psychosis to believe your dna controls you and
[3:27:34.400 --> 3:27:39.040]  if you don't believe in god then you don't believe the magna carter has any legal value you said it
[3:27:39.040 --> 3:27:44.320]  again the dna is only a resonance system to communicate with god and our past ancestors you
[3:27:44.320 --> 3:27:49.520]  done it go you listen no bs it's all coming together everything we do it's all happening right now
[3:27:50.320 --> 3:27:55.200]  i want adam in the last caller on tomorrow with me 30 minutes mike adams i apologize
[3:27:55.200 --> 3:27:58.960]  taking 30 minutes his time and always a busy guy and agreed to take over his paul couldn't do it
[3:27:58.960 --> 3:28:03.600]  paul does the last hour tomorrow mike adams natural news dot com is always loaded for bear
[3:28:03.600 --> 3:28:08.000]  he takes over in four minutes when we come back i didn't plug last hour didn't plug so far
[3:28:08.000 --> 3:28:14.880]  and uh we were gonna have to lay people off in six months but we've sold a lot of products so
[3:28:14.880 --> 3:28:19.920]  we're doing okay but we need to sell a lot of products stay on air plus you need about a mineral
[3:28:19.920 --> 3:28:25.040]  fusion you need ultra 12 uh you need immune gargle that's about to sell out uh you need
[3:28:25.040 --> 3:28:29.600]  the storeable food that's about to sell out to be prepared and to be ready and to have your body
[3:28:29.600 --> 3:28:35.440]  ready and there's not a perfect place in the universe better than getting products that
[3:28:35.440 --> 3:28:40.880]  fund the info war that are pure and quality and good that also take care of your body that's a
[3:28:40.880 --> 3:28:45.200]  magic thing god gave us products that are good for you and your body good for you and your family
[3:28:45.200 --> 3:28:49.840]  that also fund the info war that is that is a magic thing so take advantage info war short
[3:28:49.840 --> 3:28:55.440]  com all right mike adams takes over heart disease is on the rise clogged arteries high blood pressure
[3:28:55.440 --> 3:29:00.720]  and high cholesterol levels may not be fully detected by you but the symptoms are there loss
[3:29:00.720 --> 3:29:06.560]  of energy blood sugar spikes and drops or circulation and irregular heartbeat are just a few of these
[3:29:06.560 --> 3:29:11.920]  that can alert you that something is wrong hear how heart and body extract is making a difference
[3:29:11.920 --> 3:29:17.680]  in thousands of people's lives across america my blood pressure has normalized my diabetes has
[3:29:17.680 --> 3:29:22.000]  totally improved everyone is telling me now how much healthier i look and i'm telling everyone how
[3:29:22.000 --> 3:29:26.960]  much healthier i feel i recommend heart and body extract to everyone anybody over 40 in the north
[3:29:26.960 --> 3:29:32.880]  american continent should be using this product as a preventative to keep their cardio vascular system
[3:29:32.880 --> 3:29:41.760]  healthy order your two month supply today by calling 866-295-5305 that's 866-295-5305 or order
[3:29:41.760 --> 3:29:55.120]  online hbextract.com heart and body extract 866-295-5305 or hbextract.com all right folks here's the bad
[3:29:55.120 --> 3:30:00.080]  news we've already sold out of the 16 ounce immune gargle with the patented nanotech silver
[3:30:00.080 --> 3:30:06.240]  that's documented to knock out viruses and bacteria unlike anything else but we do still have in the
[3:30:06.240 --> 3:30:12.400]  three ounce and the one ounce for limited time the good news is we have the super blue toothpaste
[3:30:12.400 --> 3:30:17.680]  and the super silver toothpaste both that have the nano silver in them as well the super blue has
[3:30:17.680 --> 3:30:23.360]  tea tree that's also antiviral and antibacterial and high quality iodine and then of course the
[3:30:23.360 --> 3:30:28.240]  whitening has the nano silver but on top of that it has the above sea coral calcium that
[3:30:28.240 --> 3:30:33.600]  remelanorizes the teeth and so it's just the best toothpaste you're gonna find period it has the
[3:30:33.600 --> 3:30:37.920]  nano silver and we still have supplies of it though it'll sell out at current rates about two
[3:30:37.920 --> 3:30:44.080]  weeks but despite that i'm keeping it at sale at 50 percent off so everybody can protect themselves
[3:30:44.080 --> 3:30:53.520]  with this high quality product you've never used it before get yours today infowarstore.com infowarstore.com
[3:30:53.520 --> 3:30:57.120]  real stuff man we're talking about the real deal here and i and i love trump all day long but man
[3:30:57.120 --> 3:31:01.280]  i tell you he sits there and lets these big tech people keep running rough shot over him everybody
[3:31:01.280 --> 3:31:06.720]  i'm i mean i've got a problem and we'll just take the trump rally's over that said about two
[3:31:06.720 --> 3:31:11.600]  months ago i came with a plan that i haven't launched yet we have a warehouse full of hundreds
[3:31:11.600 --> 3:31:16.960]  of thousands of stickers 20 different stickers impeach the democrats save the second amendment
[3:31:16.960 --> 3:31:21.360]  defend the first amendment infowarstore.com and it looks like duct tape but it's just a regular
[3:31:21.360 --> 3:31:25.520]  sticker you put it over your mouth you'd go to a trump rally and you instantly take over without
[3:31:25.520 --> 3:31:29.360]  even disrupting things people say why are you doing this what's happening when you go well we're
[3:31:29.360 --> 3:31:33.520]  being censored you know trump won't do anything about it and and dr pacinic i'm let me just ask
[3:31:33.520 --> 3:31:38.960]  you what you think because i've not launched this yet it's brilliant you've taken the very element
[3:31:38.960 --> 3:31:44.880]  that they try to repress you with that silence and made it into a weapon you have the loudest sound
[3:31:44.880 --> 3:31:53.680]  of all silence and you know what's most disturbing to people silence silence silence across the western
[3:31:53.680 --> 3:32:02.160]  world from high school to college sports to even the olympics men biological men are winning almost
[3:32:02.160 --> 3:32:09.200]  all of the sporting events this is men invading women's spaces and bullying them and taking their
[3:32:09.200 --> 3:32:15.040]  rights away all in the name of the liberalism and openness and then every day i have stacks of news
[3:32:15.040 --> 3:32:21.840]  articles just like today uk team find under house arrest for asking trans police officers gender
[3:32:21.840 --> 3:32:28.400]  and it hurt their feelings uk mother spared jail for misgendering trans woman ordered to pay
[3:32:28.400 --> 3:32:36.400]  thousand pound fine because it could have caused anxiety in the new royalty that's the thought
[3:32:36.400 --> 3:32:42.480]  police if a leftist has their feelings hurt for any reason you get fined and you go to jail this
[3:32:42.480 --> 3:32:48.000]  is tyranny these people are bullies and it's sick and it's evil and it's part of a scientific
[3:32:48.000 --> 3:32:58.000]  anti-human takeover resist it speak out against it you're listening to the alex jones show
[3:32:58.000 --> 3:33:20.400]  from the front lines of the information war it's alex jones and now your host mike adams
[3:33:22.320 --> 3:33:26.640]  all right i've got major updates for you here breaking news on the coronavirus coming in just
[3:33:26.640 --> 3:33:32.160]  a few minutes but first just comments on the callers just fantastic callers in the previous
[3:33:32.160 --> 3:33:36.640]  segment with alex i'm glad alex said that he's going to have those two individuals on tomorrow
[3:33:36.640 --> 3:33:42.000]  and his whole new format idea about a like a podcast commercial free type of conversations
[3:33:42.000 --> 3:33:49.280]  with callers i think that's fantastic it's uh it's genius old school uh breakthrough format
[3:33:49.280 --> 3:33:54.080]  it's it's it's really genius i hope he gets that going soon uh i might like to participate in that
[3:33:54.080 --> 3:34:00.320]  as well it's a great idea but first about katlyn bennett and what happened yesterday it's just
[3:34:00.320 --> 3:34:08.080]  astonishing the rabid lunatic left has now completed their transformation into a violent mob
[3:34:08.080 --> 3:34:15.840]  of mindless just completely insane zombies screaming hatred and death upon all conservatives
[3:34:16.640 --> 3:34:22.400]  and i have to say this free speech issue is now the civil rights issue of our time
[3:34:22.400 --> 3:34:30.560]  this is the civil rights fight today just as equality for african-americans was the civil
[3:34:30.560 --> 3:34:36.160]  rights battle of the 1960s and the 70s and the 80s today it's free speech for all people but
[3:34:36.160 --> 3:34:41.440]  especially conservatives whether they be be black or white or asian or latino conservatives are
[3:34:41.440 --> 3:34:48.480]  being hunted and hounded and mobbed by violent lunatics and yesterday in fact katlyn katlyn
[3:34:48.480 --> 3:34:56.000]  bennett or i think it was two days ago she had a uh rosa parks moment and this is the the civil
[3:34:56.000 --> 3:35:02.480]  rights fight of our time and we are up against this violent lunatic mob that is encouraged by
[3:35:02.480 --> 3:35:08.960]  twitter so twitter has become the hate hub of the radical left and if you don't have enough left
[3:35:08.960 --> 3:35:13.120]  wing hate then you're not allowed on twitter if you're a conservative or if you're a trump
[3:35:13.120 --> 3:35:18.240]  supporter if you love america you love the constitution or you have any words of criticism
[3:35:18.240 --> 3:35:26.800]  towards transgenders or the the pedophilia the the child abuse a drag queen story hour of the left
[3:35:26.800 --> 3:35:31.840]  then you are banned off of twitter so twitter has become more and more by this selective banning
[3:35:31.840 --> 3:35:37.920]  it has become a hate hub for the radical left who have completely lost their minds they are insane
[3:35:38.480 --> 3:35:45.760]  and i repeat my call right now the president of the united states should either demand that twitter
[3:35:45.760 --> 3:35:52.400]  allow total free speech for all people all ideas all political philosophies or twitter should be
[3:35:52.400 --> 3:35:57.760]  seized and shut down twitter should be ended and taken offline if they are going to contribute to
[3:35:57.760 --> 3:36:03.440]  this lunatic mob this radical left-wing hatred that's going to get people killed because let's be
[3:36:03.440 --> 3:36:10.080]  honest katlyn bennett was trapped in a kill zone that was a kill zone they created around her vehicle
[3:36:10.080 --> 3:36:14.640]  and her security personnel there that was a kill zone they did not want her to leave
[3:36:14.640 --> 3:36:21.360]  they wanted to trap her and they physically trapped her and she had every reason to fear for her life
[3:36:21.360 --> 3:36:28.320]  and her personal safety in that context it was a lunatic violent mob that was already attacking
[3:36:28.320 --> 3:36:35.520]  her vehicle katlyn bennett would have been correct to order her security team to deploy
[3:36:35.520 --> 3:36:43.280]  tactical defensive tools and weapons to escape that kill zone by any means necessary in her
[3:36:43.280 --> 3:36:50.240]  own self-defense whether that meant driving out of there or or uh using self-defense weapons i'll
[3:36:50.240 --> 3:36:56.560]  just say it that way to to stop violence to stop the lunatic mob she was being assaulted and they
[3:36:56.560 --> 3:37:01.680]  are trying to drive somebody to the point of shooting one day they want a shooting they want
[3:37:01.680 --> 3:37:07.440]  to see a bunch of lunatic leftists shot and blood running in the streets because somebody decided
[3:37:07.440 --> 3:37:12.320]  to defend their lives against this lunatic mob this is what they wanted to come to and they were
[3:37:12.320 --> 3:37:18.000]  trying to invoke that with katlyn bennett but these universities have become nothing but hate
[3:37:18.000 --> 3:37:24.240]  indoctrination hubs and it is insane that we have arrived at this moment in america where
[3:37:24.880 --> 3:37:31.920]  a woman a woman going to a university to ask innocent questions on presidents day is threatened
[3:37:31.920 --> 3:37:38.080]  and hounded by a lunatic violent left-wing mob and the media celebrates it because the media is
[3:37:38.080 --> 3:37:45.040]  part of this mob and this is why ultimately when it comes to a civil war do not hesitate to defend
[3:37:45.040 --> 3:37:52.160]  america do not hesitate you are not dealing with rational intelligent informed human beings anymore
[3:37:52.160 --> 3:37:59.040]  on the left their rationality is gone they are totally insane they are violent lunatic emotional
[3:37:59.040 --> 3:38:05.840]  mobs and the media is contributing to this and even begging for this kind of behavior to continue
[3:38:05.840 --> 3:38:12.960]  the media is part of the problem the mainstream media is the enemy of america they are in fact
[3:38:12.960 --> 3:38:18.400]  hoping for massive killings of conservatives they openly call for it they celebrate this kind of
[3:38:18.400 --> 3:38:26.160]  violence we are dealing with the civil rights issue of our time so with that said i also want to
[3:38:26.160 --> 3:38:33.920]  just mention alex said he's he needs a bug out plan well i've got i've got extra space at various
[3:38:33.920 --> 3:38:40.800]  locations in central texas if alex needs to bug out we can help him accomplish that not even at
[3:38:40.800 --> 3:38:47.760]  at my ranch but other locations where we have assets and we have former special forces individuals
[3:38:47.760 --> 3:38:54.480]  who are also going to be relocated to those locations so alex jones you have a backup bug
[3:38:54.480 --> 3:39:03.360]  out plan that you didn't even know about and it it's you'll be safe there because even a thousand
[3:39:03.360 --> 3:39:10.640]  lunatic left us could not get through just three or four former navy seals trust me on that point
[3:39:10.640 --> 3:39:16.640]  because i've trained with these brave men and they are incredibly gifted at what they do and we are
[3:39:16.640 --> 3:39:22.240]  not going to surrender to the lunatic mobs we will defend ourselves we will defend our nation
[3:39:22.240 --> 3:39:27.840]  we will defend our property and we will defend the rule of law in america and it sure would be nice
[3:39:27.840 --> 3:39:33.600]  if trump would do something about these assaults on people like katlyn bennett if trump would speak
[3:39:33.600 --> 3:39:39.520]  out against it if trump would crack down on these universities and this insane indoctrination frankly
[3:39:39.520 --> 3:39:44.080]  this all comes down to the communist infiltration of america the communists have taken over the
[3:39:44.080 --> 3:39:48.880]  universities they've taken over the media they've taken over half of of the democrats in congress
[3:39:48.880 --> 3:39:52.640]  they've taken over the governor ships across america and they've taken over california
[3:39:53.520 --> 3:39:59.600]  and alex had a guest on the other day jeff nyquist who is an expert in this area and i spoke with
[3:39:59.600 --> 3:40:04.240]  nyquist as well and he knows exactly what he's talking about there's been a long-term plan in
[3:40:04.240 --> 3:40:10.800]  place to drive the youth to this level of lunatic violence this is part of the communist revolution
[3:40:10.800 --> 3:40:17.360]  takeover plan that has played out in countries across human history including china and venezuela
[3:40:17.360 --> 3:40:23.760]  and cuba before and former soviet union and so on all throughout the world this is the game book
[3:40:23.760 --> 3:40:29.280]  this is the blueprint that they follow and trump better get off his butt and realize that we are
[3:40:29.280 --> 3:40:35.680]  under assault this is a war against america being waged right now it's an information war the
[3:40:35.680 --> 3:40:41.920]  censorship of the tech giants the lunatic left-wing propaganda of the media that is anti america that
[3:40:41.920 --> 3:40:47.920]  are traitors to this nation and to its people and the left-wing lunatic students at these
[3:40:47.920 --> 3:40:52.880]  left-wing universities that are being trained and indoctrinated into total hatred and total
[3:40:52.880 --> 3:40:59.040]  depravity a complete rejection of biological reality a rejection of god and principles of
[3:40:59.040 --> 3:41:05.520]  divinity a rejection of real science and real biology this push for transgenderism and and
[3:41:05.520 --> 3:41:13.040]  pedophilia is all about rejecting sexual reproduction a mother and a father a binary union that creates
[3:41:13.040 --> 3:41:18.720]  the sustainability of the human race you can't have a child without a mother and a father and yet
[3:41:18.720 --> 3:41:24.480]  the very concepts of motherhood and fatherhood are being obliterated by this radical leftist
[3:41:24.480 --> 3:41:30.160]  lunatic zombie mob that is out for blood and wants to literally kill every person with whom
[3:41:30.160 --> 3:41:36.080]  they disagree and they call themselves tolerant they're the tolerant ones really they're pro-human
[3:41:36.080 --> 3:41:39.920]  rights really as they murder their own babies and celebrate that and can't get enough of that
[3:41:40.480 --> 3:41:44.480]  you know celebrating returning second abortions and third abortions and they love that because
[3:41:44.480 --> 3:41:51.840]  it's more blood spilled onto the um the floors of the abortion centers this is what leftism has
[3:41:51.840 --> 3:41:58.160]  come to and they must be stopped they must be stopped that moment is coming that day is coming
[3:41:58.160 --> 3:42:03.120]  for america and you are you're tuned in to the right place to stay informed on all of this now
[3:42:03.680 --> 3:42:07.840]  in the upcoming segment here i'm going to get into more breaking news about the corona virus but
[3:42:07.840 --> 3:42:12.800]  i just had to get on the record about what happened to katlyn bennett people aren't realizing
[3:42:12.800 --> 3:42:20.080]  that that is that's that's an uprising violent civil war attack against a conservative female
[3:42:20.080 --> 3:42:26.080]  who's merely trying to exercise her rights as a journalist to ask questions that moment has arrived
[3:42:26.080 --> 3:42:32.560]  in america and we must demand it be stopped and we must be prepared to defend ourselves our families
[3:42:32.560 --> 3:42:36.720]  our communities in our nation against these lunatic left-wing mobs because they will not stop at
[3:42:36.720 --> 3:42:42.480]  anything like a previous caller said there is no peak end to where this goes they want mass
[3:42:42.480 --> 3:42:47.040]  death across america and they will do anything to achieve it we'll be back after this break
[3:42:47.040 --> 3:42:57.280]  more breaking news at the end of world war two adolf hitler had discredited the eugenics and
[3:42:57.280 --> 3:43:03.440]  world population control organizations they openly had meetings and led by julian huxley all
[3:43:03.440 --> 3:43:10.800]  this huxley's brother decided to repackage themselves as transhumanist now in the year 2020
[3:43:10.800 --> 3:43:17.840]  to set the precedent that people can be turned into cyborgs that robots can be given rights you
[3:43:17.840 --> 3:43:24.640]  name it they are intimidating and arresting people all over the world who simply misgender
[3:43:24.640 --> 3:43:32.000]  someone so the ultimate crime will be even asking what someone is if you can't even tell
[3:43:32.000 --> 3:43:37.600]  what they are this is the ultimate kafka ask mind control and there's several big articles
[3:43:37.600 --> 3:43:43.440]  up on info wars dot com that break this down uk teen fine at her house arrest for asking trans
[3:43:43.440 --> 3:43:49.120]  police officers gender uk mother spared jail for misgendering trans woman ordered to pay
[3:43:49.120 --> 3:43:58.080]  1000 pound fine there can no longer be any doubt this coronavirus is serious on multiple levels
[3:43:58.080 --> 3:44:04.240]  it's very communicable it spreads very very fast it is killing a lot of people and the chinese
[3:44:04.240 --> 3:44:09.280]  communist government has covered up just how bad it is and the lighthouse is now openly challenging
[3:44:09.280 --> 3:44:16.960]  them show our trump's top scientist and so is senator cotton my friends now is the time to get
[3:44:16.960 --> 3:44:22.960]  prepared 2020 is not a year to play games with the globalist are trying to create economic
[3:44:22.960 --> 3:44:28.560]  collapse race riots we don't know how bad this virus is going to get here that's why listeners
[3:44:28.560 --> 3:44:35.360]  to info wars need to be prepared an info war store dot com has the products that make your life
[3:44:35.360 --> 3:44:40.880]  better and make you healthier we have the last of the immune gargle selling out as we speak we
[3:44:40.880 --> 3:44:46.560]  have high quality storable foods ready to ship and vitamin mineral fusion is back in stock along
[3:44:46.560 --> 3:44:57.600]  with ultra 12 at info war store dot com this should really be easier than it is i'm not here
[3:44:57.600 --> 3:45:03.200]  giving you a sales pitch i'm pointing out the way forward things that i've discovered that i
[3:45:03.200 --> 3:45:09.040]  absolutely know work that if you listen to me and try them out for yourself you will see
[3:45:09.040 --> 3:45:16.240]  how amazing it is and then your support of the product we're selling will help you and will help
[3:45:16.240 --> 3:45:23.280]  us and it's symbiotic my friends i harp and harp and harp about iodine because it's the good halogen
[3:45:23.280 --> 3:45:28.640]  fluoride the bad halogen and people told me about it for years and i didn't listen and i'm so
[3:45:28.640 --> 3:45:35.760]  thankful that finally i listened to dr group like eight years ago and started taking true iodine
[3:45:35.760 --> 3:45:42.640]  atomic iodine we've got it back in stock x2 40 off right now at info wars store dot com and i'm
[3:45:42.640 --> 3:45:49.520]  telling you folks get it it's amazing discover the benefits and it funds the info war a 360 win
[3:45:49.520 --> 3:45:56.480]  you can't lose unless you don't take action three weeks ago we told you that the pentagon had set
[3:45:56.480 --> 3:46:01.120]  up secret quarantine centers for the coronavirus and that they believed it was much more serious
[3:46:01.120 --> 3:46:05.840]  than we were being told now we know that that is the case and we know the federal government
[3:46:05.840 --> 3:46:10.640]  and major corporations have been buying up all the major storable food supplies around the country
[3:46:10.640 --> 3:46:17.120]  almost everyone else is sold out but our supplier my patriot info war store dot com still has their
[3:46:17.120 --> 3:46:22.800]  entire line of high quality fresh food and it's fresh that's why you have to wait 10 to 14 days
[3:46:22.800 --> 3:46:26.320]  for it to get delivered not because they don't have the food but because they've got a package it
[3:46:26.320 --> 3:46:32.320]  and their factories are going 24 hours a day high quality fresh food the best package systems
[3:46:32.320 --> 3:46:37.520]  taste great protects you and your family and funds the info war you just got to get the orders in
[3:46:37.520 --> 3:46:42.720]  until they extend it out even more which could happen lock in your orders now ensure you get it
[3:46:42.720 --> 3:46:49.120]  at infowar store dot com today if you are receiving this transmission you are the resistance
[3:46:55.200 --> 3:46:57.920]  you're listening to the alex jones show
[3:46:57.920 --> 3:47:13.040]  show leading a frontal assault on the lives of the new world order it's alex jones with mike
[3:47:13.040 --> 3:47:20.800]  adams breaking news on the coronavirus outbreak today here on the alex jones show mike adams
[3:47:20.800 --> 3:47:24.320]  from natural news staff then for this last segment i'm going to go through this very quickly because
[3:47:24.320 --> 3:47:30.000]  we got a lot of breaking news a story i just posted a few minutes ago why are 712 potentially
[3:47:30.000 --> 3:47:35.760]  infected people in washington state being monitored for the coronavirus infection but not tested
[3:47:35.760 --> 3:47:40.720]  now we went to the washington state health department website and we captured the numbers
[3:47:40.720 --> 3:47:45.600]  from their page we linked to it as well it turns out there are 712 people being quote
[3:47:45.600 --> 3:47:50.640]  monitored which i'll explain in a second what that means but they've only tested 25 people in the
[3:47:50.640 --> 3:47:55.680]  entire state and out of the 25 people they found one is infected at least what they're willing to
[3:47:55.680 --> 3:48:02.320]  admit to so far those of you watching online you can see the screen from the washington state
[3:48:02.320 --> 3:48:08.720]  website we are not making these numbers up now these 712 people are people who have had close
[3:48:08.720 --> 3:48:15.120]  contact or with potentially infected people or who have traveled from china and yet the state of
[3:48:15.120 --> 3:48:21.200]  washington refuses to test them and in terms of them being quote monitored we found out all that
[3:48:21.200 --> 3:48:27.520]  is is the state of washington sends them an email that says what they should do if they start to show
