[00:00:00.071 --> 00:00:00.318]  Okay.
[03:03:11.548 --> 03:03:18.253]  And we can read and learn from people like Alexander Solzhenitsyn what they went through and say, let's not do this again.
[03:03:18.253 --> 03:03:29.882]  But to be able to do that, we're going to need to get aggressive and not see fighting tyranny as work, but see it as breathing air into our lungs when we climb a hill.
[03:03:31.121 --> 03:03:35.184]  And the more we do it, the stronger we get, and it becomes a compulsion to fight tyranny.
[03:03:35.184 --> 03:03:37.646]  It becomes an enjoyment to fight tyranny.
[03:03:37.646 --> 03:03:42.049]  Better than food, better than sex, is fighting for our very survival.
[03:03:42.049 --> 03:03:52.796]  Because if we don't fight for our territory, and fight for our human will, and fight for justice, and fight for our children, well all the food, and the sex, and all the things God's given us to enjoy our lives with our husbands and wives won't mean anything.
[03:03:52.796 --> 03:03:54.818]  But you notice they're trying to take our food?
[03:03:55.418 --> 03:03:57.299]  And they're trying to take our sex away.
[03:03:57.299 --> 03:03:59.121]  Our normal, natural men and women.
[03:03:59.121 --> 03:04:02.003]  Because all of that is holy.
[03:04:02.003 --> 03:04:03.023]  What does holy mean?
[03:04:03.023 --> 03:04:03.844]  It just means sacred?
[03:04:05.211 --> 03:04:12.194]  It just means what's good, what was meant from the beginning, what works, what connects us to all those that came before us.
[03:04:12.194 --> 03:04:15.515]  It's not human culture, men and women and families.
[03:04:15.515 --> 03:04:16.416]  It's survival.
[03:04:16.416 --> 03:04:22.899]  It's who we are, forged in the fires and the frozen waste and the wars.
[03:04:22.899 --> 03:04:25.600]  And all we've been through, all of us are the
[03:04:26.910 --> 03:04:33.794]  Inheritors of that majesty and this incredible experience together, and we're not going to let our species down, and I know you aren't.
[03:04:33.794 --> 03:04:43.660]  So spread the word about this broadcast however you can, and buy those products that are great for you and your family, that are symbiotic, and together, ladies and gentlemen, we're going to march to the future.
[03:04:43.660 --> 03:04:51.304]  We're going to fight this dehumanizing force, this tester, and we're going to win with God's grace, because God is good.
[03:04:54.455 --> 03:04:57.918]  A question was once posed to Thomas Jefferson.
[03:04:57.918 --> 03:05:05.785]  What is the level of tyranny that a tyrant will take humanity to?
[03:05:05.785 --> 03:05:06.706]  How far will they go?
[03:05:06.706 --> 03:05:07.767]  What's their limit?
[03:05:07.767 --> 03:05:14.593]  And he said it is the limit to which other men and women will submit.
[03:05:14.593 --> 03:05:17.976]  The answer is there is no limit to evil.
[03:05:17.976 --> 03:05:19.538]  It is a bottomless pit.
[03:05:20.891 --> 03:05:26.295]  We've been taught in modern culture and society that evil doesn't exist.
[03:05:26.295 --> 03:05:29.497]  Or that there's no free will, there's no devil or the god.
[03:05:29.497 --> 03:05:39.005]  But those very same people have all these rules for us about speech and how we can dress and where we can live and what our houses can be like.
[03:05:39.625 --> 03:05:43.868]  They just don't want us to have any values so they can run over us.
[03:05:43.868 --> 03:05:45.809]  Oxford's banned clapping.
[03:05:45.809 --> 03:05:46.830]  Universities in the U.S.
[03:05:46.830 --> 03:05:49.192]  have banned 21-gun salutes for veterans.
[03:05:49.192 --> 03:05:58.659]  These people are dangerous cult leaders and it's time to reject them.
[03:05:58.659 --> 03:06:02.721]  You are either with the Republic or against it.
[03:06:02.721 --> 03:06:06.964]  Resistance to tyrants is obedience to God.
[03:06:06.964 --> 03:06:08.606]  It's Alex Jones.
[03:06:24.754 --> 03:06:27.035]  We are back live broadcasting worldwide.
[03:06:27.035 --> 03:06:29.076]  Your phone calls are coming up here.
[03:06:29.076 --> 03:06:33.297]  Start of the next segment on this live Monday edition.
[03:06:33.297 --> 03:06:36.617]  Only 336 days out from the election.
[03:06:36.617 --> 03:06:39.858]  There's a big story up on Infowars.com.
[03:06:39.858 --> 03:06:41.718]  60 minutes.
[03:06:41.718 --> 03:06:45.999]  Google, YouTube took down 300 Trump ads.
[03:06:45.999 --> 03:06:49.660]  That's right.
[03:06:49.660 --> 03:06:51.741]  CEO still claims the site doesn't target
[03:06:53.519 --> 03:06:55.600]  Conservatives.
[03:06:55.600 --> 03:07:05.626]  And of course they're now taking down photos of Melania Trump because that scene is pro-Trump and Trump is hate speech and so anything supporting Trump is 86th.
[03:07:05.626 --> 03:07:08.508]  But she says this is freedom of speech.
[03:07:08.508 --> 03:07:20.915]  Just like Merkel said last week, she said the British Chancellor, the German Chancellor, said we have to take people's freedom to protect freedom.
[03:07:22.517 --> 03:07:27.802]  That's right, that's their system, that's how they operate.
[03:07:27.802 --> 03:07:36.009]  They're making their move, and if we don't say no to it, and if we don't challenge it, we're going into great tyranny.
[03:07:36.009 --> 03:07:43.495]  And next will be the arrest of people for their speech, which is already happening in Europe, and England, and the UK, wide, and it's now coming here.
[03:07:58.072 --> 03:08:03.294]  And a lot of folks are like, well, we'll just let these people run our lives.
[03:08:03.294 --> 03:08:08.735]  Okay, well, they want your kids, and they want your health, and they want your life, and they want to run your mind.
[03:08:08.735 --> 03:08:15.257]  And they found a bunch of corporate operatives that will do anything or say anything for the power structure.
[03:08:15.257 --> 03:08:23.099]  And then when the power structure is on its off time, it's meeting in secret, having sex with children.
[03:08:23.099 --> 03:08:25.340]  That's what went on at Jeffrey Epstein's operations.
[03:08:32.042 --> 03:08:37.224]  Meanwhile, people that stand up for free speech lose everything.
[03:08:37.224 --> 03:08:43.727]  Land of the free, home of the brave, not for much longer.
[03:08:43.727 --> 03:08:52.031]  If we as a civilization don't start saying no, we better start having a conversation about how do we say no.
[03:08:52.031 --> 03:08:56.413]  Globalists really want Infowars off the air because we're saying this isn't right.
[03:08:56.413 --> 03:08:59.214]  We need to organize and say no to this and these people are evil.
[03:09:01.954 --> 03:09:08.235]  And they think if they can punish us and take us off the air, that'll send a message to everybody else that, see, you better shut your mouths.
[03:09:08.235 --> 03:09:14.056]  But see, I think you're like the people in Texas.
[03:09:14.056 --> 03:09:22.798]  When the Mexican dictator who oppressed his own people, who just lost Guatemala, they rebelled against him.
[03:09:22.798 --> 03:09:29.699]  Marched up here to take the firearms and to take people's private property that they had come and cleared and made valuable.
[03:09:30.515 --> 03:09:31.696]  And defeated the Comanches.
[03:09:31.696 --> 03:09:35.918]  There are only a few Spanish missions in Texas.
[03:09:35.918 --> 03:09:49.406]  A couple thousand people lived in Texas in the 1820s and the Spanish Empire had given up on the Southwest.
[03:09:49.406 --> 03:09:55.249]  They had some ports in California and a few missions across the West with gun ports in the doors.
[03:09:57.062 --> 03:09:58.543]  Go down and look at the missions in San Antonio.
[03:09:58.543 --> 03:10:00.404]  That's all that was down there.
[03:10:00.404 --> 03:10:14.973]  And so, when the Spanish got overthrown, the Mexican government invited the settlers in because they had pushed the Native Americans out, who were completely warlike and constantly killing each other.
[03:10:14.973 --> 03:10:16.934]  You want to see an accurate depiction?
[03:10:16.934 --> 03:10:19.496]  Go watch The Revenant, which is a true story.
[03:10:19.496 --> 03:10:23.879]  And the real story is even crazier than what they put in that movie, because you wouldn't believe it.
[03:10:23.879 --> 03:10:25.319]  That's a true story.
[03:10:25.319 --> 03:10:26.180]  Everything in it happened.
[03:10:34.605 --> 03:10:40.850]  And it was every man for himself, so nobody could conquer the West.
[03:10:40.850 --> 03:10:47.655]  And so, the Christian settlers were invited in because they would stand and fight.
[03:10:47.655 --> 03:10:49.737]  And they did.
[03:10:49.737 --> 03:11:01.366]  And the Comanche, who were known as the Lord of the Plains, that went around exterminating all the other Native Americans, got their asses handed to them in Texas, in Oklahoma.
[03:11:01.366 --> 03:11:03.568]  And then all the other Native American groups that had been hiding out,
[03:11:04.565 --> 03:11:06.686]  And other states were able to come back in.
[03:11:06.686 --> 03:11:08.586]  Other territories at the time.
[03:11:08.586 --> 03:11:11.447]  But that's the real Thanksgiving-style story.
[03:11:11.447 --> 03:11:16.429]  That's the real stuff that went on.
[03:11:16.429 --> 03:11:25.752]  But Santa Ana thought if he killed everybody at the Alamo, executed the only couple of survivors, that would scare everybody.
[03:11:25.752 --> 03:11:27.252]  And make them all turn tail and run.
[03:11:27.252 --> 03:11:28.792]  Of course, it did the opposite.
[03:11:28.792 --> 03:11:30.153]  It energized.
[03:11:30.153 --> 03:11:33.554]  And the Santa Ana got defeated big time at San Jacinto.
[03:11:35.424 --> 03:11:41.429]  And so whatever happens to InfoWars, I believe in you, and I know you're not intimidated by these people.
[03:11:41.429 --> 03:11:55.361]  In fact, I know America and the world has been asleep.
[03:11:55.361 --> 03:11:57.683]  And now you're getting woken up.
[03:11:57.683 --> 03:12:02.948]  And the system now knows that, so they're going with the old fear tactic, thinking that's why you were silent.
[03:12:03.953 --> 03:12:05.154]  The truth is you were asleep.
[03:12:05.154 --> 03:12:06.475]  You were lazy.
[03:12:06.475 --> 03:12:07.256]  You were distracted.
[03:12:07.256 --> 03:12:08.336]  There were so many diversions.
[03:12:08.336 --> 03:12:15.462]  So was I. But once you found out what was really going on, you decided to take action.
[03:12:15.462 --> 03:12:18.264]  And so now they're trying to take every venue you can.
[03:12:18.264 --> 03:12:28.251]  Hundreds and hundreds of millions of people's accounts have been taken down on Facebook.
[03:12:28.251 --> 03:12:30.954]  Everybody's being silenced.
[03:12:30.954 --> 03:12:32.555]  And these people are rolling up their sleeves.
[03:12:34.229 --> 03:12:38.091]  They made the decision that, oh, whatever got Trump elected, we've gotta go after it.
[03:12:38.091 --> 03:12:39.851]  We've gotta destroy.
[03:12:39.851 --> 03:12:40.692]  We've gotta level.
[03:12:40.692 --> 03:12:44.373]  These are quotes from CNN, MSNBC.
[03:12:44.373 --> 03:12:45.974]  Everyone that doesn't submit to us.
[03:12:47.142 --> 03:13:08.038]  And they've got this happy-go-lucky fake liberal operating system that it's about equality and it's about love and that's why they're censoring when it's big, hardcore, ruthless corporations replacing humans with robots who absolutely hate humanity and it's all a bunch of old men that run it with the communist Chinese.
[03:13:08.038 --> 03:13:15.144]  But they've got all these women that grew up in the lap of American freedom who are the front people.
[03:13:17.315 --> 03:13:27.025]  They got a few men in there like Sundar Pichai who are captaining the censorship and the control and telling us how it's all for a greater good.
[03:13:27.025 --> 03:13:31.129]  China introduces mandatory face scans for phone users.
[03:13:31.129 --> 03:13:36.434]  Amazon warehouse cult-like sweatshops run by robots.
[03:13:36.434 --> 03:13:37.095]  New York Post.
[03:13:40.469 --> 03:13:46.233]  Now they've got new systems where you're locked in a cage and the robot tells you what to do.
[03:13:46.233 --> 03:13:53.517]  Amazon has patented a system that would put workers in a cage on top of a robot.
[03:13:53.517 --> 03:13:56.879]  Who runs Thunderdome?
[03:13:56.879 --> 03:14:04.484]  Master Blaster runs Thunderdome, but now... It's a big robot with a big claw like those...
[03:14:05.620 --> 03:14:10.144]  Arcade games where you put the money in and then it grabs a toy.
[03:14:10.144 --> 03:14:16.851]  And of course, we've got nice Chinese communist cages for people that don't have a good social score.
[03:14:16.851 --> 03:14:21.355]  You get locked up and tortured into a re-education camp, but that's okay.
[03:14:21.355 --> 03:14:27.121]  It's liberal.
[03:14:27.121 --> 03:14:29.763]  In the new Disney Frozen 2, it's
[03:14:31.559 --> 03:14:34.620]  Northern Inuit are like Chinese.
[03:14:34.620 --> 03:14:37.482]  That's what the Inuits are.
[03:14:37.482 --> 03:14:39.182]  Ice Age Chinese.
[03:14:39.182 --> 03:14:42.304]  And they teach the evil white men how bad they are.
[03:14:42.304 --> 03:14:47.346]  And they take over and it's all peace.
[03:14:47.346 --> 03:14:48.887]  There's a lesbian queen.
[03:14:50.189 --> 03:14:57.532]  The lesbian queen of YouTube and the lesbian queen of this and the lesbian queen of that.
[03:14:57.532 --> 03:15:02.774]  And it's all just a weird operating system as if the lesbian queens run anything.
[03:15:02.774 --> 03:15:05.575]  It's an AI demonic takeover.
[03:15:05.575 --> 03:15:06.836]  The end of civilization.
[03:15:12.315 --> 03:15:12.916]  Oh, it's so liberal.
[03:15:12.916 --> 03:15:13.677]  Oh, it's so trendy.
[03:15:13.677 --> 03:15:14.217]  Oh, it's so good.
[03:15:14.217 --> 03:15:14.718]  Oh, it's so sweet.
[03:15:14.718 --> 03:15:14.978]  It's all lies.
[03:15:31.517 --> 03:15:33.940]  All poisonous garbage.
[03:15:33.940 --> 03:15:42.969]  All right, we're gonna come back, go to your phone calls, then I'll get to the microchipping of the Austin homeless that's now breaking virally and so much more here today.
[03:15:42.969 --> 03:15:46.894]  I'm Alex Jones, Infowars.com, Newswars.com.
[03:15:46.894 --> 03:15:50.738]  Whatever you do, spread the word about the broadcast and override the globalist.
[03:15:51.969 --> 03:15:55.012]  We can all agree these are troubled times, right?
[03:15:55.012 --> 03:15:57.915]  So do you know who's on your wireless network?
[03:15:57.915 --> 03:16:05.143]  Whether it's a big company selling your data or a foreign hacker, if you're not protected, everybody sees your information.
[03:16:05.143 --> 03:16:10.369]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[03:16:10.369 --> 03:16:13.552]  FlashRouters uses a virtual private network, or VPN,
[03:16:13.592 --> 03:16:13.852]  We're good.
[03:16:30.876 --> 03:16:33.658]  Call or click FlashRouters today at 1-866-509-5817 or flashrouters.com.
[03:16:33.658 --> 03:16:35.219]  That's 1-866-509-5817 or flashrouters.com.
[03:16:35.219 --> 03:16:40.183]  Protect your wireless home network today with FlashRouters.
[03:16:51.334 --> 03:16:53.956]  Hunters, anglers, campers and survivalists.
[03:16:53.956 --> 03:16:55.056]  Get back to nature.
[03:16:55.056 --> 03:17:02.381]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[03:17:02.381 --> 03:17:05.783]  Slingbow products are compact and models start from just 1798.
[03:17:05.783 --> 03:17:09.365]  They're perfect for your bug out bag or storing in your vehicle.
[03:17:09.365 --> 03:17:13.527]  Give yourself and your loved ones the excitement and tradition of slingbow.
[03:17:13.527 --> 03:17:18.090]  A new frontier in archery and truly modern twist on this primitive survival tool.
[03:17:18.090 --> 03:17:20.752]  Feel the thrill only at slingbow.com.
[03:17:21.172 --> 03:17:23.053]  Fully cooked, ready to eat bacon.
[03:17:23.053 --> 03:17:26.295]  I'm talking thick, meaty, center-cut, presidential bacon.
[03:17:26.295 --> 03:17:27.875]  Savory and delicious.
[03:17:27.875 --> 03:17:30.717]  I buy some, I use some, I store some.
[03:17:30.717 --> 03:17:31.377]  Awesome.
[03:17:31.377 --> 03:17:34.479]  No refrigeration needed with a 10-year shelf life.
[03:17:34.479 --> 03:17:36.040]  NASA PAC Technology.
[03:17:36.040 --> 03:17:36.660]  Bacon.
[03:17:36.660 --> 03:17:40.822]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[03:17:40.822 --> 03:17:42.243]  Or warm and serve.
[03:17:42.243 --> 03:17:44.304]  Life-saving, ready to eat bacon.
[03:17:44.304 --> 03:17:46.245]  10-year shelf life bacon.
[03:17:46.245 --> 03:17:49.026]  Ships free at fullycookedbacon.com.
[03:17:49.026 --> 03:17:50.247]  Fullycookedbacon.com.
[03:17:53.624 --> 03:18:02.013]  I spend a lot of time reminding the InfoWars family of listeners and viewers that without you, we won't be on the air.
[03:18:02.013 --> 03:18:04.295]  And I spend a lot of time thanking you.
[03:18:04.295 --> 03:18:11.663]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Reveres.
[03:18:11.663 --> 03:18:14.426]  But something I should spend more time on is just
[03:18:15.026 --> 03:18:19.147]  Reminding you that these products are really amazing.
[03:18:19.147 --> 03:18:22.328]  You've got that pledge from me, but you've seen the third-party tests out there.
[03:18:22.328 --> 03:18:27.970]  The air filtration, the water filtration, the supplements are all the very best you're going to find out there.
[03:18:27.970 --> 03:18:32.512]  And you can't fund an operation anywhere else that's fighting the globalists.
[03:18:33.427 --> 03:18:34.028]  This hard.
[03:18:34.028 --> 03:18:37.952]  So it's not a burden to support InfoWars.
[03:18:37.952 --> 03:18:48.585]  It really is something that is good for everybody that stands for justice and freedom and makes your life and your family's life and your children's life so much better.
[03:18:48.585 --> 03:18:51.248]  So visit InfoWarsStore.com today.
[03:18:52.769 --> 03:18:55.991]  Major report out of major university.
[03:18:55.991 --> 03:19:00.074]  Researchers working on food-based treatment to slow-aging science daily.
[03:19:00.074 --> 03:19:07.559]  Probiotics in the gut of a particular type cause your entire body to be healthier and make you live longer and make you not get intestinal cancer.
[03:19:07.559 --> 03:19:08.680]  We have the very best formula.
[03:19:08.880 --> 03:19:11.281]  Literally, with what they even mentioned in the studies.
[03:19:11.281 --> 03:19:15.424]  And it explains the hormone called FGF21.
[03:19:15.424 --> 03:19:16.704]  Pro-longevity.
[03:19:16.704 --> 03:19:18.165]  Heals the entire body.
[03:19:18.165 --> 03:19:19.846]  And actually reverses aging.
[03:19:19.846 --> 03:19:22.908]  But is only made in the lower intestine.
[03:19:22.908 --> 03:19:24.068]  Oh, and what does it say?
[03:19:24.068 --> 03:19:29.271]  It's fiber from a spectrum of certain types of berries that grows this.
[03:19:29.271 --> 03:19:30.432]  And yes, this is a plug.
[03:19:30.432 --> 03:19:31.192]  Gut fusion.
[03:19:31.192 --> 03:19:32.033]  And what do we have?
[03:19:32.233 --> 03:19:34.775]  You're listening to the Alex Jones Show!
[03:20:18.124 --> 03:20:19.545]  Alright, we're taking your phone calls.
[03:20:19.545 --> 03:20:27.031]  We got James, Trish, George, Matt, Brandon, Judy, Troy, Chase, Pastor Sam, and many others.
[03:20:27.031 --> 03:20:28.713]  Let's go to who disagrees first here.
[03:20:28.713 --> 03:20:32.316]  James in Ohio, thanks for calling in on this live Monday edition.
[03:20:32.316 --> 03:20:32.676]  Go ahead.
[03:20:32.676 --> 03:20:41.103]  Hey Alex, on a scale of 1 to 10, how much do you trust Trump?
[03:20:41.103 --> 03:20:44.866]  I'd say I trust Trump about 7 on a scale of 10.
[03:20:46.960 --> 03:20:49.121]  Because, I mean, I got two quotes.
[03:20:49.121 --> 03:20:52.602]  The first quote is, I back Trump 100%.
[03:20:52.602 --> 03:20:58.823]  The other quote is, Julian Assange is Hillary Clinton's butt plug.
[03:20:58.823 --> 03:21:01.284]  Now, who did those quotes come from?
[03:21:01.284 --> 03:21:02.144]  Well, they came from me.
[03:21:02.144 --> 03:21:04.325]  You sound like a libtard.
[03:21:04.325 --> 03:21:05.545]  Well, actually I'm not.
[03:21:05.545 --> 03:21:07.966]  I'm definitely behind what you would call
[03:21:08.740 --> 03:21:19.002]  Okay, well, let me just address each little thing you put out there, as if, you know, I'm just going to go off the air now.
[03:21:19.002 --> 03:21:22.503]  I'm going to quit, because you called in and said that.
[03:21:22.503 --> 03:21:34.565]  Obviously, when I'm talking about backing Trump 100% on getting out of the TPP, backing Trump 100% on building a wall, and the fact that we should have a sovereign nation, I think I trust myself, you know, about 8 out of 10, because I'm a sinful person.
[03:21:34.565 --> 03:21:35.526]  I'm not perfect.
[03:21:35.526 --> 03:21:36.266]  We make mistakes.
[03:21:37.666 --> 03:21:39.508]  Sometimes I'm angry at 8 o'clock at night.
[03:21:39.508 --> 03:21:41.511]  Sometimes I'm in a great mood at 8 o'clock at night.
[03:21:41.511 --> 03:21:43.333]  I mean, we're all flawed creatures.
[03:21:43.333 --> 03:21:50.721]  So to act like it's bad to say that I don't completely trust Trump because he's an infallible human.
[03:21:50.721 --> 03:21:52.263]  He's not infallible.
[03:21:52.263 --> 03:21:55.627]  And then you better damn well believe in time and space.
[03:21:56.670 --> 03:21:59.574]  That I was mad about WikiLeaks.
[03:21:59.574 --> 03:22:00.536]  I've told that story.
[03:22:00.536 --> 03:22:01.357]  That's all over the news.
[03:22:01.357 --> 03:22:02.158]  I said that.
[03:22:02.158 --> 03:22:11.451]  It's not like you called in with some super powerful nugget of hidden gold that you found and now I've been totally destroyed by your incredible gravitas.
[03:22:12.072 --> 03:22:24.416]  I said back when he wasn't releasing the dirt on Hillary that I wanted to see, that they said they had, that I called him Hillary Clinton's butt plug at 3am when he didn't release anything the night they said they were.
[03:22:24.416 --> 03:22:34.079]  And I've told that story over and over again to point out that Roger Stone didn't have any secret contact with Julian Assange the way the media spun it because I was there and I know what was going on.
[03:22:34.079 --> 03:22:38.821]  So your attempt to discredit me at the outset of what you were going to say does not do anything but discredit you!
[03:22:38.821 --> 03:22:39.421]  Now go ahead!
[03:22:40.376 --> 03:22:48.979]  So my point would be is there are many, many pictures, many video of Donald Trump with Jeffrey Epstein.
[03:22:48.979 --> 03:22:54.400]  Now, if you say what you did, I didn't know anything about Trump before he ran for president.
[03:22:54.400 --> 03:22:55.821]  I didn't care.
[03:22:55.821 --> 03:23:05.644]  So you're saying you were totally open about that, but yet you back him 100% and yet you call Julian Assange Hillary Clinton's butt plug.
[03:23:05.644 --> 03:23:10.005]  The only reason Trump got in was because people like yourself
[03:23:10.734 --> 03:23:16.536]  People like friends of yours reported what Wikileaks actually gave out to the public.
[03:23:16.536 --> 03:23:18.176]  Okay, listen, listen.
[03:23:18.176 --> 03:23:20.817]  You've called before with this same weird argument.
[03:23:20.817 --> 03:23:22.778]  I appreciate your call, Tick here.
[03:23:22.778 --> 03:23:27.319]  I'm not going to have little, like I've got a fever and I'm hallucinating when I talk to you liberals.
[03:23:27.319 --> 03:23:28.499]  None of it makes sense.
[03:23:28.499 --> 03:23:34.061]  You'll always obsess on some word and then build a whole universe out of that.
[03:23:34.061 --> 03:23:35.421]  It's weird.
[03:23:35.421 --> 03:23:36.602]  It's weird.
[03:23:36.602 --> 03:23:36.802]  Okay?
[03:23:38.573 --> 03:23:42.016]  I've been a supporter of Assange back when he was releasing information ten years ago.
[03:23:42.016 --> 03:23:47.982]  I was mad at night and said that about him, and I don't apologize for it.
[03:23:47.982 --> 03:23:51.605]  I was saying he was holding in all of Hillary's dirt.
[03:23:51.605 --> 03:23:53.707]  So it's an allegory.
[03:23:53.707 --> 03:23:55.849]  It's a joke.
[03:23:55.849 --> 03:23:57.210]  You understand.
[03:23:57.210 --> 03:23:59.412]  I've called for Julian Assange to be released.
[03:23:59.412 --> 03:24:01.374]  I've gotten him bullhorned in the White House.
[03:24:01.374 --> 03:24:03.096]  I've gotten petitions sent to the President.
[03:24:04.295 --> 03:24:15.257]  But it's about you and the left having the moral authority, because it's a weird ism you have, where you go, oh, you didn't support Assange, you did this.
[03:24:15.257 --> 03:24:16.537]  What does that mean?
[03:24:16.537 --> 03:24:18.757]  It means nothing.
[03:24:18.757 --> 03:24:28.039]  I support the press, I did not arrest the press or whistleblowers like your God, who lost Hillary Clinton in the Obama administration.
[03:24:28.039 --> 03:24:30.539]  So I just will not have false debates with you.
[03:24:30.539 --> 03:24:33.420]  I went to you first, you said you disagreed about Trump on Epstein.
[03:24:34.915 --> 03:24:39.420]  What I said was, I didn't really follow Trump until he was running.
[03:24:39.420 --> 03:24:42.583]  Then I went and did a bunch of research, is my full quote.
[03:24:42.583 --> 03:24:44.505]  I didn't care about Trump.
[03:24:44.505 --> 03:24:46.327]  I thought he was a cheesy reality star.
[03:24:47.549 --> 03:24:58.673]  Until I started to hear what he actually stood for, then I went and researched him, looked at his dad being a John Bircher, the quotes he'd said on TV about wanting to have better trade deals, all of that, and then I got behind Trump and I'm proud I did.
[03:24:58.673 --> 03:24:59.493]  Okay?
[03:24:59.493 --> 03:25:06.575]  My criticism of Trump is not some chink in the armor you found so you call in trying to make me turn against Trump.
[03:25:06.575 --> 03:25:10.877]  We put Trump in office, he belongs to us, he needs to stand up against the censorship.
[03:25:11.687 --> 03:25:13.288]  He needs to stand up against the globalists.
[03:25:13.288 --> 03:25:14.769]  That's what I'm doing.
[03:25:14.769 --> 03:25:27.097]  Not, not, oh, I'm buckling under liberal acumen and liberal mental gravitas and you've really taught me who I am and oh, you did that psychological warfare thing right there.
[03:25:27.097 --> 03:25:30.019]  No, it's pathetic what you did.
[03:25:30.019 --> 03:25:30.979]  It's a joke.
[03:25:30.979 --> 03:25:36.563]  Your mental midgetry gave me a headache.
[03:25:36.563 --> 03:25:38.144]  I could dissect everything you said.
[03:25:39.824 --> 03:25:44.527]  I talked about Epstein before he even got busted 12 years ago.
[03:25:44.527 --> 03:25:50.492]  We've pioneered, in a mass media form, exposing the truth about how these blackmail rings operate.
[03:25:50.492 --> 03:26:04.962]  How you, with some sick form of libtard alchemy, turn that into, I'm covering up for Epstein, when we are the fount, one of the main headwaters, one of the main epicenters, the progenitors
[03:26:07.768 --> 03:26:11.371]  Of the genesis of this understanding.
[03:26:11.371 --> 03:26:13.653]  And then you turn it into I'm covering up for it.
[03:26:13.653 --> 03:26:14.915]  That's libtard logic.
[03:26:14.915 --> 03:26:16.216]  Great job.
[03:26:16.216 --> 03:26:18.838]  You failed.
[03:26:18.838 --> 03:26:27.046]  When I looked into Trump, I found that he had public events, parties he throws as a public figure that Epstein attended on video.
[03:26:27.046 --> 03:26:29.068]  We have him one time with him in a couple photos.
[03:26:30.359 --> 03:26:35.532]  And we have him criticizing him many, many years ago once he found out how creepy he was.
[03:26:35.532 --> 03:26:37.256]  Hillary flew on the plane.
[03:26:37.256 --> 03:26:37.898]  Clinton did.
[03:26:37.898 --> 03:26:37.918]  I...
[03:26:39.961 --> 03:26:46.387]  Our great listeners got hundreds of people to confront Bill Clinton and call him a rapist in my name, putting my John Hancock on him.
[03:26:46.387 --> 03:27:00.538]  And you're so pissed we wounded your princess, your god, your lord, your queen, your master, your Lilith, your Medusa, your Gorgon, your Jezebel, your Delilah, your demon witch.
[03:27:00.538 --> 03:27:03.081]  May she burn in hell for a trillion eternities.
[03:27:04.289 --> 03:27:06.450]  I piss on your god, Hillary.
[03:27:06.450 --> 03:27:07.331]  I crap on her.
[03:27:07.331 --> 03:27:10.212]  I hope she burns in hell!
[03:27:10.212 --> 03:27:12.233]  Excuse me, Lord, I'm getting a little out of control.
[03:27:12.233 --> 03:27:13.114]  Excuse me.
[03:27:13.114 --> 03:27:16.495]  So there, I literally, I desecrate your goddess.
[03:27:16.495 --> 03:27:18.196]  I stomp on her.
[03:27:18.196 --> 03:27:19.257]  I've spit at her.
[03:27:19.257 --> 03:27:20.817]  Forever!
[03:27:20.817 --> 03:27:23.099]  Ha ha ha!
[03:27:23.099 --> 03:27:23.579]  Take that!
[03:27:25.180 --> 03:27:33.544]  I mean, you just hear the weakness and the simpering and the weird little collection he had to try to distort and upend reality.
[03:27:33.544 --> 03:27:36.185]  You failed, Lebtard!
[03:27:36.185 --> 03:27:38.326]  You failed, seminar caller!
[03:27:38.326 --> 03:27:39.367]  You failed!
[03:27:42.042 --> 03:27:49.708]  We put Trump in office as a shield against you, and he's defeated you on so many fronts, and it's beautiful.
[03:27:49.708 --> 03:27:53.170]  But I want to make sure he goes in for the kill.
[03:27:53.170 --> 03:28:02.037]  And so I want my audience with big, long, spiritual whips to drive Trump towards his destiny, to drive the enemy off a cliff.
[03:28:02.037 --> 03:28:08.982]  And if we all go over the top of the cliff with the enemy as we fall, we've gotten them off the backs of our children, and that's a good mission politically.
[03:28:08.982 --> 03:28:10.103]  Push no violence, of course, that's all.
[03:28:13.157 --> 03:28:15.779]  This is information war!
[03:28:15.779 --> 03:28:17.500]  And Hillary's fallen!
[03:28:17.500 --> 03:28:21.643]  Your God you worshipped and put everything into has failed!
[03:28:21.643 --> 03:28:29.348]  And no amount of Hollywood trash and devil worship and satanic rituals conducted nationwide in her name can ever resurrect her!
[03:28:29.348 --> 03:28:31.430]  Hillary is a failure!
[03:28:31.430 --> 03:28:33.271]  Hillary is a liar!
[03:28:33.271 --> 03:28:38.335]  Hillary is a defender of child molesters and Hillary is a demon!
[03:28:39.369 --> 03:28:45.179]  And the stench of her evil work goes on forever, but she will pay for it!
[03:28:45.179 --> 03:28:47.222]  More phone calls straight ahead.
[03:28:47.222 --> 03:28:47.723]  We'll be back.
[03:28:47.723 --> 03:28:48.124]  Stay with us.
[03:28:51.972 --> 03:28:54.993]  We can all agree these are troubled times, right?
[03:28:54.993 --> 03:28:57.914]  So do you know who's on your wireless network?
[03:28:57.914 --> 03:29:05.117]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
