[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[03:24:34.749 --> 03:24:39.834]  The Holy Spirit would not let me sing it because I wouldn't go where the Lord wanted me to go.
[03:24:39.834 --> 03:24:42.256]  And so then he agreed to go to Tanzania.
[03:24:42.256 --> 03:24:48.981]  And if that can happen, why on earth could that not happen with an evil force, a force of a demon or whatever it is?
[03:24:49.842 --> 03:24:53.664]  With these insane leftists, and you're right, I've experienced the same exact thing.
[03:24:53.664 --> 03:24:59.326]  They complete each other's sentences, they say the exact same script, and they're not talking to each other.
[03:24:59.326 --> 03:25:09.450]  And I think that's why, fascinatingly, when you get them on a one-on-one situation where they're not connected to the rest of the machine, you can almost talk some sense into them.
[03:25:09.450 --> 03:25:10.911]  But then, of course, they get back on mute.
[03:25:10.911 --> 03:25:11.251]  That's right.
[03:25:11.251 --> 03:25:13.212]  You'll see the transmission kind of break up.
[03:25:13.212 --> 03:25:14.492]  They'll go, wait, who am I?
[03:25:14.492 --> 03:25:14.752]  What?
[03:25:14.752 --> 03:25:17.573]  And I'll go, ah, shut up, I'll get you and your family.
[03:25:17.573 --> 03:25:18.034]  Oh, wait, what?
[03:25:19.220 --> 03:25:20.295]  I mean, it's crazy.
[03:25:21.187 --> 03:25:21.747]  Exactly.
[03:25:21.747 --> 03:25:26.670]  The very second they get back into their evil little tribe, everything you've done is gone.
[03:25:26.670 --> 03:25:34.974]  That's why, you know, that's why I think it's so important to do what InfoWars does, what I do, what Elwha does, what all of us do, because to an extent, there is no winning some of these people over.
[03:25:34.974 --> 03:25:36.635]  They have to make the decision on their own.
[03:25:36.635 --> 03:25:37.596]  They have to choose God.
[03:25:37.596 --> 03:25:38.636]  They have to choose love.
[03:25:38.636 --> 03:25:43.379]  They have to choose to look away from hate, as Owen would put it.
[03:25:43.379 --> 03:25:49.302]  And it is so, that's what makes this broadcast different because you guys are the tip of the spear and
[03:25:50.069 --> 03:25:53.213]  You're able to provide so much crucial information.
[03:25:53.213 --> 03:25:54.555]  Alex, I'm going to be completely honest.
[03:25:54.555 --> 03:26:00.343]  A month or so ago when I was on, you were talking about keeping the babies alive so you can harvest their organs.
[03:26:00.343 --> 03:26:02.405]  I kind of knew that that was a thing.
[03:26:02.405 --> 03:26:07.272]  But in the last month, we've seen not one, not two, but three different articles that I've read personally
[03:26:07.592 --> 03:26:09.653]  About Planned Parenthood doing exactly that!
[03:26:09.653 --> 03:26:13.555]  They keep the baby alive as long as they can so they can get more money for the organs.
[03:26:13.555 --> 03:26:17.457]  But they consider it legally dead because it was never born.
[03:26:17.457 --> 03:26:18.878]  It was never a human.
[03:26:18.878 --> 03:26:25.082]  So it's fascinating to me... Oh yeah, no, my dad... My dad was in medical management and...
[03:26:26.035 --> 03:26:29.896]  When I was growing up in Dallas, he even owned, with two partners, a hospital.
[03:26:29.896 --> 03:26:31.476]  And they weren't killing people.
[03:26:31.476 --> 03:26:35.977]  But like I said, when I went to get my driver's license, I passed the driver's safety thing.
[03:26:35.977 --> 03:26:38.897]  He said, son, don't sign that organ card.
[03:26:38.897 --> 03:26:40.077]  And I said, why?
[03:26:40.077 --> 03:26:44.298]  And he goes, well, some of the local hospitals, if you're in a car wreck or something, they'll kill you.
[03:26:44.298 --> 03:26:47.919]  They'll keep you alive and take your organs and say you were brain dead.
[03:26:47.919 --> 03:26:54.400]  And like 10 years later, I'm watching 60 Minutes at my grandparents' house in Austin in college, or out of college.
[03:26:55.905 --> 03:26:59.468]  They were showing the Dallas hospitals my dad was telling me about.
[03:26:59.468 --> 03:27:02.230]  So yeah, this is sick, my friend.
[03:27:02.230 --> 03:27:03.571]  And it is absolutely fascinating.
[03:27:03.571 --> 03:27:08.415]  You know, our editor-in-chief of Big League Politics, Patrick Kelly, likes to say that you are his Walter Cronkite.
[03:27:08.415 --> 03:27:10.737]  And I completely understand why Patrick says that.
[03:27:10.737 --> 03:27:11.718]  He's absolutely right.
[03:27:11.718 --> 03:27:12.759]  We need to get Patrick on.
[03:27:12.759 --> 03:27:14.020]  We need to get you a show here on air.
[03:27:14.020 --> 03:27:16.141]  We're trying to get the board option people hired.
[03:27:16.141 --> 03:27:18.243]  Hopefully we're getting close to that, Tom, and the great work you do.
[03:27:18.243 --> 03:27:21.206]  And KCTU5, they're in Kansas and Wichita.
[03:27:21.846 --> 03:27:24.951]  Which is a great story, not bragging, but people are hungry for the truth.
[03:27:24.951 --> 03:27:28.637]  Put us on a few years and a half ago, already gone to number one in the local ratings.
[03:27:28.637 --> 03:27:32.183]  That is very, very exciting and I thank you and the folks that were picking the show up.
[03:27:33.177 --> 03:27:34.138]  Oh, absolutely.
[03:27:34.138 --> 03:27:43.263]  Alex, it's been our pleasure, and it's been our pleasure to be one of your real flagship broadcast stations here as we enter this new digital wave of censorship.
[03:27:43.263 --> 03:27:45.485]  You know, they can't take away the FCC license.
[03:27:45.485 --> 03:27:47.686]  They may want to, but you know, it is fascinating.
[03:27:47.686 --> 03:28:01.535]  We do get people, you know, trying to hire office staff, salespeople, that type of thing, and once they find out that InfoWars is involved, either people have an amazing reaction to it, they can't wait to be a part of the team, it's the biggest moment of their lives,
[03:28:02.015 --> 03:28:08.881]  Or, again, it's this hatred, this, oh my God, you're an Alex Jones, you're a Nazi, you're a bigot, you're a racist, kill the baby.
[03:28:08.881 --> 03:28:10.662]  I mean, it just, it comes out of them.
[03:28:10.662 --> 03:28:14.506]  And some of them, we've experimented with different advertisements when we hire people.
[03:28:14.506 --> 03:28:17.929]  Sometimes we'll put, you will be representing an InfoWars TV affiliate.
[03:28:17.929 --> 03:28:19.370]  Sometimes we don't.
[03:28:19.370 --> 03:28:22.653]  When people find out, it's like an instant change.
[03:28:22.653 --> 03:28:24.194]  Their entire personality changes.
[03:28:25.720 --> 03:28:27.261]  It's an incredible time to be alive.
[03:28:27.261 --> 03:28:30.142]  Tom Pappert, myself, Owen, taking over the other side.
[03:28:30.142 --> 03:28:32.183]  And then who's hosting the War Room today?
[03:28:32.183 --> 03:28:33.083]  Is it a rebroadcast?
[03:28:33.083 --> 03:28:35.204]  Who's doing the War Room at 3 o'clock, Owen?
[03:28:35.204 --> 03:28:37.365]  We got a Best Of rebroadcast today, Alex.
[03:28:37.365 --> 03:28:41.787]  So we're going to take some of our best interviews and segments from the last week and re-air them today.
[03:28:41.787 --> 03:28:45.989]  How dare you only do one live show memorial day, you traitors!
[03:28:45.989 --> 03:28:50.190]  Alright, Tom Pappert straight ahead with Owen Schroyer and Alex Jones.
[03:28:50.190 --> 03:28:50.891]  Spread those links.
[03:28:53.383 --> 03:28:54.904]  Oh, these pains.
[03:28:54.904 --> 03:28:57.425]  My neck, my back, shoulders.
[03:28:57.425 --> 03:28:59.245]  I've got to get some relief.
[03:28:59.245 --> 03:29:04.948]  Stress from everyday life, past injuries or surgeries can cause inflammation that leads to pain.
[03:29:04.948 --> 03:29:06.828]  But you don't want to take another pill.
[03:29:06.828 --> 03:29:08.609]  There's an easier, healthier way, right?
[03:29:08.769 --> 03:29:13.072]  Yes, with hot or cold therapy products at sunshine-pillows.com.
[03:29:13.072 --> 03:29:13.773]  Pillows?
[03:29:13.773 --> 03:29:15.174]  For my aches and pains?
[03:29:15.174 --> 03:29:16.655]  Oh, not just pillows.
[03:29:16.655 --> 03:29:25.882]  Sunshine-pillows.com has the best selection of custom heated neck wraps and heated neck pillows, plus travel pillows, microwavable body heating wraps, and more.
[03:29:25.882 --> 03:29:27.724]  It's all available to you online.
[03:29:27.864 --> 03:29:30.045]  Finally, stress relief with no drugs.
[03:29:30.045 --> 03:29:30.586]  Right.
[03:29:30.586 --> 03:29:35.669]  And now you can buy any Select Combo up to $150 and get 30% off.
[03:29:35.669 --> 03:29:40.832]  Just use this promo code SAVE30 when you click sunshine-pillows.com.
[03:29:40.832 --> 03:29:44.814]  Save 30% when you spend up to $150 on any Select Combo.
[03:29:44.814 --> 03:29:46.836]  Use promo code SAVE30.
[03:29:46.836 --> 03:29:49.077]  Sunshine-pillows.com.
[03:29:49.077 --> 03:29:51.739]  Your complete line of therapeutic pillows and pads.
[03:29:54.167 --> 03:29:58.289]  We all know that the outside toxins in the water is a serious health issue.
[03:29:58.289 --> 03:30:05.353]  InfoWars is proud to sell incredible filters, but it's almost impossible to keep up with every faucet, shower, and sink in your home.
[03:30:05.353 --> 03:30:10.176]  That's why we're bringing you something to provide clean water for your whole house with one system.
[03:30:10.176 --> 03:30:18.140]  The ProPure Whole House Water Filtration System is an advanced, four-stage, compact filtration system that will provide
[03:30:18.260 --> 03:30:23.082]  With its broad-spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[03:30:40.567 --> 03:30:53.325]  Head to InfowarsStore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro-Pure Whole House Filtration System today!
[03:30:55.999 --> 03:31:00.600]  It's never been easy to figure out the essentials of a new supplement routine.
[03:31:00.600 --> 03:31:08.341]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[03:31:08.341 --> 03:31:15.983]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old InfoWarriors alike.
[03:31:15.983 --> 03:31:22.484]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[03:31:23.763 --> 03:31:37.207]  Just take the Wake Up and Work or Rest and Recover Packs each day for quick, easy-to-use, and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge, stacks of bottles, and complicated routine.
[03:31:37.207 --> 03:31:41.668]  Featuring eight different formulas for a total take on your health and wellness.
[03:31:41.668 --> 03:31:46.749]  You can find what you like and get even more powerful versions in the store.
[03:31:46.749 --> 03:31:52.811]  Head to InfoWarsStore.com and check out 8-Pack Power Stack today and jumpstart your supplement routine.
[03:31:54.722 --> 03:32:02.109]  What you have witnessed is the biggest development in free speech in the Western world's history.
[03:32:02.109 --> 03:32:06.393]  This is a digital, AI-enforced gag order.
[03:32:06.393 --> 03:32:10.116]  Not to say the name Alex Jones or InfoWars.com.
[03:32:15.765 --> 03:32:17.485]  This is Nazi Germany level.
[03:32:17.485 --> 03:32:18.706]  This is racketeering.
[03:32:18.706 --> 03:32:19.806]  This is cartels.
[03:32:19.806 --> 03:32:22.247]  Mr. President, we need your help.
[03:32:22.247 --> 03:32:24.107]  We need it now.
[03:32:24.107 --> 03:32:25.787]  You can take on Big Tech.
[03:32:25.787 --> 03:32:34.750]  They saw Infowars as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[03:32:34.750 --> 03:32:42.772]  So they thought, first they come for Alex Jones, then when people say, okay, take him off the air, everyone else like dominoes would fall.
[03:32:42.772 --> 03:32:43.632]  The way to fight back
[03:32:44.292 --> 03:32:49.113]  is to support Infowars now more than ever and make it a standard of freedom and free speech.
[03:32:49.113 --> 03:32:57.195]  Understand that they believe they can take us down, they'll take everybody else down.
[03:32:57.195 --> 03:32:59.876]  You're listening to the Alex Jones Show.
[03:33:14.582 --> 03:33:17.945]  Of course mama's gonna help build the wall.
[03:33:17.945 --> 03:33:27.095]  Yeah, we're smashing down those walls.
[03:33:27.095 --> 03:33:27.856]  In the mines.
[03:33:27.856 --> 03:33:34.082]  But to have our safe country where we can live our lives and have our taxes spent on us and our families, we are building the wall.
[03:33:34.082 --> 03:33:37.886]  Because the UN and the globalists are trying to destroy our country.
[03:33:39.181 --> 03:33:46.663]  The first part about freedom is standing up for yourself and saying, I'm a self-contained unit, I'm not somebody else's slave.
[03:33:46.663 --> 03:33:55.105]  Tom Pappert, Ride the Shotgun, one of those great talk show hosts, his own right, manager of KCTU5 there in the heartland of America.
[03:33:55.105 --> 03:33:58.946]  Owen Troyer, who's also from that nearby area, he's from St.
[03:33:58.946 --> 03:34:01.326]  Louis, it's Wichita, Kansas.
[03:34:01.326 --> 03:34:01.746]  He's from St.
[03:34:01.746 --> 03:34:06.107]  Louis, Missouri, but still it's near each other, is riding the shotgun.
[03:34:06.107 --> 03:34:08.288]  I want to hit some final news here before I turn it over to Tom.
[03:34:09.366 --> 03:34:15.992]  And in the war room coming up with this.
[03:34:15.992 --> 03:34:24.599]  I used to project my own humanity onto the globalists and Armenians.
[03:34:24.599 --> 03:34:30.764]  But the more I studied them, imagine how much you worry about your children if you've got children like a lot of us have.
[03:34:30.764 --> 03:34:32.825]  I've got four children.
[03:34:32.825 --> 03:34:36.709]  Imagine how much you worry about your wife when she goes out or your husband.
[03:34:36.709 --> 03:34:38.090]  Imagine how much you worry about
[03:34:39.175 --> 03:34:41.156]  People, if you care.
[03:34:41.156 --> 03:34:44.717]  Well, that gets tiring for a lot of folks, so they start not caring.
[03:34:44.717 --> 03:34:47.978]  Or maybe they never cared.
[03:34:47.978 --> 03:34:57.442]  And then instead of caring about unborn babies, you get off on the power of killing them, because you're so soulless, the only thing that excites you is evil.
[03:34:57.442 --> 03:35:03.164]  And that's what we're coming down to, that's what we're dealing with.
[03:35:03.164 --> 03:35:07.586]  You know, I've got an article here out of Yahoo News, it's pretty powerful, that we can put on screen for TV viewers.
[03:35:08.835 --> 03:35:13.637]  Everest traffic jam survivors call for tougher rules.
[03:35:13.637 --> 03:35:16.699]  Really going to put some bureaucrats up there.
[03:35:16.699 --> 03:35:21.581]  Some police officers when there are no rules in some place that inhospitable.
[03:35:21.581 --> 03:35:25.403]  Up there, you know, twenty-something thousand feet.
[03:35:25.403 --> 03:35:26.843]  There's dead bodies everywhere.
[03:35:26.843 --> 03:35:28.884]  Up to five people die a week.
[03:35:28.884 --> 03:35:29.905]  You're trying to get to the top.
[03:35:29.905 --> 03:35:36.148]  There's traffic jams.
[03:35:36.148 --> 03:35:36.808]  And then people
[03:35:38.280 --> 03:35:44.822]  are calling for the government to make it like an amusement park and make everybody safe.
[03:35:44.822 --> 03:35:50.043]  You're climbing the tallest mountain that's above sea level.
[03:35:50.043 --> 03:35:51.784]  Kona is the biggest mountain in the world.
[03:35:51.784 --> 03:35:55.205]  15,000 feet of it are out of the water.
[03:35:55.205 --> 03:35:59.246]  20-something thousand feet are under.
[03:35:59.246 --> 03:36:03.747]  Kona, the big island, is the biggest mountain in the world.
[03:36:03.747 --> 03:36:05.008]  But above sea level,
[03:36:06.047 --> 03:36:07.068]  It's K1.
[03:36:07.068 --> 03:36:09.909]  It's Mount Everest.
[03:36:09.909 --> 03:36:10.310]  Type it in.
[03:36:10.310 --> 03:36:11.170]  How many?
[03:36:11.170 --> 03:36:11.710]  Was it 23,000?
[03:36:11.710 --> 03:36:11.810]  24,000?
[03:36:11.810 --> 03:36:13.111]  I forget.
[03:36:13.111 --> 03:36:14.672]  How many feet tall is Mount Everest?
[03:36:14.672 --> 03:36:18.414]  Helicopters can't even get up to 20,000 feet.
[03:36:18.414 --> 03:36:22.116]  But the bureaucrats want people to be there and hold their hand.
[03:36:22.116 --> 03:36:26.679]  Listen, if you want 29,000 feet to the summit,
[03:36:28.547 --> 03:36:32.392]  If you want to risk your life, that's your business.
[03:36:32.392 --> 03:36:36.898]  You want to go whitewater rafting, you want to go skydiving, that's your business.
[03:36:36.898 --> 03:36:39.461]  But that's not my business.
[03:36:39.461 --> 03:36:43.946]  I'm not afraid of risking my life.
[03:36:43.946 --> 03:36:45.989]  But I'm afraid of risking it for something that doesn't matter.
[03:36:47.711 --> 03:37:16.517]  And I gotta tell you, I've been around some of these mountain climbers, I've been around some of these triathletes, and man, these guys are super awesome, and they've got themselves together, and they're alpha males, but they hardly spend time with their families, so they can go out and compete, and run 50 miles a day, or 100 miles in two days, or, so they can show off, they're not even making money, most of them, but it's about showing how great they are, and that selfishness, and I'm not saying you shouldn't be able to climb Mount Everest,
[03:37:17.475 --> 03:37:22.278]  I'm saying I think you're pathetic.
[03:37:22.278 --> 03:37:27.700]  It's one thing if nobody ever climbed it and you were the first hundred explorers, but tens of thousands have scaled its stomachs now.
[03:37:27.700 --> 03:37:29.401]  In fact, look up how many have successfully.
[03:37:29.401 --> 03:37:30.282]  I'm just going from memory.
[03:37:30.282 --> 03:37:30.782]  It's over 10,000.
[03:37:30.782 --> 03:37:31.362]  Thousands a year now?
[03:37:33.063 --> 03:37:34.243]  In fact, I pulled the article.
[03:37:34.243 --> 03:37:36.984]  There's big lines the last thousand feet.
[03:37:36.984 --> 03:37:41.665]  Everyone just waiting at the top and taking selfies that they climbed Mount Everest.
[03:37:41.665 --> 03:37:43.786]  Why don't you go help homeless kids?
[03:37:43.786 --> 03:37:46.426]  Why don't you go find a cure for cancer?
[03:37:46.426 --> 03:37:52.668]  Why don't you go do something?
[03:37:52.668 --> 03:37:55.588]  Four thousand have climbed Mount Everest.
[03:37:55.588 --> 03:37:58.509]  It's more than that now, but the point is, is that
[03:38:02.114 --> 03:38:03.555]  Can we pull up the article I mentioned?
[03:38:03.555 --> 03:38:05.136]  It's the top of Yahoo News.
[03:38:05.136 --> 03:38:09.158]  I want to show TV viewers this big line.
[03:38:09.158 --> 03:38:10.759]  Yeah, there it is.
[03:38:10.759 --> 03:38:13.340]  Hundreds and hundreds of people backed up against the top.
[03:38:13.340 --> 03:38:16.662]  What does that do?
[03:38:16.662 --> 03:38:20.824]  You'd know if you could get 200 feet from the summit that you could get there.
[03:38:22.662 --> 03:38:24.583]  That's the sense of being.
[03:38:24.583 --> 03:38:26.023]  That's the sense of achievement.
[03:38:26.023 --> 03:38:27.544]  Some people want a billion dollars.
[03:38:27.544 --> 03:38:28.705]  Some people want the trophy wife.
[03:38:28.705 --> 03:38:30.645]  Some people want to win the race car race.
[03:38:30.645 --> 03:38:32.726]  And if you're doing that and it's not your God, that's fine.
[03:38:32.726 --> 03:38:36.228]  If you're raising race car money and risking your life to do something worthy, that's great.
[03:38:36.228 --> 03:38:47.873]  But I just don't get all these committed, smart, good-looking people, black, white, old, young, who are so self-centered, it's all about some feat they can accomplish.
[03:38:48.945 --> 03:38:55.694]  Instead of the feat of building a better world, being a human, being involved, everything is so selfish.
[03:38:55.694 --> 03:38:59.539]  Tom Papert, Owen Schroeder, do you get where I'm going with this?
[03:38:59.539 --> 03:39:00.941]  They'll put all this in...
[03:39:02.350 --> 03:39:05.853]  Some of the best and smartest people we've got, but it's all about how great they are.
[03:39:05.853 --> 03:39:09.955]  And I'm all about self empowerment, but it becomes satanic.
[03:39:09.955 --> 03:39:19.222]  It becomes shit because you get around these sports people and around these climbers and around these super fitness guys, they don't give a damn about anybody but their self on average.
[03:39:19.222 --> 03:39:27.948]  And they don't put that incredible energy they've got to win the world champion arm wrestling or the NFL or whatever into humanity when we need humanity.
[03:39:29.246 --> 03:39:30.327]  Well, I'd say this.
[03:39:30.327 --> 03:39:36.711]  I think that it's kind of symbolic that line of people trying to get to the peak of Mount Everest just for their own sense of accomplishment.
[03:39:36.711 --> 03:39:40.674]  It's kind of like the line of Democrats trying to remove Trump from the peak.
[03:39:40.674 --> 03:39:44.457]  None of them are going to do it, but they're all probably going to die on their way up.
[03:39:44.457 --> 03:39:50.561]  But Alex, this is something that I realized probably too late in my life, but sooner than later is better.
[03:39:51.434 --> 03:39:57.903]  Yeah I mean you always wonder when you're a sports fan and all that stuff and I was working in sports media but it didn't really deliver anything for me.
[03:39:57.903 --> 03:40:05.533]  It was fun, it paid the bills, maybe it was you know a career but it didn't really fulfill me and so as soon as I took the red pill and I
[03:40:06.374 --> 03:40:06.694]  I think so.
[03:40:23.320 --> 03:40:23.800]  Exactly.
[03:40:23.800 --> 03:40:27.242]  Imagine the devil laughing when God gave us all this energy.
[03:40:27.242 --> 03:40:50.475]  They're climbing a 29,000-foot mountain with 100-mile winds, climbing over dead bodies to show everybody how big their ding-dong is, and they're not doing anything for humanity or to fight the leftist takeover, while drag queen story times happening and convicted pedophiles without asking parents, have your five-year-old bouncing on their crotch.
[03:40:50.475 --> 03:40:50.675]  Tom?
[03:40:51.912 --> 03:41:00.322]  You know, Alex, it really makes me think of one of the perhaps more challenging things that Christians have to struggle with, and that's putting God at the center.
[03:41:00.322 --> 03:41:01.343]  And you know, I struggle with it.
[03:41:01.343 --> 03:41:02.525]  I'm sure everybody struggles with it.
[03:41:02.525 --> 03:41:09.012]  We all get so caught up in our shows and our articles and everything that we've got to do to try to save this country and save this world.
[03:41:09.012 --> 03:41:09.273]  But...
[03:41:09.813 --> 03:41:17.239]  That is a whole lot closer than these people and it can be, Everest is a beautiful example because it's such a silly thing if you think about it.
[03:41:17.239 --> 03:41:21.182]  Look, I can walk to the top of a high surface and I can breathe the thin air and I don't die.
[03:41:21.182 --> 03:41:24.364]  Oh, congratulations, you've really achieved a lot.
[03:41:24.364 --> 03:41:26.886]  But it's a great example and there's so many people who are like this.
[03:41:26.886 --> 03:41:27.846]  Well, you just said it.
[03:41:27.846 --> 03:41:29.868]  Like Bob Dylan said, gotta serve somebody.
[03:41:29.868 --> 03:41:37.213]  They claim there isn't a God, but their God's getting to the top of a mountain and so again, they're making that their God.
[03:41:37.213 --> 03:41:37.834]  That's what you're saying.
[03:41:38.749 --> 03:41:40.090]  Exactly, exactly.
[03:41:40.090 --> 03:41:45.432]  You know, I'm a Lutheran Church, Missouri Synod Lutheran here, so they say we're baptized in vinegar.
[03:41:45.432 --> 03:41:49.434]  We're all the time looking at how sinful the world is and how terrible things are.
[03:41:49.434 --> 03:41:53.476]  But you know, when you see stuff like this, and you think, what is the matter with these people?
[03:41:53.476 --> 03:41:55.617]  They're not doing this to serve anything.
[03:41:55.617 --> 03:41:56.597]  They're not doing this to help anyone.
[03:41:56.597 --> 03:41:58.058]  Oh, it's a selfish, look how tough I am.
[03:41:58.638 --> 03:42:00.439]  They're not going to the top of the mountain to save kids.
[03:42:00.439 --> 03:42:02.320]  Look, let me tell you the opposite of Satanism.
[03:42:02.320 --> 03:42:11.506]  Was it Thailand with the 40-something kids, two miles underground, divers dying, kids dying, guys risking their total lives to go in and do that?
[03:42:11.506 --> 03:42:15.108]  That was the opposite of climbing Mount Everest.
[03:42:15.108 --> 03:42:15.708]  Right.
[03:42:15.708 --> 03:42:17.009]  And you know, they don't even think.
[03:42:17.009 --> 03:42:18.690]  You know, there are ways that you can make this.
[03:42:18.690 --> 03:42:20.551]  I mean, there were kids you gotta save at the top of the mountain.
[03:42:20.551 --> 03:42:21.211]  Do it!
[03:42:21.211 --> 03:42:23.773]  But why totally risk your life for no reason?
[03:42:24.673 --> 03:42:29.895]  You know, get somebody to donate $100,000 toward child cancer research if you make it to the top.
[03:42:29.895 --> 03:42:30.355]  Something.
[03:42:30.355 --> 03:42:32.035]  But this doesn't even cross their minds.
[03:42:32.035 --> 03:42:33.956]  No, it's just, it's all about themselves.
[03:42:33.956 --> 03:42:37.777]  It's all about their little piece of accomplishment.
[03:42:37.777 --> 03:42:39.638]  That, again, there's 4,000 names.
[03:42:39.638 --> 03:42:40.698]  I don't know five of them.
[03:42:40.698 --> 03:42:41.138]  I don't know five.
[03:42:41.138 --> 03:42:42.599]  They want to be in a club.
[03:42:42.599 --> 03:42:43.219]  Exactly.
[03:42:43.219 --> 03:42:45.020]  It's like being a trainee or whatever.
[03:42:45.020 --> 03:42:46.680]  It makes you an elite group.
[03:42:46.680 --> 03:42:48.041]  Cut your testicles off.
[03:42:48.041 --> 03:42:48.641]  We'll be right back.
[03:42:48.641 --> 03:42:49.041]  Stay with us.
[03:42:53.459 --> 03:42:55.780]  Fueling your body is hard work.
[03:42:55.780 --> 03:43:01.562]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[03:43:01.562 --> 03:43:09.984]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[03:43:09.984 --> 03:43:12.205]  There's no better way to power your body.
[03:43:12.745 --> 03:43:19.647]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[03:43:19.647 --> 03:43:30.789]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:43:30.789 --> 03:43:37.691]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[03:43:38.231 --> 03:43:44.399]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[03:43:44.399 --> 03:43:48.224]  Don't miss out on the chance to fuel your body and support recovery.
[03:43:48.224 --> 03:43:51.389]  Try the InfoWars Life Daily Digestive Pack today!
[03:43:53.246 --> 03:44:05.035]  It would take me more than an hour just to lay out all the admitted benefits and known positive effects of just one of the ingredients in our ultimate bone broth formula.
[03:44:05.035 --> 03:44:13.361]  Everybody knows about bone broth itself and all of the amazing things that it's associated with, and that it's been the big craze for at least a decade.
[03:44:13.361 --> 03:44:17.524]  Well, thousands of years ago, it's what everybody told people they should drink in a soup if they were sick.
[03:44:18.385 --> 03:44:23.993]  But then you add not just the fact that this is the strongest, most concentrated, highest quality bone broth out there.
[03:44:23.993 --> 03:44:25.114]  Literally.
[03:44:25.114 --> 03:44:35.809]  Then you have the chaga mushroom, then you have the turmeric, then you have the bee pollen, then you have the other key ingredients that are all known to just make people incredibly strong and healthy.
[03:44:36.329 --> 03:44:38.552]  Our ultimate bone broth formula is amazing.
[03:44:38.552 --> 03:44:43.417]  It's 50% off right now in fullwrestore.com because I want you to try it and see how great it is.
[03:44:43.417 --> 03:44:46.300]  And of course, getting the bone broth isn't just great for you and your family.
[03:44:46.300 --> 03:44:52.447]  It's also amazing when it comes to funding our operation that's taking on the globalists and fighting for all of our freedoms.
[03:44:54.252 --> 03:44:57.276]  Everybody knows that supplements are amazing.
[03:44:57.276 --> 03:44:59.859]  That what God gave us from Mother Nature is incredible.
[03:44:59.859 --> 03:45:02.643]  That's why supplements are the biggest growing industry in the world.
[03:45:02.643 --> 03:45:04.646]  And the globalists are so upset.
[03:45:04.646 --> 03:45:07.469]  The problem is people forget to take them.
[03:45:08.820 --> 03:45:09.120]  That's right.
[03:45:29.867 --> 03:45:32.830]  PowerStack at InfoWarsLife.com.
[03:45:32.830 --> 03:45:34.191]  Folks, check it out.
[03:45:34.191 --> 03:45:37.675]  It's 50% off for a limited time out of the gates.
[03:45:37.675 --> 03:45:41.278]  50% off on the 8-pack PowerStack.
[03:45:41.278 --> 03:45:46.924]  50% off on our newest product at InfoWarsLife.com, the 8-pack PowerStack.
[03:45:46.924 --> 03:45:47.945]  50% off.
[03:45:47.945 --> 03:45:53.170]  We looked at the best-selling products out there, and we made it even better, and we lowered the price.
[03:46:00.082 --> 03:46:02.542]  Tom in Texas, police officer on the border.
[03:46:02.542 --> 03:46:04.503]  Talks about MS-13 and more.
[03:46:04.503 --> 03:46:05.463]  Thanks for calling, Tom.
[03:46:05.463 --> 03:46:05.904]  Yes, sir.
[03:46:05.904 --> 03:46:07.224]  Thank you for taking my call.
[03:46:07.224 --> 03:46:09.305]  Just want to thank you for your products.
[03:46:09.305 --> 03:46:15.247]  I have InfoWard decals on the outside of my cell phone case, my truck, sports shirts, all the equipment.
[03:46:15.247 --> 03:46:17.187]  I find it's the best way to get your word out.
[03:46:17.187 --> 03:46:18.168]  God bless you, brother.
[03:46:18.168 --> 03:46:24.770]  And I have three or four InfoWard bumper stickers in my glove box right now I hand out if I get to talking to somebody just to help spread that word.
[03:46:25.150 --> 03:46:26.251]  You're our only hope, brother.
[03:46:26.251 --> 03:46:28.572]  I'm telling you, you're more important than I am.
[03:46:28.572 --> 03:46:31.313]  It's people like you on the ground, as you know, that's boots on the ground.
[03:46:56.768 --> 03:46:59.359]  You're listening to The Alex Jones Show.
[03:47:08.018 --> 03:47:09.179]  You've found it.
[03:47:09.179 --> 03:47:11.200]  The tip of the spear.
[03:47:11.200 --> 03:47:14.703]  It is the Alex Jones Show.
[03:47:14.703 --> 03:47:22.048]  I hear people talking bad about the way we have to live here in this country.
[03:47:22.048 --> 03:47:24.110]  Harping on the war as we fight.
