[00:00:17.682 --> 00:00:18.102]  We did it!
[03:03:04.183 --> 03:03:07.044]  What if I told you it's the local Communist Party?
[03:03:07.164 --> 03:03:12.887]  I knew it was, because the pro-Palestinian group here on campus is very, very communist.
[03:03:13.267 --> 03:03:16.008]  I know a few people from classes that are involved with it.
[03:03:16.168 --> 03:03:17.549]  I think we can come together now.
[03:03:18.049 --> 03:03:19.570]  Donald Trump said, make America great again.
[03:03:20.131 --> 03:03:21.472]  I think we can do that.
[03:03:21.512 --> 03:03:25.697]  And this is going to involve everyone across the entire political spectrum.
[03:03:26.238 --> 03:03:29.401]  Left, right, primatist, conservative.
[03:03:29.481 --> 03:03:31.944]  Everyone is going to have to work together to make this country great again.
[03:03:35.842 --> 03:03:40.385]  In fact, the majority of them actually believe they're going to be immediately deported.
[03:03:40.985 --> 03:03:42.826]  Trump, he's got to go!
[03:03:43.387 --> 03:03:43.807]  Hey, hey!
[03:03:44.167 --> 03:03:46.168]  Why does Trump have to go?
[03:03:46.208 --> 03:03:49.170]  Because he does not represent this country.
[03:03:49.190 --> 03:03:53.693]  He is racist, xenophobic, and completely
[03:03:54.333 --> 03:03:56.555]  Where are you from, my friend?
[03:03:56.895 --> 03:03:58.896]  I am from Houston.
[03:03:59.057 --> 03:04:00.658]  I was born and raised here.
[03:04:00.798 --> 03:04:02.139]  I am a Muslim-American.
[03:04:02.219 --> 03:04:02.999]  You're an American?
[03:04:03.019 --> 03:04:03.360]  Yes, sir.
[03:04:03.420 --> 03:04:04.320]  I am a Muslim-American.
[03:04:04.380 --> 03:04:06.762]  I do not deserve to be thrown out of this country.
[03:04:06.822 --> 03:04:07.883]  Well, of course you don't.
[03:04:08.103 --> 03:04:08.323]  Exactly.
[03:04:08.363 --> 03:04:10.705]  Of course you don't.
[03:04:10.905 --> 03:04:11.525]  Freedom of religion.
[03:04:12.166 --> 03:04:12.566]  Yes, sir.
[03:04:12.706 --> 03:04:14.388]  I do not believe Trump respects that.
[03:04:14.928 --> 03:04:21.993]  He believes all of my kind are terrorists, are radical Islamists, when very few of us are.
[03:04:22.093 --> 03:04:23.855]  What's the first thing that comes to mind?
[03:04:24.135 --> 03:04:31.724]  He's gonna deport illegal immigrants who help this country and get white supremacy.
[03:04:37.770 --> 03:04:45.174]  The local Communist Party that I spoke to here in Austin wouldn't speak back because they don't believe in free speech and, frankly, they're cowards.
[03:04:45.714 --> 03:04:47.975]  This entire march was a march of cowardice.
[03:04:48.615 --> 03:04:56.799]  As Obama, your leader, has explained to you, you must accept this peaceful transfer of power and accept the resurrection of the U.S.
[03:04:56.839 --> 03:05:00.781]  Constitution and the Bill of Rights of which this country was founded on.
[03:05:01.261 --> 03:05:03.002]  John Bowne for Infowars.com.
[03:05:20.123 --> 03:05:22.885]  I can ask a lot of questions, but just out of the gates, what do you think of this election?
[03:05:22.905 --> 03:05:23.865]  I think it's chaos.
[03:05:23.925 --> 03:05:30.749]  I think it's a reflection of where we are economically speaking, where we are monetarily speaking, where we are on our foreign policy.
[03:05:31.090 --> 03:05:31.970]  Totally chaotic.
[03:05:32.170 --> 03:05:37.974]  People are angry and upset, but I don't think they've quite figured out exactly where the problem is.
[03:05:38.014 --> 03:05:41.056]  They don't think in philosophic terms, they think in political terms.
[03:05:41.436 --> 03:05:42.797]  The problem is not political.
[03:05:42.837 --> 03:05:47.700]  The political chicanery that goes on is a reflection of bad philosophy.
[03:05:47.780 --> 03:05:49.441]  Whether it comes to economic policies,
[03:05:49.901 --> 03:05:57.984]  This whole idea of Keynesian economics, it's a failure, just as socialism has failed, our system has failed, and people don't quite see it that way.
[03:05:58.825 --> 03:06:11.210]  Inflationism has failed, the central banking ideas have failed, and the foreign intervention has failed, and yet they still think of details of, well, maybe we need a better manager, maybe we ought to do it this way, that way.
[03:06:11.470 --> 03:06:14.251]  We shouldn't go into this country, we should go into this other country.
[03:06:14.311 --> 03:06:15.772]  We shouldn't spend so much money here.
[03:06:16.272 --> 03:06:17.873]  No, they missed the whole point.
[03:06:18.974 --> 03:06:24.358]  What we need is an understanding of what true liberty is all about and why that's an individual matter.
[03:06:24.418 --> 03:06:25.459]  It's not a collective.
[03:06:26.120 --> 03:06:31.023]  And quite frankly, I spend my time talking to young people because I think that's what we need.
[03:06:31.043 --> 03:06:43.153]  We need an educated new generation that will be more intense on relying on liberty rather than relying on the political process where they're trying to get one advantage over another.
[03:06:43.593 --> 03:06:46.754]  Well, my prediction is that not a whole lot is going to change.
[03:06:46.774 --> 03:06:50.176]  I think the momentum is so great, there's a lot of good intentions out there.
[03:06:50.736 --> 03:06:53.437]  But I think that the spending is going to continue.
[03:06:54.137 --> 03:06:56.118]  I think the printing of money is going to continue.
[03:06:56.378 --> 03:06:57.858]  The deficits are going to continue.
[03:06:57.918 --> 03:07:01.500]  I've become cynical over the many decades I've been involved.
[03:07:02.020 --> 03:07:06.121]  I mean, if you go back to the Ronald Reagan era, I was so excited about that.
[03:07:06.141 --> 03:07:08.902]  I was a supporter of his in 1976.
[03:07:09.762 --> 03:07:14.603]  And yet, when he was in, the debt went up, the spending went up.
[03:07:14.723 --> 03:07:22.685]  And, you know, when the Congress finally was controlled by Republicans and the Senate and the presidency, guess what?
[03:07:22.745 --> 03:07:24.566]  We spent more money than the Democrats.
[03:07:25.086 --> 03:07:43.153]  And as much as we look toward, and I certainly do look toward the positive side of the people waking up, there's a lot of people out there that want government, and I think the result of this election will be that probably 97% of the members of Congress are going to be re-elected.
[03:07:43.573 --> 03:07:46.554]  You know, it's gonna be pretty much the status quo.
[03:07:47.114 --> 03:07:55.976]  And I think we have more work to do in the intellectual sphere, the understanding of economic policy, the understanding of the nature of money.
[03:07:55.996 --> 03:08:03.737]  And then that will eventually be reflected in our members of Congress.
[03:08:11.019 --> 03:08:11.879]  I'm about to give you
[03:08:13.419 --> 03:08:28.472]  The secret, the jewel in the crown to why Donald Trump decisively won this historic 2016 presidential election and is now president-elect number 45.
[03:08:28.612 --> 03:08:30.113]  Man, that's got a good ring, doesn't it?
[03:08:31.354 --> 03:08:31.895]  Are you ready?
[03:08:32.235 --> 03:08:35.258]  I'll give you the jewel in the crown and then the
[03:08:36.960 --> 03:08:37.421]  The internet.
[03:08:57.230 --> 03:09:11.994]  This is what killed the New World Order globalist establishment, and it's why their program of tyranny is declining in Russia, Europe, the United Kingdom with Brexit, and now with shocking results, supposedly to them, here in the United States.
[03:09:13.694 --> 03:09:22.456]  The Internet, coupled with delusion, this marriage, this Congress, is what brought us to this point.
[03:09:23.897 --> 03:09:24.357]  Think about it.
[03:09:25.663 --> 03:09:34.508]  The internet already is hundreds and hundreds of times bigger than all the entertainment news combined on broadcast and cable transmitted and satellite TVs.
[03:09:34.548 --> 03:09:36.769]  I mean there's hundreds and hundreds and hundreds of times the traffic.
[03:09:37.310 --> 03:09:40.552]  And the political traffic on the internet is...
[03:09:42.095 --> 03:09:42.735]  50, 100 times?
[03:09:42.755 --> 03:09:43.156]  I don't know.
[03:09:43.236 --> 03:09:44.396]  It's just so huge.
[03:09:45.156 --> 03:09:48.238]  They just corrected me that it wasn't 60 million earlier.
[03:09:48.278 --> 03:09:49.158]  They went and did the numbers.
[03:09:49.338 --> 03:09:51.579]  I guess I haven't checked since this morning.
[03:09:51.599 --> 03:10:01.063]  100 million, not counting terrestrial radio, that we have 3.5 million rated, when the ratings come in, from our affiliates.
[03:10:03.439 --> 03:10:10.364]  But our internet success is so big that we just got like 60 more affiliates the last few months, so we're over 230 right now.
[03:10:10.824 --> 03:10:12.265]  And it's not about Infowars bragging.
[03:10:13.146 --> 03:10:29.277]  If this ragtag operation is kicking the entire cable news system's ass up and down the road, when they're spending billions of dollars in the aggregate and have all these beauty queen tarts up there spreading their legs, you can't cover up this fraud with a little bit of sugar.
[03:10:30.178 --> 03:10:32.640]  So having bimbos on there, it'd mean we're swallowing the cyanide.
[03:10:33.556 --> 03:10:48.339]  And when I talk about the hubris, the delusion of the delusionites, they've known for years that not just InfoWars, but a constellation of Liberty sites like DrudgeReport.com and others dwarfed them already.
[03:10:49.019 --> 03:10:51.680]  And it isn't just InfoWars that exploded the last few months.
[03:10:52.020 --> 03:11:00.382]  Drudge is now not just bigger than Facebook and Twitter and the New York Times combined, it's bigger than like
[03:11:01.411 --> 03:11:03.513]  The entire mainstream media just in traffic.
[03:11:03.853 --> 03:11:04.814]  And it's two people running it.
[03:11:05.855 --> 03:11:06.975]  So think about that.
[03:11:07.116 --> 03:11:09.077]  This is how pathetic these people are.
[03:11:09.297 --> 03:11:14.321]  And we have to celebrate the fact that they're pathetic, and they're known traitors, and they're jokes, because they're all scared up.
[03:11:14.341 --> 03:11:19.506]  They're going, the pollsters actually weren't wrong, and we don't lie to you, and we have a big audience, and we love you.
[03:11:19.626 --> 03:11:20.807]  Here, here's a woman with big breasts.
[03:11:21.347 --> 03:11:22.168]  Show your legs, baby.
[03:11:24.022 --> 03:11:25.023]  Paul Ryan likes you.
[03:11:25.403 --> 03:11:26.805]  He doesn't want your guns or open borders.
[03:11:27.786 --> 03:11:29.908]  He didn't say you couldn't nominate Trump.
[03:11:30.469 --> 03:11:32.591]  He didn't say that there wasn't any free elections.
[03:11:33.071 --> 03:11:35.053]  They're hoping you go back to sleep, but you're not asleep.
[03:11:36.375 --> 03:11:47.046]  So the big secret is, they're still up there wondering why they have no ratings, wonder why they're going bankrupt, wonder why they're all shrinking, wonder why the New York Times is collapsing, and they still don't get it.
[03:11:48.595 --> 03:12:01.399]  They have no audience and just because they have the fanciest suits and the biggest teleprompters doesn't mean anybody takes what they say seriously and no one's even tuning into them to go back and regurgitate their talking points out.
[03:12:02.660 --> 03:12:06.521]  I go to forums that don't even deal with politics and everybody gets exactly what's happening.
[03:12:07.001 --> 03:12:08.201]  I walk down the street, people get it.
[03:12:08.541 --> 03:12:16.284]  Now, sure, about a third of the public can't tie their shoelaces and they're long gone, you know, George Soros controlled, but a large group of people, a majority now,
[03:12:17.412 --> 03:12:17.872]  Are awake.
[03:12:17.932 --> 03:12:19.413]  And here's what's scary to the establishment.
[03:12:19.593 --> 03:12:21.013]  They're getting awake a lot faster.
[03:12:21.473 --> 03:12:31.016]  So barring launching a big war, barring a total stock market collapse, which we're already headed towards, barring societal breakdown, they're not going to be able to organize and keep themselves in power.
[03:12:31.476 --> 03:12:35.317]  And even a societal breakdown will only blow up in their face.
[03:12:35.557 --> 03:12:37.758]  There's nothing they can do.
[03:12:38.978 --> 03:12:40.799]  Elites always believe they're invincible.
[03:12:41.019 --> 03:12:42.519]  They always believe they're unstoppable.
[03:12:42.720 --> 03:12:43.700]  So you have the big jewel.
[03:12:44.468 --> 03:12:58.534]  The Internet and their own delusion, instead of admitting they've lied in the last decade as their credibility collapsed, they began to double and triple down, making fun of us, laughing at us, saying we're pathetic, saying we wear tinfoil hats.
[03:12:59.655 --> 03:13:09.399]  That's all they've got is this Carnival Barker scam to act like we're the ones with no credibility and he's that Alex Jones, that nut on the Internet.
[03:13:10.575 --> 03:13:18.442]  I am so proud we're self-made in a market of ideas coming from local radio and AXS TV 21 years ago.
[03:13:19.103 --> 03:13:21.665]  I like my grassroots bona fides.
[03:13:22.745 --> 03:13:28.289]  But you're all from trashy families, social climbers, who went and sold yourselves out to the elite.
[03:13:28.349 --> 03:13:47.141]  I go study most of these talk show hosts, and most of these movie people, and most of these politic hosts, and man, they come from families where their dad was a con artist, and their mom was involved in weird stuff, and nothing bad about this, but failures, and swindles, and scams, and they just, the elite went and found a bunch of trash.
[03:13:47.622 --> 03:13:48.963]  Most of the people out here aren't trash.
[03:13:49.163 --> 03:13:52.005]  You come from a family of plumbers that are good, honorable, hardworking folks.
[03:13:52.045 --> 03:13:52.605]  You're good people.
[03:13:53.505 --> 03:13:55.186]  You put them in power, they do a great job.
[03:13:56.106 --> 03:13:58.727]  Ranchers, police officers, whatever the case is.
[03:13:59.267 --> 03:14:08.931]  But you look at the political class, they're all these wannabe nouveau riche trash who are sociopathic, narcissistic, empty, totally dishonorable.
[03:14:09.131 --> 03:14:19.335]  So they were typecast and picked to be the cacophony of parrots to sit up there repeating the same thing over and over again so we would all feel like we were alone.
[03:14:20.540 --> 03:14:28.263]  When we thought, well, I thought tax cuts helped, or I thought family was okay, or I thought guns were alright for self-defense, or, gee, they just don't seem to get that good people defend themselves.
[03:14:28.563 --> 03:14:29.443]  Of course they get it!
[03:14:29.603 --> 03:14:34.025]  They're a ruling class of filth trying to capture the greatest nation on Earth!
[03:14:36.306 --> 03:14:39.947]  And then I realized good people never brag about their families.
[03:14:41.227 --> 03:14:46.649]  Good people don't ever just think what good folks they come from, or what their ancestors did, or they don't even go look into it.
[03:14:46.949 --> 03:14:48.010]  And then I went and looked into my family.
[03:14:48.948 --> 03:14:49.829]  All the things they did.
[03:14:49.849 --> 03:14:53.393]  I mean, I'm going to go back to the founding of the country, the Mayflower, Texas Independence.
[03:14:53.433 --> 03:14:56.456]  I mean, at the detonator level of it, with Andrew Jackson.
[03:14:56.496 --> 03:14:58.158]  I mean, my family was detonator level.
[03:14:58.959 --> 03:15:01.261]  On my mom's side, complete, absolute detonator.
[03:15:02.182 --> 03:15:03.284]  Original funding, everything.
[03:15:03.464 --> 03:15:04.745]  And you bet it was a covert operation.
[03:15:04.765 --> 03:15:05.286]  You better believe it.
[03:15:07.045 --> 03:15:15.771]  And then he goes right through to my grandfather coming back from World War II and runs as a Republican for desegregation and then works with Eisenhower and his little county and has the Klan come after him.
[03:15:16.112 --> 03:15:21.496]  So I can be called Klan today by a bunch of racist Mexicans with Mexican flags acting like jackasses.
[03:15:22.356 --> 03:15:25.279]  I mean, I just realized, of course I'm fighting tyranny.
[03:15:25.740 --> 03:15:27.161]  Of course I'm not out to screw people.
[03:15:27.441 --> 03:15:28.543]  Of course I'm not trash.
[03:15:28.843 --> 03:15:29.884]  And Trump's the same.
[03:15:30.485 --> 03:15:32.266]  You don't start a fight with Trump, you don't get one.
[03:15:32.447 --> 03:15:33.287]  He's for prosperity.
[03:15:33.468 --> 03:15:35.990]  He does hard-nosed, you know, deals.
[03:15:36.471 --> 03:15:44.199]  But he does want to bring back this republic, and that's why that swamp of trash and filth and scum are coming after him.
[03:15:45.239 --> 03:15:52.882]  And if he thinks Megyn Kelly and Little Twinkle Eyes, Paul Ryan, aren't going to stab him in the back when they're trying to act friendly now, he's crazy.
[03:15:53.983 --> 03:15:58.444]  They're just holding back because at a metaphysical level, they come from filth.
[03:15:58.965 --> 03:16:00.685]  You look them up, they come from trash.
[03:16:01.606 --> 03:16:05.647]  And they inherently have an instinct of trash because they are trash.
[03:16:07.068 --> 03:16:14.231]  And to them, the jewel of America and hijacking it and raping it and destroying it attracts them.
[03:16:16.015 --> 03:16:20.215]  George Soros, the Saudis, the Communist Chinese leaders, these are bad people!
[03:16:21.442 --> 03:16:25.846]  They have to be recognized as who they are, wanting to conquer greater men and women.
[03:16:26.466 --> 03:16:27.907]  So now you've seen the big secret.
[03:16:28.628 --> 03:16:29.228]  You already knew it.
[03:16:29.268 --> 03:16:30.189]  You know I'm telling you the truth.
[03:16:30.369 --> 03:16:30.930]  It's the Internet.
[03:16:31.230 --> 03:16:31.690]  It's bigger.
[03:16:31.891 --> 03:16:32.251]  It's there.
[03:16:32.431 --> 03:16:32.952]  It's the people.
[03:16:33.092 --> 03:16:34.433]  We've broken with mainstream news.
[03:16:34.653 --> 03:16:35.874]  We don't buy a word they say.
[03:16:36.434 --> 03:16:37.996]  They can't ever put it back in the bottle again.
[03:16:38.196 --> 03:16:43.981]  We're going back to basic Americana and what worked in free market, not something like they're saying, they don't know where they're going or where they're doing.
[03:16:44.181 --> 03:16:44.681]  Yes, they do.
[03:16:44.861 --> 03:16:45.962]  They've rediscovered liberty.
[03:16:46.263 --> 03:16:47.083]  We've rediscovered it.
[03:16:47.263 --> 03:16:47.904]  We've promoted it.
[03:16:48.084 --> 03:16:48.905]  Ron Paul's promoted it.
[03:16:49.165 --> 03:16:50.146]  Countless others have promoted it.
[03:16:51.144 --> 03:17:05.330]  And so now, we're selling what works, what feels good, what's honorable, what's true, what's historical, what our forebearers did, and it's spiritually, metaphysically clicking in all of us as the spirit of America comes back from the dead!
[03:17:07.211 --> 03:17:08.391]  That we do the hanging!
[03:17:09.932 --> 03:17:10.812]  We run the show!
[03:17:11.272 --> 03:17:12.153]  We build the ships!
[03:17:12.433 --> 03:17:13.393]  We fought the wars!
[03:17:13.613 --> 03:17:14.514]  We planted the crops!
[03:17:15.589 --> 03:17:16.690]  We took care of the kids!
[03:17:17.290 --> 03:17:18.211]  We went in the mines!
[03:17:18.751 --> 03:17:19.232]  Not you!
[03:17:20.292 --> 03:17:22.294]  You've taken this country and pissed all over it!
[03:17:23.895 --> 03:17:33.642]  And now in your arrogance you still think you can con us, even though we've already beaten you so many times despite the fact you rigged the whole thing and had countless funny money from your foreign fellow reserve.
[03:17:34.723 --> 03:17:36.404]  But in that crown are a few other jewels.
[03:17:38.085 --> 03:17:41.628]  Their arrogance, their delusion, the Internet's the big stone.
[03:17:43.712 --> 03:17:48.395]  There's so many other facets to it, and I think you can all recognize what the other reasons Trump won.
[03:17:48.815 --> 03:17:54.498]  People waking up worldwide, the globalist excesses being so arrogant they appoint presidents in Europe and bankrupt countries.
[03:17:54.798 --> 03:17:55.118]  No, really.
[03:17:55.138 --> 03:17:57.760]  I mean, what are other jewels of the crown that brought Trump in?
[03:17:57.940 --> 03:18:12.868]  His stamina, his courage, his will, the people supporting him, Nigel Farage, whistleblowers, the rise of the new media in this Internet system, and the vacuum the media created by standing down and being so evil.
[03:18:15.646 --> 03:18:30.995]  The truth is, history's happening, but we've retaken a beachhead, we're winning the overall war, but now we have to drain the swamp, and we cannot sit here and just roll over and out of these people because they are scum, they are trash, they must be prosecuted, justice must be done.
[03:18:31.295 --> 03:18:35.577]  They wanted to shut down the internet, shut off talk radio, go after peaceful people, persecute the media.
[03:18:36.878 --> 03:18:39.300]  Obama sits there all arrogant like he's this big humanitarian.
[03:18:40.250 --> 03:18:55.454]  When the border's wide open, our country's collapsing, and the health departments are going under, and he's on vacation five months out of the year, it's time to fully... It's kind of like you eat some poison food, you vomit part of it up, you feel a little better, but you need to get it all out.
[03:18:56.414 --> 03:18:58.895]  We've got about a third of the vomit out, a third of the poison.
[03:18:58.935 --> 03:18:59.915]  We know there's more poison.
[03:19:00.095 --> 03:19:01.096]  We've got to get it out.
[03:19:01.936 --> 03:19:03.076]  We've got to drink some fresh water.
[03:19:03.976 --> 03:19:05.817]  But in closing, sitting here thinking,
[03:19:06.983 --> 03:19:21.334]  I mentioned the jewel and the crown and the other stones that accompany it, but I didn't mention the overall plan and this crown of idiocy that was placed upon these traitors' heads.
[03:19:21.694 --> 03:19:22.175]  And that's God.
[03:19:24.537 --> 03:19:41.870]  God moving through time, moving through history, sitting back 20 plus years seeing where Infowars came from, frustrated over the years trying to build, trying to fight, trying to develop, and then right as it was needed at the final point going into warp drive and absolutely energizing the planetary resistance.
[03:19:42.891 --> 03:19:58.745]  God is moving in all of us, and it is Jesus Christ that gets the final thanks in all of this, because as it's been said a million times a million, the Lord works in mysterious ways, and the Lord works from the most common and simple of us, to those most supposedly high up.
[03:20:00.206 --> 03:20:06.111]  Because God knows, it's the good men and women of this planet, of every race, color, and creed, that are the resistance.
[03:20:19.699 --> 03:20:27.643]  Anthony Gucciardi joins us to talk about Bio PCA, the latest formula to be announced and released by Infowarslife.com.
[03:20:27.663 --> 03:20:29.624]  Now, this is our 20th product.
[03:20:30.385 --> 03:20:37.288]  We can easily go out to a major vitamin or supplement company and private label a thousand different products.
[03:20:37.889 --> 03:20:43.672]  But it's taken us four plus years to even come out with 20 because we private label some, but we also develop
[03:20:44.568 --> 03:20:54.335]  Many of the products originally were some of the top labs in the country, so that they're true game changers, they're organic, they're proven as safe, and they're also very affordable.
[03:20:54.355 --> 03:20:56.497]  Exactly, you talk about being a game changer, right?
[03:20:56.517 --> 03:21:01.060]  You talk about, we're in an industry where we talk to the industry leaders, we've both talked to them.
[03:21:01.481 --> 03:21:07.365]  They have conveyor belts of herbs falling on the ground, and they have someone come and sweep them up and put them back on the conveyor belt.
[03:21:07.725 --> 03:21:16.691]  They have individuals that are hired only to save money and get the lowest quality junk and put it in as many capsules as possible so they can make the highest profit margins.
[03:21:17.551 --> 03:21:18.652]  We refuse to screw people.
[03:21:19.012 --> 03:21:19.973]  We refuse to do that.
[03:21:20.353 --> 03:21:23.015]  We actually want to make something that's good.
[03:21:23.095 --> 03:21:25.076]  We're producing something we want to take.
[03:21:25.196 --> 03:21:25.876]  Exactly.
[03:21:25.916 --> 03:21:26.937]  We're looking for the best.
[03:21:26.997 --> 03:21:35.743]  We went out and searched for the best, the private label, and most of the time found out it wasn't available, so we go to these big firms and say, we want to make the dream formula.
[03:21:35.763 --> 03:21:41.726]  Bio PCA, for example, one of the ingredients is silica, and it's from bamboo extract.
[03:21:42.007 --> 03:21:43.247]  It's everywhere.
[03:21:43.427 --> 03:21:44.088]  It's in nature.
[03:21:44.148 --> 03:21:46.249]  It's an essential part of being healthy, right?
[03:21:46.609 --> 03:21:52.653]  Just this bottle of silica, okay, again, one ingredient, in a lower amount that's even in our product, is $35.
[03:21:53.814 --> 03:21:59.078]  They're charging more than what we charge when they have one ingredient that's less than ours.
[03:21:59.118 --> 03:21:59.758]  This is insane.
[03:21:59.778 --> 03:22:08.945]  When I told him we wanted 10,000 micrograms, he goes, okay, I get that you guys want to do, you know, high power stuff, but why don't you just do 3,000 and then you can sell, you know, multiple bottles of it.
[03:22:08.965 --> 03:22:09.846]  People will buy more of it.
[03:22:09.866 --> 03:22:10.567]  I was like, no, let's do 10.
[03:22:10.667 --> 03:22:11.107]  Okay.
[03:22:11.567 --> 03:22:12.448]  Compare that to this.
[03:22:12.648 --> 03:22:14.049]  This is a $50 product.
[03:22:14.169 --> 03:22:17.452]  One of the leaders in the industry has 3,000 micrograms of biotin.
[03:22:17.472 --> 03:22:17.592]  Okay.
[03:22:17.692 --> 03:22:17.872]  We have 10,000.
[03:22:17.912 --> 03:22:18.653]  This is $50, $48 to be exact.
[03:22:21.715 --> 03:22:23.576]  There's no script, there's no teleprompter, I'll just be honest with you.
[03:22:23.976 --> 03:22:29.240]  My problem is, with 20 products now, it's remembering to take them all.
[03:22:29.260 --> 03:22:33.102]  Because when I do, I have great days, great weeks, a great life.
[03:22:33.543 --> 03:22:42.248]  When I forget to take the X2, a super male, or the lung cleanse, or to do a liver cleanse, or to take this product, my quality of life just isn't as good.
[03:22:42.328 --> 03:22:43.409]  It's changed my life.
[03:22:43.509 --> 03:22:45.750]  I looked like Jabba the Hutt four years ago.
[03:22:46.091 --> 03:22:47.952]  I was swimming two miles some days a day.
[03:22:48.352 --> 03:22:50.694]  I was jogging, lifting weights, I couldn't lose the weight.
[03:22:51.615 --> 03:22:58.691]  I went on what Mother Nature gave us, and it's changed my life, and it's also helped the Infowar change the country and the world.
[03:22:59.072 --> 03:22:59.834]  It's a win-win.
[03:23:00.315 --> 03:23:01.097]  Infowarslife.com.
[03:23:10.814 --> 03:23:14.235]  We've got amazing products everybody needs at InfoWarsTore.com.
[03:23:14.535 --> 03:23:17.276]  We've got free shipping throughout at least today or tomorrow.
[03:23:17.296 --> 03:23:18.577]  We're selling out of so much stuff.
[03:23:19.137 --> 03:23:21.578]  I didn't order enough stuff thinking the sale wouldn't be that big.
[03:23:21.958 --> 03:23:23.679]  So it's going to have to end one way or the other.
[03:23:23.719 --> 03:23:24.719]  But take advantage of it.
[03:23:24.759 --> 03:23:25.780]  Free shipping store-wide.
[03:23:25.800 --> 03:23:27.800]  30% off SuperMelt Vitality.
[03:23:27.820 --> 03:23:29.921]  30% off X2, the good halogen.
[03:23:30.641 --> 03:23:31.582]  30% off DNA Force.
[03:23:31.602 --> 03:23:32.442]  Wow, that's a big deal.
[03:23:32.462 --> 03:23:34.403]  30% off Living Defense.
[03:23:34.423 --> 03:23:36.704]  30% off Lung Cleanse.
[03:23:36.724 --> 03:23:38.244]  30-40% off all the high-quality storable foods.
[03:23:38.264 --> 03:23:38.744]  That's a big deal.
[03:23:38.764 --> 03:23:39.685]  We just extended that out.
[03:23:40.305 --> 03:23:44.467]  Our great supplier, My Patriot Supply, has decided to do that because they're so excited as well.
[03:23:45.348 --> 03:23:59.735]  InfoWarsStore.com is the main site to get your probiotics, or your vitamin, mineral fusion, fruit punch, your bio PCA for the hair and nails, or the bio-true selenium, liver cleanse, oxy powder, Prostagard, Anthroplex, it's just the dry version of the super metal vitality.
[03:24:00.095 --> 03:24:00.675]  It's all there.
[03:24:00.875 --> 03:24:03.837]  InfoWarsLife.com or call toll free 888-253-3139.
[03:24:03.857 --> 03:24:03.897]  888-253-3139.
[03:24:20.336 --> 03:24:23.117]  Welcome back into the fourth hour of the Alex Jones Show.
[03:24:23.197 --> 03:24:30.479]  Owen Schroer with you and lots of things are transgressing right now since the election of Donald Trump.
[03:24:30.579 --> 03:24:37.701]  Obviously the big thing that people are talking about are all the protesters, the violence, the hypocrisy, and everything we've seen from them.
[03:24:37.741 --> 03:24:42.502]  We'll talk more about that here in a minute, but I got to remind you about our election super specials.
[03:24:43.022 --> 03:24:46.943]  This sale has been extended at InfoWarsLife.com.
[03:24:46.983 --> 03:24:49.264]  This is the Help Defend Liberty sale.
[03:24:49.864 --> 03:24:52.406]  Now folks, these prices are unbeatable.
[03:24:52.486 --> 03:24:55.709]  These are some of the lowest prices we're ever going to offer on some of these products.
[03:24:56.069 --> 03:24:58.892]  Free shipping, 30% off Survival Shield X2.
[03:24:58.932 --> 03:24:59.933]  That's my favorite product.
[03:25:00.253 --> 03:25:03.816]  Save a lot of money with shipping on the survival food that we have.
[03:25:03.856 --> 03:25:06.719]  Those are some of our best specials, so make sure you take advantage.
[03:25:07.399 --> 03:25:13.004]  Well, we're going to see all the excuses from the anti-Trump movement and from the Hillary Clinton campaign.
[03:25:35.236 --> 03:25:45.449]  Now although this hasn't really come out of the Hillary Clinton campaign in this year, there are people protesting for the Electoral College to elect Hillary Clinton.
[03:25:46.230 --> 03:25:50.095]  Millions signed petition urging Electoral College to elect Hillary Clinton.
[03:25:51.016 --> 03:25:56.262]  The strange thing about this is, before I get into this petition, I actually follow a lot of these petitions.
[03:25:56.302 --> 03:25:58.304]  There's some sites that do these petitions.
[03:25:58.384 --> 03:26:00.286]  Change.org is the one that launched this one.
[03:26:00.746 --> 03:26:06.272]  But even the federal government has websites where there's petitions, where you can petition the president.
[03:26:06.973 --> 03:26:10.076]  And for whatever reason, the petitions that
[03:26:11.496 --> 03:26:17.762]  That people like I, people like myself would back, the people at Infowars.com would back, the people like our audience would back.
[03:26:18.382 --> 03:26:21.125]  For whatever reason, we never seem to get these things off the ground.
[03:26:22.146 --> 03:26:27.871]  And most of these petitions, like there was a petition I think to impeach Obama that needed like 200,000 signatures.
[03:26:28.471 --> 03:26:30.773]  We didn't even get that in a month's span.
[03:26:32.435 --> 03:26:36.759]  So I'm just curious how that happens when we are the most engaged people, we are the most active.
[03:26:37.895 --> 03:26:46.680]  And I thought to myself, maybe I need to dedicate myself to coming in here every Monday and telling you what the petitions are that we need to sign.
[03:26:47.701 --> 03:26:48.681]  So here's another one.
[03:26:49.202 --> 03:26:52.023]  Is this the one from Change.org guys?
[03:26:52.383 --> 03:26:54.285]  Yeah, so this is the petition that we're looking at.
[03:26:55.525 --> 03:26:59.948]  Now the story that I have here, this came from Yahoo, one of the biggest anti-Trump
[03:27:00.914 --> 03:27:23.127]  Mainstream media outlets going more than 2.4 million people had signed a petition to the US electoral college Urging its members to ignore their state's votes votes and cast their ballots for the former Secretary of State Hillary Clinton, so that's nice That's nice these people they want you to they're gonna sign a petition to commit treason against this country
[03:27:24.264 --> 03:27:25.284]  How do you like that, folks?
